filename	Pool	Center	CommonReference	FSGS	heathy
P_1.RIC_1	Pool1	Center1	1	0	0
P_1.RIC_2	Pool1	Center1	0	0	1
P_1.RIC_3	Pool1	Center1	0	1	0
P_1.RIC_4	Pool1	Center1	0	0	1
P_1.RIC_5	Pool1	Center1	0	1	0
P_1.RIC_6	Pool1	Center1	0	0	1
P_1.RIC_7	Pool1	Center1	0	1	0
P_1.RIC_8	Pool1	Center1	0	0	1
P_1.RIC_9	Pool1	Center1	0	1	0
P_1.RIC_10	Pool1	Center1	0	0	1
P_1.RIC_11	Pool1	Center1	0	1	0
P_2.RIC_1	Pool2	Center1	1	0	0
P_2.RIC_2	Pool2	Center1	0	0	1
P_2.RIC_3	Pool2	Center1	0	1	0
P_2.RIC_4	Pool2	Center1	0	0	1
P_2.RIC_5	Pool2	Center1	0	1	0
P_2.RIC_6	Pool2	Center1	0	0	1
P_2.RIC_7	Pool2	Center1	0	1	0
P_2.RIC_8	Pool2	Center1	0	0	1
P_2.RIC_9	Pool2	Center1	0	1	0
P_2.RIC_10	Pool2	Center1	0	0	1
P_2.RIC_11	Pool2	Center1	0	1	0
