Majority.protein.IDs	P_1.RIC_1	P_1.RIC_2	P_1.RIC_3	P_1.RIC_4	P_1.RIC_5	P_1.RIC_6	P_1.RIC_7	P_1.RIC_8	P_1.RIC_9	P_1.RIC_10	P_1.RIC_11	P_2.RIC_1	P_2.RIC_2	P_2.RIC_3	P_2.RIC_4	P_2.RIC_5	P_2.RIC_6	P_2.RIC_7	P_2.RIC_8	P_2.RIC_9	P_2.RIC_10	P_2.RIC_11
A0A075B6I0	5056.4	19023	10474	6561.4	6814.2	7566	6963.3	17172	6992.8	12633	8099.3	8086.8	4831	8069.1	15858	4496.4	4024.3	10212	2483.3	8784.9	15194	9785.4
A0A075B6I9;P04211	7923.6	22406	14546	18154	10296	14781	9538.2	24929	9952.7	17403	13531	10997	9099.2	6484.6	18398	9692.6	10869	25619	18741	13432	13514	14315
A0A075B6K4	9883	18581	16772	11245	20072	15921	11321	18452	8901.5	17194	12190	36142	17795	16308	37741	24786	32914	45167	29349	35638	25491	31274
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	38038	74443	38679	43767	40436	40480	42700	51910	24818	51471	54538	75845	37571	54868	116790	70522	67848	80890	119150	68580	113360	70839
A0A0A0MRZ8;P04433	24268	57448	33181	35477	34774	31511	30471	41892	22894	44358	31249	43986	20958	17226	33557	30385	28989	24596	43607	25463	31189	25400
A0A0A0MS15	21120	31016	30186	31428	89571	20812	23209	20859	15842	25508	24268	9874.9	8994.7	7243.7	8352.8	10650	9683.9	10443	17191	8496.4	11315	9526.7
A0A0B4J1U7	25708	49096	26491	34016	16119	19146	23326	28258	24446	41093	22265	21656	17688	16522	25686	16813	26163	35592	39167	32504	26342	22061
A0A0B4J1V0	8491.1	15573	5816.9	7184.1	7633.7	5922.2	8285.3	16446	4474.6	11667	11074	12905	9255.7	8089.1	14082	6084.6	9420.2	11629	18500	11030	11136	12025
A0A0B4J1X5;A0A0C4DH42;A0A0J9YVY3;P01767	6063.7	10297	7765.6	7978.9	5547.1	5270.1	5189.5	7453.4	1814.6	7360.9	6159	6385.9	6460.5	10488	12951	5660	11964	14778	17886	11864	15239	8781.1
A0A0B4J1X8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1Y9	24314	36259	27199	27262	29186	19934	26811	34266	16943	38399	26824	11217	9135.3	9437.5	13092	10178	11325	12887	19867	11799	11618	10763
A0A0C4DH25	10990	18284	9705	11785	8702.5	18735	13237	12648	12879	18333	11863	12430	13519	8861	15881	5041.3	16775	12469	22444	11992	15079	11449
A0A0C4DH38;A0A0J9YXX1	34491	64058	48380	48226	30039	48839	44954	53327	43172	49747	46360	56582	25341	22790	36894	40820	32720	27169	43823	28901	34043	35224
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	23695	41540	33110	22257	23616	24493	34361	42248	26786	34608	28593	51222	39662	31080	56143	38397	51648	49225	54196	38232	50409	47064
A0M8Q6	27406	26018	18810	13696	14187	14659	17865	22814	11394	8939	12787	34478	22912	31971	12636	15450	20456	20073	18841	31094	20924	19697
A1L4H1	29596	20342	17199	13758	23947	18455	24080	14776	20438	23686	23942	25460	26255	23442	22296	38209	29614	21696	26656	26878	20154	25582
B9A064;P0CG04	312940	430170	329710	334440	238880	360240	386650	381680	267340	387230	272720	423590	295090	200920	383930	200220	362520	396760	409390	317700	380430	301300
O00151	10495	15666	27295	13725	19736	12229	23633	13204	19595	14510	14986	12213	16076	33208	20500	21184	20339	18373	33746	23738	13103	18325
O00187	207050	169070	191230	170970	212430	163320	194290	165270	220270	195290	204580	109220	106380	121160	122410	187150	149720	146560	123280	142870	99408	154240
O00299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1476.5	1570.5	2418.4	2643.6	2526.2	2984.2	2402.1	2402	3025.6	2112.5	3027.4
O00391	238080	231410	204250	172340	208150	206510	231150	202490	218030	209040	241350	154360	102440	136860	127640	152640	121520	117030	116510	134010	116500	154040
O00522	8319.6	9847.1	6690.7	7985.4	15237	8819.6	11247	7323.4	6946.8	10614	8499.3	NA	NA	144.53	190.25	189.57	129.42	NA	NA	297.45	NA	228.5
O00533	241270	168230	145000	123520	150930	141210	135500	146180	145630	159280	165780	74733	90313	148660	114450	182540	102260	103840	118730	102430	97470	115550
O00584	3665.9	2324.3	3445.9	3714.6	2839.6	2717.6	3814.4	2099.4	2247.1	2937	3047.3	2873.9	2566.3	2735.8	2428.4	4346.1	2777.1	2586	3580.9	2790.3	2563.3	3560.8
O00592	35976	39619	35272	28259	40272	31638	37933	28638	33500	33192	37112	21016	20049	25152	20923	40031	24934	22144	21367	22714	20958	27801
O00602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15476	20849	21956	22999	24105	21365	21188	21494	24048	20092	22036
O14786	62324	46088	51273	47550	53696	52026	50388	51834	51232	62126	60638	65042	41153	73662	62149	80530	63140	55296	62372	53446	57562	71066
O14791	243440	405870	368870	243320	393330	426550	568040	382860	395020	347420	390060	227220	347890	380620	244930	370210	282330	329260	282960	498410	183710	377710
O15020	20258	11011	13644	12441	11480	15738	17323	13725	13717	7914.4	18325	17927	11288	19236	15663	25320	16855	16019	14894	16488	18795	19099
O15394	3264.2	2919.7	2574.9	2994	2347.8	2607.8	3272.2	3518.5	1850.5	3543	2475.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43493	23591	13037	17836	9814	18095	11693	18034	11746	16988	12971	19150	20318	8371.8	12123	9957.9	22795	9239.9	11694	10466	11779	10046	15396
O43866	304740	252810	243000	195740	380280	170110	233660	191990	199930	179330	249320	250750	129540	184910	156230	290940	160700	201930	146370	211850	216260	220790
O75015	1431.1	2535.2	1504.8	1014.3	733.11	918.36	1473.5	1524.2	1849.9	3378.9	1657.9	747.6	2430.8	1756.4	2164	2150.6	2502	787.72	1923.5	4396.3	2089.4	2688.9
O75083	18486	33257	31798	27117	33523	22500	45438	32813	37511	27114	26862	3406.7	6631.9	9341	11439	8931.4	12039	8175.3	10653	7908.6	8725.5	9298.7
O75636	193100	192300	188450	136590	189070	160940	201930	181050	169620	200310	199990	180800	186930	208990	153770	293930	253200	218240	240690	219540	205520	235980
O75882	1184900	898870	997880	851850	1096400	846820	975640	927710	980640	910530	1070600	819310	698070	894920	854010	1138900	847580	994070	814730	936320	856940	1008800
O94985	4509.9	5978.1	5510.9	6315.8	4760.9	6412	5622.9	4563.5	4785.7	5812.4	6319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95445	217480	259010	240410	228400	349540	224300	245020	234260	190090	218830	255580	148460	172780	198500	162260	250310	193640	170280	152430	207680	158660	189240
O95479	17071	18562	18849	18618	17324	22040	18483	25039	16653	20789	21549	7335.7	7548.3	7584.2	10806	17910	10613	11576	19033	10280	12850	10316
O95497	34865	29456	27880	35013	19415	25452	35181	61535	49722	41019	40021	48651	73943	66275	50457	60812	60785	50501	87420	47927	75826	57950
P00338	29268	42153	38624	38487	27532	29788	44406	27855	43784	41698	39126	22991	18694	20487	22412	21040	19516	17064	26904	19070	20977	23518
P00352	3599	4244.8	4370	5256.5	7323.1	4290.3	5915.8	4209.1	13058	4067.1	5562.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00441	18255	19340	29049	24246	29560	16830	28503	15682	31820	17198	23488	12298	8901.3	11662	11139	13412	10018	9173.4	13153	9749.2	10530	12979
P00450	3107000	3950900	3169300	3277500	2056500	2543200	2839900	2746400	2869400	3032600	3255200	2492800	2267000	2344100	2032700	1983300	2976000	2769300	3092600	2435000	2650100	3150400
P00488	134390	197470	180130	149930	118810	161820	175740	122880	169100	150100	164690	99452	79746	87308	139100	98847	108500	75176	83916	93809	73200	108630
P00558	17670	25404	39976	28157	32652	19875	40640	19351	37951	20940	23281	12040	13729	19320	19227	21266	18416	15837	20348	23288	19361	24542
P00734	1575600	1643100	1753300	1542500	1966600	1686500	2159400	1516600	1668300	1657000	2027400	1299900	1558000	1818400	1548900	1604700	1787500	1850800	1815300	2188200	1550900	2047700
P00736	1310900	1423700	1146700	1216300	1191900	1174800	1234200	1092300	1166900	1257700	1430500	1178200	994360	1231700	1058000	1202000	1164300	1281100	1067500	1185400	1159700	1362000
P00738	817350	727470	1070200	685160	2164200	703270	1261400	823440	1346600	1131800	977830	1140500	824250	594120	756940	2661400	748170	952100	1497600	936160	733620	1094700
P00739	33331	57662	35180	40205	65000	27143	22064	23459	16692	19300	31152	10348	11366	13354	13842	13487	15142	16171	12950	16720	14510	12933
P00740	231610	232360	299650	175540	272030	227310	319300	184550	305570	222170	310880	263400	216230	224580	179920	259560	206680	242290	211000	219190	205210	259930
P00742	323430	333290	285810	316810	264150	339130	410710	248780	288510	342170	366340	288950	291950	315640	270460	305040	292180	321140	293470	283120	298840	311580
P00746	107670	79652	91771	76618	78163	77766	122070	71108	92118	70966	131980	89625	40872	61064	46058	68181	49930	59478	56255	46821	49475	76588
P00747	1781300	2846200	2670500	2620300	2042300	2898900	2832700	2506800	2737100	2730000	2930300	2394300	2290500	2801700	2952700	2450400	2951400	2746800	2532400	2303100	2521500	2726900
P00748	283430	356150	241510	456650	288420	372690	306430	428490	249270	413760	423410	305480	273090	303510	344580	270440	360480	353710	334860	294890	260010	337560
P00751	2408600	2456900	2292200	2962700	1880100	2495500	2768100	2079400	2627300	2621400	2748000	2241800	2419500	2441800	2314100	2299400	2436400	2556000	2636700	1951800	2414600	2526700
P00915	162240	220200	202650	314750	388640	205610	266150	133070	467940	161720	219020	93386	81446	131320	78786	96368	102470	109240	71524	99794	155730	134310
P00918	84298	120880	117950	142080	145570	101230	135620	81964	186340	102060	108890	40748	45814	75566	54718	57520	58314	57172	55963	71574	73091	70071
P01008	1392100	2201100	1417200	1528100	795610	1871800	1624700	1982200	1433400	1752200	1950700	1658600	1270400	1747800	1763700	1065300	1671000	1386500	1243800	1342300	1489000	1752700
P01009	1485100	1180000	1142500	916760	1270600	980290	1285200	1054700	1191200	1408200	1543400	1572000	897350	998160	996320	1331500	1112800	1234600	1207200	1051300	1100200	1484200
P01011	1862900	1860400	1771000	1945000	1485900	1630700	1903000	1551100	1707900	1942100	2193700	1447500	1180100	1733400	1629300	1564800	1529100	1621500	1987800	1677800	1732800	2059800
P01019	487010	579890	587060	618720	402160	542880	605070	414000	622480	570570	686960	529670	510410	691140	637000	511870	660490	719890	522410	850080	641190	801660
P01023	2496000	2542300	2764500	1652100	3707500	1647700	1550800	1764500	2469000	2245700	2238900	2400600	1053300	1245300	2192800	2421500	2138500	1642700	1738300	2780800	1549700	2225800
P01024	12386000	10572000	10727000	11867000	11169000	11423000	11833000	9197900	12627000	11044000	13030000	11561000	10621000	10341000	10092000	11102000	10448000	12665000	11638000	11318000	12257000	12656000
P01031	2901500	2396400	2839600	2193200	2466600	2272000	2668400	1830700	3031300	2458000	2966900	2867000	2110800	2334500	2476200	3029600	2467600	2683800	2429600	2398300	2327800	2929400
P01033	69945	64312	60262	56972	71713	55430	53751	55462	55491	58526	70110	31747	24645	32417	30774	37795	28641	34680	38312	35551	29700	37073
P01034	139680	107750	98952	98268	107260	101630	140590	92660	150860	105830	170550	142780	65650	88197	66128	168010	75975	97370	78683	75077	72527	130000
P01040	12103	16563	15255	13035	15053	15643	13427	18517	18581	16783	21184	23053	19583	19283	25186	19393	18143	16095	22088	16899	23387	23241
P01042	2062800	2468200	2312000	2155700	1738200	2376700	2616300	2093300	2229300	2127600	2454600	1891200	1857900	2461400	1997100	1540200	2045900	2317500	1914500	2122300	1809200	2159000
P01137	3862.6	6519.5	3833.6	4400.6	4935.1	4979.7	6144.4	4917.6	4515.2	5003.5	5124.4	14969	19843	23121	24383	29723	27378	24341	29286	29233	25807	25346
P01344	70160	79799	78938	69018	74887	64654	87562	79875	60175	69668	93634	59990	56895	79502	85936	44801	61396	62670	58661	90265	71356	76056
P01591	46671	93631	64863	46504	107020	47441	48276	60213	41158	54939	57890	33950	28863	29732	32224	28542	28519	35167	39106	44038	29878	37781
P01597;P04432	17008	23439	19018	15264	20519	16413	16909	18825	20047	16821	17138	11546	8146.6	8836.3	9856.6	10276	9714.2	8429.2	11783	9795.8	9820.4	9147.5
P01619	21845	64265	30774	32405	27887	22958	25883	36395	19306	33529	27919	22129	13732	14430	28692	13058	27528	21981	49041	24524	23674	23253
A0A087WSY6;P01624	14909	25010	16307	18731	17306	19493	21524	22894	15738	25913	21176	16655	10622	10224	15519	6968.5	17214	15050	19903	15919	16624	13558
P01699;P01700	21399	27693	23510	21061	18925	22058	24160	26731	16173	27214	22100	17761	10763	11185	18658	15588	15946	15394	15749	14914	16041	13447
P01706;P01709	18292	46095	23867	16985	23144	16371	23133	28507	14837	21984	18851	19492	11478	14726	21442	16809	16363	18771	20220	19932	21371	19486
