rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	3
A5A614	1
O32583	1
P00350	43
P00363	40
P00370	39
P00393	32
P00448	17
P00452	42
P00490	47
P00509	39
P00547	15
P00550	19
P00561	91
P00562	23
P00579	33
P00579;P13445	1
P00582	49
P00634	9
P00722	1
P00803	11
P00805	17
P00811	10
P00861	14
P00864	94
P00887	13
P00888	30
P00893	23
P00894	13
P00895	20
P00903	1
P00904	17
P00909	24
P00914	3
P00926	8
P00934	44
P00935	12
P00936	5
P00944	1
P00946	28
P00954	20
P00956	77
P00957	78
P00959	55
P00960	22
P00961	71
P00962	44
P00963	26
P00968	100
P02358	21
P02359	24
P02413	13
P02916	3
P02918	24
P02919	19
P02920	1
P02924	1
P02925	23
P02929	9
P02930	42
P02931	23
P02931;P02932;P21420	1
P02932	1
P02942	1
P02942;P07017	1
P02942;P07017;P07018;P50466	1
P02943	10
P03004	14
P03018	17
P03023	6
P03024	1
P03030	1
P03813	3
P03817	1
P03819	2
P03841	12
P04036	23
P04079	51
P04128	1
P04335	21
P04391	12
P04391;P06960	13
P04395	1
P04425	18
P04693	29
P04805	44
P04816	29
P04816;P0AD96	3
P04825	55
P04846	15
P04949	2
P04951	18
P04968	25
P04982	2
P04983	6
P04993	5
P04994	5
P04995	14
P05020	30
P05041	6
P05042	16
P05052	1
P05055	53
P05100	1
P05194	15
P05458	32
P05459	25
P05523	1
P05637	9
P05704	1
P05706	1
P05719	5
P05791	44
P05793	71
P05804	1
P05825	42
P05827	1
P05852	6
P06129	38
P06136	1
P06149	42
P06282	2
P06610	18
P06611	3
P06612	46
P06616	13
P06709	7
P06710	12
P06715	19
P06720	1
P06721	14
P06846	5
P06959	79
P06960	3
P06961	16
P06966	5
P06968	2
P06971	44
P06974	1
P06983	16
P06986	16
P06987	28
P06988	18
P06989	3
P06992	5
P06993	10
P06996	37
P06996;P21420	2
P06999	21
P07001	32
P07003	31
P07004	24
P07012	22
P07013	1
P07014	25
P07017	1
P07018	1
P07021	3
P07023	25
P07024	39
P07102	4
