rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
P0A8D6	15463400	14977100	12414500	13587600	15814700	16431400	17384200	16125700	12327000	15844200	14860300	14233400	17207600	15965300	16213900	15755300	16686400	13502900	14955500	14630600	14232500	15314800	13403800	14591400
P0AAX3	6451470	5502760	9983580	8060870	6991030	4764920	3705790	5478640	9586100	6283370	5098320	6565570	6025140	5213810	11889800	10239800	10960300	9056020	10037500	11060500	10184800	9206630	9959640	9280620
P00959	123702000	128413000	147156000	152496000	120653000	127610000	117185000	109429000	90795600	116869000	116300000	72542500	120773000	117121000	141370000	144357000	150616000	113659000	159075000	143254000	157716000	155882000	136716000	151887000
P0AEQ1	9740550	9509940	4515120	4518890	10524200	10778400	9049260	10195000	14373500	12605700	9294080	13383300	9669100	11272400	5318720	6688480	5011710	6609990	5595940	5401750	5066670	4920630	5827330	5271540
P25738	34733700	29192100	23295700	17317500	63701200	52474100	59840500	44875800	38797900	54466400	65152300	133725000	55980900	48550600	24779200	37750100	23447900	31165000	31528000	32741800	30056100	23336700	21961500	40016000
P64596	68867000	60038400	44561000	49162200	72251300	75680500	71206800	68053800	84084300	68333300	81799100	100789000	71818600	73237600	53467600	60439900	57591700	66454800	58939700	52977700	57637400	52741000	54701300	58491700
P00452	93644300	98413600	77192000	83117700	80306100	97397700	102249000	72289400	52565200	81246300	88330900	49162900	98269100	78194600	79654200	83569100	83872000	55774800	92464500	75937700	87446900	84479000	70419200	84127200
P10100	23943600	20549800	23355200	19419300	30347400	22338100	20391100	28121300	36882200	25846000	23990600	35395300	24911800	26616700	25596200	26127400	23942600	27372200	21461000	25172700	23195200	23651100	26196000	23546900
P0AEG4	135700000	111635000	140950000	118901000	135702000	118648000	131339000	137865000	142916000	139290000	139786000	189403000	149870000	132373000	150952000	172215000	146840000	164897000	142214000	147199000	146387000	142477000	153494000	149766000
P19934	4198540	3789270	4205570	3600270	4650000	3638370	4223800	5077130	7411300	4852200	3504670	3706090	3936400	5326660	4716530	4385340	4346730	5799950	4110330	4619330	3971760	4210880	5159680	3993570
P0A9B2	1041760000	1099980000	2049380000	2378600000	1045920000	1040690000	1087510000	1032200000	878501000	998866000	987631000	678512000	1187410000	1057470000	2435400000	2394570000	2367410000	2263610000	2122910000	2236420000	2374030000	2522870000	2051960000	2622940000
P0A8I8	10939000	12415900	12530700	11631600	11985400	12595300	10262700	12412800	11473900	12263400	10383100	15213900	10077500	11298500	12142600	12416500	12576700	13153800	10918200	12640000	12085300	11353500	11957600	11476200
P0A8T7	268292000	275468000	323447000	329452000	268892000	262174000	283844000	279656000	249769000	281375000	245062000	129687000	271093000	276798000	323906000	318145000	322850000	299962000	325770000	319131000	321185000	319829000	315784000	314858000
P0A794	29883000	31092900	26224500	24348800	24929100	24783400	24294000	26647200	26308000	26732200	25049000	24005500	27582700	27335900	25925900	24886900	27806500	24866700	23884600	26029800	26453900	26692800	26253300	23646300
P0A7J3	964991000	876398000	1179050000	1164260000	1009760000	971965000	941764000	909682000	811503000	903255000	955817000	1197640000	992654000	929930000	1212720000	1487830000	1229930000	1319950000	1394790000	1231580000	1319380000	1261090000	1155800000	1336870000
P00935	55327500	54126700	57463200	54570700	59240100	57023800	48130500	50676000	57730700	53412700	44723700	27178600	50555900	51807100	56475800	58611700	53839500	56323800	53560000	52660400	54520000	58866600	51348200	55116300
P0ACF4	1409830000	1192860000	1114460000	795033000	1547800000	1275480000	1229040000	1412990000	2530750000	1430140000	1320730000	2237100000	1408870000	1365060000	1215500000	1089150000	1063220000	1241720000	899158000	1145080000	1000740000	1030980000	1364470000	1053360000
P0AG84	42970700	45694800	28215500	33024900	35266100	33749500	59444400	41860600	35043200	39559800	36557300	36647000	39828500	42031600	30782800	30834100	27026700	31518200	27102800	33531500	32791900	30125700	29034600	32494700
P0A9M8	203841000	199197000	166460000	156148000	219575000	200362000	222479000	255721000	229594000	237356000	195365000	106513000	222995000	245770000	167814000	151080000	142438000	180164000	120155000	158557000	147007000	178703000	145032000	159263000
P0A9Q7	150351000	161670000	961095000	926537000	134574000	144799000	224218000	159782000	106019000	153461000	145824000	93450600	164669000	164127000	1024000000	868766000	795813000	885840000	632707000	945461000	909230000	978534000	778876000	955468000
P67087	12438200	12055100	10370000	10956700	11332800	11087800	10627100	9506160	10209600	10966300	11830700	11342100	11236100	10716700	9909990	11056400	10590000	9271880	10507200	10192800	11261000	10603300	10073500	11182400
P0AEJ2	52848400	58098900	69912400	82545300	32527000	45353200	91220700	83620800	39918700	80354100	46576300	43677300	78723000	66951000	77925200	62046900	74035100	71104000	101118000	103367000	119418000	94416400	33201700	132941000
P08142	47435700	51508900	50117900	46952800	53949900	43973400	48467300	51246300	46065200	56607900	41436900	23678400	49316700	51341800	52310300	47859600	48449600	47274100	47540400	50159300	45417400	43853400	55571300	43295000
P76576	28986500	28386700	30740400	29033900	31266800	27131900	31403100	34273300	38114800	33832600	26731500	25272100	28664000	29415800	32370700	32519800	32558200	35586600	29603600	33748400	30387200	30544500	34845500	28510400
P0AET8	105697000	111942000	79546200	91414400	116770000	128940000	132925000	108825000	105437000	115661000	126106000	89344200	125243000	114158000	101134000	107959000	101509000	94696500	96979000	95581900	104891000	109019000	93444300	104464000
P0AFI5	685827	998804	1169030	1197240	667464	441277	617168	867539	742409	752117	517100	324375	594006	915354	1064830	1021080	1099440	1082840	904775	968264	963094	1036000	1036760	1000340
P25888	8176250	8802200	17488100	20546100	8996810	8330390	9443480	9082210	7423630	7286760	7422490	5222340	8588500	9109730	17460400	20606400	17766900	19468000	20047600	16823900	17803700	15722100	17702900	17652400
P16659	100624000	101021000	106266000	108272000	99441000	98311700	96483100	90849900	80526900	95114400	90124800	54165600	100094000	91797400	101180000	103601000	105439000	82304400	104764000	98308800	106065000	108082000	98097700	103450000
P0ABQ0	20418200	20689800	16940700	17838900	21118400	19779600	21148200	23718100	19285200	21093800	18009300	10238100	20912500	22689700	15420600	14982400	18174000	16270900	16489800	18516000	16803200	16680400	17290900	16538900
P0ADC3	9663660	10340400	11839800	13074900	11062500	11015000	13278500	11768600	10082500	11504300	11058400	5907890	12353000	11512400	12769300	13438400	11970300	12509200	12873400	11449400	12191200	12338800	11524200	12309000
P10121	30973000	29681800	28758000	29576800	28780700	30312100	28367400	26405400	23867300	28673500	28863000	29716700	30606400	27370700	27459800	29912900	30345100	25940800	30565100	28593500	29785300	30140300	28512800	28848500
Q46871	18073500	16280300	12872900	16774000	12286800	14841000	20470000	17327700	11180700	16742300	17953000	21857900	19552800	16580800	13264500	16450300	16963000	13256900	22067600	17042200	21593000	15499100	11411800	22319600
P76541	16674100	20428300	12550000	13850700	15378000	17354300	19211400	17981600	16789200	18344100	15925700	21500100	16551200	16123300	12247600	15550300	13654500	13095400	13719300	17307700	14837900	13895500	12866300	14898500
P60293	26037100	27053300	22723000	25319800	26173500	26584300	27350400	23268800	19424300	24594800	25668200	16682300	25766400	26325000	23744700	25219600	24734000	18870000	27273600	24945400	26431300	25209000	22669700	26160900
P77674	32226600	33619000	3996770	5145580	23085900	30801300	69340200	33413000	25202000	30887800	34500500	24817500	33491900	35424000	3746130	4973730	4301780	5313360	5371310	4636440	4342810	3602450	4382970	4991590
P33232	122260000	128922000	86602900	84849500	126671000	125450000	141180000	125244000	111772000	142346000	118667000	76820800	134120000	131606000	79982100	78220600	91369700	78923600	99038600	98884900	92289000	83524000	95502000	89100300
