rowname	count
A5A607;Q2EES0	1
A5A613	1
A5A614	1
A5A621	1
O32583	2
P00350	56
P00363	42
P00370	34
P00393	38
P00448	20
P00452	43
P00490	55
P00509	40
P00547	17
P00550	17
P00561	85
P00562	39
P00579	36
P00579;P13445	1
P00582	60
P00634	10
P00722	7
P00803	20
P00805	16
P00811	12
P00861	21
P00864	108
P00887	13
P00888	26
P00888;P0AB91	1
P00893	35
P00894	9
P00895	36
P00903	4
P00904	19
P00909	19
P00914	11
P00926	8
P00934	40
P00935	15
P00936	12
P00944	2
P00946	20
P00954	21
P00956	86
P00957	75
P00959	51
P00960	16
P00961	78
P00962	55
P00963	23
P00968	96
P02358	19
P02359	36
P02413	12
P02916	1
P02918	24
P02919	20
P02924	3
P02925	21
P02929	12
P02930	25
P02931	25
P02931;P02932;P21420;P77747	1
P02932	1
P02942	1
P02942;P07017	1
P02942;P07017;P07018;P50466	1
P02943	22
P03004	22
P03007	4
P03018	17
P03023	6
P03024	9
P03030	4
P03813	10
P03817	2
P03819	6
P03835	2
P03841	4
P04036	22
P04079	60
P04128	3
P04335	29
P04391	8
P04391;P06960	14
P04395	3
P04425	25
P04693	15
P04805	52
P04816	21
P04816;P0AD96	1
P04825	51
P04846	13
P04949	4
P04951	17
P04968	32
P04982	6
P04983	6
P04993	10
P04994	18
P04995	19
P05020	33
P05041	14
P05042	13
P05050	3
P05052	1
P05055	54
P05100	1
P05194	18
P05458	36
P05459	37
P05523	5
P05637	13
P05704	1
P05706	4
P05719	25
P05791	38
P05793	73
P05804	3
P05824	1
P05825	38
P05827	7
P05852	9
P06129	25
P06134	1
P06136	5
P06149	43
P06282	9
P06609	1
P06610	11
P06611	4
P06612	51
P06616	20
P06709	12
P06710	25
P06715	28
P06720	8
P06721	20
P06722	2
P06846	6
P06864	1
P06959	68
P06960	3
P06961	18
P06966	3
P06968	4
P06971	34
P06974	1
P06983	19
P06986	9
P06987	33
P06988	17
P06989	5
P06992	9
P06993	28
P06996	39
P06996;P21420	3
P06996;P77747	3
P06999	12
P07000	10
P07001	25
P07003	30
P07004	28
P07012	17
P07013	5
P07014	28
P07017	3
P07018	1
P07021	5
P07023	21
P07024	27
P07026	2
P07102	12
P07109	13
P07117	2
P07118	80
P07330	1
P07363	2
P07395	59
P07604	26
P07623	15
P07639	16
P07648	16
P07649	10
P07650	25
P07658	1
P07762	50
P07813	64
P07821	12
P07822	3
P07862	12
P07913	8
P08142	34
P08178	16
P08179	11
P08189	1
P08190	1
P08191	3
P08192	20
P08200	82
P08201	1
P08202	6
P08204	3
P08244	14
P08245	3
P08312	33
P08331	36
P08337	2
P08365	1
P08368	7
P08373	9
P08390	9
P08394	11
P08395	13
P08400	4
P08401	4
P08506	36
P08506;P0AEB2	1
P08622	22
P08660	25
P08839	62
P08956	50
P08957	34
P08997	46
P09029	17
P09030	22
P09053	18
P09099	10
P09126	4
P09127	18
P09147	25
P09148	17
P09151	65
P09152	43
P09152;P19319	7
P09153	1
P09155	2
P09158	13
P09169	34
P09184	1
P09323	7
P09348	1
P09372	19
P09373	118
P09373;P42632	5
P09373;P68066	1
P09391	2
P09394	15
P09424	28
P09546	35
P09549	12
P09551	24
P09551;P0AEU0	1
P09831	137
P09832	47
P09832;P37127	1
P09833	7
P09835	1
P09980	20
P09996	2
P0A698	43
P0A6A0	18
P0A6A3	36
P0A6A6	43
P0A6A8	3
P0A6B4	15
P0A6B7	39
P0A6C1	14
P0A6C5	34
P0A6C8	27
P0A6D0	1
P0A6D3	34
P0A6D7	19
P0A6E1	7
P0A6E4	56
P0A6E6	9
P0A6E9	9
P0A6F1	23
P0A6F3	31
P0A6F5	78
P0A6F9	4
P0A6G3	2
P0A6G7	13
P0A6H1	40
P0A6H5	40
P0A6H8	7
P0A6I0	6
P0A6I3	14
P0A6I6	10
P0A6I9	4
P0A6J1	7
P0A6J5	15
P0A6J8	19
P0A6K1	7
P0A6K3	13
P0A6K6	38
P0A6L0	20
P0A6L2	12
P0A6L4	5
P0A6L7	6
P0A6L9	6
P0A6M2	1
P0A6M4	1
P0A6M8	91
P0A6N4	7
P0A6N8	3
P0A6P1	55
P0A6P5	23
P0A6P7	12
P0A6P9	64
P0A6Q3	8
P0A6Q6	12
P0A6R0	12
P0A6R3	5
P0A6S0	1
P0A6S5	3
P0A6S7	13
P0A6T1	57
P0A6T3	19
P0A6T5	21
P0A6T9	1
P0A6U3	18
P0A6U5	12
P0A6U8	18
P0A6V1	31
P0A6V5	1
P0A6V8	21
P0A6W0	4
P0A6W5	10
P0A6W9	21
P0A6X1	9
P0A6X3	8
P0A6X7	14
P0A6Y1	12
P0A6Y5	5
P0A6Y8	80
P0A6Z1	21
P0A6Z3	58
P0A6Z6	7
P0A705	83
P0A707	26
P0A715	26
P0A717	27
P0A720	11
P0A722	11
P0A725	15
P0A729	12
P0A731	5
P0A734	10
P0A738	10
P0A742	6
P0A744	9
P0A746	8
P0A749	22
P0A752	4
P0A754	1
P0A756	5
P0A759	12
P0A761	3
P0A763	15
P0A772	1
P0A776	3
P0A780	7
P0A784	15
P0A786	40
P0A790	8
P0A794	20
P0A796	31
P0A799	71
P0A7A2	10
P0A7A5	8
P0A7A7	41
P0A7A9	18
P0A7B1	39
P0A7B3	10
P0A7B5	17
P0A7B8	9
P0A7C2	14
P0A7C6	11
P0A7D1	13
P0A7D4	53
P0A7D7	29
P0A7E1	36
P0A7E3	5
P0A7E5	40
P0A7E9	12
P0A7F3	25
P0A7F6	21
P0A7F9	7
P0A7G2	10
P0A7G6	23
P0A7H0	7
P0A7H3	1
P0A7H6	6
P0A7I0	18
P0A7I4	30
P0A7I7	11
P0A7J0	15
P0A7J3	18
P0A7J7	13
P0A7K2	15
P0A7K6	28
P0A7L0	50
P0A7L3	13
P0A7L8	8
P0A7M2	9
P0A7M6	8
P0A7M9	8
P0A7N1	5
P0A7N4	11
P0A7N9	9
P0A7P5	5
P0A7Q1	1
P0A7Q6	2
P0A7R1	20
P0A7R5	18
P0A7R9	12
P0A7S3	11
P0A7S9	20
P0A7T3	15
P0A7T7	8
P0A7U3	23
P0A7U7	9
P0A7V0	45
P0A7V3	38
P0A7V8	29
P0A7W1	32
P0A7W7	15
P0A7X3	18
P0A7X6	12
P0A7Y0	17
P0A7Y4	4
P0A7Y8	8
P0A7Z0	8
P0A7Z4	44
P0A800	14
P0A805	7
P0A809	3
P0A812	16
P0A814	1
P0A817	35
P0A821	23
P0A823	5
P0A825	47
P0A828	1
P0A830	1
P0A832	5
P0A836	31
P0A840	6
P0A843	1
P0A847	32
P0A850	71
P0A853	19
P0A855	21
P0A858	26
P0A862	14
P0A867	35
P0A867;P0A870	2
P0A870	35
P0A873	4
P0A877	15
P0A879	33
P0A881	4
P0A884	18
P0A887	27
P0A890	3
P0A894	17
P0A898	2
P0A8A0	6
P0A8A2	5
P0A8A4	12
P0A8A8	2
P0A8B2	13
P0A8B5	8
P0A8C1	1
P0A8C4	6
P0A8D0	13
P0A8D3	4
P0A8D6	5
P0A8D9	1
P0A8E1	13
P0A8E5	4
P0A8E7	20
P0A8F0	20
P0A8F4	26
P0A8F8	35
P0A8G0	22
P0A8G3	23
P0A8G6	19
P0A8G9	2
P0A8H3	1
P0A8H6	10
P0A8H8	4
P0A8I1	2
P0A8I3	12
P0A8I5	16
P0A8I8	9
P0A8J2	8
P0A8J4	9
P0A8J8	34
P0A8K1	17
P0A8K5	1
P0A8L1	45
P0A8L5	2
P0A8L7	3
P0A8M0	35
P0A8M3	54
P0A8M6	11
P0A8N0	5
P0A8N3	34
P0A8N3;P0A8N5	14
P0A8N5	24
P0A8N7	11
