rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P0A8D6	5022110	5302860	5325130	5312470	5483140	5195430	5479550	5877560	5077020	4919630	4529280	4700770	4812230	4569120	4899440	4653240	4510280	4660690	4573690	4449640	5396250	5441310	4490240	4737200
P0AAX3	1184610	976583	1214870	1165230	1276180	1170430	1293620	1197600	1368430	1118760	2317530	2236110	2304360	1652180	2116170	2154480	2039040	2124320	2009350	1795600	1413750	1313040	2056220	2217240
P37617	1450160	1705800	1302120	1459510	1433540	1518970	1469530	1601200	1657420	1609450	1173770	990396	970782	1283860	1136760	1250850	1222550	1016770	1307910	1299790	1257530	1520780	1200530	1225000
P00959	19913600	17877100	17899400	18462900	18404300	19036900	18004000	17742500	18095800	20089600	23369100	23552600	21850600	23417100	23487600	22289300	23374700	23082600	23866400	24204500	19473600	18669300	23308800	23081000
P37325	575642	553147	625508	536323	559041	596824	506330	538168	555112	622118	546824	554654	613817	544139	560335	584833	607814	542746	588097	548112	651427	591669	518554	550469
P0AEQ1	2339610	2911990	3375720	3038980	2485220	2567590	2677290	2669740	2386840	2254300	1455700	1426660	1612210	1427220	1586830	1616810	1587330	1533400	1436960	1266430	2998090	2740620	1264030	1603540
P25738	13963100	16238100	18896500	16929000	18314700	14006500	19447000	21298900	22089300	13888900	10618200	11918800	10295900	9544850	11746200	12830600	11202000	9908890	10513000	9191170	14998200	15931700	9322280	10935100
P64596	13667500	12761700	12692700	13736800	13780500	12819600	12834900	15030900	14367800	12917000	10635400	9926420	10699700	10744100	10697200	10912400	10530700	9982720	10296300	10754800	13896900	13667300	10102700	10970600
P00452	11548000	13426000	11348000	12706800	12661000	11276700	13170600	13150000	12297400	11870100	11513800	11054300	9731180	11832400	10950700	10577800	11028200	10943500	11045800	11116600	13164400	12498200	11085000	10704000
P0AEG4	34218700	38153600	43595000	39087400	40378900	36053800	40777100	38658700	38841400	34449700	41196800	43830600	44255300	37199900	44054300	45588800	41927100	41427500	43814700	41903900	38634600	38622000	41909100	41675400
P19934	1607400	1523820	1547850	1489770	1533560	1458420	1558210	1505760	1543440	1566350	1395660	1467250	1507300	1424060	1502570	1490200	1407800	1472230	1500140	1354370	1523330	1472250	1462840	1464880
P0A9B2	319045000	368851000	319798000	365821000	374004000	326374000	377943000	365393000	355751000	324592000	838582000	794927000	843431000	816688000	837111000	844315000	895504000	850068000	904631000	887604000	392082000	396073000	853501000	905685000
P0A6A6	100735000	99963300	95912500	97756100	94448400	104019000	93312500	94783300	92860400	100917000	146312000	142012000	131642000	140794000	135719000	131051000	142234000	143680000	141856000	146564000	99772200	96840700	143084000	136050000
P0A8I8	1902360	1789900	1733200	1775270	1674130	1887650	1748900	1675260	1556400	1898200	1810060	1739110	1790200	1817590	1874130	1842940	1752310	1628560	1747120	1843450	1677690	1710860	1819120	1849360
P0A8T7	50597300	52223200	46780400	51387000	52626100	49876900	52206800	53150100	52241400	53510400	58809800	56968000	49866400	59226600	54694300	53313900	56436900	55150400	55591200	57518400	53936800	53455500	59263300	60548500
P0A794	8828620	8617660	8623450	8902740	8456040	9207500	8865590	8201700	7535390	8855800	7641030	7500360	8779980	7814980	7248640	7529480	7908310	7640740	7956130	7818380	8258190	8720470	7743010	7336160
P0A7J3	234432000	236851000	282235000	228419000	237622000	236448000	251193000	236586000	207963000	244306000	313263000	348586000	320321000	308690000	351687000	338736000	296041000	335687000	337717000	313957000	249337000	240931000	304060000	324644000
P00935	11235200	10865500	11244500	10590900	9763770	11999100	10321400	10011900	10454500	11205700	10364900	10046200	8886730	9817200	10649000	9805240	10496500	10301000	10723200	11000800	10408900	10326700	11202000	10016600
P0AG84	15099000	19403100	14083900	18673300	21641900	13796400	21095900	27757400	24852700	14654300	11729100	11211700	9133800	11195500	10846600	11999900	11971200	11939200	10474500	10166800	17176500	18255600	9592440	11604300
P0A9M8	35409800	37991600	34894700	36937700	37945000	35019900	38576900	37568800	37632500	37361500	22447800	21813900	21330200	22622100	23852800	23127400	25466700	23946800	28269900	29672800	37506000	39399500	29332200	27198100
P0A9Q7	29191500	40333100	29280900	36878300	43403800	25649900	42713400	46291800	44279900	28158000	190806000	182125000	162312000	179571000	199621000	205578000	219808000	207300000	231605000	233298000	40668700	41023800	231789000	229520000
P67087	3493610	2845750	3443740	3030440	2804610	3485840	2933950	2913420	2764720	3437020	2802540	2818910	2997270	2841310	2781130	2901440	2798870	2843120	2835930	2659340	2993460	3008550	2764210	2744810
P05042	5200610	4664330	5147230	4734980	4053750	5414760	4430590	4024780	4278750	5115570	2019990	1855030	1750620	2184700	1917510	1869750	1734190	1779130	1665440	1625640	4654150	4870910	1881030	1703280
P0AEJ2	3075850	7668630	3922500	7889710	6727150	2912980	8026670	8374870	7546010	2703210	8278020	9226300	12070700	8193220	8328350	9989290	10626000	10041100	12365100	8466490	6316450	6945620	7599030	9850620
P08142	15962400	15741500	15227800	15664600	15686100	15455700	16243500	14535400	14846100	15339400	15199600	15046600	12939600	15553600	14623700	13482900	14837800	14683200	13566300	13894700	16335800	16312800	14340300	14787900
P76576	6072600	5557150	6591140	5780170	5608920	6031090	5582150	5509580	5312460	6227220	5995500	5778940	6089650	5948110	6015050	5814990	5827820	5852360	6007210	5804320	6075560	5485810	5776030	5935200
P39342	3492110	3776390	3284400	3592400	3687460	3363320	3927330	4338780	4097040	3427580	2468950	2451920	2377680	2474590	2335970	2446470	2490610	2394300	2390890	2253920	3401850	3658650	2358160	2491070
P0AET8	12921700	13799600	12500200	13286200	14285600	12645300	13617400	15030800	13723400	13092800	11324800	11195700	12426400	11130000	11792600	13027000	12374300	12446800	12091000	12268700	14434300	13973100	11236700	11272800
P0AFI5	532295	544493	485988	530671	568147	473207	521275	522130	499126	527131	776434	753584	732051	841127	736718	713926	741111	717841	780061	841651	560290	588082	798532	766891
P25888	929884	948092	990092	1038720	974689	970515	922470	1086930	961645	895084	3712400	3818420	3246570	3688210	3864680	3233000	3471790	3549330	3123500	2970750	913457	956095	3482190	3976760
P16659	15970300	15268300	15270500	15113300	15085900	15761900	15158800	14875200	15191400	16357100	16651300	16571700	14937100	16371200	16426800	15304200	16377600	16119300	16376600	16573300	16284200	15755700	17056700	17129100
P0ABQ0	3958860	3951200	3856810	3876060	3685130	3925160	3914940	3855540	3848880	3775470	3046720	2864470	2922300	3042290	2850790	2838320	2971310	3020820	2949690	2831230	3743740	3913460	3040310	3067180
P0ADC3	1604080	1738810	1550120	1765700	1708150	1550170	1647060	1765560	1692250	1586490	1855370	1846920	1687000	1911790	1862330	1851630	1862480	1798860	1771120	1859250	1477440	1626490	1810060	1830440
P62707	143160000	185134000	168095000	181070000	186175000	144485000	186843000	166551000	159718000	137488000	156966000	172189000	191294000	155534000	162654000	162132000	165999000	162030000	149713000	137364000	176062000	175787000	133664000	159099000
P0A6X1	1482180	1197640	1351220	1371550	1213430	1579710	1137570	1219910	1195410	1551430	1281490	1195230	1343910	1314710	1330460	1319780	1320680	1216540	1272890	1403250	1248670	1363360	1327690	1344190
P10121	39571300	38372000	40317300	39319700	37934000	39774900	37789300	39182700	36769800	41810500	39044800	38641400	38192400	37989700	39709200	37506700	37660800	38251700	37963000	38427800	38900900	39450600	38901100	39260000
Q46871	4906990	6485310	5394830	6971040	7051880	4731340	7326050	7394270	6916530	4708920	6806820	7346820	9030840	6682840	6336690	7425000	7099280	7025060	6271180	5406780	6531780	6360030	5473600	6471060
P76541	1610490	1483640	1446740	1529920	1391760	1661080	1413400	1453410	1441900	1560350	1209980	1119540	1210910	1087760	1177800	1237260	1077600	1184360	1218530	1155450	1496610	1613610	1163280	1070290
P60293	2078280	2054350	2041100	2122300	2032190	2148570	2115810	2028070	2133070	2131250	1994710	1984120	2133830	1974150	1917570	2055840	1995310	1917100	1934100	1965050	2019140	2073860	1996080	1861890
P77674	13936600	19384500	14845300	17837500	17539800	13295700	18933000	24038600	20405600	14174500	2469700	2440370	2076350	2427400	2597270	2210720	2206830	2213900	2165970	1936290	13508400	14872600	1996150	2434130
P33232	4720600	5580860	4779230	5530860	4938810	4669700	5204340	5346130	5554040	4456060	3534870	3479720	3195500	3365470	3426380	3562180	3510080	3394600	3311830	3220810	4753590	5261820	3147540	3235160
P0A9W3	25455000	25100300	24948900	24640400	25270000	25183600	25956300	26319000	25856300	26045900	20686000	20732200	18783200	20210300	20119500	19652400	20392600	20668800	19136500	19380200	24418800	24275600	19844500	21038400
P45955	7634860	6355670	8999680	6752030	6751040	7646620	6666480	6659380	7566900	7657460	6530210	6715760	7118170	6355830	7186340	7528060	6893560	6617080	7297340	6489400	6874760	6736390	6666830	7136180
P29131	4273270	3621450	3959960	3551490	3642710	3921400	3729740	3628630	3711790	4046640	3734120	3671800	3760010	3667340	3708290	3878520	3650420	3544330	3932280	3806150	3705190	3744690	3732470	3720210
P38038	19611800	19425900	21156500	20027400	19838500	19466900	18911000	18759200	19997300	20088800	24673300	25143100	20239200	24000200	24183600	21854400	23262000	23445600	22963500	25379300	19432700	19255300	27121800	23325400
P15639	25664800	31420700	28194500	30565600	29677400	25764100	31214600	28993500	29648400	24826100	34245700	33999300	30628400	34086400	34403700	33386500	33850900	33492100	34851400	34786500	28777000	30681100	34626200	33993600
P37908	543007	520553	515481	595556	540425	569808	534556	520963	536924	542706	597323	552921	551524	616076	548346	549838	584475	582100	566041	561180	479134	542849	596234	538895
P37641	291782	316543	282456	302196	280691	275544	305308	284927	309867	307051	268507	282309	312913	299462	274698	298191	316325	305017	307181	304075	278071	311675	270882	291415
P09832	30172400	32176900	29914500	32866400	31605400	30547100	32226600	28418500	29349700	29723400	78212600	76917600	77334700	77373800	74636200	74976100	77427700	80130900	76995900	76457000	33937600	32793600	79632000	77601900
P75960	10377200	10552600	10864000	10668100	10338200	11259300	10285900	9462630	9603570	10333200	9332250	9188920	9961860	9390610	9163210	9422960	8819000	9056360	9307480	9360720	10051800	10236100	9163300	9245810
P31224	6736310	7231290	6692360	6838120	6976340	6069560	6861330	7015150	6848100	6504550	7193430	7058460	5680230	6898630	6734710	6126110	6701370	6689960	6223600	6634240	6705420	6332770	6893890	6903620
P0A8Y5	6137740	6026100	6108950	6102450	6117700	6124260	6058590	6158280	5894880	5752920	9344990	9678210	9253250	9683000	9228010	9509780	8771880	9164850	8994090	9438300	5908790	6171550	9573600	9384830
P05458	3108820	3180120	3003340	3118420	3142980	3033760	3111730	3162890	3082640	3138160	3061560	3203100	2812870	3128440	2935600	2821070	2909820	3051220	2910980	2909770	2977660	2970580	3130730	3128140
