file	lab	condition
CVT09_QC1_LabE_X023	lab_E	Glu
CVT09_QC2_LabE_X024	lab_E	Pyr
CVT09_QC3_LabE_X025	lab_E	Pyr
CVT09_QC4_LabE_X026	lab_E	Glu
CVT09_s3_X002	lab_E	Pyr
CVT09_s10_X003	lab_E	Pyr
CVT09_s13_X004	lab_E	Pyr
CVT09_s16_X005	lab_E	Pyr
CVT09_s25_X006	lab_E	Pyr
CVT09_s28_X007	lab_E	Pyr
CVT09_s31_X008	lab_E	Pyr
CVT09_s36_X009	lab_E	Pyr
CVT09_s41_X010	lab_E	Pyr
CVT09_s50_X011	lab_E	Pyr
CVT09_s55_X012	lab_E	Glu
CVT09_s59_X013	lab_E	Glu
CVT09_s61_X014	lab_E	Glu
CVT09_s67_X015	lab_E	Glu
CVT09_s73_X016	lab_E	Glu
CVT09_s77_X017	lab_E	Glu
CVT09_s84_X018	lab_E	Glu
CVT09_s90_X019	lab_E	Glu
CVT09_s93_X020	lab_E	Glu
CVT09_s99_X021	lab_E	Glu
