rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0A8D6	2883020	2721390	2781580	2430560	2758880	2888910	2903070	2862840	2827980	3058050	2773740	2668060	2513010	2795490	2426100	2652560	2724430	2444840	2593710	2598030	2787530	2603210	2578620	2728760
P0AAX3	1595610	858391	825367	1451430	1206320	804437	862400	590423	497273	695862	758094	824941	792583	704027	1598400	2124750	1721690	1651210	1434840	1704730	1568630	1704120	1502360	1555040
P06993	809773	656984	670784	898657	647320	588092	669313	541971	747140	640025	600008	636251	542991	513352	753556	884570	687434	753350	750784	886710	821613	912022	822618	844205
P00959	13074700	10289900	9798780	12919400	10858000	8340100	10645100	9926140	9485940	9097580	9122430	11376800	11138900	9308960	12905300	12856300	12782100	13632900	13233300	13199700	12919800	13420000	13129200	13082800
P0AEQ1	789822	1575790	1564130	659399	1567320	1707750	1579580	1533600	1566720	1492620	1475020	1369360	1309390	1379470	720684	746683	794053	714408	744248	792402	746849	738735	667398	752358
P25738	5441240	9102280	8602700	5385470	7972120	11847500	8353310	9635770	10502600	10684200	11467500	7818100	7521280	9703690	6797740	5167670	7692070	6059470	6128940	6464700	5246640	5630290	5756490	6010680
P64596	6039800	6781540	6688010	5910750	7346830	6123300	7271730	6940810	6892310	6468980	6470560	7451690	7363540	6296030	6186530	6208130	5862610	6157840	6089390	6275290	6087150	5946760	6054430	6135340
P00452	7489800	7139470	6913190	7328400	7386630	5816270	8183490	6732360	8016780	6217250	6427220	8384230	7245220	5912650	7456010	7442150	7039440	7900550	7646400	7396310	7099890	7648660	7635220	7519290
P0AEG4	10288700	11946600	12405400	9873120	10831500	13271600	11877100	11668100	11809200	12416900	12577900	10220600	10533000	11682300	11167800	9504630	11251200	9737490	10406300	9506520	9789070	9740960	10232900	10368100
P19934	376676	438471	416372	405574	402639	444960	385436	420073	421365	459535	417948	364682	413617	412807	358883	351008	400480	353166	346628	343783	341934	347727	384155	382862
P0A8I8	1610840	1434700	1456050	1568700	1394000	1506060	1591060	1396390	1374730	1287390	1444820	1572930	1447870	1437140	1644150	1431010	1663600	1599730	1644230	1574940	1553510	1504550	1627710	1604910
P0A8T7	27276100	23059000	22370000	26188300	23192500	21180400	23761800	22629400	23710400	21909300	21809400	24821600	24122300	22811900	25847200	26323700	26650700	27085200	27617600	25700900	25488400	27028900	26891100	27127200
P0A794	3127750	3836740	3500610	3388580	3873860	3369950	3781310	3743320	3617730	3623900	3460750	3870280	3896490	3593090	3175250	3371500	3151380	3281920	3200960	3228290	3039140	3286540	3256710	3264530
P0A7J3	161927000	139927000	134558000	164819000	137772000	146040000	131144000	142667000	132486000	137513000	145436000	134475000	131373000	141964000	172602000	175414000	173044000	160551000	163070000	159528000	161301000	152551000	159078000	158309000
P00935	6751780	6541690	6400230	7231020	7480910	6250400	7001870	6438630	6088330	6007300	6154350	7592430	7986930	6069100	6765850	6266380	7279480	6306840	7173980	6824980	6754700	6764840	6881770	6966740
P0AG84	2422010	3959880	4205320	1955160	3478040	5522740	3962510	4205590	5206810	5633270	5344460	3036770	3323210	5078640	2371710	1893230	2726240	2065750	2256490	2333090	2565100	2305780	2562010	2528620
P0A9M8	15662800	22074600	21090600	16660300	21894700	20322900	22642600	22376100	22124100	21572500	21456100	22598900	22709300	23054200	13891200	13917000	13793100	12569100	14350800	14384200	14726100	14578700	15325900	13964700
P0A9Q7	124107000	22129500	21678800	121865000	18904600	22066900	21415000	19802600	25346300	22826100	22474400	18611400	15568000	21369400	111141000	103457000	111979000	89712200	119750000	113789000	112254000	121002000	124759000	117668000
P67087	8787800	10239700	9885070	8983770	10438300	9525750	9545520	10046600	9563680	9899420	9821450	10041400	10590500	9674420	9214670	8912830	8492190	8717740	8864240	8900880	9350330	8767170	8451630	8815380
P0AEJ2	7187820	5171910	5415320	5774060	2999930	6012710	6070450	5990210	6477990	6086180	5207880	2958900	2365120	5534250	5157800	8810490	7422810	6563440	4860110	7659440	6170430	9132570	5891220	7535400
P08142	4444340	5539380	5445730	4455710	5566890	5137690	5042400	5281210	5226490	5330310	5337300	5597730	5249560	5308080	4702150	4402050	4894680	4862670	4873220	4705590	4705300	4695360	4743230	5087840
P76576	10693600	10498800	10401000	10550400	10579100	10553100	10413800	10526100	10396000	9952880	10547200	10676000	11086000	10010100	11049300	9429250	10450700	10358600	10513300	10068200	10332600	10390100	11176600	10603800
P0AET8	4530850	5716570	5423300	4505930	5773220	5062400	5927160	5512250	6014940	5676140	5599490	5867630	5643840	5826990	4746320	4779490	4804590	4725660	4821160	5038320	4757420	4894930	5028040	4736290
P25888	1622620	495150	583209	1373710	433530	537376	537247	490073	491937	495776	514730	410165	422884	556682	1515310	1372430	1719570	1460940	1601000	1432370	1555520	1339050	1423750	1523400
P16659	8161920	7621340	7357740	8050080	7829240	6574280	7649300	7043970	7090690	6943510	6768970	7990670	7971660	7097690	7930010	7802530	7855930	8097500	8208810	7804430	7715300	7956830	7921910	7902990
P0ABQ0	977754	1252520	1186510	1007120	1327820	1077680	1296820	1216320	1219760	1172570	1132990	1243130	1300920	1124040	955914	960957	938388	895778	952035	956906	964184	934349	946912	946629
P0ADC3	650568	506186	561355	577420	506172	507547	565548	489809	558565	566750	565840	542908	498247	481248	554486	576269	635368	544122	625173	566011	623885	686581	633164	664063
