rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P76071	3
A5A614	1
A5A621	2
O32583	1
P00350	65
P00363	55
P00370	51
P00393	35
P00448	19
P00452	47
P00490	59
P00509	48
P00547	22
P00550	18
P00561	97
P00562	39
P00579	32
P00579;P13445	1
P00582	66
P00634	16
P00722	2
P00803	17
P00805	17
P00811	13
P00816	1
P00861	14
P00864	118
P00887	17
P00888	26
P00888;P0AB91	1
P00893	48
P00894	14
P00895	39
P00903	2
P00904	20
P00909	23
P00914	6
P00926	9
P00934	49
P00935	8
P00936	10
P00944	1
P00946	23
P00954	26
P00956	95
P00957	98
P00959	67
P00960	19
P00961	87
P00962	59
P00963	22
P00968	117
P02358	29
P02359	39
P02413	15
P02916	1
P02918	27
P02919	29
P02924	6
P02925	22
P02929	14
P02930	29
P02931	31
P02931;P02932;P21420	1
P02932	1
P02942	1
P02942;P07017	1
P02942;P07017;P07018;P50466	1
P02943	26
P03004	23
P03007	3
P03018	18
P03023	7
P03024	7
P03030	1
P03813	10
P03817	3
P03819	10
P03841	9
P04036	22
P04079	56
P04128	4
P04335	29
P04391	11
P04391;P06960	18
P04395	3
P04425	27
P04693	24
P04805	48
P04816	23
P04816;P0AD96	2
P04825	53
P04846	13
P04949	1
P04951	16
P04968	39
P04982	3
P04983	5
P04993	9
P04994	17
P04995	18
P05020	36
P05041	10
P05042	23
P05050	1
P05055	70
P05100	1
P05194	22
P05458	45
P05459	34
P05523	3
P05637	12
P05704	1
P05706	2
P05719	18
P05791	39
P05793	99
P05804	1
P05824	1
P05825	43
P05827	4
P05852	12
P06129	32
P06134	2
P06136	6
P06149	45
P06282	7
P06610	13
P06611	2
P06612	68
P06616	21
P06709	7
P06710	28
P06715	31
P06720	3
P06721	17
P06722	3
P06846	8
P06959	75
P06960	9
P06961	18
P06965	1
P06966	5
P06968	2
P06971	44
P06974	1
P06983	16
P06986	17
P06987	30
P06988	20
P06989	5
P06992	9
P06993	24
P06996	54
P06996;P21420	1
P06999	23
P07000	8
P07001	29
P07003	37
P07004	33
P07012	31
P07013	6
P07014	33
P07017	1
P07018	1
P07021	2
P07023	30
P07024	35
P07026	1
P07102	13
P07109	9
P07117	4
P07118	97
P07330	1
P07363	1
