rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
P0A8D6	16850800	14676700	15878600	17396800	18112200	16048100	16207200	13482900	17125200	16257300	15362400	11854400	10691500	11819100	11030700	11735100	11063400	11405300	11788300	12421700	10046100	10041200	11409400
P0AAX3	5620260	4103730	3494310	3630600	4965620	4358300	3147060	2759520	4369350	4535020	3884930	6095680	4739210	6172470	4502950	6106940	3566690	5324790	4994960	4532410	4914520	5218170	5421260
P06993	1260950	1166990	1545180	1479460	1230790	1171940	1668220	1343560	1411310	1366770	1403980	1515800	1600730	1709960	1669550	1760170	1804920	1991890	1824900	1815200	1640570	1831210	1772290
P25738	156618000	117593000	104742000	137694000	115583000	135539000	216220000	70703600	165238000	135293000	130706000	69333100	68795700	77108500	79089300	84574800	62338000	78459100	71800100	81000800	81209600	73660400	78353500
P00452	15432600	16157200	17425200	18027100	13824200	15189100	19108800	19359000	16727900	17417900	18345200	11972000	14782400	15279400	16745400	17910700	19677900	15726100	15852700	12447600	12890700	14595500	15351100
P0AEG4	88203800	65828500	66633000	72832200	60549500	80161500	81745300	48725800	81328800	74001800	68766000	66519200	50341800	66247000	69486100	69982900	54701600	67277100	67679200	70236000	52965100	68716100	71500800
P19934	3456550	3202590	3137240	2955010	3086390	3118960	2730690	3001320	3210280	2873590	3059530	3242990	2759330	2843210	2556220	2892580	2455260	2793400	2872490	3045240	2225670	2473600	2268980
P0A8I8	2733280	2504640	3223470	2309290	2962740	2684040	2542650	3363550	2523790	2660760	2713180	3623560	3325670	3110490	2899280	3468130	3186120	3276590	3376610	3139640	3613550	3145120	3150850
P0A8T7	72408200	78163500	83128300	84450700	85177800	76711600	81333800	102476000	75800300	81727000	83786300	79869300	94973300	95282800	106489000	105800000	118955000	100636000	98747900	79753600	92115000	99647900	104794000
P0A794	13870600	16693800	16289800	13263500	18490800	15160900	12429300	19108400	15104500	15250300	14872900	13657300	15114900	14156700	12862200	13017200	14182900	13606800	12870600	13966400	12652500	12437800	12621900
P0A7J3	880850000	859489000	778725000	793959000	846254000	828953000	772585000	635080000	796602000	758417000	741859000	1090300000	798972000	875112000	764504000	768919000	692442000	815072000	878089000	914086000	731342000	940045000	988911000
P00935	14311400	13631700	15531600	13662200	31228600	14236400	12373000	21284800	12739400	13756300	14723500	18147600	19068100	18013600	17968100	17450500	16824700	16882800	17465700	16534300	21748800	19337300	16075600
P12999	150062	243916	294865	149768	207493	121482	102936	273990	253637	NA	58377.3	312539	472226	243998	232347	249637	271121	321063	256000	226631	180567	144969	141868
P0AG84	12785100	13463800	14341600	21077800	11483100	14193200	21835900	10941100	18404900	15020300	15511500	9290730	8786700	8319500	10941200	9078300	10933600	9697090	10188800	8852510	8965770	7554190	9500140
P0A9M8	76302400	79575200	80581400	90802900	90669500	80252300	80433800	89216200	75890700	80918800	80487400	46736600	48183700	49800400	57365700	51924600	55522000	55391900	59498300	49056400	58924800	62025900	63057900
P77539	488158	383134	554753	504390	675260	527958	535070	546436	594396	473521	415707	300489	276040	289457	282002	355951	305429	358770	351900	404900	336744	272205	403565
P0A9Q7	33811500	37611000	41821900	54143300	37912700	45705600	57492500	44656400	48660700	47339700	50680700	245386000	254626000	270714000	321458000	273512000	338262000	307309000	317605000	248307000	298862000	323728000	321315000
P67087	7056890	6045660	5578940	4719630	6082110	5681630	4909340	5201720	5508570	5383900	5487600	5146940	4704230	4819540	4051550	4257490	3748190	4434350	4537780	5304740	4164680	4281700	4469180
P05042	10715700	11027100	14243600	7944330	13503800	10734400	8257890	14840600	10718100	11288000	11227900	4667290	5307270	5152360	4603310	4682640	4300960	4849330	4718540	5201250	4234480	4679670	4157450
P0AEJ2	15865300	17363100	20933100	48867600	19127600	21511700	27657300	11841700	23462200	24477800	27487800	36025800	43290500	42796400	32607100	36860100	42053600	40365000	34613700	46696700	41134900	32800600	39367900
P08142	21966800	25014600	27162200	19147600	27843100	24596400	22628800	30973700	23972100	25660300	24661100	23470600	28932600	26998400	27280100	26456600	28518900	27522100	28109900	24698800	25771800	24443500	25277000
P76576	11321500	10100400	10854400	7679480	11987900	10867800	9713240	11935500	11381000	10735600	9521410	9059220	7937500	10703300	8658450	9512420	11273900	10429800	10128700	10949200	8412240	9232310	8454350
P0AFI5	474304	476097	372070	547574	404945	458469	460053	431641	425679	508526	342576	703982	740717	687593	699910	753926	711472	700210	652519	844272	743353	703405	697341
P25888	1471370	1361820	1656590	1663260	1676820	1616030	1670940	1202030	1553590	1397040	1393820	6781340	7202580	6681240	6982770	7080630	6943540	6544050	7083740	6213580	5688600	5560110	7117850
P16659	25485300	26875100	28183400	23815600	27625100	25705000	24479000	29729000	24329000	26983700	26182200	24853500	29756600	30410100	33057800	31556700	31057900	32232600	30736700	27836800	28190500	30345200	31819200
P0ABQ0	4818040	5020940	5466460	4625100	5500140	5005840	4500460	5126530	4551270	4734530	5127150	3656740	4069410	4157380	3904800	3591690	3683020	4142930	4256710	4243160	3506340	3912490	4129070
P0ADC3	2420830	2651070	2852230	2380000	2402440	2296260	2769670	2201630	2546510	2304660	3024100	2351580	2491510	3061060	3320350	3195580	3093600	2913760	2801940	2825830	2634880	2921190	3169850
P10121	12070700	11930900	13010900	10746300	13217300	12340700	9990340	13149600	12103800	11631000	11749700	12656300	12484200	12524000	11128800	10504600	10611800	11577300	11669600	13051100	11875700	11851600	11339600
Q46871	9517920	8876270	10342800	16297800	11094100	10667100	14187500	7537780	12139800	11678600	11373400	11510900	12603200	13196000	11134300	12674300	12181900	11947200	10682000	11695300	9487300	8458040	11515600
P33667	656358	559467	694408	589653	782275	626452	452227	745341	663470	702020	547575	959000	892025	874196	828437	893873	869585	891802	861920	940914	910821	871228	743101
P76541	4473510	4420810	4856990	3622000	5595120	3857020	3271230	4466720	3383990	3888920	3806580	2855620	3391400	2851480	2895550	2488500	3045310	3114540	3218190	3289630	2934540	2732180	2576640
P60293	2476600	2561240	2779790	2676430	2781650	2636790	2551550	2690690	2529300	2784650	2766270	2605940	2627900	2866300	2843710	2774880	3002200	2781810	2873230	2605470	2559720	2623340	2755150
