file	lab	condition
20230516_EXPL1_LiSc_SA_S610_RT_25_s2	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_26_s9	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_27_s12	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_28_s17	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_29_s24	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_30_s30	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_31_s33	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_32_s38	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_33_s44	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_34_s48	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_35_s51	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_36_s56	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_37_s63	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_38_s68	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_39_s72	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_40_s80	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_41_s81	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_42_s89	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_43_s92	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_44_s96	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	lab_D	Pyr
20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	lab_D	Glu
20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	lab_D	Glu
