rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	10
A0A7H2C767	1
A5A613	1
A5A614	2
A5A621	1
O32583	1
P00350	57
P00363	49
P00370	52
P00393	40
P00448	25
P00452	60
P00490	63
P00509	50
P00547	27
P00550	22
P00561	92
P00562	49
P00579	35
P00582	75
P00634	25
P00722	10
P00803	18
P00805	22
P00811	18
P00861	26
P00864	89
P00887	19
P00888	25
P00893	37
P00894	15
P00895	32
P00903	4
P00904	30
P00909	35
P00914	13
P00926	16
P00934	47
P00935	20
P00936	32
P00944	4
P00946	28
P00954	25
P00956	94
P00957	96
P00959	61
P00960	21
P00961	82
P00962	50
P00963	27
P00968	109
P02358	18
P02359	29
P02413	18
P02916	5
P02918	37
P02919	39
P02924	10
P02925	24
P02929	13
P02930	43
P02931	42
P02932	1
P02942	1
P02943	25
P03004	32
P03007	7
P03018	30
P03023	14
P03024	13
P03030	4
P03813	16
P03817	5
P03819	14
P03835	1
P03841	11
P04036	21
P04079	66
P04128	11
P04335	34
P04391	26
P04395	11
P04425	23
P04693	24
P04805	42
P04816	32
P04825	71
P04846	15
P04949	3
P04951	24
P04968	42
P04982	6
P04983	17
P04993	22
P04994	20
P04995	23
P05020	38
P05041	19
P05042	21
P05050	4
P05052	1
P05055	60
P05100	2
P05194	18
P05458	52
P05459	44
P05523	8
P05637	14
P05704	1
P05706	2
P05707	1
P05719	25
P05791	46
P05793	79
P05804	4
P05824	1
P05825	44
P05827	8
P05852	14
P06129	36
P06134	3
P06136	8
P06149	62
P06282	13
P06610	16
P06611	4
P06612	68
P06616	16
P06709	12
P06710	37
P06715	34
P06720	8
P06721	20
P06722	4
P06846	13
P06864	1
P06959	80
P06960	8
P06961	24
P06965	1
P06966	9
P06968	5
P06971	46
P06974	1
P06983	18
P06986	27
P06987	25
P06988	27
P06989	8
P06992	16
P06993	41
P06996	64
P06999	30
P07000	14
P07001	35
P07003	37
P07004	33
P07012	28
P07013	7
P07014	20
P07017	2
P07018	1
P07021	6
P07023	37
P07024	40
P07026	1
P07102	14
P07109	18
P07117	5
P07118	81
P07330	1
P07363	2
P07395	70
P07604	34
P07623	22
P07639	19
P07648	26
P07649	15
P07650	31
P07658	1
P07762	43
P07813	84
P07821	12
P07822	3
P07862	17
P07913	11
P08142	31
P08178	22
P08179	14
P08189	3
P08190	3
P08191	2
P08192	23
P08194	1
P08200	68
P08201	7
P08202	9
P08204	1
P08244	21
P08245	4
P08312	34
P08331	44
P08337	5
P08365	1
P08368	6
P08369	1
P08373	13
P08390	17
P08394	30
P08395	20
P08400	10
P08401	9
P08506	41
P08622	23
P08660	32
P08839	59
P08956	64
P08957	38
P08997	53
P09029	18
P09030	26
P09053	23
P09099	13
P09126	9
P09127	30
P09147	25
P09148	21
P09151	64
P09152	53
P09153	1
P09155	11
P09158	19
P09163	5
P09169	43
P09184	2
P09323	20
P09348	1
P09372	23
P09373	98
P09391	3
P09394	13
P09424	29
P09546	50
P09549	12
P09551	32
P09831	128
P09832	55
P09833	6
P09835	5
P09980	27
P09996	3
P0A698	59
P0A6A0	22
P0A6A3	38
P0A6A6	41
P0A6A8	7
P0A6B4	18
P0A6B7	44
P0A6C1	21
P0A6C5	36
P0A6C8	29
P0A6D0	5
P0A6D3	31
P0A6D7	16
P0A6E1	13
P0A6E4	52
P0A6E6	12
P0A6E9	11
P0A6F1	33
P0A6F3	39
P0A6F5	72
P0A6F9	11
P0A6G3	12
P0A6G7	10
P0A6H1	46
P0A6H5	48
P0A6H8	11
P0A6I0	13
P0A6I3	22
P0A6I6	8
P0A6I9	8
P0A6J1	13
P0A6J3	2
P0A6J5	21
P0A6J8	28
P0A6K1	7
P0A6K3	14
P0A6K6	38
P0A6L0	20
P0A6L2	20
P0A6L4	10
P0A6L7	10
P0A6L9	10
P0A6M2	2
P0A6M4	5
P0A6M8	88
P0A6N4	14
P0A6N8	12
P0A6P1	55
P0A6P5	39
P0A6P7	15
P0A6P9	56
P0A6Q3	17
P0A6Q6	15
P0A6R0	22
P0A6R3	3
P0A6S0	4
P0A6S3	1
P0A6S5	3
P0A6S7	15
P0A6T1	50
P0A6T3	20
P0A6T5	20
P0A6T9	3
P0A6U3	29
P0A6U5	14
P0A6U8	19
P0A6V1	32
P0A6V5	5
P0A6V8	25
P0A6W0	9
P0A6W3	2
P0A6W5	21
P0A6W9	28
P0A6X1	14
P0A6X3	8
P0A6X7	14
P0A6Y1	12
P0A6Y5	15
P0A6Y8	90
P0A6Z1	37
P0A6Z3	66
P0A6Z6	5
