rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P0A8D6	4118780	4250920	4366490	4380910	4411880	4079310	4504890	4878880	4073490	4040900	3490150	3473990	3748550	3560750	3768630	3608450	3714880	3680940	3538870	3406480	4516130	4467990	3448420	3771490
P0AAX3	1122970	823705	1113080	952210	1144020	1059640	1026830	891198	1140730	955203	2042560	1981400	2076150	1406580	1973830	2128570	1864420	2004480	1884440	1525870	1289780	1250070	1888040	1888670
P06993	1593030	2297830	1638200	2037660	1948240	1622250	2003210	1871050	1918580	1455430	2141350	2111580	1938880	2110770	2041260	2403900	2433920	2442070	2556290	2413240	1951760	1899640	2422540	2095110
P00959	18804900	18218900	17566200	17614200	17948100	18176900	17276300	16142300	16442600	18737200	22401400	22907900	20359300	22276400	22496100	20164400	22731600	23402700	21869200	22523100	19782700	18231700	22563100	21489600
P37325	644439	627970	650549	589563	642897	621812	589810	560514	589629	637253	537154	551522	590455	536587	510967	560865	607861	559123	542508	566448	658733	626022	521017	518606
P0AEQ1	3595820	4276090	5173310	4709550	3681990	3883340	3970980	4021420	3741530	3284800	2203240	2114040	2289670	2079000	2368770	2351620	2306260	2297850	2120350	1799090	4483760	4234550	1927130	2280650
P25738	15546300	18050500	22392700	19072300	21058500	16705600	19994700	22751300	25945400	14836000	11169500	13304400	10601600	9283940	11856900	13125100	11142500	11275500	11480600	9183380	15450100	16109700	10079200	9668550
P64596	8685210	9098430	8391650	8946220	8740220	8185130	8723190	9427070	9090890	8580020	6605190	6702410	6542470	6686020	6562070	6497290	6597210	6378480	6283380	6663120	9493360	8975600	6798810	7032580
P00452	14240000	17413000	14628400	15867900	16105000	14179000	16762700	16070200	15170500	14626500	13768000	13277500	11440800	14697800	13005700	12174900	13394200	13675700	13196500	13340500	17092300	15419100	13657400	13035000
P0AEG4	35736600	41650300	45757900	42401100	42408800	38824800	42926700	41380900	41706400	38403000	43838800	46088600	46699900	39938900	45487400	46371700	45869100	43131300	45770400	43079700	39613700	40496800	42808500	44023700
P19934	1637480	1339530	1412840	1435290	1418320	1438560	1390140	1500220	1550250	1591640	1260840	1331570	1352190	1333800	1338370	1390000	1376860	1312770	1447990	1311410	1414170	1334590	1332180	1427470
P0A9B2	322648000	380510000	327854000	389070000	399577000	353979000	378088000	386001000	382510000	334928000	879836000	772952000	879919000	854611000	845845000	827138000	984707000	875580000	923678000	896913000	406410000	422574000	883356000	943071000
P0A6A6	109106000	108747000	102977000	107785000	102410000	112110000	100235000	101849000	97935000	106995000	157747000	147617000	140491000	151274000	142749000	132738000	158853000	157808000	148405000	153458000	106940000	103111000	151750000	139790000
P0A8I8	1883610	1888920	1850230	1862780	1671090	1999290	1779130	1609650	1530060	1818150	1789030	1811060	1777960	1807190	1845110	1708280	1780690	1759450	1746540	1827820	1747780	1724710	1802330	1829500
P0A8T7	53974800	57004800	49573500	55608000	56188000	54514800	54862200	55550400	54418500	56744000	61475000	58251600	51621800	62520000	57238500	52985900	61375900	58023600	57191400	59193800	56934000	56646600	61317900	61716500
P0A794	9309010	8694590	8731900	9219130	8432900	9824440	8724630	8372650	7521630	9483010	7908220	7394630	8884290	8108060	7654100	7579580	8420430	7751680	8013170	8148370	8762630	9694730	7865580	7320470
P0A7J3	249716000	259814000	314852000	243998000	263939000	259884000	265382000	241229000	212665000	254121000	327667000	369492000	338303000	331019000	356502000	343065000	316541000	367994000	337443000	316182000	265533000	248464000	319749000	336064000
P00935	12962200	12669200	12595200	12319300	10851900	13984600	11731800	11565500	12314200	13117400	11443800	10741800	9729230	11182000	12008700	10811400	11968700	11966700	12205900	12619900	12413900	11965300	12479700	11408600
P0ACF4	185280000	177662000	245668000	203516000	177558000	209625000	182399000	190669000	195289000	215815000	130684000	134088000	152338000	129858000	146810000	147813000	154107000	126211000	150062000	135508000	171668000	187125000	134715000	136930000
P12999	40704	23797.1	30720.6	NA	23244.4	38253.8	NA	31324.7	38267.1	NA	56288.1	42053.5	29260.2	35676.5	NA	27114	38084.4	33652.6	29059.9	41031.5	24501.7	NA	NA	22491.2
P0AG84	11459400	14126200	10224500	14331800	15935500	10477400	15020600	21066400	18616600	11312700	8337950	7645750	6333140	8018830	7623030	8513750	8812660	8416060	7620460	7310500	12615900	13765100	6633030	8378850
P0A9M8	38522500	41079600	36850400	41293200	40050600	38935300	40352600	41008300	40535400	41085800	23839600	21841100	22178300	23824300	24881800	23621700	27388500	25315900	29880700	31770800	40227000	42712700	29777100	28553800
P77539	214587	266685	224842	252639	174656	212573	212550	154416	153114	152689	72554.4	95433.7	95437.1	81244.8	81770.8	129639	65666.8	112570	86534.5	97950	185315	178999	73121.2	84586.6
P37617	968402	1095520	785377	875507	897767	965563	902873	1088030	1017580	1021580	669588	544390	521901	749383	685043	768590	771948	609825	791226	766592	787074	901626	733001	737722
P0A9Q7	23091100	32588200	22213900	28958500	34559700	19939200	33543100	36393900	34765200	21945600	152166000	143485000	124033000	142539000	155408000	153477000	178585000	167113000	181980000	183583000	32860400	31938300	182805000	179560000
P67087	3612610	3152620	3506160	3160420	2893740	3718730	3111570	2970160	2813100	3652810	2922990	2740470	3128840	2840150	2884080	3030800	3025900	2898630	2900790	2754110	3142100	3106650	2728860	2766810
