rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	9
A0A7H2C766;P75960	10
A0A7H2C767	2
A5A613	3
A5A614	2
A5A621	2
O32583	4
P00350	40
P00363	36
P00370	33
P00393	25
P00448	15
P00452	43
P00490	45
P00509	32
P00547	16
P00550	16
P00561	57
P00562	42
P00579	34
P00582	51
P00634	12
P00803	16
P00805	19
P00811	12
P00861	18
P00864	68
P00887	14
P00888	18
P00893	26
P00894	11
P00895	31
P00903	3
P00904	22
P00909	26
P00914	9
P00926	13
P00934	31
P00935	16
P00936	19
P00944	1
P00946	21
P00954	22
P00956	61
P00957	57
P00959	44
P00960	13
P00961	60
P00962	43
P00963	15
P00968	78
P02358	10
P02359	17
P02413	10
P02916	5
P02918	31
P02919	33
P02924	4
P02925	16
P02929	10
P02930	27
P02931	24
P02942	4
P02943	16
P03004	19
P03007	5
P03018	23
P03023	9
P03024	12
P03813	13
P03817	6
P03819	8
P03841	10
P04036	21
P04079	48
P04128	6
P04335	27
P04391	9
P04395	7
P04425	19
P04693	20
P04805	29
P04816	24
P04825	44
P04846	10
P04949	9
P04951	17
P04968	29
P04982	5
P04983	12
P04993	8
P04994	18
P04995	18
P05020	18
P05041	13
P05042	24
P05052	1
P05055	38
P05194	16
P05458	40
P05459	29
P05523	4
P05637	13
P05704	1
P05706	4
P05719	16
P05791	30
P05793	48
P05804	1
P05825	35
P05827	3
P05852	13
P06129	30
P06136	4
P06149	40
P06282	5
P06610	11
P06611	5
P06612	48
P06616	13
P06709	8
P06710	23
P06715	23
P06720	9
P06721	16
P06846	10
P06959	44
P06960	15
P06961	19
P06966	7
P06968	7
P06971	41
P06974	1
P06983	16
P06986	24
P06987	19
P06988	19
P06989	11
P06992	11
P06993	30
P06996	27
P06999	20
P07000	9
P07001	23
P07003	29
P07004	25
P07012	21
P07013	5
P07014	16
P07017	2
P07018	1
P07021	7
P07023	29
P07024	25
P07102	9
P07109	9
P07117	2
P07118	61
P07363	3
P07395	50
P07604	29
P07623	16
P07639	18
P07648	12
P07649	7
P07650	26
P07658	2
P07762	34
P07813	59
P07821	12
P07822	1
P07862	15
P07913	9
P08142	29
P08178	15
P08179	14
P08189	1
P08190	3
P08191	3
P08192	15
P08200	37
P08201	11
P08202	4
P08204	1
P08244	17
P08245	4
P08312	22
P08331	32
P08337	5
P08368	7
P08373	11
P08390	16
P08394	13
P08395	17
P08401	2
P08506	24
P08550	1
P08622	22
P08660	24
P08839	50
P08956	50
P08957	26
P08997	42
P09029	13
P09030	19
P09053	19
P09099	6
P09126	9
P09127	25
P09147	17
P09148	14
P09151	40
P09152	44
P09155	9
P09158	10
P09169	25
P09323	15
P09348	1
P09372	15
P09373	57
P09391	2
P09394	6
P09424	23
P09546	44
P09549	11
P09551	26
P09831	88
P09832	42
P09833	5
P09980	17
P09996	4
P0A698	44
P0A6A0	14
P0A6A3	22
P0A6A6	26
P0A6A8	4
P0A6B4	12
P0A6B7	29
P0A6C1	10
P0A6C5	27
P0A6C8	18
P0A6D0	6
P0A6D3	26
P0A6D7	13
P0A6E1	9
P0A6E4	35
P0A6E6	7
P0A6E9	11
P0A6F1	19
P0A6F3	29
P0A6F5	42
P0A6F9	5
P0A6G3	11
P0A6G7	9
P0A6H1	32
P0A6H5	33
P0A6H8	15
P0A6I0	11
P0A6I3	17
P0A6I6	8
P0A6I9	7
P0A6J1	9
P0A6J5	19
P0A6J8	20
P0A6K1	8
P0A6K3	12
P0A6K6	23
P0A6L0	18
P0A6L2	14
P0A6L4	11
P0A6L7	8
P0A6L9	9
P0A6M4	7
P0A6M8	46
P0A6N4	7
P0A6N8	8
P0A6P1	30
P0A6P5	30
P0A6P7	12
P0A6P9	30
P0A6Q3	12
P0A6Q6	14
P0A6R0	17
P0A6R3	3
