rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	165628.734375	186718.953125	213989.5625	195900.703125	236500.71875	223468.78125	215625.171875	219263.359375	242022.96875	196642.734375	195616.796875	239123.625	206571.4375	204045.171875	189501.78125	208781.84375	167087.546875	177008.34375	148073.109375	185458.421875	188532.53125	177927.34375	162898.8125	167492.71875
A0A7H2C766;P75960	572828.9375	765929.5625	657064.5	599596.5	781093.375	795321.4375	773496.5	770156.9375	717778.25	703641.375	675316.0625	713869.4375	771463.25	686703.375	551810	643723.4375	590295.3125	612368.5625	611207	574753.0625	560754.375	479211.1875	565495.4375	558646.5625
A0A7H2C767	3063.170654296875	2539.50732421875	3408.370849609375	2828.89501953125	2129.208251953125	2662.318603515625	3077.812744140625	3129.80078125	2643.9052734375	3125.266357421875	3414.341552734375	2674.714599609375	2924.75244140625	3280.57177734375	2302.186767578125	1834.8985595703125	1871.90283203125	2013.64404296875	2201.7529296875	1997.243896484375	2649.7998046875	2306.83740234375	2235.052978515625	1832.6123046875
A5A613	50686.0390625	70481.75	62410.6484375	66938.046875	83611.4765625	43606.71484375	68903.15625	72590.9765625	76336.765625	59797.75	51010.3515625	68014.2578125	74935.6484375	50797.00390625	49341.578125	50924.9140625	49488.7734375	41582.58203125	45259.5234375	46637.34765625	47559.62109375	42794.5390625	48236.7578125	43102.3359375
A5A614	8271.0859375	12732.71484375	63503.5546875	10977.0673828125	26045.365234375	14361.8251953125	12405.2705078125	18299.43359375	9101.591796875	16686.27734375	12591.00390625	10172.275390625	11406.5625	20714.33984375	5142.1904296875	4751.27587890625	3686.67626953125	4534.77978515625	8350.359375	4524.37646484375	7875.73291015625	8365.0546875	7694.57421875	6928.26806640625
A5A621	28366.89453125	16534.19140625	10292.4453125	26064.591796875	9308.4794921875	22178.548828125	5171.57177734375	9473.75	9932.1875	12476.4453125	13214.6767578125	3131.901611328125	8981.943359375	12379.2314453125	16010.5576171875	14896.8974609375	16668.673828125	11555.66015625	14530.2158203125	14907.1328125	7041.63671875	10223.171875	9244.2314453125	11447.0185546875
O32583	53104.86328125	124693.1953125	119085.8125	64068.76953125	76723.6328125	108894.234375	98647.140625	121436	131648.046875	99758.703125	117707.9921875	78794.3046875	48320.68359375	120129.5859375	63194.95703125	64987.640625	34448.77734375	46637.90234375	51847.99609375	42649.11328125	45975.015625	51489.11328125	28689.189453125	40444.046875
P00350	31572352	25073910	25818728	31405184	27270246	22736004	26935824	24256476	22930252	22426980	24255860	27819098	27177982	24192578	30455888	32921060	29750610	32015662	32233298	31404458	31163188	31566584	30967258	31065214
P00363	3403049.75	3858561.25	3922799	4196773	4218165	3243889.75	3646388.75	4099826.75	2745741.5	3028577.25	3291093.75	4370125.5	4852972.5	3710254.75	3214943.25	3201871.25	2723103	3215103.5	3528463.5	3093363.25	3140632.5	3273360.25	3462414.5	3074005
P00370	22237936	15719429	13931837	26303488	17548610	12749861	15567473	15692080	13201967	13981106	14319631	18368604	19849430	16851734	21731820	22742342	21172446	20273872	22792456	22587528	21677776	22325800	23896230	20188020
P00393	2755690.75	2458078.75	2652847.75	2831496.5	2501044.5	2235449.5	2705327.5	2166237.5	2734055.75	2173197.75	2237120.75	2485230.75	2335189.5	1980768.375	2734810.25	2632120.75	2852096.5	2561323	2672690.5	2705579	2748560.75	2783317	2675515	2665822.75
P00448	10830980	20750384	21953446	10035103	14446659	30410274	20251166	19710020	23408620	23827208	22217616	14965812	15473038	19821432	10171439	13210817	10570257	11802653	9488258	11957946	11461362	12884657	10683964	13005701
P00452	4048760	3927448	3891137.25	4006712	4078086.75	3512574.75	4396795	3648556	4503087	3658659.5	3535527.25	4455428	3883264.75	3315089.75	3952380	4112199.25	3869999	4260663	4127721.5	4051111	4069461	4182602.25	4142296	4244797
P00490	5917688.5	3150557.5	3202721.75	5525454	2924875.25	2765301.5	3236158	2922353.25	3483100.75	3185821	3151512.25	3100928.75	2709581	3029483	5301203.5	5418854	5554684.5	5207277	5669866.5	5803965.5	5892669	6272490.5	5795083	5830812.5
P00509	21670340	23226278	24315976	21593746	25341488	21131612	25795404	22301118	23766738	21750348	21393174	25692896	21806450	20831596	21718284	23279280	21049304	23037256	21896270	21756790	21793700	22158206	21469534	21368730
P00547	5299174	6573377	6571178.5	5232721.5	6466004	7830405.5	6681378	7929625.5	7700118	7885582.5	8065309.5	6561413	7586558	8513757	5123129	5655203.5	5272426.5	5176851	5134125.5	5314353.5	5246414.5	5326910	5301234.5	4969904.5
P00550	912514.625	1193337.25	1129402.5	824348.1875	1216767	1300456.375	1160063.125	1181093.375	1212332	1221668.875	1230254	1075978.375	996206.375	1153026	885968.3125	907819.0625	936253.75	921776.4375	868870.5	900425.0625	919701.6875	926861.875	888404	968916.125
P00561	51092704	49110912	50410648	49045328	50822640	49328948	58879544	57739404	59878300	54949000	52555764	58223848	62147868	59154876	47687916	50967372	46251812	50508296	49648752	49932312	49278460	51872032	49022892	49016424
P00562	3314993.25	2317747.25	2223111	3781117.25	2729625.25	2086468.625	2258084.5	2227275.75	2101351.25	2161897.25	1951002.75	2478407.5	2929165	2091468.75	3420307	3347024	3599339.5	3281292.25	3603978	3368763.5	3500487.25	3568615.5	3432571.5	3564806.75
P00579	5138421.5	4770104	4367098	5063309	4814388.5	4512848	4721227.5	4776853.5	4597828.5	4672875	4679579.5	5007568	4995806	4884817.5	5121142.5	5401149.5	5127876.5	5268975.5	5021196	5059355	5316711.5	5264318	5108178	5083906
P00582	3612736.5	4130284.25	3872746.25	3552692.75	3820876.75	3971745	4130055.5	3723971.5	4117796.25	4065182.25	3974424.5	4191292.75	3783636	3763292.75	3646741.75	3663274.75	3577632	3788158.5	3829321.75	3452250.5	3551873.75	3676252.75	3704404.75	3633145.5
P00634	424608.15625	568714.0625	616084.625	403634.875	465866.03125	786178.9375	597380.5	584151.375	666212.3125	630409.75	730888.4375	539240.9375	486912.40625	634242.3125	424071.125	433847.3125	409133.53125	379773.3125	381850.03125	389013.625	388312.53125	432251.40625	389904.15625	357244.59375
P00803	931609.125	958321.375	950125.8125	911101.8125	965266.9375	977318.375	972442.1875	964939.5625	971042.8125	980158.25	1029081.4375	1002150.8125	1007730.1875	969206.4375	898241.5625	860663.25	958032.875	919443.8125	918461.3125	838833.3125	918042	897888.5	915508.6875	919142.25
P00805	842054.375	3026702.75	3123249.25	1158894.5	3240619.75	2764758.75	2855596	3481303.75	1730353	2387795.75	2613405.25	2962582.5	3971177.5	3059977	889630.9375	801827.375	754316.125	558843.75	843201.0625	877447.9375	854234.25	870361.25	950460.875	710963.75
P00811	190289.984375	156120.4375	190654.484375	148585.03125	141692.1875	155067.53125	159726.5	154388.5	161772.828125	158076.296875	136465.890625	136150.53125	156567.953125	134976.28125	147410.375	164131.765625	154170.21875	186572.875	159712.15625	160420.96875	150266.640625	157976.5	158803.140625	165421.53125
P00861	1418845.25	894699.75	817433.1875	1409888.625	992447.5625	561079.0625	929821.0625	894169.0625	881877.875	838886.9375	777642.4375	926058.8125	884013.25	746460.6875	1424337.375	1514654.875	1331018.875	1549356	1446850.5	1459046.375	1401078.875	1410697.125	1476784.25	1374808.25
P00864	41455816	16042740	15118107	44581728	16873872	12852248	15912723	15365505	14969188	13906611	13775419	17085730	16668574	14304547	39176828	39935792	37039832	42546968	42545588	42437464	41988172	43554208	42819764	40092628
P00887	996351.4375	1072970.375	1025699.4375	1127397.125	1203603.75	940630.125	990162.25	1028163.1875	938761.25	986214.3125	910213.875	1070386.125	1036591.75	977606.75	1009755.875	991147.375	910838.0625	1111064.875	1032045.5	997292.8125	1026263.1875	953112.625	1020800.5625	895153.625
P00888	3343873.75	6538150	6591009	4158163.75	5889714	7434979	6362178.5	5569426	6813392	6843316	6375726	6055122	4422343	5895657.5	3849549.75	3132812.75	3408322.25	3284118.25	3837840.5	3050029.75	3404001.25	3006819	3466256.25	3243792.75
