rowname	Sample	Dataset	Normal	Tumor
ccRCC_80_TA	ccRCC_80_TA	PXD030344	1	0
ccRCC_196_TA	ccRCC_196_TA	PXD030344	1	0
ccRCC_132_TA	ccRCC_132_TA	PXD030344	1	0
ccRCC_36_TA	ccRCC_36_TA	PXD030344	1	0
ccRCC_109_TA	ccRCC_109_TA	PXD030344	1	0
ccRCC_19_TA	ccRCC_19_TA	PXD030344	1	0
ccRCC_225_TA	ccRCC_225_TA	PXD030344	1	0
ccRCC_155_TA	ccRCC_155_TA	PXD030344	1	0
ccRCC_156_TA	ccRCC_156_TA	PXD030344	1	0
ccRCC_214_TA	ccRCC_214_TA	PXD030344	1	0
ccRCC_230_TA	ccRCC_230_TA	PXD030344	1	0
ccRCC_208_TA	ccRCC_208_TA	PXD030344	1	0
ccRCC_216_TA	ccRCC_216_TA	PXD030344	1	0
ccRCC_161_TA	ccRCC_161_TA	PXD030344	1	0
ccRCC_158_TA	ccRCC_158_TA	PXD030344	1	0
ccRCC_157_TA	ccRCC_157_TA	PXD030344	1	0
ccRCC_146_TA	ccRCC_146_TA	PXD030344	1	0
ccRCC_145_TA	ccRCC_145_TA	PXD030344	1	0
ccRCC_138_TA	ccRCC_138_TA	PXD030344	1	0
ccRCC_144_TA	ccRCC_144_TA	PXD030344	1	0
ccRCC_192_TA	ccRCC_192_TA	PXD030344	1	0
ccRCC_39_TA	ccRCC_39_TA	PXD030344	1	0
ccRCC_97_TA	ccRCC_97_TA	PXD030344	1	0
ccRCC_98_TA	ccRCC_98_TA	PXD030344	1	0
ccRCC_181_TA	ccRCC_181_TA	PXD030344	1	0
ccRCC_133_TA	ccRCC_133_TA	PXD030344	1	0
ccRCC_17_TA	ccRCC_17_TA	PXD030344	1	0
ccRCC_54_TA	ccRCC_54_TA	PXD030344	1	0
ccRCC_187_TA	ccRCC_187_TA	PXD030344	1	0
ccRCC_62_TA	ccRCC_62_TA	PXD030344	1	0
ccRCC_205_TA	ccRCC_205_TA	PXD030344	1	0
ccRCC_207_TA	ccRCC_207_TA	PXD030344	1	0
ccRCC_46_TA	ccRCC_46_TA	PXD030344	1	0
ccRCC_86_TA	ccRCC_86_TA	PXD030344	1	0
ccRCC_95_TA	ccRCC_95_TA	PXD030344	1	0
ccRCC_89_TA	ccRCC_89_TA	PXD030344	1	0
ccRCC_91_TA	ccRCC_91_TA	PXD030344	1	0
ccRCC_153_TA	ccRCC_153_TA	PXD030344	1	0
ccRCC_139_TA	ccRCC_139_TA	PXD030344	1	0
ccRCC_154_TA	ccRCC_154_TA	PXD030344	1	0
ccRCC_209_TA	ccRCC_209_TA	PXD030344	1	0
ccRCC_204_TA	ccRCC_204_TA	PXD030344	1	0
ccRCC_213_TA	ccRCC_213_TA	PXD030344	1	0
ccRCC_151_TA	ccRCC_151_TA	PXD030344	1	0
ccRCC_228_TA	ccRCC_228_TA	PXD030344	1	0
ccRCC_69_TA	ccRCC_69_TA	PXD030344	1	0
ccRCC_77_TA	ccRCC_77_TA	PXD030344	1	0
ccRCC_203_TA	ccRCC_203_TA	PXD030344	1	0
ccRCC_190_TA	ccRCC_190_TA	PXD030344	1	0
ccRCC_188_TA	ccRCC_188_TA	PXD030344	1	0
ccRCC_193_TA	ccRCC_193_TA	PXD030344	1	0
ccRCC_51_TA	ccRCC_51_TA	PXD030344	1	0
ccRCC_60_TA	ccRCC_60_TA	PXD030344	1	0
ccRCC_180_TA	ccRCC_180_TA	PXD030344	1	0
ccRCC_176_TA	ccRCC_176_TA	PXD030344	1	0
ccRCC_167_TA	ccRCC_167_TA	PXD030344	1	0
ccRCC_172_TA	ccRCC_172_TA	PXD030344	1	0
ccRCC_186_TA	ccRCC_186_TA	PXD030344	1	0
ccRCC_72_TA	ccRCC_72_TA	PXD030344	1	0
ccRCC_20_TA	ccRCC_20_TA	PXD030344	1	0
ccRCC_28_TA	ccRCC_28_TA	PXD030344	1	0
ccRCC_170_TA	ccRCC_170_TA	PXD030344	1	0
ccRCC_160_TA	ccRCC_160_TA	PXD030344	1	0
ccRCC_219_TA	ccRCC_219_TA	PXD030344	1	0
ccRCC_141_TA	ccRCC_141_TA	PXD030344	1	0
ccRCC_73_TA	ccRCC_73_TA	PXD030344	1	0
ccRCC_121_TA	ccRCC_121_TA	PXD030344	1	0
ccRCC_195_TA	ccRCC_195_TA	PXD030344	1	0
ccRCC_197_TA	ccRCC_197_TA	PXD030344	1	0
ccRCC_119_TA	ccRCC_119_TA	PXD030344	1	0
ccRCC_81_TA	ccRCC_81_TA	PXD030344	1	0
ccRCC_147_TA	ccRCC_147_TA	PXD030344	1	0
ccRCC_102_TA	ccRCC_102_TA	PXD030344	1	0
ccRCC_140_TA	ccRCC_140_TA	PXD030344	1	0
ccRCC_168_TA	ccRCC_168_TA	PXD030344	1	0
ccRCC_175_TA	ccRCC_175_TA	PXD030344	1	0
ccRCC_178_TA	ccRCC_178_TA	PXD030344	1	0
ccRCC_229_TA	ccRCC_229_TA	PXD030344	1	0
ccRCC_198_TA	ccRCC_198_TA	PXD030344	1	0
ccRCC_111_TA	ccRCC_111_TA	PXD030344	1	0
ccRCC_101_TA	ccRCC_101_TA	PXD030344	1	0
ccRCC_108_TA	ccRCC_108_TA	PXD030344	1	0
ccRCC_112_TA	ccRCC_112_TA	PXD030344	1	0
ccRCC_227_TA	ccRCC_227_TA	PXD030344	1	0
ccRCC_21_TA	ccRCC_21_TA	PXD030344	1	0
ccRCC_32_TA	ccRCC_32_TA	PXD030344	1	0
ccRCC_8_TA	ccRCC_8_TA	PXD030344	1	0
ccRCC_7_TA	ccRCC_7_TA	PXD030344	1	0
ccRCC_174_TA	ccRCC_174_TA	PXD030344	1	0
ccRCC_185_TA	ccRCC_185_TA	PXD030344	1	0
ccRCC_183_TA	ccRCC_183_TA	PXD030344	1	0
ccRCC_220_TA	ccRCC_220_TA	PXD030344	1	0
ccRCC_202_TA	ccRCC_202_TA	PXD030344	1	0
ccRCC_163_TA	ccRCC_163_TA	PXD030344	1	0
ccRCC_211_TA	ccRCC_211_TA	PXD030344	1	0
ccRCC_152_TA	ccRCC_152_TA	PXD030344	1	0
ccRCC_131_TA	ccRCC_131_TA	PXD030344	1	0
ccRCC_166_TA	ccRCC_166_TA	PXD030344	1	0
ccRCC_100_TA	ccRCC_100_TA	PXD030344	1	0
ccRCC_45_TA	ccRCC_45_TA	PXD030344	1	0
ccRCC_137_TA	ccRCC_137_TA	PXD030344	1	0
ccRCC_11_TA	ccRCC_11_TA	PXD030344	1	0
ccRCC_143_TA	ccRCC_143_TA	PXD030344	1	0
ccRCC_56_TA	ccRCC_56_TA	PXD030344	1	0
ccRCC_57_TA	ccRCC_57_TA	PXD030344	1	0
ccRCC_59_TA	ccRCC_59_TA	PXD030344	1	0
ccRCC_50_TA	ccRCC_50_TA	PXD030344	1	0
ccRCC_43_TA	ccRCC_43_TA	PXD030344	1	0
