Sample	Condition	Dataset
Exp056655	Tumor	PXD042844
Exp056657	Tumor	PXD042844
Exp056659	Tumor	PXD042844
Exp056661	Tumor	PXD042844
Exp056663	Tumor	PXD042844
Exp056665	Tumor	PXD042844
Exp056667	Tumor	PXD042844
Exp056669	Tumor	PXD042844
Exp056671	Tumor	PXD042844
Exp056557	Tumor	PXD042844
Exp056715	Tumor	PXD042844
Exp056717	Tumor	PXD042844
Exp056559	Tumor	PXD042844
Exp056673	Tumor	PXD042844
Exp056561	Tumor	PXD042844
Exp056675	Tumor	PXD042844
Exp056677	Tumor	PXD042844
Exp056679	Tumor	PXD042844
Exp056681	Tumor	PXD042844
Exp056683	Tumor	PXD042844
Exp056685	Tumor	PXD042844
Exp056687	Tumor	PXD042844
Exp056689	Tumor	PXD042844
Exp056563	Tumor	PXD042844
Exp056719	Tumor	PXD042844
Exp056691	Tumor	PXD042844
Exp056693	Tumor	PXD042844
Exp056695	Tumor	PXD042844
Exp056565	Tumor	PXD042844
Exp056747	Tumor	PXD042844
Exp056697	Tumor	PXD042844
Exp056699	Tumor	PXD042844
Exp056701	Tumor	PXD042844
Exp056703	Tumor	PXD042844
Exp056705	Tumor	PXD042844
Exp056721	Tumor	PXD042844
Exp056723	Tumor	PXD042844
Exp056567	Tumor	PXD042844
Exp056571	Tumor	PXD042844
Exp056725	Tumor	PXD042844
Exp056727	Tumor	PXD042844
Exp056729	Tumor	PXD042844
Exp056573	Tumor	PXD042844
Exp056707	Tumor	PXD042844
Exp056731	Tumor	PXD042844
Exp056575	Tumor	PXD042844
Exp056733	Tumor	PXD042844
Exp056709	Tumor	PXD042844
Exp056735	Tumor	PXD042844
Exp056737	Tumor	PXD042844
Exp056739	Tumor	PXD042844
Exp056711	Tumor	PXD042844
Exp056577	Tumor	PXD042844
Exp056741	Tumor	PXD042844
Exp056713	Tumor	PXD042844
Exp056579	Tumor	PXD042844
Exp056581	Tumor	PXD042844
Exp056583	Tumor	PXD042844
Exp056585	Tumor	PXD042844
Exp056587	Tumor	PXD042844
Exp056589	Tumor	PXD042844
Exp056591	Tumor	PXD042844
Exp056593	Tumor	PXD042844
Exp056743	Tumor	PXD042844
Exp056595	Tumor	PXD042844
Exp056597	Tumor	PXD042844
Exp056599	Tumor	PXD042844
Exp056601	Tumor	PXD042844
Exp056603	Tumor	PXD042844
Exp056605	Tumor	PXD042844
Exp056607	Tumor	PXD042844
