"A"	"B"
"s.8"	1	0
"s.11"	1	0
"s.14"	1	0
"s.16"	1	0
"s.17"	1	0
"s.18"	1	0
"s.30"	1	0
"s.34"	1	0
"s.35"	1	0
"s.39"	1	0
"s.41"	1	0
"s.42"	1	0
"s.44"	1	0
"s.45"	1	0
"s.49"	1	0
"s.51"	1	0
"s.53"	1	0
"s.55"	1	0
"s.56"	1	0
"s.59"	1	0
"s.61"	1	0
"s.64"	1	0
"s.67"	1	0
"s.79"	1	0
"s.85"	1	0
"s.86"	1	0
"s.93"	1	0
"s.95"	1	0
"s.96"	1	0
"s.100"	1	0
"s.107"	1	0
"s.108"	1	0
"s.110"	1	0
"s.112"	1	0
"s.113"	1	0
"s.114"	1	0
"s.118"	1	0
"s.121"	1	0
"s.123"	1	0
"s.127"	1	0
"s.128"	1	0
"s.129"	1	0
"s.130"	1	0
"s.134"	1	0
"s.135"	1	0
"s.136"	1	0
"s.138"	1	0
"s.139"	1	0
"s.148"	1	0
"s.149"	1	0
"s.153"	1	0
"s.157"	1	0
"s.161"	1	0
"s.164"	1	0
"s.170"	1	0
"s.172"	1	0
"s.181"	1	0
"s.182"	1	0
"s.183"	1	0
"s.185"	1	0
"s.189"	1	0
"s.190"	1	0
"s.197"	1	0
"s.202"	1	0
"s.204"	1	0
"s.212"	1	0
"s.214"	1	0
"s.216"	1	0
"s.222"	1	0
"s.227"	1	0
"s.228"	1	0
"s.229"	1	0
"s.235"	1	0
"s.238"	1	0
"s.239"	1	0
"s.240"	1	0
"s.241"	1	0
"s.243"	1	0
"s.245"	1	0
"s.248"	1	0
"s.251"	1	0
"s.254"	1	0
"s.255"	1	0
"s.259"	1	0
"s.263"	1	0
"s.265"	1	0
"s.268"	1	0
"s.269"	1	0
"s.270"	1	0
"s.272"	1	0
"s.276"	1	0
"s.278"	1	0
"s.279"	1	0
"s.282"	1	0
"s.286"	1	0
"s.288"	1	0
"s.291"	1	0
"s.293"	1	0
"s.297"	1	0
"s.300"	1	0
"s.302"	0	1
"s.303"	0	1
"s.309"	0	1
"s.310"	0	1
"s.317"	0	1
"s.321"	0	1
"s.322"	0	1
"s.323"	0	1
"s.328"	0	1
"s.330"	0	1
"s.331"	0	1
"s.332"	0	1
"s.343"	0	1
"s.346"	0	1
"s.348"	0	1
"s.351"	0	1
"s.359"	0	1
"s.362"	0	1
"s.365"	0	1
"s.370"	0	1
"s.372"	0	1
"s.378"	0	1
"s.379"	0	1
"s.384"	0	1
"s.385"	0	1
"s.387"	0	1
"s.389"	0	1
"s.392"	0	1
"s.396"	0	1
"s.398"	0	1
"s.406"	0	1
"s.407"	0	1
"s.410"	0	1
"s.412"	0	1
"s.415"	0	1
"s.416"	0	1
"s.422"	0	1
"s.424"	0	1
"s.428"	0	1
"s.431"	0	1
"s.436"	0	1
"s.438"	0	1
"s.439"	0	1
"s.446"	0	1
"s.447"	0	1
"s.450"	0	1
"s.455"	0	1
"s.459"	0	1
"s.464"	0	1
"s.472"	0	1
"s.476"	0	1
"s.478"	0	1
"s.480"	0	1
"s.481"	0	1
"s.487"	0	1
"s.488"	0	1
"s.491"	0	1
"s.493"	0	1
"s.495"	0	1
"s.496"	0	1
"s.498"	0	1
"s.499"	0	1
"s.503"	0	1
"s.504"	0	1
"s.505"	0	1
"s.506"	0	1
"s.508"	0	1
"s.511"	0	1
"s.513"	0	1
"s.521"	0	1
"s.523"	0	1
"s.525"	0	1
"s.530"	0	1
"s.531"	0	1
"s.538"	0	1
"s.539"	0	1
"s.541"	0	1
"s.542"	0	1
"s.545"	0	1
"s.548"	0	1
"s.551"	0	1
"s.552"	0	1
"s.553"	0	1
"s.554"	0	1
"s.558"	0	1
"s.560"	0	1
"s.564"	0	1
"s.570"	0	1
"s.575"	0	1
"s.577"	0	1
"s.578"	0	1
"s.579"	0	1
"s.580"	0	1
"s.581"	0	1
"s.583"	0	1
"s.585"	0	1
"s.591"	0	1
"s.592"	0	1
"s.593"	0	1
"s.599"	0	1
