"s.10"	"s.15"	"s.16"	"s.17"	"s.28"	"s.29"	"s.30"	"s.33"	"s.35"	"s.36"	"s.37"	"s.42"	"s.44"	"s.48"	"s.51"	"s.62"	"s.68"	"s.72"	"s.76"	"s.77"	"s.80"	"s.85"	"s.86"	"s.87"	"s.90"	"s.91"	"s.94"	"s.95"	"s.97"	"s.101"	"s.106"	"s.111"	"s.116"	"s.117"	"s.120"	"s.121"	"s.129"	"s.132"	"s.134"	"s.135"	"s.140"	"s.152"	"s.153"	"s.155"	"s.157"	"s.159"	"s.161"	"s.166"	"s.167"	"s.168"	"s.177"	"s.180"	"s.182"	"s.198"	"s.208"	"s.215"	"s.218"	"s.219"	"s.220"	"s.225"	"s.229"	"s.230"	"s.231"	"s.232"	"s.234"	"s.235"	"s.236"	"s.246"	"s.247"	"s.248"	"s.250"	"s.261"	"s.262"	"s.269"	"s.276"	"s.278"	"s.279"	"s.282"	"s.283"	"s.286"	"s.289"	"s.290"	"s.295"	"s.298"	"s.299"	"s.300"	"s.304"	"s.305"	"s.308"	"s.310"	"s.312"	"s.325"	"s.331"	"s.344"	"s.345"	"s.347"	"s.349"	"s.352"	"s.354"	"s.356"	"s.357"	"s.360"	"s.371"	"s.391"	"s.397"	"s.398"	"s.399"	"s.400"	"s.402"	"s.406"	"s.416"	"s.421"	"s.441"	"s.442"	"s.443"	"s.451"	"s.452"	"s.454"	"s.458"	"s.475"	"s.480"	"s.481"	"s.487"	"s.489"	"s.490"	"s.494"	"s.499"	"s.500"	"s.508"	"s.512"	"s.518"	"s.523"	"s.538"	"s.540"	"s.547"	"s.549"	"s.561"	"s.573"	"s.582"	"s.587"
"prt1"	-0.575599257800084	-2.6441778545335	0.531161387095053	0.548631231709668	-0.791809500340901	-1.06280058554508	1.64621126993935	-0.468979749679539	-0.300882759523527	0.571075946985067	-0.598178740624066	0.824346840183554	1.20620875606021	NA	-2.25189729438509	-2.40745907214498	-1.82268061917789	1.83771400760435	0.00697774316632768	-0.681232915100256	-0.161087882863776	0.596588464285626	-0.534725367491843	-1.23772894838999	0.895083672459349	-1.10930990403287	-0.0688780624660033	0.522457361973079	1.29409055487146	0.130847521575464	0.284707306270989	-3.09400175435459	0.869413686416204	-1.62384087831033	-0.560909386167694	-2.50306699723393	-1.5920039699411	-1.96336638123658	-0.72125182917431	-0.552174986569398	0.181439556350936	-0.288103223019648	-1.02472090991433	0.4275337027233	0.275332658988364	0.0752523694735586	NA	-0.874245183259206	1.26017952111642	0.642648602951438	-1.64695439692534	-2.17290575804945	-0.122544401911901	-1.44859898674378	NA	0.80931627029978	-0.0381977058940445	0.58937418650593	-0.2416806462233	0.161777959732626	-0.780411824961753	-1.418710077061	-0.638099246120745	-0.506650862545319	1.03983875039695	0.462372127268535	0.499085406162472	1.36572664984164	-0.420199989334785	0.848173668334456	0.390571870161642	1.1054035146509	-1.22990881320864	1.01284169439805	-0.50671664863822	NA	-0.112537499186667	NA	-1.26090205946329	-0.0400592156364066	0.987333140788105	-0.159098930480775	1.17234379237276	-1.79828156234429	-0.215219111580168	-0.666435244994379	0.213534090561059	-0.563953031190329	NA	-2.02532186505934	-0.421271292147737	-1.60022911145284	-1.40178163081627	NA	-1.83862492230102	-1.85411413886091	NA	-0.880807997618305	NA	-1.5869412191731	-0.0310212534468092	-0.736028254489742	-0.5808377297101	NA	-1.10195805595591	NA	NA	-0.560316146534272	-0.420563742179408	-1.07557224072994	-1.91334294327558	-0.378985952595277	-0.908227466104694	-2.10082092655495	0.179259204045614	0.177830162042522	-1.55195157007656	-2.85732599223156	0.0477686040963479	-1.03709195969759	-1.39315774857814	-0.875911637061643	-2.33717143270373	-1.72480437344718	NA	-1.18623483917627	NA	0.19033832870764	NA	-2.20820809718132	-1.66170241171565	-0.768049561781851	-1.22125716637925	-0.12015535650081	NA	-0.898625203580545	0.041401960226397	-0.621303377207828	-0.478646587541445	-2.20667792524971
"prt2"	-1.6487599967882	NA	NA	3.7129616175878	4.59495545473983	-0.73579478855622	-2.64384637893713	NA	1.98938072297576	0.899195496829107	1.0618365580539	-1.70292776655785	-0.601848634682836	0.996729109158762	2.35296732636804	-0.277745040736696	2.22046458452526	-2.13165612044521	-0.544517966649032	-1.8476610215389	NA	1.15046682485645	-2.00383925334355	NA	-1.10499526737868	2.37817780762039	-2.34330373186632	1.34874602595824	-4.67597591593216	0.341217638586558	-2.38615258867326	1.28436944478262	-0.209244615679166	-2.50765364227759	-0.941714924253862	-1.3992736056017	-2.00078063521393	-1.07507990828601	NA	NA	-0.633360905987506	-2.23982999147019	-1.59803682097646	-3.09096194341681	0.879334053542535	-0.298112789150159	-0.252033086973066	1.00191631884752	-0.751531385230727	-0.867460961736507	1.98888250664574	1.05450057790756	-0.805356788820821	-1.80707016157579	NA	-1.73895802687491	-1.11612258279651	-3.8484419705293	0.888953747268689	-2.0448196321533	-2.51204869501781	-2.29272449746074	2.85542501209323	NA	0.563776357779372	2.62909771336379	4.5484667965199	-1.01064657372411	-1.75615931857955	-0.0605324767855118	-0.353018105894801	NA	-3.05932719953874	-2.80134030256857	0.428964184307187	0.327599785343319	-1.69198127752058	NA	-1.87294679899869	-1.55715218532781	-0.390721266424986	0.00961634822577817	-1.81038521849162	2.42310127359679	2.16630206228372	0.29767900791661	NA	-0.0196424323784998	1.19488996176123	-1.6821935466061	1.0560506247984	0.750988989694953	NA	-1.28410891798789	1.13586020097119	NA	-2.77299106356682	-3.6587457270803	-1.20737348325946	-5.11511759022901	-0.626715129687779	-1.69731606738626	NA	NA	0.920888629929045	-2.04359321305516	-2.5293003629228	-0.759992998562278	-2.54945879284051	-0.561993415638191	0.764820923636866	-1.18906034654586	0.544455112610986	NA	-1.6595946073542	0.485213986848101	NA	-2.69559516240367	NA	0.300993260398978	-1.19273263422397	-5.73935711090594	-1.55310182544948	-5.55009762943555	-1.48760682035746	NA	NA	NA	1.62996330984707	-3.04622116919548	NA	0.2597549541826	NA	NA	-3.30465624119029	0.573641361710432	NA	-0.66319693382753	-1.54836422074933	NA
"prt3"	4.98976156560963	4.39529852394981	3.85888690604255	7.22066813289136	-1.19994537786571	-5.25544077956914	NA	4.26212364785819	4.3152427184968	9.23830561039829	2.97665019631068	-0.0491965183783443	7.78816008132868	0.121471906427862	NA	NA	6.46180375977441	5.44703098135221	3.76097789256675	4.55453229277617	11.9859690456939	3.52904179426911	1.6534315707324	2.00797035711712	10.1627554705529	6.11633628179595	-1.81611250307985	2.02713914092585	6.82228568310239	1.0724771447513	6.2239930262314	NA	4.52383428560241	-4.11092576755718	NA	0.84791554156484	9.13580999828352	4.80352300157076	5.76553930847809	7.13271879427005	3.36188561155974	4.85728428119207	3.68613479910866	1.60231922330849	NA	-0.486467254065433	5.18524044815873	NA	1.49714452129776	11.9801859614785	2.22310997241667	1.64972200474153	NA	3.89423675903751	7.39995282388825	1.75522355541528	3.60713465189363	NA	7.83788538279487	1.94761596131617	6.61211323098208	2.80134308146425	-2.08660392263028	2.21258986183288	NA	NA	1.95334925781674	3.5195216216865	NA	-0.541286545999074	2.62151093952834	-0.361145778430581	5.72450254921358	7.08771196770372	3.99724355822327	0.172205214411981	7.3039704761307	6.45174479450574	5.61456122704501	6.06551613610931	6.92194459162069	5.60748878743487	7.56359305913789	1.20813745037097	4.2031460909578	7.72684472078131	8.39726433371938	-3.22973486760714	-3.50664965219067	4.14041014310034	3.39286305657315	NA	NA	1.94527676708852	0.66979070365858	NA	3.87110215633029	5.4805392049352	2.47136736720169	2.41938229814199	-0.0412716364929264	6.52163131612523	NA	5.78589084611296	-1.78078052954406	5.42698863433235	-0.507011803920609	-6.59924803026637	-4.74965566572452	-0.909504177430648	4.27354089207714	0.760619945673804	5.16137227719279	-0.948805934491571	8.66821214786939	6.03709231667986	3.5480583727203	1.16671801675246	-0.814786142929479	4.84941542338891	NA	3.21003077852941	3.39569644980312	9.43115942748553	-0.202836495712971	-2.82749392607117	4.18568516800153	6.01576023094874	-3.93817515077889	3.65431113940718	7.29242045243555	0.527314109418614	0.891641993146713	NA	NA	2.65733705685461	NA	0.116288265170402	7.19003646046761	1.81215914393186
"prt4"	7.19680431329976	2.04647434302882	4.4108920579106	4.56598312824286	2.6595768515416	NA	1.58292608622594	0.932098312909393	3.26330190881486	1.01891932788469	2.46277084081103	NA	4.50525841335641	10.9584855326894	4.35840857439167	5.46247004489188	2.25776433717576	3.55034149042695	0.605154452272996	6.33772632599995	6.27647697738326	1.46784757110339	4.44378713878037	7.54596712732038	6.16138538065232	4.85625959816039	3.12349181572499	5.69034504197587	6.93340806283243	7.5323990569056	2.5996700711201	NA	5.85210453473527	3.67010625988846	7.09542358285053	3.99896391236353	4.22448733310444	9.21795147696847	2.47025088532956	NA	7.03237480524379	4.7337799849433	3.92036147443296	4.21299362427968	NA	1.34505940218754	0.895539740672555	6.18687436072944	7.19155007124212	2.62251922024947	NA	3.59972469470259	6.97833197916299	3.24271789256524	2.60425766926676	-1.26386718593558	1.75054135613105	1.50947329913131	NA	4.45749117977461	3.75686240911064	6.72682990164148	NA	1.65451585984298	3.23035629441182	5.73611362916885	2.33443247914342	3.05719373800972	4.67166963644222	4.73291628063829	3.47747197977562	7.34065567437938	4.32542695075754	5.46996752157903	2.78928713054939	7.72166875970975	2.48611735647735	5.57821139505468	4.1862568526779	3.52266529289775	3.52292041135672	3.83712679921585	5.60463691916553	3.02349119717965	2.22687911320613	NA	-1.70676627135149	-0.606108438826651	3.44267209025036	6.29142196043559	3.2459126942927	3.61286661461081	3.22412822048214	6.81868576557988	-0.594955496133043	2.83883911332777	1.59992130397043	5.97105906690463	NA	4.12632898157395	1.2950215857008	4.17602707588173	-0.373112857277596	-0.646041480781139	7.81650857764095	NA	1.73739582412715	-1.67908095004032	7.35518544270838	4.99032972309191	NA	0.768638430139875	3.15540248413393	-1.09563848724562	0.752763476143805	1.41657339068868	NA	2.59759057701985	4.22172414835828	5.73602946043156	NA	4.17322298233908	1.02905830785982	6.95588614621698	3.30411764274854	-1.28393127486086	0.330996616730085	NA	NA	NA	1.7400223737204	NA	NA	3.27666650573784	5.39245842640821	4.20374865849564	-0.964703072280324	4.01708089177369	1.38752813291109	NA
"prt5"	1.94788840159611	-1.39993983798587	1.54174327663421	1.86934377079613	NA	1.91087496496374	1.20688772588376	-2.06392106117307	2.84827427854973	2.06803231471567	NA	2.13966402801368	0.648400231657301	-0.608833840175099	NA	NA	0.553970050513692	1.16690671370716	NA	2.19982761965749	NA	3.23685572781824	0.434146464777893	-0.116581686404573	NA	1.75489770896581	1.63341930645783	0.325945467098716	1.51154948541987	0.666560359557523	0.43806584590787	1.65460757157876	0.611201506365625	1.302501694818	NA	2.54678281382118	0.910718508216838	NA	0.574391116375733	-0.354616943746689	NA	0.779149094131064	0.812876247575676	0.0373272249271163	0.435040748670217	NA	4.51629961290898	-0.889937989002253	2.15735409314206	0.238675937242896	1.93696041831764	NA	NA	4.38624568713474	1.46878246448801	-0.787097362553678	-0.693420944500684	0.179846799098269	NA	1.60336346254291	2.59813424238732	2.1022002004918	-1.7983277299328	1.62127444180111	1.91017422209076	2.53543289257775	0.110376193372652	1.325810687011	0.101944229288854	NA	-0.578517601581831	0.395712587843062	-0.998125972858581	2.545559413519	1.02103486835276	1.78700572696369	2.05467034250108	1.10763970886727	0.47432356285801	-0.177331494585572	NA	NA	0.812185684485311	2.25546538430078	-0.401814734329737	-0.0903764946431528	2.73055422336526	-1.4037495494715	0.0187151598833122	2.25422876437576	0.878627740573806	0.435589851266196	NA	-0.383390202081933	-0.214968266513948	0.678748707364889	NA	0.979374011550281	0.262931617636615	0.891928828197792	NA	-0.915069384959605	-0.337209880198815	NA	-1.35621262430993	0.535630280084511	-1.90249710446423	-0.864261807766721	-0.289037499925067	0.683530675869638	NA	-0.749978514372799	0.409657680954799	1.19082092349557	0.370841910227473	0.433077337892747	NA	0.365931978794582	-0.348646919985942	-1.67445008894715	NA	0.907052674968728	0.910594971786839	NA	0.103484558275469	-0.465043704129299	-2.35062751993832	-0.313071159466722	-0.564647796282966	-0.116801407687738	0.624163717623937	-1.49137958063912	0.347404930033304	-1.25313169260844	-0.847860241494555	-0.0986515291030308	0.222673111873786	0.480308641846205	-0.52794024984739	NA
"prt6"	-0.82850127926774	-1.11442431881105	-1.87211908192225	-0.990421930457001	-2.38770908806185	-1.30883800965729	-1.5265543763667	2.06687273352321	-1.77394991641159	NA	2.20681526876596	NA	-1.45271449184714	-0.607341166059094	3.07399410819232	-1.54545066075258	0.759495317449096	-1.03167289253066	-0.121691577641336	1.219988499588	NA	-3.67645730453912	NA	-3.36820215654817	1.21722326132854	-0.156853596985519	-1.4501834317988	-0.790638626998991	-4.26557328517379	-0.0434285581475068	NA	-3.12281907007935	-0.19302179045578	4.78887158659762	-3.7783203347573	0.572635262955722	NA	-0.40544091105415	-0.619200327177573	-2.73746423353229	0.292696009178327	-0.202761508307	-0.895858567420173	-1.98549782250112	1.71068709374372	-1.64880573752464	NA	1.67003227636227	-2.31497592576015	0.20825347526158	NA	-1.99107544469254	2.57333637851477	-0.9865014096396	-2.60851719082357	-0.93062103931042	-1.65033971355	1.31779449052418	-1.28711168289552	-1.08998588668544	-1.28954133317719	-4.18490991841476	0.162659859261604	-1.97135608566232	-2.482242138997	-1.54714628257813	NA	NA	NA	-2.30945541542645	NA	-4.10666607371318	-3.04572174054703	2.22468258532288	-1.72186889280979	-1.99945922713767	2.9472421329583	1.27093017981077	-0.24133969446604	0.0577226503937984	0.150267841073215	-2.22223492256789	0.560023085182677	-2.37583975529553	0.615886832870788	-1.74018472897445	-2.02194243191323	0.619402971847853	0.354686762362344	-0.897768282600053	1.00650317341785	NA	0.137639288712473	NA	0.683419900605103	-2.64891218330585	-1.64189426317441	NA	NA	-1.85095652366125	-0.912599557556768	-2.79490924355461	NA	-1.56287277840573	NA	-2.18554722584181	NA	-1.50957870393525	NA	-3.02846533106589	NA	-2.57408840445189	-4.55206550991596	-1.33010903429598	-2.74371044355845	-2.27712146178663	0.803219662652026	NA	-0.876861494646215	-1.49902232390238	-4.26470710922809	-2.520453725782	NA	NA	-4.85917632050479	-2.40767567343935	NA	0.925493849249728	-1.31887665966569	2.18100458185002	-2.65569695532698	-2.01895317911633	-1.02593273806679	-1.79738253887094	-1.17854109152748	NA	-0.285482174325338	-0.880170368317777	NA	NA
"prt7"	1.66174463549461	0.224518372086549	1.51405396997972	0.72696270707474	NA	2.03102531729082	0.403023222972097	1.43734431911065	0.546487868885754	NA	0.0345416225678786	2.92530807578024	-0.646682172989842	NA	1.32752624559681	1.73634177116582	-0.458532253608754	-1.14281873991448	1.64631844977666	3.1216382795491	1.15333029388648	NA	1.48328836271457	1.45021635740098	1.75851946682927	1.99866300444565	1.7628900386153	1.97971208097033	2.58161413378362	1.55060407990039	2.21020292082245	1.06987403190606	1.53473489439851	NA	1.31248412218595	1.82778164746602	-0.310046107011988	NA	3.27108596817487	0.735327956133	2.21987356819441	1.56930185314105	2.19262560999848	1.06160980755087	NA	2.35156094346121	1.30720905252079	-0.137127087422675	0.718320835352197	2.57527950928058	0.935650026151401	-0.28369438652487	0.691316080005862	-0.164140649217286	3.03335771749099	0.40392582769208	0.766275151660387	1.22412162293605	1.4611720298598	-0.0453135461595535	3.34536959697743	2.59147945531679	NA	-0.715974730321441	1.63929102526535	2.12427385036555	2.01004970310657	1.28377914464955	0.47657151505654	2.20294374600473	NA	NA	2.56451241188483	NA	1.35210892615934	1.79333735500965	0.768002414629479	1.88177698224765	-2.89364177918054	-0.540448804443929	0.424829145961071	1.08556460425619	0.602858142202773	1.85320279035061	NA	0.457475010262892	0.828666827540534	0.648701655225901	0.170220334903976	1.2263297006001	1.22586787623576	0.227218752969418	1.50214598092613	0.168336507997963	1.27128233152125	-1.28796482488158	-1.0266339697447	-0.206537706662792	NA	-1.1074756740437	0.631823062906793	0.518064180608087	0.167244128023891	0.0451540639473958	2.02844806195709	0.957158709783083	-0.949026983495589	-3.1517458131828	NA	0.245951349966495	NA	0.941458256820545	-1.13130736631941	0.318682979968105	-0.334435883656345	0.6945961874194	-0.374850189348781	NA	1.12813976341049	0.998577576928882	0.106750345657754	0.104891017015116	0.34851002312809	-0.796683295357029	NA	-0.996296666378224	-0.978344484531315	0.0210108653824477	-0.313795327703909	-0.198739744127948	0.119466429934259	0.130044051634097	0.257306508567825	0.589149751665792	-0.230435610017314	0.471308839515576	-0.590290880529701	-0.670817562611735	0.286457882012424	0.222597620814847
"prt8"	-0.993100012016204	0.0107616589655582	-0.0998469403046328	-2.45987550816093	2.10917120261768	-0.429945027883331	0.803290345943499	0.347045230862667	0.590238434258346	0.624732038837328	-0.418613802479623	-0.910473110830089	1.18496780361014	-0.992122254440086	NA	NA	0.180928824651718	-0.861725019447356	-0.247048579270152	-0.66412679760211	-0.703329524149918	-1.8008799280147	NA	NA	1.43464057178804	NA	0.163562176645197	0.175108525556193	-1.58801503926899	NA	-0.139289239925453	1.62485283113605	NA	-2.56709110996882	-0.59922324070921	1.35339728184672	0.8124915451175	0.425385334077383	0.242956931598761	-1.25816512539943	-0.604686920239847	0.54951675640062	NA	0.890705447503146	0.518369461008717	-0.706611631999115	-0.724178756036022	NA	-0.679407318050585	-0.770536598623333	-0.154534662712771	-1.07088553047446	-1.28377609375814	-0.578967555016466	-0.449739839161256	-1.84167720642386	0.579337700261061	-1.65982997338	-0.104448365201388	0.0671702177345757	0.116506322177725	-0.49062506892121	NA	-0.413260656636427	0.947349217706913	0.911797758244855	-1.93517775983464	0.214878665450572	NA	0.0209690507861481	-0.676652361581456	0.183503306635769	0.41323829338616	-1.07735894289194	-0.771695873234855	-0.465655501598957	-1.58359687088974	0.220528165242276	NA	-2.23665741667069	-0.0117314743120185	-0.917206179940464	-0.385243145867594	-0.883496782918469	NA	1.25841456109228	-1.54974418206516	1.67953789849802	NA	-0.0524625405389539	-1.85687763762147	-2.2187929379057	-3.74865576867019	0.0366695627503394	-1.98806752299859	-1.16861318194427	NA	-0.926920201765752	-1.80411680374697	-1.90090060287196	-1.86262921097363	NA	-0.999349255421392	-1.98535557551201	-1.43436774300296	-1.31123376211141	-0.27569569063585	-1.76938730233777	-1.01298570476612	-1.72286515865074	-0.996305874601033	NA	-0.575154044196561	NA	-2.02327711045417	NA	-1.41301397021613	-3.24894055863347	-0.646637658912637	-2.16034720064852	-1.21612661274348	-0.708394007797561	-1.05904468873519	-3.01319201809032	NA	1.09100922750873	NA	0.273157520207017	-3.66359526882068	-2.55408865175089	-0.673976867405319	NA	-0.527400057113325	-0.509943212060617	-1.08163645984032	-1.69076815062881	NA	-0.816954794257266	-0.441797186953035	-1.46367643666646
"prt9"	NA	1.55730951480571	-3.55864201771184	-1.38373391221568	-2.06805714574854	NA	-1.34223095087918	NA	-0.84762017717727	-0.834947308365166	-0.07763501164056	NA	NA	-2.24922710751106	-1.22146276582994	-0.22966289895544	-3.48038338692097	-1.77090823787899	-3.79199060260276	-2.55176279933292	-0.286416529442806	NA	-2.28944957705553	NA	-2.01511925123597	NA	-1.95506742283477	-2.02614980260886	-2.24355496170496	-2.32581926430718	NA	-1.31201459293142	-1.60221501403249	-0.411425643280457	-2.54510918365296	-2.22206788773305	-1.64053208272321	-1.90664785795649	-1.58031759670421	-0.938534848905007	1.01181460221641	NA	NA	NA	NA	-0.722968372189966	-1.8018221433144	NA	-5.51871432804672	0.0460512026888563	-0.761683836108343	-1.08756626444201	-1.18789463568644	-2.30097392876829	NA	-0.878127490763186	-1.46305758673981	-1.35920949960754	-1.76834282394385	-0.971042556217485	NA	-1.96106925404005	-1.77943949144455	-1.38250271601902	-4.13118978936252	-0.840991866500049	-2.38096372550353	-2.40053484703015	NA	-1.69383148317097	NA	-2.51810788513177	-0.847577131356291	NA	NA	-1.35104419795259	-2.48637362469901	NA	NA	-0.496278348382972	-1.4265040663702	-5.08703542794179	-1.34850499192554	NA	NA	-1.00734866392151	-1.41600438035153	-3.43388643824577	NA	-1.86767949522171	-2.5877439461105	NA	-4.19191598117807	-2.66956138408131	NA	-3.01697775623094	NA	-2.45589152205894	-4.41400949464689	-3.41108605690278	NA	-2.91848327689641	NA	NA	NA	NA	NA	-1.93950398791512	NA	NA	-3.2776372808343	-3.50256477191673	-5.2234851455382	-3.03967477150435	-1.964697413238	-1.06942879869408	NA	-4.2651339752196	NA	-3.63863859916699	-4.06631250415278	NA	NA	-3.280617945856	NA	-4.03700711518125	-2.34253120598651	-2.88532613105761	NA	NA	-2.98625261280175	-3.4257915013482	NA	-2.2063108000707	NA	-1.85588365489948	NA	-2.76355678486067	-3.56736022941481	-3.77945982593145
"prt10"	3.28277781650122	3.94956041005861	1.96181535423162	0.680193529821859	NA	0.167802580673713	0.792371899665078	2.0593966575995	NA	3.9758606908918	3.54746462961601	5.57126069633727	4.64487723233962	3.17875682070605	2.84377809006828	1.49546562025892	1.55517617140909	3.52130407047108	1.19950717232682	0.0342910472269413	NA	2.43070461224981	0.0849917216814169	4.34561567602658	3.88039790860094	1.93193122475885	NA	1.75100110188008	3.2374256294537	-0.0580877149139105	1.74666182035345	0.647777660063579	1.57764010285175	3.33199385349825	0.748732839052028	4.84304308770362	0.780661199395094	1.74856727286628	1.07862173481108	2.86528079856454	2.64786931000042	4.1708190410292	1.00588113925286	NA	2.51229985317355	0.871753050648078	NA	0.954026679037389	2.2617239750834	NA	1.93464653732466	3.58073322449733	NA	3.48070705077142	0.84493464649014	4.54263927540393	4.25960038029727	2.29952374348707	4.33444582398702	3.14355401369507	2.65701262341362	3.10603717150352	2.57475529312561	1.55394150611824	-0.078453170338142	2.58856835924281	1.19241090500442	NA	2.33477450450385	2.32349052607622	3.5071033565578	2.78668344163319	2.01664481883398	3.82364595764952	NA	1.26671689493143	3.77521570920486	NA	1.86664089067171	NA	2.68449339190343	1.37167341640056	NA	3.39107123117937	3.62134902000616	2.93007293243652	2.81828732992313	5.35836863440881	2.79985685831279	3.10822372449688	1.35281291929091	-0.34800761446484	-1.26956769125728	0.433626658978662	1.57525700080468	1.74320995582981	NA	1.19619366841492	1.32838510033495	-0.791062652498863	2.28362361881643	NA	2.68029879006914	1.8581171909639	NA	0.761403833964807	0.148585329517782	1.79369724430407	NA	3.31960720128009	2.5799557567298	1.10802844164023	2.36176007245906	NA	NA	0.16185231410036	0.675932089084534	0.849867772632222	NA	-2.15586339480367	1.72827213165879	1.50068919185572	-0.0224434646668289	-0.346624798351463	0.80778793193692	0.740397187933616	0.559718492414625	2.45559652144707	1.29907090232859	1.9099639696753	1.23116907871733	0.78164446503477	NA	1.2000109315515	0.044380949509834	NA	0.633781524381579	1.17989742675534	1.02876417248335	1.889258398689
