"A"	"B"
"s.1"	1	0
"s.2"	1	0
"s.3"	1	0
"s.4"	1	0
"s.5"	1	0
"s.6"	1	0
"s.7"	1	0
"s.8"	1	0
"s.9"	1	0
"s.11"	1	0
"s.12"	1	0
"s.13"	1	0
"s.14"	1	0
"s.18"	1	0
"s.19"	1	0
"s.21"	1	0
"s.23"	1	0
"s.24"	1	0
"s.27"	1	0
"s.32"	1	0
"s.34"	1	0
"s.38"	1	0
"s.39"	1	0
"s.40"	1	0
"s.41"	1	0
"s.43"	1	0
"s.45"	1	0
"s.46"	1	0
"s.47"	1	0
"s.49"	1	0
"s.50"	1	0
"s.52"	1	0
"s.53"	1	0
"s.54"	1	0
"s.55"	1	0
"s.56"	1	0
"s.57"	1	0
"s.58"	1	0
"s.59"	1	0
"s.60"	1	0
"s.61"	1	0
"s.63"	1	0
"s.64"	1	0
"s.65"	1	0
"s.66"	1	0
"s.67"	1	0
"s.69"	1	0
"s.70"	1	0
"s.71"	1	0
"s.73"	1	0
"s.75"	1	0
"s.78"	1	0
"s.79"	1	0
"s.81"	1	0
"s.82"	1	0
"s.83"	1	0
"s.84"	1	0
"s.88"	1	0
"s.89"	1	0
"s.92"	1	0
"s.96"	1	0
"s.98"	1	0
"s.99"	1	0
"s.102"	1	0
"s.103"	1	0
"s.104"	1	0
"s.105"	1	0
"s.107"	1	0
"s.108"	1	0
"s.109"	1	0
"s.110"	1	0
"s.112"	1	0
"s.113"	1	0
"s.114"	1	0
"s.115"	1	0
"s.118"	1	0
"s.119"	1	0
"s.122"	1	0
"s.123"	1	0
"s.124"	1	0
"s.125"	1	0
"s.126"	1	0
"s.127"	1	0
"s.128"	1	0
"s.130"	1	0
"s.131"	1	0
"s.133"	1	0
"s.137"	1	0
"s.138"	1	0
"s.141"	1	0
"s.142"	1	0
"s.143"	1	0
"s.144"	1	0
"s.145"	1	0
"s.146"	1	0
"s.147"	1	0
"s.148"	1	0
"s.149"	1	0
"s.150"	1	0
"s.151"	1	0
"s.154"	1	0
"s.156"	1	0
"s.158"	1	0
"s.160"	1	0
"s.162"	1	0
"s.164"	1	0
"s.165"	1	0
"s.169"	1	0
"s.170"	1	0
"s.171"	1	0
"s.172"	1	0
"s.173"	1	0
"s.174"	1	0
"s.176"	1	0
"s.178"	1	0
"s.179"	1	0
"s.184"	1	0
"s.185"	1	0
"s.186"	1	0
"s.187"	1	0
"s.188"	1	0
"s.192"	1	0
"s.193"	1	0
"s.194"	1	0
"s.195"	1	0
"s.196"	1	0
"s.197"	1	0
"s.199"	1	0
"s.201"	1	0
"s.202"	1	0
"s.203"	1	0
"s.205"	1	0
"s.206"	1	0
"s.207"	1	0
"s.209"	1	0
"s.210"	1	0
"s.211"	1	0
"s.212"	1	0
"s.216"	1	0
"s.221"	1	0
"s.222"	1	0
"s.223"	1	0
"s.226"	1	0
"s.227"	1	0
"s.237"	1	0
"s.238"	1	0
"s.240"	1	0
"s.241"	1	0
"s.242"	1	0
"s.243"	1	0
"s.244"	1	0
"s.245"	1	0
"s.249"	1	0
"s.252"	1	0
"s.254"	1	0
"s.257"	1	0
"s.258"	1	0
"s.259"	1	0
"s.260"	1	0
"s.263"	1	0
"s.265"	1	0
"s.266"	1	0
"s.267"	1	0
"s.268"	1	0
"s.270"	1	0
"s.272"	1	0
"s.274"	1	0
"s.277"	1	0
"s.280"	1	0
"s.281"	1	0
"s.285"	1	0
"s.287"	1	0
"s.288"	1	0
"s.291"	1	0
"s.292"	1	0
"s.293"	1	0
"s.294"	1	0
"s.296"	1	0
"s.297"	1	0
"s.301"	1	0
"s.302"	1	0
"s.306"	1	0
"s.307"	1	0
"s.309"	1	0
"s.311"	1	0
"s.313"	0	1
"s.314"	0	1
"s.315"	0	1
"s.316"	0	1
"s.317"	0	1
"s.318"	0	1
"s.319"	0	1
"s.320"	0	1
"s.321"	0	1
"s.323"	0	1
"s.324"	0	1
"s.326"	0	1
"s.328"	0	1
"s.329"	0	1
"s.333"	0	1
"s.334"	0	1
"s.335"	0	1
"s.336"	0	1
"s.337"	0	1
"s.339"	0	1
"s.341"	0	1
"s.342"	0	1
"s.343"	0	1
"s.346"	0	1
"s.350"	0	1
"s.351"	0	1
"s.353"	0	1
"s.355"	0	1
"s.358"	0	1
"s.359"	0	1
"s.361"	0	1
"s.362"	0	1
"s.365"	0	1
"s.366"	0	1
"s.367"	0	1
"s.368"	0	1
"s.369"	0	1
"s.370"	0	1
"s.372"	0	1
"s.373"	0	1
"s.374"	0	1
"s.375"	0	1
"s.377"	0	1
"s.378"	0	1
"s.379"	0	1
"s.380"	0	1
"s.381"	0	1
"s.383"	0	1
"s.384"	0	1
"s.386"	0	1
"s.387"	0	1
"s.388"	0	1
"s.389"	0	1
"s.390"	0	1
"s.392"	0	1
"s.393"	0	1
"s.394"	0	1
"s.395"	0	1
"s.401"	0	1
"s.403"	0	1
"s.405"	0	1
"s.407"	0	1
"s.409"	0	1
"s.410"	0	1
"s.411"	0	1
"s.412"	0	1
"s.413"	0	1
"s.415"	0	1
"s.417"	0	1
"s.419"	0	1
"s.423"	0	1
"s.424"	0	1
"s.425"	0	1
"s.426"	0	1
"s.427"	0	1
"s.428"	0	1
"s.429"	0	1
"s.431"	0	1
"s.432"	0	1
"s.434"	0	1
"s.435"	0	1
"s.436"	0	1
"s.437"	0	1
"s.439"	0	1
"s.444"	0	1
"s.445"	0	1
"s.446"	0	1
"s.448"	0	1
"s.453"	0	1
"s.455"	0	1
"s.456"	0	1
"s.457"	0	1
"s.459"	0	1
"s.460"	0	1
"s.462"	0	1
"s.464"	0	1
"s.465"	0	1
"s.466"	0	1
"s.467"	0	1
"s.468"	0	1
"s.469"	0	1
"s.470"	0	1
"s.472"	0	1
"s.473"	0	1
"s.474"	0	1
"s.482"	0	1
"s.483"	0	1
"s.484"	0	1
"s.485"	0	1
"s.486"	0	1
"s.488"	0	1
"s.491"	0	1
"s.493"	0	1
"s.495"	0	1
"s.496"	0	1
"s.498"	0	1
"s.503"	0	1
"s.504"	0	1
"s.505"	0	1
"s.506"	0	1
"s.507"	0	1
"s.509"	0	1
"s.510"	0	1
"s.511"	0	1
"s.513"	0	1
"s.517"	0	1
"s.519"	0	1
"s.520"	0	1
"s.521"	0	1
"s.522"	0	1
"s.524"	0	1
"s.527"	0	1
"s.528"	0	1
"s.529"	0	1
"s.530"	0	1
"s.532"	0	1
"s.533"	0	1
"s.534"	0	1
"s.535"	0	1
"s.536"	0	1
"s.537"	0	1
"s.539"	0	1
"s.541"	0	1
"s.542"	0	1
"s.543"	0	1
"s.546"	0	1
"s.548"	0	1
"s.552"	0	1
"s.553"	0	1
"s.554"	0	1
"s.556"	0	1
"s.557"	0	1
"s.558"	0	1
"s.559"	0	1
"s.560"	0	1
"s.562"	0	1
"s.563"	0	1
"s.565"	0	1
"s.566"	0	1
"s.567"	0	1
"s.568"	0	1
"s.569"	0	1
"s.570"	0	1
"s.571"	0	1
"s.572"	0	1
"s.574"	0	1
"s.575"	0	1
"s.576"	0	1
"s.577"	0	1
"s.578"	0	1
"s.579"	0	1
"s.580"	0	1
"s.581"	0	1
"s.584"	0	1
"s.585"	0	1
"s.586"	0	1
"s.588"	0	1
"s.589"	0	1
"s.590"	0	1
"s.593"	0	1
"s.594"	0	1
"s.595"	0	1
"s.596"	0	1
"s.598"	0	1
"s.599"	0	1
