"A"	"B"
"s.5"	1	0
"s.6"	1	0
"s.9"	1	0
"s.11"	1	0
"s.15"	1	0
"s.16"	1	0
"s.17"	1	0
"s.28"	1	0
"s.32"	1	0
"s.34"	1	0
"s.35"	1	0
"s.43"	1	0
"s.44"	1	0
"s.46"	1	0
"s.49"	1	0
"s.50"	1	0
"s.51"	1	0
"s.55"	1	0
"s.56"	1	0
"s.57"	1	0
"s.58"	1	0
"s.62"	1	0
"s.63"	1	0
"s.64"	1	0
"s.73"	1	0
"s.74"	1	0
"s.78"	1	0
"s.79"	1	0
"s.81"	1	0
"s.82"	1	0
"s.84"	1	0
"s.86"	1	0
"s.88"	1	0
"s.91"	1	0
"s.93"	1	0
"s.96"	1	0
"s.100"	1	0
"s.101"	1	0
"s.102"	1	0
"s.108"	1	0
"s.109"	1	0
"s.131"	1	0
"s.134"	1	0
"s.139"	1	0
"s.140"	1	0
"s.141"	1	0
"s.145"	1	0
"s.146"	1	0
"s.147"	1	0
"s.150"	1	0
"s.161"	1	0
"s.162"	1	0
"s.165"	1	0
"s.166"	1	0
"s.171"	1	0
"s.177"	1	0
"s.178"	1	0
"s.185"	1	0
"s.187"	1	0
"s.189"	1	0
"s.192"	1	0
"s.196"	1	0
"s.197"	1	0
"s.199"	1	0
"s.201"	1	0
"s.203"	1	0
"s.209"	1	0
"s.211"	1	0
"s.216"	1	0
"s.219"	1	0
"s.225"	1	0
"s.226"	1	0
"s.231"	1	0
"s.233"	1	0
"s.234"	1	0
"s.236"	1	0
"s.237"	1	0
"s.241"	1	0
"s.243"	1	0
"s.246"	1	0
"s.252"	1	0
"s.258"	1	0
"s.259"	1	0
"s.261"	1	0
"s.267"	1	0
"s.268"	1	0
"s.271"	1	0
"s.272"	1	0
"s.274"	1	0
"s.279"	1	0
"s.281"	1	0
"s.288"	1	0
"s.291"	1	0
"s.292"	1	0
"s.296"	1	0
"s.297"	1	0
"s.298"	1	0
"s.302"	1	0
"s.305"	1	0
"s.306"	1	0
"s.310"	1	0
"s.312"	1	0
"s.314"	1	0
"s.316"	1	0
"s.317"	1	0
"s.318"	1	0
"s.319"	1	0
"s.320"	1	0
"s.324"	1	0
"s.330"	1	0
"s.335"	0	1
"s.336"	0	1
"s.339"	0	1
"s.341"	0	1
"s.345"	0	1
"s.346"	0	1
"s.347"	0	1
"s.358"	0	1
"s.362"	0	1
"s.364"	0	1
"s.365"	0	1
"s.373"	0	1
"s.374"	0	1
"s.376"	0	1
"s.379"	0	1
"s.380"	0	1
"s.381"	0	1
"s.385"	0	1
"s.386"	0	1
"s.387"	0	1
"s.388"	0	1
"s.392"	0	1
"s.393"	0	1
"s.394"	0	1
"s.403"	0	1
"s.404"	0	1
"s.408"	0	1
"s.409"	0	1
"s.411"	0	1
"s.412"	0	1
"s.414"	0	1
"s.416"	0	1
"s.418"	0	1
"s.421"	0	1
"s.423"	0	1
"s.426"	0	1
"s.430"	0	1
"s.431"	0	1
"s.432"	0	1
"s.438"	0	1
"s.439"	0	1
"s.461"	0	1
"s.464"	0	1
"s.469"	0	1
"s.470"	0	1
"s.471"	0	1
"s.475"	0	1
"s.476"	0	1
"s.477"	0	1
"s.480"	0	1
"s.491"	0	1
"s.492"	0	1
"s.495"	0	1
"s.496"	0	1
"s.501"	0	1
"s.507"	0	1
"s.508"	0	1
"s.515"	0	1
"s.517"	0	1
"s.519"	0	1
"s.522"	0	1
"s.526"	0	1
"s.527"	0	1
"s.529"	0	1
"s.531"	0	1
"s.533"	0	1
"s.539"	0	1
"s.541"	0	1
"s.546"	0	1
"s.549"	0	1
"s.555"	0	1
"s.556"	0	1
"s.561"	0	1
"s.563"	0	1
"s.564"	0	1
"s.566"	0	1
"s.567"	0	1
"s.571"	0	1
"s.573"	0	1
"s.576"	0	1
"s.582"	0	1
"s.588"	0	1
"s.589"	0	1
"s.591"	0	1
"s.597"	0	1
"s.598"	0	1
"s.601"	0	1
"s.602"	0	1
"s.604"	0	1
"s.609"	0	1
"s.611"	0	1
"s.618"	0	1
"s.621"	0	1
"s.622"	0	1
"s.626"	0	1
"s.627"	0	1
"s.628"	0	1
"s.632"	0	1
"s.635"	0	1
"s.636"	0	1
"s.640"	0	1
"s.642"	0	1
"s.644"	0	1
"s.646"	0	1
"s.647"	0	1
"s.648"	0	1
"s.649"	0	1
"s.650"	0	1
"s.654"	0	1
"s.660"	0	1
