"A"	"B"
"s.9"	1	0
"s.13"	1	0
"s.16"	1	0
"s.26"	1	0
"s.46"	1	0
"s.50"	1	0
"s.62"	1	0
"s.66"	1	0
"s.83"	1	0
"s.84"	1	0
"s.101"	1	0
"s.107"	1	0
"s.121"	1	0
"s.134"	1	0
"s.140"	1	0
"s.169"	1	0
"s.178"	1	0
"s.184"	1	0
"s.188"	1	0
"s.190"	1	0
"s.207"	1	0
"s.223"	1	0
"s.224"	1	0
"s.239"	1	0
"s.246"	1	0
"s.254"	1	0
"s.294"	1	0
"s.299"	1	0
"s.301"	1	0
"s.312"	1	0
"s.313"	1	0
"s.319"	1	0
"s.325"	1	0
"s.330"	1	0
"s.340"	1	0
"s.355"	1	0
"s.359"	1	0
"s.439"	0	1
"s.496"	0	1
"s.506"	0	1
"s.546"	0	1
"s.559"	0	1
"s.560"	0	1
"s.583"	0	1
"s.594"	0	1
