"s.9"	"s.13"	"s.16"	"s.26"	"s.46"	"s.50"	"s.62"	"s.66"	"s.83"	"s.84"	"s.101"	"s.107"	"s.121"	"s.134"	"s.140"	"s.169"	"s.178"	"s.184"	"s.188"	"s.190"	"s.207"	"s.223"	"s.224"	"s.239"	"s.246"	"s.254"	"s.294"	"s.299"	"s.301"	"s.312"	"s.313"	"s.319"	"s.325"	"s.330"	"s.340"	"s.355"	"s.359"	"s.439"	"s.496"	"s.506"	"s.546"	"s.559"	"s.560"	"s.583"	"s.594"
"prt1"	-0.722769740087477	-0.875399714917901	7.11992763680972	0.363986634839703	4.07229402968767	4.87033067113545	2.90664625488469	2.0903237040528	1.39092984574122	NA	-4.80947071565748	-1.86471689404175	1.29890514607525	0.030856617821609	2.53020350974955	NA	-0.924932680826217	3.15532742213419	-1.20603636627827	1.59077287654937	1.3585769004621	-6.14840855246801	-1.35450190237814	0.587444191242071	-0.0542062681497507	0.525623807966092	-2.0695204630014	1.59006025573114	-1.82500577193958	5.25599766579465	-0.143092601977893	-0.232325226597053	1.8833251324623	-2.68275815970346	NA	2.01179339650583	2.06813334317346	-0.0361681049158943	-0.653630181709101	2.16609774582743	-5.98944021688668	-3.49907641048687	-0.581465532776066	NA	NA
"prt2"	1.34038217930078	0.490643551728733	0.932677571571023	0.665741270003609	3.54862626989277	2.6635635521825	NA	1.10530414056135	1.55755638647519	1.63869090235282	0.576644729591369	-0.548606450938681	-0.0475242210635427	0.668933098800806	-2.67021293325861	-0.82475077199516	1.7718638850292	NA	2.57839562286111	2.10380912494739	-0.176359810736075	1.44992328558223	1.59528780101926	1.77124037695253	-1.09416708462136	1.00209112765796	0.633462407812499	1.37116136677221	-1.25343128579234	NA	-1.34962554349649	2.36711877187666	NA	2.24292623229335	-2.51657257449884	0.947153587850847	1.01501585293341	0.0425509338409716	NA	0.39096393950198	-1.39773193419435	-0.549607300501857	-0.59879639795891	-2.64912616735769	-0.565419032122828
"prt3"	NA	0.499686171825062	-0.611191998133726	2.12861174737037	-0.754526095091792	0.633223987036407	1.76193401344439	1.01447304424806	2.28068573326254	2.73220287177435	2.03037487145078	2.49708047808592	1.21872041298034	NA	2.41400078405617	NA	0.332853661267952	-1.8909992626208	1.37960373582013	0.599005838844646	1.32801602160275	NA	2.697691209434	1.34558281334994	0.612941527715057	1.88348697598322	0.327356676119484	NA	NA	1.33685080437915	2.15873447608454	2.72980052399008	1.49696072001763	2.8458310089129	0.0851902421240587	NA	1.08177960308312	NA	0.135251303946949	0.457408024912967	-0.554946470963522	-0.082504496788233	0.236170979476387	NA	-0.574821198308301
"prt4"	1.10843328112814	4.22766022168315	2.0879527732602	4.34558567093327	2.08744447517491	-0.0940526692239281	3.2630697782107	5.60351554887407	NA	1.71204450296162	0.74624003368751	5.7761715356808	6.43871042129398	6.63649572455198	2.58411904463602	2.0888553369709	4.28077070588975	3.71135544105378	4.9852882445316	3.77701082118818	4.63163729764799	0.548795160055295	0.330096388496959	3.43783704506017	6.4053567748682	2.06236576695171	3.22835305791892	3.38234516585554	1.90039246301552	4.68004695072631	4.70900914078306	1.4538886941977	1.93102780693053	1.88587217248844	0.0659875225058836	-0.824388399286411	1.4279865577245	-1.71117695505032	NA	1.19012974770108	-0.395753728478679	0.303790904368911	NA	1.18482760029076	1.26137246587522
"prt5"	NA	2.58351786607835	4.60821403225101	-0.131813427817963	NA	2.51132341342265	1.66735440098701	0.169872690783778	NA	-0.0028040869814569	0.118964291187035	-0.579276509138136	1.18662473851911	5.47658465721366	2.58195753191379	1.4346969922696	2.73018061905509	2.193213056217	3.21073736083917	NA	0.426857954075508	4.43558435715005	-0.424223653340947	3.02586618162126	0.0115602126607914	-1.65249399818865	3.31210588635562	NA	2.85096896671603	2.07055824605838	2.49607531016791	2.42528809092885	3.2156248574946	1.38854516024998	-0.0247694935415044	1.43188960813495	0.544418883255194	1.14858690744317	-4.7036453235725	0.502654398406922	-1.3527642975775	1.85542979626379	2.54166125187114	NA	NA
"prt6"	-0.63749732885221	-1.21834228854505	NA	-1.21236721995579	3.79279271681578	5.62121924921359	0.352302303010513	NA	2.938474373741	0.908827964837113	1.14314323999686	2.64629906659026	-2.18630175004728	0.420008149524399	3.47318325820202	-1.63934382805535	0.940471490331969	-0.998315030874997	-1.06156962586233	-2.85389795963922	-1.06051271310478	0.831157330396791	NA	2.37167028762806	-0.479122866535811	0.227423114772267	0.544090051166793	-0.820017551955673	4.38148365477626	0.274324002165261	NA	2.20429939492904	0.994174582363986	-0.66511566504324	2.17382678151118	0.982066096426923	2.81526530131916	2.76296558804829	-2.00215582845572	0.796877371531323	-3.07112741418015	-2.52100654053311	-1.56633506197653	0.224093423852013	0.271089323672776
"prt7"	NA	-1.85935210178036	3.25855291158372	3.37389336572324	-0.918604562516666	NA	3.65283050852685	0.347858739970202	0.60383626053522	NA	-1.39577172828112	NA	1.31928900658729	2.01019123402061	-1.5008141093014	0.394813012554392	0.0808638852929096	2.41327356130979	-0.682610932492064	2.20547213559519	2.44643413415584	5.53750985452662	-1.65093832786204	NA	-1.50516761667834	3.01325239452912	4.05935292298932	-1.5575946759597	-0.771446465292968	4.14060475036543	0.119285045401734	1.01467602992454	8.1984115998539	1.48609234140154	4.77494599651638	0.229528694924945	0.717604473724859	1.30166153517935	2.93591469149928	0.0668323646328182	2.22925957322593	2.07221644762433	4.33906643981936	NA	NA
"prt8"	-1.02961928135515	3.28227164510953	5.44878151481388	NA	NA	-0.185496362280544	8.07882776036271	NA	2.82668050952348	-1.95535677935516	4.29225296022322	NA	NA	NA	-3.12135523636933	NA	4.84368586364774	NA	NA	5.96766843874861	0.157712356937118	0.5730116221014	NA	1.5873947142587	-2.57046873910762	8.53123419685759	2.69446931903905	3.85051435197188	6.03179929544623	4.69807202869316	3.08944963378996	1.32006749449083	5.62392057327354	4.89898502219978	4.42784851616221	4.34939288203825	2.13707026341056	3.07600793585657	6.24723645759834	0.543654448806976	-0.451605279118648	2.65518871370637	0.484548981819481	-1.65181250829738	NA
"prt9"	-2.07154746784759	-2.28361407381346	-1.74133373578342	-0.324049180433716	-2.81494103789674	-0.971557489921163	-1.90616534215352	-0.706517634667149	-3.36777477169422	-1.63730308240527	-1.97696525067651	-2.14471242251977	-1.19994004862963	-2.42906086324941	NA	-2.48283947016695	-2.22850556980812	-1.72124973095858	NA	0.0612090292026755	-1.51989791711919	-3.17353043513925	-2.1830757870915	-2.56227178045811	0.474442474818098	NA	NA	-1.76001096705666	-1.65012808124137	-2.06691744202964	-0.728142712223198	-3.0350371997074	NA	0.0324252970987252	-2.67413147455481	-0.106195904497137	0.709604571445815	-2.12108274103553	-4.42600378744134	NA	-2.2830902504781	-0.192909074691681	NA	-2.41911929703315	-2.44349373928681
"prt10"	1.37643256655144	5.92180719761771	2.62669557820734	1.87779300786882	2.75620952311499	-0.338366193833329	3.28760853927305	0.17063358013463	2.72482799036072	1.70441135729591	2.96377773275588	1.46780336818669	-0.0949053068685956	2.39701195073907	0.436723734888276	2.55476529716753	2.10559162664704	2.6532311444061	0.0999161778765325	2.25632556227611	2.88196680629479	0.88084831928985	0.52730146399035	1.42682873016057	1.53992266411903	3.99266016101203	0.423105640298028	2.00601190658732	1.49667161843249	1.36267586077369	-0.742335690393605	0.687303260902653	0.916318778434991	2.33020275256929	NA	0.781424821267731	-1.06434093761026	2.71407132957117	0.636478638842547	-0.365798331771752	2.91842425363073	1.14178482202744	0.107232628147447	NA	0.500880120161997
