"s.3"	"s.14"	"s.15"	"s.17"	"s.25"	"s.34"	"s.35"	"s.38"	"s.43"	"s.48"	"s.54"	"s.60"
"prt1"	2.84122782226532	NA	-0.54279130078565	0.890501243328628	-0.0112902425403825	-0.951193683442603	-2.34301351801945	0.0348587512553885	1.18108523313872	-0.612677239080955	0.48063672661535	0.0700512802514732
"prt2"	2.36634933049074	NA	0.0350382912648504	1.7508186633381	-0.760317040569396	-0.183502025666243	-0.451948246393939	-0.0870652839110859	NA	NA	-0.710081114443083	-2.51655388121885
"prt3"	-0.0393490060194616	-2.52458489810439	NA	0.661733176305104	-3.62015757830241	-0.385468823024638	NA	1.26883476796826	-0.375642375780383	-2.00124892823502	NA	-2.95303847742636
"prt4"	0.961857206624389	1.80673366753161	NA	-0.460877605870095	0.871235514151716	-0.332055507021077	0.362786306152234	1.72841691558526	1.88603700168475	1.23460211889839	-1.38406348989984	-1.87918481974046
"prt5"	2.21220864599797	NA	NA	1.7301358535925	1.53843479455064	3.01970968721068	1.39363235554742	2.75166239751843	1.70660347839601	0.51547798657485	0.474245256678823	-0.0148816132885757
"prt6"	3.41933128037854	3.95999401230651	0.686963415602928	4.26920467739448	0.0363585595663356	NA	2.94188118433296	1.27373987332293	2.04746026485363	NA	4.97509432180625	1.20971045559566
"prt7"	-1.94656084896466	NA	1.26711997709907	0.129260369280541	1.31754129074728	0.399600196762772	-0.343857149482667	-1.38302741393223	-1.98816852145814	1.79913655350367	1.00057225352598	0.71909715792126
"prt8"	1.31606775231702	4.39960311181212	-0.341381035607977	6.72554641764411	2.38566864009811	3.36315615289041	2.36708291374211	2.68141180880327	5.29146358945713	2.35868765885259	NA	0.749795125269952
"prt9"	-0.598875912811934	0.884958985007724	0.961751430539296	2.52093101801363	2.86255242911292	NA	-0.787961990456611	-2.48672720134105	1.02927432049432	-0.445601414315404	-0.302282780090388	-0.68052542055604
"prt10"	0.642629303836413	-1.14245430781998	1.38304378534772	-0.154832111776984	0.0267763958927716	2.72383945486421	1.58310358068618	3.27457182755195	0.262507717048347	0.671827777635514	4.9690426671691	-0.25286826850559
"prt11"	-1.06602289808897	-3.73428210360029	-0.357287125524968	-2.70274076016994	NA	0.633055348776643	NA	0.877925337467471	0.483487206481119	-0.256016768962639	0.292673104608016	-0.698525493456539
"prt12"	NA	NA	-0.39568913479501	-0.920889859878056	-0.211176071408482	-1.41441880401138	-1.77021308116577	NA	-0.615484807192724	-0.369167996428694	-1.33960249983667	-1.62389280643026
"prt13"	-3.07176711319315	-0.627451371157012	1.23757276374326	-5.03616276737515	-0.889457207201225	-2.97867274381085	-0.81719689752427	-1.36823899865423	NA	-1.88487892118349	NA	NA
"prt14"	8.85676280700396	8.08115556869833	NA	8.79920310207708	8.29010890889874	6.75765306419625	6.98671801838847	5.82552583450209	7.84692388502593	5.33652659889054	4.59781509277401	4.85721390273667
"prt15"	2.3810692886485	1.95828698229318	3.3139151804027	NA	4.53392294506919	3.31793238225592	2.23284546026839	3.73886369949712	3.97133640591924	3.19308844815052	5.52952576703642	3.85106284828795
"prt16"	7.14160729435124	3.49737278844897	6.33161921067328	4.53653908994074	4.52593618796284	NA	6.81785872357773	4.69882549807127	6.22479711410988	3.3238435427663	3.76554679238477	1.5104943904782
"prt17"	2.84640680093946	3.29165874280953	2.6146349231269	4.04953941488195	5.49841540714857	6.32582586698898	3.48229052144373	0.0746066584907589	7.26608622002238	2.2715797262956	1.41721923235586	0.776096768728898
"prt18"	-1.68898217528959	2.07320598010123	1.21117992080367	1.93194392164866	0.304211417756997	-0.466066729427721	1.64478419406488	NA	-0.151975395056194	-0.149182216976346	-1.85740035110712	0.221236442435213
"prt19"	NA	3.67655956482421	2.46847600669208	0.523783168064283	1.47639821264673	0.219341509590883	-0.783028743654193	2.25817738170523	0.632596987261718	-0.0478076910224949	3.03007423815661	3.61398907049827
"prt20"	5.38980001290517	1.87295140984686	NA	7.90803645930972	2.16281175234154	1.7641629389806	1.43412582899917	5.69134661787911	4.84600176998415	5.77920756764501	5.07005232724215	3.91551618002996
"prt21"	1.2646492549478	1.2352122228041	0.0359450300445807	-0.699789352842177	-0.0631694259702902	0.34724490746199	0.159147515647076	1.17123816362258	1.32112542856017	0.623376319580314	1.61504023717053	-0.197522207638754
"prt22"	-2.54561992026377	-0.254011863997614	-1.3807212313264	1.42313804614238	-2.18977219686229	NA	-0.557683624388973	-1.64027632160372	0.446693515686533	-0.961057483921748	-2.82715154503365	-3.24288771431992
"prt23"	3.35091288484501	2.274112362561	0.566591244948128	1.24086318960341	2.05681334199612	0.13848097264117	0.440766664534472	0.984300703364346	2.53951530747454	2.49581743971253	2.57854731553328	2.56318652796872
"prt24"	8.16852980099084	NA	0.564208083980417	6.39926835933216	7.30707874680751	5.22439956757666	9.12423781958014	NA	3.49206139450975	0.851059610301341	2.40668595660457	2.24449321679167
"prt25"	-3.06740490912026	-2.30196146470506	0.428613592550686	1.66494379540382	NA	-0.0595883315784764	NA	-0.19595599867547	2.16452795463012	-0.757332480570487	0.14190822836028	-1.94472892704564
"prt26"	-0.0524110850062384	0.135409882237985	-2.01559406576216	-0.977489037835568	-1.15036341966969	-0.199001075003647	NA	0.485710033314114	-0.63841697402236	-1.41255914661734	-2.70337513450805	-3.12507508569872
"prt27"	-2.53562182304892	NA	2.91590570006807	3.96997231327938	3.88133007833072	NA	NA	NA	-0.125927185313833	2.58837243547308	-0.573768275408879	-0.251676488228488
"prt28"	1.26365617245457	5.39805842503505	NA	NA	4.25253741588616	4.7526673903182	4.49484751097965	-0.325302388993323	-1.0937845614565	-0.047717117728123	-0.388687709276798	3.97880608803487
"prt29"	2.15329154069445	2.39604535115994	2.29938266906745	-1.12238859073488	NA	1.9207296769677	0.945592052250546	2.1801699002495	3.61346782323993	2.06966616859476	5.78673193659405	0.716595909660595
"prt30"	1.76689351660194	-0.677317841451029	0.455974288472649	0.103171441486415	1.05598735241355	1.23130379349549	-0.358803996959469	1.84151679197672	0.649014544657292	-0.379513253997745	NA	0.643760854467161
"prt31"	2.24319411225628	-1.50880720552631	2.00221709335546	-2.28439195799802	NA	0.625810704428021	NA	-0.734189526041041	0.74828740154968	-1.17292393018836	3.06271000532541	-0.286475350918146
