	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A0A075B6H9	3.502336275620434	14.390868273563857	-1.4120993416283687	0.32837609713418203	0.1386694948853815	0.5180826993829826	0.00397997369012514	0.0011820222613529551	39.0	3.0	3.4702604840953786	0.001284772076242124	0.004298734242520817
A0A075B6I0	1.4283095974710576	14.558537404965637	-5.708168908819221	0.28914090159301864	-0.13112151195799926	0.7094033151440365	0.24821036810150368	0.16749534238428537	22.0	3.0	1.4306971202098338	0.16656845336546403	0.24752630500119233
A0A075B6I9;P04211	4.832409473146015	15.52683799245725	2.97882243700926	0.49893859822631015	0.2921565791569005	0.7057206172957198	9.170217740973268e-05	1.0687095863540274e-05	57.0	3.0	4.814018972022438	1.1282302850689713e-05	9.83964773207693e-05
A0A075B6K0;P01717;P01718	-0.17066084686313635	13.50536056061323	-6.687946040093631	-0.013698855897811058	-0.18081944715081377	0.15342173535519166	0.8899353295789884	0.8661545048802906	21.0	3.0	-0.16424794757187422	0.8711065791715713	0.8946500002302624
A0A075B6K2;A0A075B6K5;P80748	-0.7969540483371683	13.637893888032693	-6.389883915937086	-0.11107364226750249	-0.40041539372675355	0.17826810919174857	0.5213670698442144	0.43414588710711843	22.0	3.0	-0.792023101678521	0.4368045698238884	0.5245598897207869
A0A075B6K4	3.4975139451917374	15.797284825307923	-1.4134792965707437	0.369730502339209	0.15601276866016597	0.583448236018252	0.00397997369012514	0.0011747264253260637	40.0	4.0	3.5084365761131107	0.0011300480764148055	0.003939283451504572
A0A075B6K5;P80748	2.3100584679149456	15.207238389309932	-4.269020268592552	0.2629687463871324	0.032639060587241836	0.49329843218702296	0.05205447275546977	0.026320776637634147	39.0	4.0	2.3179596395806463	0.02578714775178907	0.05099911748680961
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	4.732001857016557	17.37544266721968	1.1580386059926635	0.48468237648383905	0.2720420178269697	0.6973227351407084	0.0005712778281309657	0.00010544964599586127	22.0	3.0	4.644333175431668	0.00012506551255619342	0.0006779239079386291
A0A075B6P5;A0A087WW87;P01614;P01615	4.215960397805289	17.539279574309173	-0.12013295629626697	0.529590959194735	0.2680597014410189	0.7911222169484511	0.0017243403664174805	0.00040127975796261297	21.0	3.0	4.171148999443484	0.00043154173360686473	0.0018366416182308163
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	5.5368715940425215	16.450507283392888	4.647681335251014	0.4740608766304746	0.3009659266879299	0.6471558265730193	2.6900867215780513e-05	2.174318214809327e-06	40.0	3.0	5.473319229072044	2.5942815043186586e-06	3.209669209994247e-05
A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2.683615704034623	17.870039562561182	-3.5204460735265455	0.24120114085518551	0.05407321854466779	0.42832906316570324	0.031917086072248246	0.014045882788680415	21.0	3.0	2.6068438537737975	0.01646723906605064	0.03561207798023959
A0A087WSY6;P01624	5.253904999030207	15.562950212118242	2.384734755493673	0.4921394369556431	0.29767538697256596	0.6866034869387203	0.00020538913309976192	3.016460175666586e-05	22.0	4.0	5.262308124538907	2.7980066194960893e-05	0.00019586046336472627
A0A096LNW5;P0DPK3;P0DPK4;Q04721;Q7Z3S9	-2.312654185955688	13.497354087210411	-4.253012266362623	-0.18567913415125403	-0.3523600120135141	-0.018998256288993987	0.058542818348729174	0.03066471983026081	22.0	3.0	-2.2325331513711193	0.036077910213311845	0.06758256420240105
A0A0A0MRZ8;P04433	7.138955243198142	16.355313844680996	9.678369536809033	0.6403010161263722	0.4589732689436356	0.8216287633091088	4.1259758672712655e-07	1.2682785640139907e-08	40.0	3.0	7.067144189763909	1.5125430479466586e-08	4.47040500837568e-07
A0A0A0MS15	2.949850868692957	14.725931206433875	-2.7927465195963004	0.39541333498565123	0.1258407871301957	0.6649858828411068	0.012807884790143463	0.0049177050395472445	48.0	3.0	2.946078686493365	0.004952953446806387	0.013088123143550736
A0A0B4J1U7	6.475330123850344	15.508104239044288	8.890107376443273	0.8627506385065136	0.5959095085782801	1.129591768434747	6.356529373529987e-07	2.4321027516061863e-08	57.0	3.0	6.469239459856023	2.424822330213633e-08	6.450027398368264e-07
A0A0B4J1V1;A0A0C4DH32;P01762;P01763;P01780	4.212129537714481	18.042368008073858	-0.1289791721284903	0.4833180101695369	0.2444209405304781	0.7222150798085957	0.0017243403664174805	0.00040494153145605383	21.0	7.0	4.208803965511057	0.000394375203257482	0.0017339471746527309
A0A0B4J1V1;P01762;P01763;P01780	7.108777100959853	17.28567294296223	9.584371421688207	0.595171741617051	0.42590870024484917	0.7644347829892528	4.1259758672712655e-07	1.3960068723850146e-08	40.0	5.0	7.139121165205285	1.2015092022241348e-08	3.912755942439595e-07
A0A0B4J1X5	5.243981057909401	17.025643261540004	2.3615510704842713	0.8045811142872168	0.4860571634757574	1.1231050650986762	0.00020538913309976192	3.088558392477623e-05	22.0	3.0	5.225126076055499	3.059666384195531e-05	0.00021139513199896394
A0A0B4J1X5;A0A0C4DH42;P01767	3.4832632886666626	15.848525110042322	-1.7945494558332538	0.3410057173111216	0.13718190496050317	0.54482952966174	0.007005828868850715	0.002265042416244968	21.0	3.0	3.403402065723267	0.002676594541858269	0.007910823868158884
A0A0B4J1Y9	4.816905950475745	16.237515703021764	2.9257394260714165	0.516711669158866	0.301874461637226	0.731548876680506	9.535466490677459e-05	1.1291999791591727e-05	57.0	3.0	4.8011075171757485	1.1812067388736193e-05	0.00010135515888399443
