Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P37689	2.40623298251414	2.26662854413486	2.54583742089343	27.3695383596082	35.825726106788	1.92624297623546e-20	4.84835357118466e-17	36.8261260360523	P37689	27	37.0658217759595	1.13512070723974e-21	2.85709882012243e-18
P0AEE5	-4.52343585415464	-4.79934090239031	-4.24753080591897	25.1163531857962	-34.0773128182299	5.46332435064781e-20	6.87559369529026e-17	35.8347416059179	P0AEE5	20	-35.1608622559992	3.64932713173751e-21	4.59267819529165e-18
P37349	1.64699568125624	1.54341076004123	1.75058060247125	24.2322890048635	33.0485547485917	1.03384941822694e-19	8.67399661892405e-17	35.2239717428733	P37349	15	34.0827394905906	7.26348880319973e-21	6.09406710588457e-18
P19926	-1.75004666649084	-1.87780525027249	-1.6222880827092	25.638947739957	-28.4718765825307	2.27333636883329e-18	1.43049691008835e-15	32.2245495611025	P19926	20	-29.4965111672623	1.7521883210518e-19	1.10256450102184e-16
P37440	-1.98758516099485	-2.13505203159087	-1.84011829039882	24.3914838019678	-28.0148197996463	3.17574247409015e-18	1.59866876145698e-15	31.8965690961819	P37440	12	-28.6942752044991	3.20872975904323e-19	1.61527456070236e-16
P37903	-1.61763592028034	-1.74178508854092	-1.49348675201976	26.6519576214204	-27.0827973095654	6.38260080362172e-18	2.67750103711931e-15	31.2097362634341	P37903	12	-27.6692636701237	7.11839345036574e-19	2.98616605242843e-16
P69828	-1.46893432665316	-1.59060465846776	-1.34726399483857	27.6156707808045	-25.0942510803662	3.06334103982472e-17	8.79309798919303e-15	29.6573343525431	P69828	21	-26.0184700762694	2.72899581128078e-18	9.81268922427673e-16
P23538	-2.69097757846706	-2.91415144566018	-2.46780371127393	26.6191098610276	-25.0624366326883	3.14413515704161e-17	8.79309798919303e-15	29.6314703425083	P23538	61	-25.6125633801296	3.8444550584679e-18	1.1202883039649e-15
P77318	-2.84777159759817	-3.08608740081529	-2.60945579438106	24.0133249258274	-24.8375562522576	3.78270441314855e-17	8.91490501007318e-15	29.4476802387709	P77318	13	-25.5642702437495	4.0057984647136e-18	1.1202883039649e-15
P0AB77	-1.46175370170122	-1.58425684019659	-1.33925056320584	23.801859045249	-24.8018192821397	3.89606496268593e-17	8.91490501007318e-15	29.4183155221431	P0AB77	13	-25.431332561235	4.48746061732413e-18	1.12949383738048e-15
P15078	-3.08462426904746	-3.34801203564423	-2.8212365024507	23.9037500434925	-24.3423903957121	5.7153763184045e-17	1.19880018278534e-14	29.0368920852681	P15078	6	-24.7494739818301	8.10546069282875e-18	1.85467677853181e-15
P02925	-2.30158807696668	-2.50547596476232	-2.09770018917105	27.1880156374235	-23.4634961466987	1.21266459832412e-16	2.18019770998701e-14	28.2863103535897	P02925	24	-24.2340550974003	1.28024059357845e-17	2.6853046450308e-15
P37188	-1.69816144722103	-1.84783118410132	-1.54849171034073	27.2574934620482	-23.5831348096248	1.09296477101399e-16	2.11614794510939e-14	28.3901449996776	P37188	9	-23.8920730789672	1.74254426123609e-17	3.37383377348557e-15
