Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P76594	-1.94181021225865	-2.05562049718792	-1.82799992732938	16.0445161815389	-35.67577409473	4.49505493872176e-19	1.26940351469503e-15	33.9043874096758	P76594	21	-36.8980275946335	7.30873825838279e-21	1.25751077406054e-17
P27306	-1.77218546767841	-1.88000976242908	-1.66436117292774	17.7372757297019	-34.3669253673899	9.14274473579609e-19	1.29095555669441e-15	33.2122637810257	P27306	30	-36.5536968153614	8.90588366898402e-21	1.25751077406054e-17
P22259	-2.63520189057935	-2.80153702137761	-2.46886675978108	19.8987972696395	-33.1266900647126	1.83630218823757e-18	1.59327272909438e-15	32.528979135445	P22259	50	-35.5085880967603	1.64091238074423e-20	1.5446455210739e-17
P25553	-3.46293971058851	-3.69055123677886	-3.23532818439817	19.4679806247282	-31.8125743606915	3.95420956215156e-18	1.86111463391933e-15	31.7737620955239	P25553	31	-33.6060013732403	5.22713406957151e-20	3.69035665311748e-17
P77318	-2.63930012892948	-2.81034915696504	-2.46825110089393	15.7010195549341	-32.2638584283458	3.02823528926369e-18	1.71034729137613e-15	32.0368773668846	P77318	11	-32.6272835139027	9.72562699461959e-20	5.10478473341786e-17
P23538	-2.76525600139133	-2.95578091507204	-2.57473108771062	19.2060087465571	-30.3481138810486	9.64475902578548e-18	3.07339066098259e-15	30.8913404209178	P23538	40	-32.2704458858218	1.22510653586797e-19	5.10478473341786e-17
P0A6J5	-2.10984883820994	-2.24993685666685	-1.96976081975303	18.3664469907418	-31.491872457615	4.79037587315081e-18	1.93257449511113e-15	31.5843134867969	P0A6J5	16	-32.220785415961	1.26535032343927e-19	5.10478473341786e-17
P0AGE9	-2.0546423408301	-2.19652048485339	-1.91276419680681	21.0197688222521	-30.2809063458359	1.00575197958586e-17	3.07339066098259e-15	30.8497542814616	P0AGE9	28	-31.9773548149016	1.48361283690407e-19	5.23715331427137e-17
P0A9Q7	2.34078902936556	2.17377239477376	2.50780566395735	20.7508233908915	29.3056042234849	1.86661758409702e-17	4.05486773653076e-15	30.2349568864823	P0A9Q7	97	31.7270492452855	1.74948926477412e-19	5.48950853746902e-17
P0AAG8	-3.36197004713839	-3.57649945775537	-3.14744063652141	14.511721861476	-32.7683923751632	2.25676023951046e-18	1.59327272909438e-15	32.3263466373977	P0AAG8	5	-31.565150145813	1.9476278699221e-19	5.50010110466002e-17
Q46851	-2.14326300403747	-2.2949196417927	-1.99160636628223	17.6186153275931	-29.5503193816355	1.59541034158418e-17	4.05486773653076e-15	30.3912373844976	Q46851	27	-31.1496867251941	2.57119013460375e-19	6.60094630920089e-17
P27550	-2.96990081780456	-3.18507034453191	-2.75473129107721	19.569078174722	-28.8608632091178	2.49102559899611e-17	5.02475449397502e-15	29.9473692991779	P27550	32	-30.5153405895712	3.95660065072019e-19	9.31120019802819e-17
P77252	-4.24021909259379	-4.53424148770462	-3.94619669748296	15.3814039075713	-30.1547700654841	1.08831114057457e-17	3.07339066098259e-15	30.7714380474739	P77252	5	-30.2300515914818	4.81642845007494e-19	1.04627645715474e-16
P0A853	-2.49022100412355	-2.6762722690435	-2.30416973920359	17.0707439331584	-27.9868100349699	4.447874774283e-17	6.97822131254178e-15	29.3683236391083	P0A853	20	-29.2348368002642	9.70063162461047e-19	1.95675597913571e-16
P19926	-1.87094933851783	-2.01039760875983	-1.73150106827584	18.1657380420958	-28.0541446168952	4.25100273183939e-17	6.97822131254178e-15	29.4136014646395	P19926	18	-28.928204332167	1.20914804179635e-18	2.27642271335526e-16
P0A8A4	-1.45748551235879	-1.56116997090213	-1.35380105381545	16.9982416803576	-29.392648260421	1.76498359708943e-17	4.05486773653076e-15	30.2907030160223	P0A8A4	13	-28.6454162514789	1.48449483916971e-18	2.50851766050779e-16
P0AEE5	-4.17648281375372	-4.49608876785751	-3.85687685964993	18.5450284239666	-27.3239808499155	6.98453957980064e-17	9.86216988667851e-15	28.9164518493227	P0AEE5	16	-28.6219767616274	1.51008499393175e-18	2.50851766050779e-16
P77674	-2.78141876885284	-2.99408037279092	-2.56875716491475	16.1024094225673	-27.3479911637529	6.87004714627062e-17	9.86216988667851e-15	28.9330188202244	P77674	14	-28.3245559688697	1.87798671456395e-18	2.94635248996033e-16
P21177	-2.89577447816886	-3.11941157204208	-2.67213738429563	17.2616735430259	-27.0750352791267	8.29693761215312e-17	1.10634654159821e-14	28.7437846050453	P21177	15	-28.1429058976113	2.14778672274631e-18	3.19228931843978e-16
P37188	-1.98149250493785	-2.12909223416071	-1.83389277571499	19.8662413966654	-28.0708141118867	4.20369287046538e-17	6.97822131254178e-15	29.4247929861668	P37188	11	-28.0115936571059	2.36786740463901e-18	3.34342877535028e-16
