Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P22259	-2.62310494718308	-2.76371191290088	-2.48249798146529	19.8876661645498	-38.5589841290727	5.56764800392515e-25	1.5695199723065e-21	41.9575190570022	P22259	50	-41.1289972405681	5.56764800392515e-25	1.5695199723065e-21
P0A9Q7	2.32798211419411	2.18947378023494	2.46649044815328	20.7560567534228	34.7392539321305	5.5042651327437e-24	4.58557085628847e-21	39.6094454152455	P0A9Q7	97	37.5672913623739	5.5042651327437e-24	4.58557085628847e-21
P76594	-1.9046731256634	-2.01246523869552	-1.79688101263129	16.0158833926006	-36.5216358557123	5.89739958735e-24	4.58557085628847e-21	40.7381971828329	P76594	21	-37.4648131378621	5.89739958735e-24	4.58557085628847e-21
P0AAG8	-3.35884068832823	-3.53561582807327	-3.18206554858318	14.5033285594111	-39.2721763759947	6.50666315188147e-24	4.58557085628847e-21	42.3677595092686	P0AAG8	5	-37.3192374403578	6.50666315188147e-24	4.58557085628847e-21
P23538	-2.74625816592712	-2.91356552700464	-2.57895080484959	19.1754352901186	-33.9268130302546	1.78565831402191e-23	1.00675415744555e-20	39.0741849137487	P23538	40	-35.8556113264753	1.78565831402191e-23	1.00675415744555e-20
P0AGE9	-2.06447805855262	-2.19090320660284	-1.93805291050241	21.0167604309145	-33.7515369316155	2.5651662201872e-23	1.20520059578462e-20	38.9569198148996	P0AGE9	28	-35.3440459545541	2.5651662201872e-23	1.20520059578462e-20
P77318	-2.66893982626262	-2.82721381478301	-2.51066583774223	15.6863074033364	-34.8534672760122	3.01922958704495e-23	1.21588688655424e-20	39.6836205331604	P77318	11	-35.1161763645029	3.01922958704495e-23	1.21588688655424e-20
P0A6J5	-2.06415377207972	-2.19161551365249	-1.93669203050695	18.3576503576539	-33.4717911220495	6.84566825999454e-23	2.41224235311557e-20	38.7684168687093	P0A6J5	16	-33.9927930489064	6.84566825999454e-23	2.41224235311557e-20
P27306	-1.74740539931416	-1.86574263886066	-1.62906815976766	17.7235758338675	-30.520313642123	2.95547501577629e-22	8.53452491470266e-20	36.6723295327757	P27306	30	-32.0707384241152	2.95547501577629e-22	8.53452491470266e-20
P25553	-3.50581412750721	-3.74401456397948	-3.26761369103494	19.4290331423819	-30.4202715946337	3.28948687768721e-22	8.53452491470266e-20	36.5976269077321	P25553	31	-31.9341866310196	3.28948687768721e-22	8.53452491470266e-20
