	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	-5.004546336136318	21.14499252045849	2.373173470252521	-0.29207983420126027	-0.4083015178724081	-0.17585815053011244	6.087564929146285e-06	3.4701033756083608e-06	78.9	4.0	-5.037038704202675	2.92808273934937e-06	5.174753631331633e-06
A5A613	-3.417081355756317	13.74295073835549	-3.2827261085162345	-0.3776073567830984	-0.6013654643432899	-0.15384924922290696	0.0021909551535063375	0.0015297657533563287	39.9	2.0	-3.424239119910768	0.0014394893868162853	0.002064758574376265
A5A614	-9.759136533625052	18.12603828988207	24.1865529681222	-0.8382927776584879	-1.008951407096828	-0.6676341482201479	3.0025361063331923e-15	9.302303619691028e-16	91.9	2.0	-9.737304432766223	8.232453861417847e-16	2.6482601578920557e-15
A5A621	7.475127807736177	17.308356593013485	12.59370995293106	0.5930215259553648	0.43500810606938	0.7510349458413497	2.6758538093093693e-10	1.1252979344772898e-10	77.9	2.0	7.429444852892577	1.1956730963066455e-10	2.8128283276301773e-10
O32583	-8.846410491757505	18.74208249180769	19.666749787306667	-0.7615852763218776	-0.9326776544618265	-0.5904928981819286	2.521794937486212e-13	8.693718488644398e-14	89.9	2.0	-8.82549575328892	8.008197366805914e-14	2.3288816451527454e-13
P00350	9.439699678734902	25.4371046827317	23.100924318351304	0.21077911106156932	0.1664488553486533	0.25510936677448537	8.447750873689076e-15	2.6678124677295477e-15	96.9	44.0	9.605282835678286	9.636309300262194e-16	3.0963808671886266e-15
P00363	-2.965632998710513	23.258506957998634	-4.373013018831655	-0.1382869072024988	-0.2308620741029595	-0.04571174030203812	0.005281289287591997	0.0038221555724382177	96.9	41.0	-3.0033305454801797	0.0033978557111833617	0.004713207800929246
P00370	10.924022848924002	24.491136352062753	30.382518922501692	0.4763052729451118	0.3897420067131311	0.5628685391770926	6.970285270702142e-18	1.8429989346564867e-18	96.9	35.0	11.06343253810302	6.998181863745215e-19	2.682167961968213e-18
P00393	3.350346329720819	22.59225029729972	-3.262933771106031	0.10519882428121718	0.04286094428272201	0.16753670427971235	0.0016860055849178864	0.001160122599471965	96.9	29.0	3.3958727069922836	0.0009931974465681298	0.001448560514276391
P00448	-12.000112424332489	24.930265042449843	35.599389021154636	-0.6843788005475346	-0.7976037352610463	-0.571153865834023	4.444985429213431e-20	1.0122705203797266e-20	96.9	18.0	-12.136593168633775	3.6809940864050086e-21	1.638986947026056e-20
P00452	-1.7911371984934576	22.789027372631306	-7.0275112993394995	-0.0730180696851761	-0.1539523184083339	0.007916179037981683	0.09175118224095546	0.07646465973696114	96.9	43.0	-1.8147312012146746	0.07265912508723842	0.08747816447635137
P00490	26.055206844772826	22.642402192750406	91.79318992071171	0.7744052998868938	0.7153981502017429	0.8334124495720446	9.47259640304668e-44	5.488874397351485e-45	96.9	48.0	26.44377537090843	4.157201859256543e-46	7.346956125340422e-45
P00509	-3.8660743737946497	24.93217162538575	-1.6110893625368448	-0.11227931447247386	-0.16993742326692507	-0.05462120567802265	0.0003109301083069532	0.00020265301505440958	96.9	40.0	-3.923463913730616	0.0001631494860509949	0.0002527581052835489
P00547	-13.406004899912901	24.138120777046517	42.2677723412165	-0.36858219931086467	-0.4231662584466993	-0.31399814017503	6.833592443425642e-23	1.3175490844467183e-23	96.9	16.0	-13.546852988058038	4.3519341121116705e-24	2.2861628188946263e-23
P00550	-10.367011134879979	21.621146317704298	27.656234535614434	-0.3058427716197514	-0.36441280899480233	-0.24727273424470045	9.830215872513101e-17	2.805199569627385e-17	96.9	15.0	-10.471760927893241	1.3031173239280756e-17	4.62881501042938e-17
