Symbol	metap	metafc	idx	ID
P37689	9.37698797518716e-104	2.48293569636466	255.811741608537	P37689
P23538	9.92860176749433e-104	-2.91370049069237	-300.120217710184	P23538
P77318	3.44165591482037e-94	-2.73846337360047	-255.945639119598	P77318
P0AEE5	1.69793038647285e-92	-4.58612696684863	-420.869239185379	P0AEE5
P22259	2.19700313211232e-92	-2.7432668112244	-251.442813883941	P22259
P25553	7.86290843871025e-88	-3.53875339516995	-308.241050619965	P25553
P0A796	2.7502994180481e-87	1.68133149035008	145.537096269013	P0A796
P76594	1.93533534863892e-84	-1.88386289622146	-157.704273862498	P76594
P19926	5.23980338301514e-84	-1.86814292135377	-155.58022218517	P19926
P02925	2.03598727554286e-83	-2.27694110696388	-188.283049252377	P02925
P0A8A4	3.50290327906681e-83	-1.43417852115174	-118.256010102439	P0A8A4
P37188	5.70319527713205e-83	-2.02364069875866	-166.432066349258	P37188
P27550	6.5241820098415e-83	-3.27677662482554	-269.303439879388	P27550
P27306	9.28085667761074e-83	-1.68990032941742	-138.626599950168	P27306
P41409	1.1713000368023e-82	-1.58936240999138	-130.218579031903	P41409
P37440	1.19278990833285e-82	-2.21578811616636	-181.524976021617	P37440
P15078	2.83667130825271e-82	-3.75278369173879	-306.028968431892	P15078
Q46851	4.71011110149553e-82	-2.16069598206625	-175.722854824944	Q46851
P76503	8.97537924243415e-82	-2.2722827449425	-184.161579634284	P76503
P08839	7.43343378583655e-81	1.71011370544764	137.029377076167	P08839
P0A9B2	8.81363385526103e-81	1.25672814922547	100.607177187531	P0A9B2
P09832	1.00651565281419e-80	1.25090901642565	100.069193083639	P09832
P0AGE9	2.50415504701359e-80	-2.04451732937471	-162.746316587146	P0AGE9
P0A9Q7	5.24432983743957e-80	2.49424411922127	197.744446991429	P0A9Q7
P0A836	1.17793095332968e-78	-2.06901813372348	-161.23626620381	P0A836
P04982	1.23742486502291e-78	-2.2195156486875	-172.916873587647	P04982
P37349	1.49465630516361e-78	1.4376423935302	111.885178667667	P37349
P69828	2.28538732510455e-78	-1.63158204264532	-126.677726939083	P69828
P25888	6.60963405111729e-78	1.72827546470115	133.387993743625	P25888
P21151	3.11010996013891e-77	-2.62509599112509	-200.838807686306	P21151
P0A9G6	3.58501855954515e-77	-1.76582329867763	-134.989260150413	P0A9G6
P77674	4.17247507389177e-77	-2.81683303079381	-215.14859776146	P77674
P33025	7.1768860975341e-77	-2.63057302427273	-200.302520575598	P33025
P69786	2.76883064333956e-76	1.74782305953195	132.061496690018	P69786
P37685	6.39344102258215e-76	-2.26115150635525	-170.025626335343	P37685
P0A9P6	6.52988919608717e-76	1.56002339818734	117.290506128335	P0A9P6
P0AB77	6.61960492997364e-76	-1.69872312082699	-127.708590765985	P0AB77
P21177	7.06454767794954e-76	-2.99832315183653	-225.326730243668	P21177
P39396	1.86796723127917e-75	-4.91209790899778	-367.074350832779	P39396
P0A6T3	2.71332497496987e-74	-1.16693986083216	-85.8476791570257	P0A6T3
P37903	3.22564407853319e-74	-1.89463414053979	-139.239284318583	P37903
P0ACL9	4.40432549764276e-74	-1.429164279486	-104.837947232294	P0ACL9
P77399	7.5537973873996e-74	-2.02123265980106	-147.796240376072	P77399
P07014	8.05527144913181e-74	-2.25581365001074	-164.886262062753	P07014
P0A6D3	1.39053559268209e-73	0.990911067861961	72.1946272166912	P0A6D3
P76558	7.00866405938073e-73	-1.52348276191241	-109.925930902816	P76558
P0AFT5	7.16995040220392e-73	-1.47122644178307	-106.140872266754	P0AFT5
P25906	8.28615926871284e-73	-0.984096356424103	-70.9352859055079	P25906
P0AAG8	1.53679997846324e-72	-3.12882791689192	-224.691716455005	P0AAG8
P29012	2.6721884837167e-72	-2.55464926046035	-182.844251062492	P29012
P0AE22	5.17926493496578e-72	-2.29716632745628	-163.755182886608	P0AE22
P0ACL5	7.01465257597177e-72	-2.06255050262616	-146.758705746141	P0ACL5
P0AC41	1.05842999165711e-71	-2.13727469331537	-151.693793462995	P0AC41
P0ABH7	1.63261589955344e-71	-1.63312379917986	-115.604123779554	P0ABH7
P0A6J5	5.71772086431593e-71	-2.02196771618771	-142.028627491391	P0A6J5
P0A9J6	7.53876364200922e-71	-1.20549569891419	-84.5326130927049	P0A9J6
P0AEW9	1.15035105992041e-70	1.8285486540161	127.887174440607	P0AEW9
P23857	1.5826323332071e-70	-2.22803842854099	-155.518463619952	P23857
P24203	2.94693581390054e-70	-1.6873325060721	-117.321291024773	P24203
P23721	3.07638553425329e-70	0.808077864649688	56.1710755898285	P23721
P0A9D8	3.56535009819187e-70	1.10580099013341	76.7955541702013	P0A9D8
P28904	4.32471946577897e-70	1.90083848937309	131.84984092411	P28904
P00864	4.74824073176242e-70	1.28432478149803	89.0338469552542	P00864
P0A968	7.73373381909656e-70	-1.96331783437082	-135.68805800573	P0A968
P37661	1.72563556516451e-69	-1.22490886217017	-84.228470458154	P37661
P04983	2.79367277274127e-69	-1.5842947213588	-108.609462228595	P04983
P77433	3.57758294506637e-69	-3.37221079024451	-230.815723328312	P77433
P77252	4.18015489444279e-68	-3.95407198468541	-266.420655592585	P77252
P0A6F3	6.97532609322085e-68	-1.73687764115319	-116.642511252604	P0A6F3
P0AFG8	8.8846406805814e-68	-1.04381852008195	-69.9894515020197	P0AFG8
Q46939	1.4128839413355e-67	-2.69701443252218	-180.295127611686	Q46939
P31142	1.55022987558852e-67	-1.06801814065741	-71.3538689329511	P31142
P06959	1.577311076191e-67	-0.95047764442177	-63.4938861567594	P06959
P21514	2.38835759589529e-67	-1.83894777811053	-122.514196170333	P21514
P08331	2.87193913852643e-67	-1.13749573212001	-75.6910416808515	P08331
P0C8J6	1.6867090825659e-66	-1.91520011432598	-125.968380160083	P0C8J6
P0AFG3	3.72528154909902e-66	-1.57502133231945	-103.05182016422	P0AFG3
P09831	6.0592609748022e-66	1.35518982623504	88.3822013709589	P09831
P0AFG6	6.22938271990349e-66	-1.55218169138947	-101.210868626447	P0AFG6
P0AB91	9.36100131911997e-66	0.93645956131542	60.8967269858311	P0AB91
P0A9P0	1.10230343502541e-65	-1.04869381400117	-68.1207369444463	P0A9P0
P10371	1.18649246435138e-65	1.11258885558655	72.2356492192647	P10371
P46118	1.52961841220027e-65	-1.24937458187294	-80.9787343850869	P46118
P0A853	2.20347588379857e-65	-2.63317958551292	-170.253207282723	P0A853
P05793	5.60284209809074e-65	1.14576756695269	73.6173897996759	P05793
P42593	1.25459412023457e-64	-2.48313641156331	-158.676133338666	P42593
P0ACW6	1.41691038476178e-64	-3.0439562895772	-194.35252293335	P0ACW6
P60664	6.04321596734233e-64	1.02422227248608	64.7500332349686	P60664
P0A8Y5	7.97031176721679e-64	0.685075400920684	43.2272470997667	P0A8Y5
P60757	1.56219089927615e-63	1.42655224203057	89.5964194282997	P60757
P0C0L7	2.33961958177129e-63	1.88439259618118	118.021118987932	P0C0L7
P39187	2.37564351892438e-63	-3.02412829124178	-189.383671570961	P39187
P69811	2.65222258742884e-63	1.54624803952723	96.7586204055543	P69811
P0A9S1	1.64430704457914e-62	-2.51544655444959	-155.414392890455	P0A9S1
P60595	1.66165338548963e-62	1.03763510108751	64.1045357690599	P60595
P18843	3.0383619781629e-62	0.701259034010666	43.1396047902114	P18843
P06987	4.03879973221203e-62	1.15825191882069	71.1094260553521	P06987
P0A991	4.82026776485052e-62	-0.934118376968619	-57.2772700451012	P0A991
P05042	8.99202185855121e-62	-1.25057195355332	-76.3425938657714	P05042
P25516	1.69903646003674e-61	-1.28314302078619	-77.976341281883	P25516
P76128	2.6531441454894e-61	-2.00142055622205	-121.238530261699	P76128
P61889	4.35501687093314e-61	-1.15875770190196	-69.9437854154391	P61889
P0AD61	5.08739003774813e-61	1.06996243064573	64.511785124284	P0AD61
P39173	5.24933732017083e-61	0.87674091632399	52.8498508330298	P39173
P69831	6.32702468798109e-61	-2.3280298244952	-140.14460289515	P69831
P09148	6.40473607632792e-61	-0.827634861597717	-49.818238016784	P09148
P77348	1.06465450653809e-60	-0.799975471679316	-47.9767620107471	P77348
Q47146	1.51102155911822e-60	-1.81496226092635	-108.572366171634	Q47146
P0A9S3	1.68244460109001e-60	-2.0169246403837	-120.559772911005	P0A9S3
P08997	3.28986110507828e-60	-0.915519266880267	-54.4576699896544	P08997
P0A9T0	5.14336701452082e-60	0.956316619602082	56.6988193565762	P0A9T0
P76108	8.24867636332889e-60	-1.88373938641765	-111.298134053112	P76108
P69797	9.31508237268603e-60	1.08519123622154	64.0597212605285	P69797
Q6BF16	1.29511086557885e-59	-2.21518290709269	-130.447011089154	Q6BF16
P22256	1.42303984563136e-59	-1.36786619934006	-80.494525322628	P22256
P00936	1.66678961060748e-59	1.10290870539385	64.8268993691662	P00936
P0AG80	2.30388256935498e-59	-1.41848699996411	-83.1765877190149	P0AG80
P77569	2.88339510262951e-59	-1.45191903116531	-84.9954792414439	P77569
P0DTT0	3.66234745741355e-59	0.826287332944342	48.2851252731172	P0DTT0
P0AFW2	3.7517310953933e-59	-2.50332052118299	-146.258424744141	P0AFW2
P09551	4.63144556689704e-59	-1.85266133220156	-108.073671263229	P09551
P04036	4.64481378140146e-59	1.13414080035762	66.1578712515133	P04036
P25526	9.08736012800146e-59	-1.18156190818227	-68.579699058646	P25526
P0A993	1.34351979385161e-58	-0.903992018651581	-52.3156054667918	P0A993
P08660	1.50032705138772e-58	1.55303795100825	89.8025777075201	P08660
P0A6P9	1.69034645973233e-58	0.909023831124547	52.5161468352278	P0A6P9
P07913	1.79932207833731e-58	-1.16605291312188	-67.3335984746359	P07913
P36683	2.40549980980941e-58	-1.3026489683102	-75.0570634361893	P36683
P0AC38	2.57876813615069e-58	-1.62800563232583	-93.7545451408925	P0AC38
P02931	2.69944258570606e-58	-1.28112378337567	-73.7526639356327	P02931
P0AC33	3.37359592518868e-58	-1.59439922820287	-91.6331640629939	P0AC33
P02924	3.95048522607333e-58	-2.20646228793139	-126.658326000732	P02924
P0A6L4	4.12173475990522e-58	-1.45807702837988	-83.6716335679111	P0A6L4
P39265	5.70927035953832e-58	-1.38704560376095	-79.3992332101376	P39265
P77536	1.68157150035335e-57	-2.91946395381884	-165.750477573895	P77536
P76346	1.79796463187149e-57	-1.36467154551682	-77.4385855163812	P76346
P0A746	1.92076298470262e-57	-1.36071352384197	-77.174944255914	P0A746
P08202	2.14159654688209e-57	-1.45748749919406	-82.5947414521282	P08202
P0AD37	2.77769394293027e-57	-1.58078113206326	-89.4031566124719	P0AD37
P76014	2.82669792116624e-57	1.04485106461306	59.0849909219265	P76014
P09323	5.32827702574424e-57	-0.976778391375602	-54.9666540262054	P09323
P0A761	9.47524832122558e-57	-1.16545466512148	-65.2927438406578	P0A761
P0A6T1	1.00175986141626e-56	0.895776787447915	50.1628160583151	P0A6T1
P0C8J8	2.06818304333157e-56	-2.03205116570814	-113.153572338979	P0C8J8
P06988	3.0641744842264e-56	1.15388530174099	64.0564269072363	P06988
P69922	4.83538143662835e-56	-1.55862122959328	-86.2160205774318	P69922
P60716	1.59594556705798e-55	-1.21639284443218	-66.6546567103194	P60716
P20966	3.2383444037077e-55	1.12391974514727	61.2420238478093	P20966
P22564	3.37540255413654e-55	-1.22612251149104	-66.7889462514928	P22564
P16681	4.03049342820425e-55	-1.31470550129437	-71.5129347925678	P16681
P0ADF6	4.27657511266226e-55	1.76218355922746	95.8079885782759	P0ADF6
P10384	5.7205520747513e-55	-1.76857915641021	-95.9322646436223	P10384
P21420	9.17827136367803e-55	-1.43171025122655	-77.3656691762591	P21420
P52643	9.24275067611075e-55	-1.11980664356515	-60.5078547533305	P52643
P0ACJ8	9.79182223263435e-55	-0.963965909947451	-52.0629663920364	P0ACJ8
P06720	1.95756275602705e-54	-1.85005733402278	-99.3634052787026	P06720
P0AFW4	1.06154977766006e-53	-1.21982236623865	-64.6189427748203	P0AFW4
P37902	1.88625957061054e-53	-0.954239688111383	-50.3117136221651	P37902
P0AEQ3	2.12143300929014e-53	-0.915955266394385	-48.2464512711222	P0AEQ3
P36928	3.95396729851209e-53	0.951639861900463	49.8687522094536	P36928
P0ABF4	5.04813881798569e-53	-1.12926758070193	-59.057158407561	P0ABF4
P0AC33;P14407	5.61126919724584e-53	-1.32325850939277	-69.1414995176049	P0AC33;P14407
P39325	1.35482325587521e-52	-2.61615715867585	-135.695146531056	P39325
P06986	1.42215565184821e-52	1.16811906528104	60.5635309342317	P06986
P0AB71	2.1247654224941e-52	0.630960903851161	32.6034465620267	P0AB71
P0AG71	3.39673762992943e-52	-0.867556587589012	-44.6522162159542	P0AG71
P0A799	3.62844920585589e-52	0.637565173278788	32.7965303636472	P0A799
P21367	4.07374069079853e-52	-1.40728544836472	-72.320408506234	P21367
P08957	8.53325780231073e-52	0.554997643661527	28.3431109135092	P08957
P27248	9.42816261415722e-52	-0.786064626448788	-40.1093979288796	P27248
P13482	1.66837664573281e-51	-0.89064445622693	-45.2248822580856	P13482
P23847	2.89074995963066e-51	-0.889026689007626	-44.9305104758611	P23847
P75829	3.62073554273793e-51	1.29053779174307	65.0962789838062	P75829
P24215	3.73277536986346e-51	-0.786225053931011	-39.6477319737777	P24215
P32705	6.6132985779523e-51	-4.20177594083577	-210.843359819527	P32705
P0A9C9	1.18883822810707e-50	0.552861497465758	27.6015423907328	P0A9C9
P24232	1.21520654452286e-50	-0.839143368901199	-41.8861348751662	P24232
P06989	1.33848487900211e-50	1.12928965741782	56.3214995895405	P06989
P07001	1.6569653770017e-50	0.889410510487667	44.2754658513188	P07001
P37329	4.48583389773367e-50	-1.03990932927102	-51.3176086507011	P37329
P06149	6.57443306130948e-50	-0.64380540530663	-31.6637286659369	P06149
P00490	6.80852306556507e-50	0.775484994313766	38.1282296821242	P00490
P0AD01	6.97222604479194e-50	-0.921250555570332	-45.2855713535277	P0AD01
P0A6S0	9.95229203929063e-50	-2.41510912505948	-118.345363040434	P0A6S0
P0A9Q9	1.04203181263838e-49	0.92451263371178	45.2845878618784	P0A9Q9
P0AAN9	1.07049369345684e-49	-1.17098295654425	-57.3435223784417	P0AAN9
P21156	1.9675460223004e-49	0.639127860548658	31.1294095746367	P21156
P27828	2.08791067036521e-49	0.56885471644758	27.6920114758755	P27828
P0ACK8	4.14888088793671e-49	-1.19477324937325	-57.8056018303704	P0ACK8
P37330	5.20973578100902e-49	-0.69832854538726	-33.7175258602738	P37330
P0AAT9	5.26256842471064e-49	-0.922352458199202	-44.5300719289958	P0AAT9
P77171	8.61819246710097e-49	-1.08368293595573	-52.0867693000022	P77171
P68206	9.27418152996641e-49	-2.1063777122676	-101.175060151683	P68206
P76578	9.95645214599285e-49	-0.548677555711451	-26.3375626317059	P76578
P77712	9.98374868571592e-49	-1.55992255686516	-74.8773845960055	P77712
P0A9B6	1.07809377737957e-48	0.608189317636123	29.1732258881475	P0A9B6
P0A8Y3	1.47120446555039e-48	-0.883491948859089	-42.2594757692615	P0A8Y3
P0AEJ6	1.57096610156629e-48	-0.59512656583627	-28.4493310778539	P0AEJ6
P0AFQ7	2.06231064335127e-48	0.585361031648453	27.9133188887242	P0AFQ7
P31658	2.39150034633756e-48	-0.945050798867176	-45.0045755361377	P31658
P0A763	8.37004155519422e-48	-0.998172953202517	-46.9912600060895	P0A763
P75838	9.9358790895214e-48	0.825405715095041	38.7963745471452	P75838
P37339	1.14287127645625e-47	-1.74106353167185	-81.729008973585	P37339
P30863	1.69682901803032e-47	-0.762664376578209	-35.6700889140828	P30863
P0AAV6	1.89604102293363e-47	-1.99903966987579	-93.3994358506214	P0AAV6
P37387	2.43515912614805e-47	-3.10748219073091	-144.85053612176	P37387
P69451	2.44276089627936e-47	-1.29136804897349	-60.1934012242477	P69451
P0CK95	2.842012434926e-47	0.71195977889001	33.1391461598212	P0CK95
P0ADG7	3.59025960645018e-47	0.671038896475806	31.1663170946169	P0ADG7
P0A830	4.95489909603479e-47	-2.90927814226723	-134.714023091957	P0A830
P46837	7.44383197855623e-47	0.681421384688321	31.4327442600994	P46837
