ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
1.13512070723975e-21	6.91336459902767e-16	5.64344010367568e-28	5.29394517937927e-24	3.05765188712192e-30	534.865451589179	1.55099305448183e-108	3.50954589999979e-105	NA	P37689
3.64932713173751e-21	1.51008499393175e-18	1.36203158502271e-23	1.39460758164892e-20	5.78249012243514e-23	475.33660229566	8.1843089123328e-96	4.06432780586447e-93	NA	P0AEE5
7.26348880319978e-21	6.26337649974173e-12	9.22239974269893e-21	7.99948914122879e-20	2.4898636966571e-19	410.219186073037	6.28461784378998e-82	6.00181004081943e-80	NA	P37349
1.7521883210518e-19	1.20914804179635e-18	4.41345784088513e-18	3.51725006873362e-20	2.3672398168147e-21	433.386649736921	7.28633731477344e-87	1.64472505023477e-84	NA	P19926
3.20872975904323e-19	5.2724365096108e-15	1.90711760213595e-19	3.29362134902763e-20	1.00867628231133e-22	428.141993142643	9.55697133394557e-86	1.6949971301562e-83	NA	P37440
7.11839345036574e-19	1.20335615846306e-12	1.6690323414143e-18	1.64647198452251e-16	2.22519238931514e-21	388.1275985521	3.16029234212406e-77	1.91390387451074e-75	NA	P37903
2.72899581128078e-18	2.02758198608165e-16	7.90477610935684e-18	2.34831307591121e-17	2.10224259242451e-21	403.71542333076	1.52380107775765e-80	1.26119935869075e-78	NA	P69828
3.8444550584679e-18	1.22510653586797e-19	2.58053945453463e-28	1.99125837897281e-28	5.44801537762596e-25	533.646729299714	2.82685936367281e-108	3.50954589999979e-105	NA	P23538
4.0057984647136e-18	9.72562699461959e-20	2.66778823905129e-24	1.2003414908252e-21	2.40551263656437e-25	485.950127748573	4.43082965854731e-98	3.66725001405766e-95	NA	P77318
4.48746061732413e-18	1.27429851592441e-17	1.16449498658028e-18	4.78355174650463e-17	3.99767115187038e-18	395.561245127453	8.2854923916616e-79	5.71468822458215e-77	NA	P0AB77
8.10546069282875e-18	3.19172277996687e-11	3.13823978269924e-21	8.22064546576444e-22	7.77918781060058e-23	420.38144456172	4.30403759884641e-84	5.62469755680823e-82	NA	P15078
1.28024059357845e-17	6.60767323008413e-15	2.59051755605991e-21	1.43499726207193e-22	2.16451309191647e-21	433.655346514284	6.38607773485234e-87	1.58566310156384e-84	NA	P02925
1.74254426123609e-17	2.36786740463901e-18	1.68112203623653e-19	4.57060597310407e-19	7.80935631614716e-22	426.467636126807	2.17333891453452e-85	3.37275032799326e-83	NA	P37188
2.30670084660836e-17	2.67288779572175e-14	1.85588091545934e-20	2.78613228244223e-21	5.17202995264018e-19	408.859973252809	1.22374555342043e-81	1.12539267005293e-79	NA	P04982
2.48231433902814e-17	8.19449621961065e-12	9.15688996103387e-23	1.06814113527614e-19	6.66873664219965e-24	423.11014572183	1.12857890679161e-84	1.64838907386092e-82	NA	P08839
9.52618982299196e-17	1.64091238074423e-20	8.6597796188131e-25	7.99426212330744e-22	4.88845448471614e-23	475.606036366837	7.16894708251291e-96	4.06432780586447e-93	NA	P22259
1.87049744820015e-16	1.98992701154203e-15	1.66866152491469e-14	6.94375297097707e-16	7.64196975496172e-17	347.607630531974	1.28244989777572e-68	4.03078872933813e-67	NA	P0C8J6
2.15534354241908e-16	1.74948926477412e-19	4.22076521696515e-22	2.12248921923377e-16	5.02116024097626e-20	418.013745182531	1.37483569391746e-83	1.48422479478133e-81	NA	P0A9Q7
2.44213102715999e-16	2.57119013460375e-19	2.34237984580601e-21	1.85495369347347e-20	4.99130715181697e-19	427.663237844677	1.20877708106758e-85	2.00092899486054e-83	NA	Q46851
3.54322078328564e-16	7.95885131269909e-14	2.78363961339063e-20	1.63654865290733e-19	4.49978979718866e-16	378.720065140015	3.16334829349361e-75	1.5401164338715e-73	NA	P0AE22
3.96140717552418e-16	1.77072736417045e-13	2.72674589422881e-22	6.13990429156598e-17	1.08483161522674e-18	386.349970863128	7.54746750044554e-77	4.25917313718324e-75	NA	P39396
4.67267868420231e-16	1.03116361375767e-17	2.77933461339459e-24	7.91454199393118e-23	4.20137002632629e-11	406.872998056431	3.24142744272579e-81	2.87445155010291e-79	NA	P33025
7.41733046798963e-16	1.87798671456395e-18	1.32410651976862e-18	2.91193218793622e-19	1.28492507683519e-18	401.391597183606	4.75951577010761e-80	3.69308676786787e-78	NA	P77674
7.97142998262785e-16	1.80876721952469e-13	3.170702920872e-17	1.39409318079199e-19	3.19071076119579e-20	380.809564655521	1.13743142426427e-75	5.76375964581263e-74	NA	P25906
8.99108702667674e-16	1.23144036909542e-15	3.04854425375078e-24	6.40170942818829e-17	9.45540822613023e-12	371.589826853279	1.03661737733002e-73	4.36257787781429e-72	NA	P28904
8.99820443947281e-16	2.67421190903455e-10	1.65885903610035e-18	3.36080555638588e-21	1.52968698291288e-22	390.001698911145	1.2621064200974e-77	8.24686905553116e-76	NA	P0A6T3
9.18241471884135e-16	2.14778672274631e-18	1.33221229173318e-19	5.78013136887803e-17	1.43539135615904e-17	389.880940232492	1.33900808900278e-77	8.52501816665106e-76	NA	P21177
9.71939633059447e-16	2.79981356054287e-16	1.34733184177581e-19	9.95713763093635e-26	1.02589168818732e-19	430.24502909226	3.40505345951077e-86	6.50365210766556e-84	NA	P41409
1.08992252115481e-15	5.22713406957151e-20	1.66442448899573e-22	9.80530825675599e-20	6.75448617387076e-23	447.631858653163	6.68537649053726e-90	2.371398546572e-87	NA	P25553
1.14370074169208e-15	4.08801389399686e-17	3.48277041952395e-22	4.60736393911632e-17	8.6105807848218e-15	383.103027502514	3.70068270137963e-76	1.95506279734588e-74	NA	P29012
1.19718308677392e-15	4.68547370007898e-18	7.0887958218817e-24	1.75755399390372e-21	4.09019632795074e-23	453.81124896175	3.21365140996902e-91	1.32991607515885e-88	NA	P0A796
1.57295089541343e-15	1.48361283690408e-19	4.06836411103664e-20	2.34563082934014e-18	2.90482418685881e-21	419.941623597693	5.3403810044327e-84	6.40013726510158e-82	NA	P0AGE9
1.62288637750479e-15	1.39858341901528e-12	1.92322504731256e-18	2.97835547236935e-20	1.71130823857091e-17	371.419357108394	1.12678934099238e-73	4.66302988947346e-72	NA	P24203
2.26398912226566e-15	3.95660065072019e-19	7.94489043217987e-21	1.53028088271916e-17	2.92017297611185e-22	421.361723973263	2.66095698149722e-84	3.670642325032e-82	NA	P27550
2.46770285682375e-15	3.59115314023591e-17	2.0857669936133e-16	1.62079404355159e-15	2.92274669661685e-11	331.837918335616	2.83280895491424e-65	7.32694232817924e-64	NA	P0A9S1
4.05490395147154e-15	4.42811515903206e-18	1.85296452043792e-20	1.36064167984187e-17	1.07037405189122e-18	397.49367156122	3.21454906629151e-79	2.28049295188624e-77	NA	P37685
5.00699577384769e-15	8.35976495400485e-05	3.47409075585648e-15	1.3917040587215e-18	9.14012379827502e-16	302.711138712981	4.1538111970677e-59	7.11304358780627e-58	NA	P06988
5.71492974663517e-15	1.55541190040527e-11	3.65492215418277e-20	1.28354363266198e-19	6.58847433023912e-24	398.628459109268	1.84344961344893e-79	1.38705617884657e-77	NA	P69786
5.72083889269177e-15	1.65213641772703e-17	8.65272865678395e-20	2.41597500149623e-17	7.02413324523213e-20	395.389118182622	9.01452786290991e-79	6.04947910367711e-77	NA	P21151
8.03625832601035e-15	4.81642845007494e-19	9.01890315017135e-17	5.17304058097266e-15	9.28818394196331e-15	353.563739726266	6.98282428287965e-70	2.34302063437705e-68	NA	P77252
8.51793580100269e-15	4.75846772996072e-16	1.14951837791474e-19	1.10476908575501e-15	2.27282740666692e-16	363.494577566241	5.43784093532774e-72	2.01524761827146e-70	NA	P77433
9.61426375154781e-15	1.61726970778611e-16	4.02353567135217e-20	3.3429980785894e-19	3.04643217516933e-16	383.130661272336	3.6509500636605e-76	1.95506279734588e-74	NA	P77399
9.98460249106242e-15	1.23802938764609e-10	5.68134952556381e-16	1.92194871145858e-18	1.70794057191182e-14	325.296659996141	6.89066199973294e-64	1.64514555243624e-62	NA	P09148
1.06778804951841e-14	2.06569962603608e-17	3.92932711855151e-17	4.89973208051218e-18	1.56428350203456e-20	387.652366294879	3.98846123479532e-77	2.3579402966659e-75	NA	P07014
1.24932012301405e-14	5.36829122803314e-13	6.98534911900913e-19	6.64762290538657e-20	1.53886590174701e-06	319.227795039349	1.32919334439731e-62	3.00035188558047e-61	NA	P76128
1.43802399856663e-14	4.31778591765119e-16	1.91587295636269e-18	9.367378194679e-15	3.53486883290065e-11	328.830402738117	1.22905616378938e-64	3.11402699458065e-63	NA	P42593
1.47199636200375e-14	1.77085062580189e-10	8.22120575005417e-19	1.82252445724928e-19	1.03067645016636e-21	374.838656673807	2.11438650916664e-74	9.54549400411049e-73	NA	P0A9J6
1.51204197921474e-14	7.47876761532461e-14	4.75284559803646e-12	7.56169164600644e-16	1.44394514841078e-15	314.217590092767	1.52839369256063e-61	3.06048511179681e-60	NA	P04036
1.59545555235548e-14	1.26535032343927e-19	3.53046295241418e-19	3.66763660854136e-18	3.8910891326946e-13	372.984777601383	5.2382063673257e-74	2.24249420863271e-72	NA	P0A6J5
1.65947309888015e-14	1.48449483916971e-18	5.92873808681351e-21	1.50252383879464e-23	2.08997331825731e-20	434.444970610612	4.33426126474279e-87	1.19577452448404e-84	NA	P0A8A4
1.67574494875393e-14	2.44569142580672e-12	7.23810340742666e-15	3.28095122574222e-16	2.33737586401369e-14	316.112868883019	6.06820547327521e-62	1.28780805043952e-60	NA	P76108
1.97296041665605e-14	1.97080117061588e-16	6.34514833141921e-22	7.11060906056675e-17	4.55463346858571e-12	359.651987563457	3.56021047840575e-71	1.30000038498257e-69	NA	P21514
2.33414435292047e-14	3.47105691466003e-17	7.19742763430798e-20	5.60682477898847e-21	6.32821089337939e-22	417.616336830663	1.67071579708238e-83	1.72849471839814e-81	NA	P76503
3.80396023908756e-14	3.70931708101121e-18	1.04001805831098e-18	5.44091955096357e-19	3.59082861356108e-18	389.332886935757	1.75129970983799e-77	1.08711929488193e-75	NA	P0ACL9
4.16635158193057e-14	1.25839710008213e-16	1.22928594447313e-24	4.17451285575564e-20	6.23494690666033e-18	413.430695705745	1.30133463966262e-82	1.29248556411291e-80	NA	P0A836
5.30878079366609e-14	5.12112252307259e-14	9.16270480065706e-19	4.19158510053074e-24	1.09907245879561e-23	418.795151777224	9.37128592087194e-84	1.05767740643296e-81	NA	P09832
5.37221004388662e-14	7.04924284793482e-10	5.53212073843326e-18	3.30271587661462e-19	7.25487111719883e-16	337.555806171724	1.73817119439308e-66	4.74272425898684e-65	NA	P60664
6.0137832348087e-14	1.73844277068451e-11	7.2560994520939e-16	1.07755752562892e-14	4.10829802675614e-16	315.333899246189	8.87059634424478e-62	1.83547422689665e-60	NA	P09551
7.20956200545183e-14	4.38590314403568e-14	1.24760760052373e-16	1.69838111666297e-15	7.19856513485692e-16	333.030586352632	1.58280429432167e-65	4.1369505924218e-64	NA	P60595
7.21433508662377e-14	5.88517324801994e-13	7.00428093289068e-16	6.46209735650273e-14	8.04006575046328e-18	326.096926092261	4.66366391138359e-64	1.13528210705544e-62	NA	P61889
7.39890231014913e-14	NA	1.64382853008877e-14	1.13364242599857e-13	1.17188971329847e-17	261.535044660227	6.16220215293404e-52	8.1386957158166e-51	NA	P32705
7.56589602939903e-14	2.44499525314672e-09	4.70182685317134e-08	2.54149419650241e-15	4.35287960911878e-16	271.782081789793	1.40831582123839e-52	1.94269343563051e-51	NA	P23847
9.03475507301508e-14	3.06663769169889e-10	1.29928484205781e-15	5.26645898238995e-11	3.01781763911731e-21	314.268349796067	1.491048277213e-61	3.01474100075429e-60	NA	P0AFW2
1.07794618428133e-13	2.29209661072878e-14	4.89045385782861e-18	7.27725866229761e-18	7.82783962637009e-16	350.73994387832	2.77562400939946e-69	8.95048625368684e-68	NA	P0AFG6
1.10986538493498e-13	5.71736822753481e-18	7.21763684369491e-21	3.18685084201144e-20	4.4934995565672e-22	419.914117549486	5.41292318031144e-84	6.40013726510158e-82	NA	P0A9B2
1.2688958680601e-13	7.99077579846021e-14	9.64751873126758e-18	1.06246690566512e-15	2.2787479903006e-22	366.689244504748	1.13980392551531e-72	4.42208304227268e-71	NA	P23857
1.3205819802313e-13	5.32780212577561e-10	9.16863014652655e-19	1.99734077214258e-16	8.00792317767819e-18	336.114839436913	3.51242907616118e-66	9.47974064794371e-65	NA	P0C0L7
1.32651072172006e-13	2.25252926937055e-07	6.0654186716485e-18	8.53315342372654e-21	9.4012020890295e-20	349.244433103056	5.76403528091412e-69	1.83488456442433e-67	NA	P0AB91
1.96892806621e-13	8.14112665965581e-18	4.09081949653671e-20	1.43096525555314e-17	8.72346111973298e-12	354.998557960161	3.4630567621959e-70	1.19427360285172e-68	NA	Q46939
