ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
1.13512070723975e-21	6.91336459902767e-16	5.64344010367568e-28	5.29394517937927e-24	3.05765188712192e-30	-22.2638939608166	8.27391764575024e-110	9.25851384559451e-107	NA	P37689
3.64932713173751e-21	1.51008499393175e-18	1.36203158502271e-23	1.39460758164892e-20	5.78249012243514e-23	-21.0397950605993	2.83600857213969e-98	1.58674679611216e-95	NA	P0AEE5
7.26348880319978e-21	6.26337649974173e-12	9.22239974269893e-21	7.99948914122879e-20	2.4898636966571e-19	-19.3606875989985	1.65659509261357e-83	1.37313326565525e-81	NA	P37349
1.7521883210518e-19	1.20914804179635e-18	4.41345784088513e-18	3.51725006873362e-20	2.3672398168147e-21	-20.0431131034642	2.31806068311007e-89	5.76424423200036e-87	NA	P19926
3.20872975904323e-19	5.2724365096108e-15	1.90711760213595e-19	3.29362134902763e-20	1.00867628231133e-22	-19.8716825365104	7.15635755171744e-88	1.14399487148169e-85	NA	P37440
7.11839345036574e-19	1.20335615846306e-12	1.6690323414143e-18	1.64647198452251e-16	2.22519238931514e-21	-18.8218812571396	4.99781473224041e-79	2.72807545628147e-77	NA	P37903
2.72899581128078e-18	2.02758198608165e-16	7.90477610935684e-18	2.34831307591121e-17	2.10224259242451e-21	-19.2850891241448	7.16664010047326e-83	5.72819305173541e-81	NA	P69828
3.8444550584679e-18	1.22510653586797e-19	2.58053945453463e-28	1.99125837897281e-28	5.44801537762596e-25	-22.2811872389159	5.62471081384485e-110	9.25851384559451e-107	NA	P23538
4.0057984647136e-18	9.72562699461959e-20	2.66778823905129e-24	1.2003414908252e-21	2.40551263656437e-25	-21.2613373362705	2.58931908516332e-100	1.93163203753184e-97	NA	P77318
4.48746061732413e-18	1.27429851592441e-17	1.16449498658028e-18	4.78355174650463e-17	3.99767115187038e-18	-19.096813786102	2.68373039715436e-81	1.76652606730337e-79	NA	P0AB77
8.10546069282875e-18	3.19172277996687e-11	3.13823978269924e-21	8.22064546576444e-22	7.77918781060058e-23	-19.5568985680853	3.60338961970075e-85	3.50625476908273e-83	NA	P15078
1.28024059357845e-17	6.60767323008413e-15	2.59051755605991e-21	1.43499726207193e-22	2.16451309191647e-21	-19.9920431306876	6.4595959729875e-89	1.31423416250419e-86	NA	P02925
1.74254426123609e-17	2.36786740463901e-18	1.68112203623653e-19	4.57060597310407e-19	7.80935631614716e-22	-19.865504643872	8.09346179267871e-88	1.20754449946766e-85	NA	P37188
2.30670084660836e-17	2.67288779572175e-14	1.85588091545934e-20	2.78613228244223e-21	5.17202995264018e-19	-19.3842737745783	1.04773481005245e-83	9.01857886498996e-82	NA	P04982
2.48231433902814e-17	8.19449621961065e-12	9.15688996103387e-23	1.06814113527614e-19	6.66873664219965e-24	-19.6293390204226	8.68369770270758e-86	9.25434069459979e-84	NA	P08839
9.52618982299196e-17	1.64091238074423e-20	8.6597796188131e-25	7.99426212330744e-22	4.88845448471614e-23	-21.0158589361581	4.69667837798042e-98	2.10223324198403e-95	NA	P22259
1.87049744820015e-16	1.98992701154203e-15	1.66866152491469e-14	6.94375297097707e-16	7.64196975496172e-17	-17.8113820859719	5.7668094644642e-71	1.69817362914091e-69	NA	P0C8J6
2.15534354241908e-16	1.74948926477412e-19	4.22076521696515e-22	2.12248921923377e-16	5.02116024097626e-20	-19.6306589442866	8.46102598323934e-86	9.25434069459979e-84	NA	P0A9Q7
2.44213102715999e-16	2.57119013460375e-19	2.34237984580601e-21	1.85495369347347e-20	4.99130715181697e-19	-19.8880272547459	5.16679429358529e-88	9.63607135753657e-86	NA	Q46851
3.54322078328564e-16	7.95885131269909e-14	2.78363961339063e-20	1.63654865290733e-19	4.49978979718866e-16	-18.6039023470329	2.98747772186139e-77	1.33719502830516e-75	NA	P0AE22
3.96140717552418e-16	1.77072736417045e-13	2.72674589422881e-22	6.13990429156598e-17	1.08483161522674e-18	-18.780834702644	1.08363120124731e-78	5.77420625807495e-77	NA	P39396
4.67267868420231e-16	1.03116361375767e-17	2.77933461339459e-24	7.91454199393118e-23	4.20137002632629e-11	-19.1780909419222	5.64139297438932e-82	3.94544921146353e-80	NA	P33025
7.41733046798963e-16	1.87798671456395e-18	1.32410651976862e-18	2.91193218793622e-19	1.28492507683519e-18	-19.236518015554	1.83103022564391e-82	1.36594854833036e-80	NA	P77674
7.97142998262785e-16	1.80876721952469e-13	3.170702920872e-17	1.39409318079199e-19	3.19071076119579e-20	-18.6540417592179	1.17082375768132e-77	5.57511397806552e-76	NA	P25906
8.99108702667674e-16	1.23144036909542e-15	3.04854425375078e-24	6.40170942818829e-17	9.45540822613023e-12	-18.3133589467002	6.47495774612453e-75	2.41515923930445e-73	NA	P28904
8.99820443947281e-16	2.67421190903455e-10	1.65885903610035e-18	3.36080555638588e-21	1.52968698291288e-22	-18.7559275878791	1.73169984700434e-78	9.01289362231563e-77	NA	P0A6T3
9.18241471884135e-16	2.14778672274631e-18	1.33221229173318e-19	5.78013136887803e-17	1.43539135615904e-17	-18.936643749207	5.69113389216268e-80	3.35177832912107e-78	NA	P21177
9.71939633059447e-16	2.79981356054287e-16	1.34733184177581e-19	9.95713763093635e-26	1.02589168818732e-19	-19.880638178654	5.98675201784133e-88	1.03064238584068e-85	NA	P41409
1.08992252115481e-15	5.22713406957151e-20	1.66442448899573e-22	9.80530825675599e-20	6.75448617387076e-23	-20.3489661174939	4.74169891152944e-92	1.51598888057184e-89	NA	P25553
1.14370074169208e-15	4.08801389399686e-17	3.48277041952395e-22	4.60736393911632e-17	8.6105807848218e-15	-18.7167209211207	3.61746358026053e-78	1.7990852205829e-76	NA	P29012
1.19718308677392e-15	4.68547370007898e-18	7.0887958218817e-24	1.75755399390372e-21	4.09019632795074e-23	-20.4760902876304	3.51787334963833e-93	1.3121667594151e-90	NA	P0A796
1.57295089541343e-15	1.48361283690408e-19	4.06836411103664e-20	2.34563082934014e-18	2.90482418685881e-21	-19.6864678032945	2.81658186304728e-86	3.50195011638878e-84	NA	P0AGE9
1.62288637750479e-15	1.39858341901528e-12	1.92322504731256e-18	2.97835547236935e-20	1.71130823857091e-17	-18.3930651138488	1.49295951381205e-75	5.96650605698458e-74	NA	P24203
2.26398912226566e-15	3.95660065072019e-19	7.94489043217987e-21	1.53028088271916e-17	2.92017297611185e-22	-19.706025723723	1.91423582283792e-86	2.52003515971251e-84	NA	P27550
2.46770285682375e-15	3.59115314023591e-17	2.0857669936133e-16	1.62079404355159e-15	2.92274669661685e-11	-17.3227685460682	3.16745347372352e-67	7.541234972546e-66	NA	P0A9S1
4.05490395147154e-15	4.42811515903206e-18	1.85296452043792e-20	1.36064167984187e-17	1.07037405189122e-18	-19.1217802252816	1.66332268034011e-81	1.12803519957611e-79	NA	P37685
5.00699577384769e-15	8.35976495400485e-05	3.47409075585648e-15	1.3917040587215e-18	9.14012379827502e-16	-16.0822313854645	3.39911847127503e-58	5.00475469652206e-57	NA	P06988
5.71492974663517e-15	1.55541190040527e-11	3.65492215418277e-20	1.28354363266198e-19	6.58847433023912e-24	-19.0006255973334	1.6852377641994e-80	1.01934111250764e-78	NA	P69786
5.72083889269177e-15	1.65213641772703e-17	8.65272865678395e-20	2.41597500149623e-17	7.02413324523213e-20	-19.0643306021067	4.9963052996294e-81	3.10603646126961e-79	NA	P21151
8.03625832601035e-15	4.81642845007494e-19	9.01890315017135e-17	5.17304058097266e-15	9.28818394196331e-15	-17.9544985899192	4.42560259024262e-72	1.41492837099471e-70	NA	P77252
8.51793580100269e-15	4.75846772996072e-16	1.14951837791474e-19	1.10476908575501e-15	2.27282740666692e-16	-18.2258255135925	3.21980258235699e-74	1.1437965363992e-72	NA	P77433
9.61426375154781e-15	1.61726970778611e-16	4.02353567135217e-20	3.3429980785894e-19	3.04643217516933e-16	-18.7382147971483	2.41598234741962e-78	1.22885647580116e-76	NA	P77399
9.98460249106242e-15	1.23802938764609e-10	5.68134952556381e-16	1.92194871145858e-18	1.70794057191182e-14	-17.1082791630596	1.28747299511718e-65	2.82486721869827e-64	NA	P09148
1.06778804951841e-14	2.06569962603608e-17	3.92932711855151e-17	4.89973208051218e-18	1.56428350203456e-20	-18.8614037422386	2.3684749531139e-79	1.32516173626723e-77	NA	P07014
1.24932012301405e-14	5.36829122803314e-13	6.98534911900913e-19	6.64762290538657e-20	1.53886590174701e-06	-16.6648853190728	2.35940700082556e-62	4.12527567800595e-61	NA	P76128
1.43802399856663e-14	4.31778591765119e-16	1.91587295636269e-18	9.367378194679e-15	3.53486883290065e-11	-17.2224180029115	1.80295770734044e-66	4.15981376188445e-65	NA	P42593
1.47199636200375e-14	1.77085062580189e-10	8.22120575005417e-19	1.82252445724928e-19	1.03067645016636e-21	-18.3814689787775	1.84893281811633e-75	7.25949411744621e-74	NA	P0A9J6
1.51204197921474e-14	7.47876761532461e-14	4.75284559803646e-12	7.56169164600644e-16	1.44394514841078e-15	-16.846628288546	1.11069243699411e-63	2.1804646263095e-62	NA	P04036
1.59545555235548e-14	1.26535032343927e-19	3.53046295241418e-19	3.66763660854136e-18	3.8910891326946e-13	-18.4369055298133	6.64362681851872e-76	2.7534142258972e-74	NA	P0A6J5
1.65947309888015e-14	1.48449483916971e-18	5.92873808681351e-21	1.50252383879464e-23	2.08997331825731e-20	-20.0046267108904	5.01929757289254e-89	1.12331879681335e-86	NA	P0A8A4
1.67574494875393e-14	2.44569142580672e-12	7.23810340742666e-15	3.28095122574222e-16	2.33737586401369e-14	-16.9063909278813	4.0368603076604e-64	8.13918321490449e-63	NA	P76108
1.97296041665605e-14	1.97080117061588e-16	6.34514833141921e-22	7.11060906056675e-17	4.55463346858571e-12	-18.039768813825	9.4940257961766e-73	3.17128801967809e-71	NA	P21514
2.33414435292047e-14	3.47105691466003e-17	7.19742763430798e-20	5.60682477898847e-21	6.32821089337939e-22	-19.5944748054042	1.723547502446e-85	1.75331786839734e-83	NA	P76503
3.80396023908756e-14	3.70931708101121e-18	1.04001805831098e-18	5.44091955096357e-19	3.59082861356108e-18	-18.9062532712005	1.01303782893402e-79	5.81327861834446e-78	NA	P0ACL9
4.16635158193057e-14	1.25839710008213e-16	1.22928594447313e-24	4.17451285575564e-20	6.23494690666033e-18	-19.4518115974367	2.81314587231243e-84	2.51832818489408e-82	NA	P0A836
5.30878079366609e-14	5.12112252307259e-14	9.16270480065706e-19	4.19158510053074e-24	1.09907245879561e-23	-19.5255895800644	6.65444769257051e-85	6.205272473322e-83	NA	P09832
5.37221004388662e-14	7.04924284793482e-10	5.53212073843326e-18	3.30271587661462e-19	7.25487111719883e-16	-17.4012842665695	8.06737595468791e-68	2.00608748739906e-66	NA	P60664
6.0137832348087e-14	1.73844277068451e-11	7.2560994520939e-16	1.07755752562892e-14	4.10829802675614e-16	-16.8663327194223	7.95865893288555e-64	1.57623705237149e-62	NA	P09551
7.20956200545183e-14	4.38590314403568e-14	1.24760760052373e-16	1.69838111666297e-15	7.19856513485692e-16	-17.3981818252017	8.51634335943056e-68	2.09445894927534e-66	NA	P60595
