ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
1.13512070723975e-21	6.91336459902767e-16	5.64344010367568e-28	5.29394517937927e-24	3.05765188712192e-30	5.64344010367568e-28	3.18484162037751e-54	3.56383777320243e-51	NA	P37689
3.64932713173751e-21	1.51008499393175e-18	1.36203158502271e-23	1.39460758164892e-20	5.78249012243514e-23	5.78249012243514e-23	3.34371920160599e-44	9.35405446649277e-42	NA	P0AEE5
7.26348880319978e-21	6.26337649974173e-12	9.22239974269893e-21	7.99948914122879e-20	2.4898636966571e-19	9.22239974269893e-21	8.50526570141336e-40	7.04992023694929e-38	NA	P37349
1.7521883210518e-19	1.20914804179635e-18	4.41345784088513e-18	3.51725006873362e-20	2.3672398168147e-21	3.51725006873362e-20	1.23710480460067e-38	8.38981985665544e-37	NA	P19926
3.20872975904323e-19	5.2724365096108e-15	1.90711760213595e-19	3.29362134902763e-20	1.00867628231133e-22	3.29362134902763e-20	1.08479415907707e-38	7.83151396133701e-37	NA	P37440
7.11839345036574e-19	1.20335615846306e-12	1.6690323414143e-18	1.64647198452251e-16	2.22519238931514e-21	7.11839345036574e-19	5.06715253142101e-36	1.69258020377914e-34	NA	P37903
2.72899581128078e-18	2.02758198608165e-16	7.90477610935684e-18	2.34831307591121e-17	2.10224259242451e-21	2.72899581128078e-18	7.44741813798812e-35	2.03260021863627e-33	NA	P69828
3.8444550584679e-18	1.22510653586797e-19	2.58053945453463e-28	1.99125837897281e-28	5.44801537762596e-25	2.58053945453463e-28	6.65918387640994e-55	1.49032535154054e-51	NA	P23538
4.0057984647136e-18	9.72562699461959e-20	2.66778823905129e-24	1.2003414908252e-21	2.40551263656437e-25	2.66778823905129e-24	7.11709408842044e-47	5.30935218996165e-44	NA	P77318
4.48746061732413e-18	1.27429851592441e-17	1.16449498658028e-18	4.78355174650463e-17	3.99767115187038e-18	3.99767115187038e-18	1.59813746384968e-34	4.30919475192238e-33	NA	P0AB77
