Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P23538	-2.98200814482501	-3.12958510117465	-2.83443118847537	21.3831532894674	-42.0931870684558	2.48268516407857e-21	3.19893983391523e-18	38.8782000027487	P23538	45	-44.9028075342402	3.91510704674198e-23	5.39660755424324e-20
P37689	2.65175520678006	2.52103166425859	2.78247874930152	20.7928586104923	42.25724263257	2.29500356972051e-21	3.19893983391523e-18	38.9521351398704	P37689	25	44.7639133123807	4.18828680965715e-23	5.39660755424324e-20
P22259	-2.74441448294927	-2.91262192556078	-2.57620704033777	22.2459151761186	-33.9880327327798	1.84855037767039e-19	1.51973148367026e-16	34.7445913642442	P22259	37	-35.9582037310699	4.87130418186611e-21	4.18445029222298e-18
Q46851	-2.49564110418401	-2.65277172265327	-2.33851048571476	19.1057399235942	-33.0858916641612	3.17281533601118e-19	1.63526902418016e-16	34.2168942139824	Q46851	18	-34.4187144244309	1.2552167541348e-20	8.08673393851342e-18
P15078	-3.59360818234609	-3.81655307543133	-3.37066328926084	18.0645402118955	-33.5779925259458	2.3589157682115e-19	1.51973148367026e-16	34.5066736115539	P15078	9	-33.7970338462951	1.86111756252491e-20	9.59219991725336e-18
P08839	1.85077935915769	1.72604992075022	1.97550879756517	23.1567951950217	30.9105842369931	1.2403587840873e-18	4.5662922665614e-16	32.8771800912367	P08839	33	33.1465812312448	2.83154086069751e-20	1.21614679966958e-17
P29012	-2.63058529178665	-2.80512169619029	-2.45604888738301	18.4849462522851	-31.3969814141224	9.07296813596555e-19	3.89683981439721e-16	33.1854013563908	P29012	11	-31.6579936143193	7.62777195071622e-20	2.80810975957082e-17
P37440	-2.25930567334563	-2.41609542244718	-2.10251592424408	18.6572142098132	-30.0178000888836	2.22961311082509e-18	7.18214123324533e-16	32.2976737837558	P37440	11	-30.0670929568527	2.3139313127521e-19	7.45375124120269e-17
P24203	-1.92760045847252	-2.06692990854597	-1.78827100839907	18.9904231087157	-28.8201098082806	5.02951363972743e-18	1.29610566495776e-15	31.4907989486563	P24203	15	-29.6268696706304	3.17701953891398e-19	9.09686594642368e-17
P0A8A4	-1.64827323319363	-1.76436033321628	-1.53218613317098	18.3254094444412	-29.5778619149436	2.99509549407648e-18	8.57595676470567e-16	32.0053174670524	P0A8A4	12	-29.2797475446687	4.09219335349938e-19	9.61995852796173e-17
P0AEE5	-4.99965211237065	-5.37027657265081	-4.62902765209048	18.992897663076	-28.1013536910044	8.32410613300962e-18	1.78760179206382e-15	30.9894278085448	P0AEE5	20	-29.197248937155	4.3477704582776e-19	9.61995852796173e-17
P76503	-2.70139034984581	-2.89832154278464	-2.50445915690699	19.3255460266269	-28.5755347041323	5.96200810254803e-18	1.39673589820602e-15	31.3216817178958	P76503	12	-29.15665121132	4.47960816203108e-19	9.61995852796173e-17
P04983	-1.66067959221349	-1.78568648582068	-1.53567269860629	15.2187895457116	-27.6740944476693	1.12966034134526e-17	2.23933438434365e-15	30.684992716199	P04983	13	-27.8940751493444	1.15751038089723e-18	2.29454173197858e-16
P37349	1.6074929481149	1.48097144453808	1.73401445169173	18.7700673654426	26.4670943306154	2.74378386393025e-17	5.05052215524876e-15	29.7978624128485	P37349	19	27.671233543798	1.37443825285955e-18	2.52994812687075e-16
P0A9Q7	2.53978204967663	2.33239811285055	2.7471659865027	23.6419553195186	25.5119037714765	5.69276081312816e-17	9.78016307695418e-15	29.0657691231262	P0A9Q7	59	26.8541870214255	2.60972897674916e-18	4.48351438205505e-16
P0A796	1.70358887862522	1.56362206385479	1.84355569339565	22.4200581868094	25.354861935752	6.43435051033065e-17	1.0311997324783e-14	28.9427314920748	P0A796	20	26.5406911381126	3.35405919485992e-18	5.40213159072127e-16
P0C8J6	-2.16667488846386	-2.34518927563714	-1.98816050129057	23.4143134187006	-25.2837833212723	6.80263696241019e-17	1.0311997324783e-14	28.8867884254511	P0C8J6	20	-26.3774568288579	3.82643389326496e-18	5.80042361349636e-16
P0A836	-2.21532488281537	-2.40128380439569	-2.02936596123505	23.434911769231	-24.8165805254651	9.84404276777055e-17	1.36247882733289e-14	28.515051821768	P0A836	30	-26.0950427122972	4.81492105052594e-18	6.89336197066964e-16
P0AGE9	-2.0360872929456	-2.2071755300283	-1.8649990558629	23.4633708894319	-24.7912129289715	1.00454395496022e-16	1.36247882733289e-14	28.4946653382072	P0AGE9	20	-25.8758544983636	5.76427549050207e-18	7.81817786264412e-16
P25553	-3.74329649762025	-4.07515096130507	-3.41144203393542	22.9431204612066	-23.4978484003828	2.89709352337948e-16	3.55514762368996e-14	27.4264402577171	P25553	34	-24.4970754982721	1.84964385238579e-17	2.38326610379909e-15
P0A9B2	1.20899360827997	1.09739251511307	1.32059470144687	24.9860748803131	22.5671694246958	6.42406507276974e-16	7.19774595327288e-14	26.6208248746213	P0A9B2	29	24.2783673352974	2.23791407645411e-17	2.74624027382012e-15
P77399	-2.53850528166211	-2.75870839314127	-2.31830217018295	16.2915798822207	-24.0146440219734	1.88532719950193e-16	2.42924409655824e-14	27.8601882993738	P77399	9	-24.1533847350585	2.49716294350451e-17	2.91885304473155e-15
P19926	-1.86971792687646	-2.03839460700762	-1.7010412467453	20.160867245501	-23.09099145771	4.08844729201152e-16	4.78905848705168e-14	27.0782200249051	P19926	20	-24.1052918140635	2.60510749044725e-17	2.91885304473155e-15
P27306	-1.87696528288584	-2.05117572015232	-1.70275484561937	19.3830734932877	-22.4441727227662	7.15324298742614e-16	7.23232463533181e-14	26.5119065618836	P27306	23	-23.5131387451303	4.41523450285053e-17	4.74085804743576e-15
P76594	-2.07828848844463	-2.27137980446401	-1.88519717242526	16.6434252642895	-22.4214978967424	7.29687390448689e-16	7.23232463533181e-14	26.4917629906916	P76594	16	-23.2128351138923	5.79703759919264e-17	5.97558635724778e-15
P0AB77	-1.69154663562464	-1.84847985258525	-1.53461341866402	17.7269587869877	-22.4538404082513	7.09290724727876e-16	7.23232463533181e-14	26.5204889272229	P0AB77	15	-23.1281373463963	6.26345567160329e-17	6.0731027087008e-15
P77318	-3.3902934838274	-3.70713652816529	-3.07345043948951	17.7140875708031	-22.2902351811575	8.18986783876049e-16	7.81677385943918e-14	26.374758360965	P77318	16	-23.1109193871582	6.36297140608932e-17	6.0731027087008e-15
P06959	-1.11121128389514	-1.22232208227715	-1.00010048551313	23.9980354324936	-20.8334842131046	3.08162641578857e-15	2.40647008287489e-13	25.0290682135794	P06959	40	-22.6701786894474	9.56145532200027e-17	8.79995370171239e-15
P0A9P6	1.52419560281302	1.37407799408877	1.67431321153728	19.1046741704393	21.1509851275754	2.29227142526702e-15	1.90554305255262e-13	25.3299872561484	P0A9P6	31	22.4178104682488	1.21123601724327e-16	1.0763293849779e-14
P0A9D8	1.06640974015585	0.962818968212272	1.17000051209944	22.2441999185528	21.4449267408809	1.74926196402833e-15	1.55443037286242e-13	25.6047050392643	P0A9D8	17	22.2392558034975	1.43396496311375e-16	1.23177590331472e-14
P00864	1.34754489206237	1.21054499004183	1.4845447940829	23.5458720780405	20.4901208027884	4.26376444051931e-15	2.81736434954314e-13	24.6986220137862	P00864	60	21.9817042203859	1.8333279206559e-16	1.52402775855815e-14
P0AB91	1.11954231830265	1.00597127980687	1.23311335679843	21.0969520959959	20.5349878699915	4.08549951946007e-15	2.77061375306542e-13	24.7421021405844	P0AB91	22	21.7368262613841	2.32145020818399e-16	1.86949287077817e-14
P27550	-3.68125887551835	-4.05019933307717	-3.31231841795953	20.7367074260008	-20.7855542931078	3.22356123304276e-15	2.44127062791363e-13	24.9832574433832	P27550	31	-21.643930709292	2.54054709708522e-16	1.9836091836369e-14
P0A6J5	-2.1962578267345	-2.41568085624798	-1.97683479722102	19.7682693927361	-20.8507964434394	3.03198129042392e-15	2.40647008287489e-13	25.0455900442347	P0A6J5	16	-21.5980895563242	2.65651385727376e-16	1.9836091836369e-14
P77348	-0.959722900864506	-1.0596228224816	-0.859822979247415	20.2885001679947	-20.012541421416	6.75381696758988e-15	4.14394912511407e-13	24.230072366983	P77348	26	-21.5836882217689	2.69407533672066e-16	1.9836091836369e-14
P37685	-2.34165243495537	-2.57690131638957	-2.10640355352118	18.7444259613799	-20.735590164551	3.37882547505555e-15	2.44127062791363e-13	24.9353939579651	P37685	18	-21.5414270690543	2.80753358135828e-16	2.00972612198897e-14
P39396	-4.34877933235838	-4.78587764521003	-3.91168101950673	20.38571004014	-20.7257270397981	3.41038970139273e-15	2.44127062791363e-13	24.9259323876863	P39396	10	-21.3743677352442	3.30719557495851e-16	2.30341702612651e-14
P0A9G6	-1.82647057894778	-2.01702346734836	-1.6359176905472	25.3151697130867	-19.967269421675	7.05844823284977e-15	4.18406746381786e-13	24.1851039111946	P0A9G6	28	-20.9610041685018	4.98511219516937e-16	3.38069319130302e-14
P07014	-2.34492761589641	-2.58978647373013	-2.10006875806268	20.6199020703785	-19.9496442319399	7.18090529002788e-15	4.18406746381786e-13	24.1675706380013	P07014	20	-20.7606439130945	6.09831579626672e-16	4.02957943768701e-14
P41409	-1.8725352553425	-2.06187499871715	-1.68319551196785	18.6451813624952	-20.6020175250823	3.83357394830992e-15	2.67003244994451e-13	24.8068901660315	P41409	10	-20.7007750070463	6.479100043503e-16	4.17416020302681e-14
P21177	-3.2162808905629	-3.55367835831388	-2.87888342281191	17.4538964955527	-19.8579167125792	7.85511094936552e-15	4.40056976445977e-13	24.0760828719835	P21177	23	-20.6588930783691	6.76016824202284e-16	4.24901306333972e-14
P21151	-2.90753082469541	-3.21140703721589	-2.60365461217492	18.7190309054289	-19.9319209529616	7.30628777150965e-15	4.18406746381786e-13	24.1499249145034	P21151	12	-20.5361087752874	7.65987686806338e-16	4.65257715025632e-14
P0AD61	1.06624376246064	0.949730171179327	1.18275735374195	22.0264865233585	19.0634477378223	1.73654380370459e-14	7.99120246811915e-13	23.2665123343931	P0AD61	32	20.5229659675612	7.76332236946145e-16	4.65257715025632e-14
P0A6F3	-1.76140135790941	-1.94959520685494	-1.57320750896388	18.3331895197269	-19.4972982669993	1.12193702928699e-14	5.66908181269131e-13	23.7124754291646	P0A6F3	28	-20.4736747867627	8.16445337249318e-16	4.78177189566248e-14
P21514	-2.17896203018909	-2.40236825065207	-1.95555580972611	15.9264500478451	-20.3177650705415	5.02794917687055e-15	3.23925625719885e-13	24.5307410523362	P21514	8	-20.2884213086187	9.87611301524672e-16	5.65572072006462e-14
P69786	1.84859768419334	1.65021687774604	2.04697849064065	19.7103686963054	19.4117319872156	1.22203120999489e-14	5.94183854369214e-13	23.6252658483963	P69786	17	20.1403703139138	1.15116333103973e-15	6.44901718280301e-14
P77674	-3.01472513328129	-3.33807613902693	-2.69137412753565	18.2613079134079	-19.4220486991721	1.20948273913055e-14	5.94183854369214e-13	23.6357999196756	P77674	12	-20.0274343592602	1.29479320109794e-15	6.98205896350307e-14
P37903	-1.90216702474195	-2.09976238837088	-1.70457166111303	20.889810772689	-20.0536500431647	6.48911393166472e-15	4.07864551265853e-13	24.2708214897705	P37903	9	-20.0232213196024	1.30049992335331e-15	6.98205896350307e-14
P69828	-1.68283887312359	-1.86130845625416	-1.50436928999302	21.436088884346	-19.6426401075239	9.71098208129339e-15	5.32451081350916e-13	23.8597825163095	P69828	12	-19.9700361987645	1.37484013502052e-15	7.23053679173036e-14
P0AFG8	-1.12988561943147	-1.25818417001432	-1.00158706884862	24.5579391794789	-18.3456990283582	3.64945341738267e-14	1.42494567524169e-12	22.5074039072576	P0AFG8	69	-19.759895324563	1.71478179996264e-15	8.72748720104729e-14
P25888	1.59060495153975	1.41924430277506	1.76196560030443	21.7376292518915	19.3362728469261	1.31805900701301e-14	6.29007048346764e-13	23.5480558544635	P25888	13	19.7530610358139	1.72720934130156e-15	8.72748720104729e-14
P0ACL5	-2.38805631592937	-2.64219994848958	-2.13391268336916	16.42189600313	-19.5743281349637	1.03916097106873e-14	5.57899546342522e-13	23.7906757878939	P0ACL5	8	-19.7126554032881	1.80262840607475e-15	8.93341038933583e-14
P0A9S3	-2.03888435704419	-2.26212988439001	-1.81563882969836	21.6070941992971	-19.0252932859094	1.80532550459009e-14	8.16197162338361e-13	23.2268371242571	P0A9S3	14	-19.621880262773	1.98486340744634e-15	9.6509301905457e-14
P0A9S1	-2.64484534295594	-2.93539120500354	-2.35429948090834	17.0008512535402	-18.9630032919585	1.92380959715647e-14	8.40280903707155e-13	23.1619037024044	P0A9S1	11	-19.4714968815736	2.33025043838251e-15	1.11204729253921e-13
P0AFG6	-1.68682352974161	-1.87778448463682	-1.4958625748464	22.2109133383912	-18.4012195051167	3.44254158084466e-14	1.36483533135949e-12	22.5671023488091	P0AFG6	25	-19.2785320978931	2.86755128501702e-15	1.3435781202707e-13
P09832	1.24429158797522	1.10064475496351	1.38793842098694	22.1694406818054	18.0446159319454	5.02217885831267e-14	1.93166491311519e-12	22.1807205364119	P09832	32	19.1776001793392	3.19863529277636e-15	1.46211018627427e-13
P0AFT5	-1.61554138611173	-1.79272799762018	-1.43835477460329	17.8145839317877	-18.9936625753449	1.86450653485456e-14	8.28419541434518e-13	23.1938890415098	P0AFT5	11	-19.1674683597774	3.23400390444833e-15	1.46211018627427e-13
P77252	-3.57163752518643	-3.96918013865149	-3.17409491172137	17.0480598870354	-18.7156632343047	2.4807934660304e-14	1.06550079366006e-12	22.902080731233	P77252	7	-19.1125250583388	3.4330357406678e-15	1.51141060654952e-13
P0A6T3	-1.25381429926411	-1.38922373948094	-1.11840485904728	18.8236425658416	-19.2888266032708	1.38245398920471e-14	6.47742532760096e-13	23.4993631059562	P0A6T3	11	-19.0994578538919	3.48222565185534e-15	1.51141060654952e-13
P09831	1.37401679349669	1.21484251515591	1.53319107183746	22.4869635547875	17.9821114278919	5.36952840901662e-14	2.03489333971115e-12	22.1122707022978	P09831	79	19.0898138887135	3.51900024807805e-15	1.51141060654952e-13
P37188	-1.86122167316198	-2.05962786933645	-1.66281547698751	21.8058641877199	-19.5417927640415	1.07331536749365e-14	5.6447626572064e-13	23.7576816023377	P37188	7	-19.0690647452468	3.59950111364616e-15	1.52064169997806e-13
P42593	-3.03446473042025	-3.37603150906881	-2.69289795177168	15.7379945420719	-18.5066581740362	3.08266905348488e-14	1.24125596106727e-12	22.6800163420066	P42593	8	-18.8843982922506	4.40644561916039e-15	1.83151780009296e-13
