Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P37689	2.83397350604804	2.71647555169855	2.95147146039752	24.6159231824769	50.4437555277473	6.85023485613047e-22	1.89957012560498e-18	40.2184264033937	P37689	27	52.5888453248115	7.27214015320901e-24	2.01656446448486e-20
P23538	-3.02550059624101	-3.15830378031719	-2.89269741216483	25.7913140907793	-47.6464652404418	2.03351188471675e-21	2.81946422815977e-18	39.1923234702905	P23538	57	-50.213940806196	1.91386988179444e-23	2.65358059110799e-20
P0AAG8	-3.96323662269865	-4.14485723438876	-3.78161601100854	19.9669496374216	-45.6380206305898	4.6204454434143e-21	4.27083173819596e-18	38.4107252286069	P0AAG8	5	-44.0439376545496	2.96766579741992e-22	2.74311241874848e-19
P22259	-2.83680594289586	-2.98863390409197	-2.68497798169976	26.0926655833242	-39.0768726771887	8.84819461181903e-20	4.08934060976236e-17	35.5520250341462	P22259	48	-41.1139727313337	1.24818356303707e-21	8.65303255075448e-19
P39396	-5.60415940046887	-5.90038616991128	-5.30793263102646	23.3414486268719	-39.5665432141368	6.98453319953837e-20	3.87362211246398e-17	35.783488766284	P39396	4	-39.5418218920105	2.81306053239245e-21	1.56012337126485e-18
P33025	-3.08512055314803	-3.23687295172171	-2.93336815457436	19.5911385917996	-42.5185560074828	1.77851419051612e-20	1.2329549625753e-17	37.1141696411175	P33025	4	-37.9458433897393	6.63284343085969e-21	3.06547913896232e-18
P69831	-2.59905436099271	-2.7438052725641	-2.45430344942132	24.6042843857623	-37.5522520932968	1.88326168179948e-19	6.52785580453746e-17	34.8102333046021	P69831	8	-36.8989907880669	1.18690811158149e-20	4.70185170487924e-18
P77318	-3.11280148773514	-3.29991721265314	-2.92568576281714	21.7109435453406	-34.7922945070065	8.00224938688134e-19	2.2190237549822e-16	33.3794795763497	P77318	11	-35.5773199620455	2.53284023598533e-20	8.77945746798414e-18
P0A796	1.8314463443069	1.71799659035891	1.9448960982549	25.7617923043803	33.7623426650303	1.41305854059686e-18	3.26534277756258e-16	32.8138198681536	P0A796	31	35.3513529527975	2.89117092794687e-20	8.90801887021853e-18
P76503	-2.23350351888799	-2.36470947031037	-2.1022975674656	21.3969772197663	-35.6020526561542	5.17593704214907e-19	1.59476371309771e-16	33.8116890836704	P76503	9	-34.9430513658684	3.67974062016729e-20	1.02039207397239e-17
P25553	-3.59826728095488	-3.82643011108931	-3.37010445082046	25.4667736121209	-32.983022920397	2.19742124556413e-18	4.68726854919178e-16	32.3733973401111	P25553	28	-34.5257542347403	4.72170730122565e-20	1.19029948602716e-17
P0A836	-2.17818744173163	-2.31784207792643	-2.03853280553684	26.9409717894809	-32.6198398100356	2.70880041220049e-18	4.86768130181769e-16	32.1643498790746	P0A836	35	-34.2369110083131	5.62073072026763e-20	1.29885719060851e-17
