Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P37689	2.78965237563075	2.72033925903464	2.85896549222685	22.4503976360329	84.0252740305221	1.08612162414231e-26	2.65882573590038e-23	50.9635828874964	P37689	29	87.6187137897813	2.05359690206699e-28	5.02720521625999e-25
P23538	-3.24209290331291	-3.34778773333436	-3.13639807329146	23.5859196147715	-64.0393605905432	2.27041741561345e-24	1.85266061114058e-21	45.9941943390046	P23538	42	-66.6776473317885	6.23483054844559e-26	7.63143259129741e-23
P15078	-4.13399083948015	-4.26853761884748	-3.99944406011282	20.1861231846026	-64.146280567393	2.19720385089891e-24	1.85266061114058e-21	46.0255543823491	P15078	7	-63.3461263060173	1.82001871950449e-25	1.48513527511567e-22
P0AFG8	-1.19136663895276	-1.24255027045675	-1.14018300744877	26.6939067544228	-48.594779374775	5.0996535530797e-22	2.27272240195788e-19	40.7045641935384	P0AFG8	75	-53.7116662046345	5.7001694648991e-24	3.48850371251825e-21
P69786	2.10687353309612	2.018477465704	2.19526960048825	21.113975241645	49.7600489901012	3.20608113392982e-22	1.96212165396505e-19	41.1653637897686	P69786	17	51.0055344309763	1.67468577630058e-23	8.19926156076766e-21
P09832	1.3216414651939	1.2630947570094	1.3801881733784	23.7244159996286	47.1288074151488	9.28940587572584e-22	2.84255819797211e-19	40.1074585097723	P09832	43	50.2050915827573	2.32847277873066e-23	8.85293112205581e-21
P25553	-3.62007156965487	-3.77630034349948	-3.46384279581025	23.9393088345063	-48.3761618488732	5.57039804401442e-22	2.27272240195788e-19	40.6167707013433	P25553	29	-50.0040572487395	2.53147540254864e-23	8.85293112205581e-21
P22259	-3.11963725538649	-3.2560723072844	-2.98320220348858	23.4942401996641	-47.7368121758343	7.22794181120479e-22	2.5277145076899e-19	40.3575196542656	P22259	33	-49.4272560631789	3.22355088816397e-23	9.86406571778173e-21
P0A796	1.78609084868398	1.70646170667612	1.86571999069184	22.8878804879153	46.8281267415223	1.05290969262446e-21	2.86391436393854e-19	39.9824998332995	P0A796	22	48.3588186265304	5.08137452855128e-23	1.24596839129156e-20
P02931	-1.45942773910529	-1.52485770885814	-1.39399776935245	25.2558967623515	-46.5673101997031	1.17451992469408e-21	2.8752247756511e-19	39.8734035667437	P02931	25	-48.3549981908504	5.08974016050475e-23	1.24596839129156e-20
P08839	1.87300058850675	1.78651018929696	1.95949098771654	24.1428246086256	45.2111223393171	2.09401242845885e-21	4.14714329157316e-19	39.2953001053042	P08839	51	47.4526151976023	7.53374150002157e-23	1.67659992655026e-20
P31142	-1.18887771775455	-1.24293385447082	-1.13482158103828	21.0954024825513	-45.9163607420567	1.54697800338984e-21	3.44272922936211e-19	39.5982173706592	P31142	16	-46.2920364658541	1.26123530993407e-22	2.57292003226551e-20
P37440	-2.50558713061043	-2.62208985583193	-2.38908440538892	19.3650341461337	-44.9002440298752	2.3965407154463e-21	4.19052262243753e-19	39.1601548859142	P37440	15	-46.0042552754266	1.43594833707768e-22	2.64300086256922e-20
P76503	-2.61532463032022	-2.73640546724359	-2.49424379339685	19.3703973983365	-45.0946962349957	2.20232282640731e-21	4.14714329157316e-19	39.2448043579141	P76503	12	-45.8909656949936	1.51152010114253e-22	2.64300086256922e-20
P0AEE5	-5.04701290909191	-5.29035456685931	-4.80367125132452	21.4715927093941	-43.3005317085438	4.87075212145715e-21	7.94906746221807e-19	38.4485157746887	P0AEE5	22	-44.6681787233621	2.65052807983303e-22	4.32566182628751e-20
P06959	-1.07345289654105	-1.12819542061445	-1.01871037246766	25.5462100505143	-40.9386436931044	1.45671331329431e-20	1.98113010608026e-18	37.3450333931154	P06959	45	-43.9123968614214	3.77910118523296e-22	5.78202481340643e-20
P0A9P6	1.71087028270928	1.6255274652361	1.79621310018246	21.7782801424129	41.8528833052689	9.46451568138463e-21	1.44807089925185e-18	37.7799723512337	P0A9P6	32	43.5692664191007	4.44826127951396e-22	6.40549624250011e-20
P08331	-1.27493178192906	-1.33923467490937	-1.21062888894875	21.3591291669666	-41.3934582474207	1.1740934501173e-20	1.69069456816891e-18	37.5626733562433	P08331	33	-43.4483376336006	4.71273473449613e-22	6.40931923891474e-20
P27550	-3.5129825503238	-3.69536095745561	-3.33060414319199	22.4231697594025	-40.2140534063998	2.06409531784841e-20	2.2967751536786e-18	36.9929859550738	P27550	36	-41.5832639220877	1.17224982525264e-21	1.51035135379919e-19
P37188	-2.42448759260606	-2.55081645370054	-2.29815873151158	23.7062014673095	-40.0675383452671	2.21645124823123e-20	2.35907506768263e-18	36.9209907735396	P37188	10	-40.4887330344153	2.03903763423279e-21	2.42932695857059e-19
P0A8A4	-1.62337815794785	-1.70746174128194	-1.53929457461376	19.3512644275394	-40.3073051304517	1.97288676735138e-20	2.2967751536786e-18	37.0386651329287	P0A8A4	12	-40.4462044881545	2.08398145955811e-21	2.42932695857059e-19
P23857	-2.67076152431246	-2.8080624076862	-2.53346064093871	18.4060634032035	-40.6103802265629	1.70457492933871e-20	2.1737474338913e-18	37.1863627729288	P23857	7	-40.1703620412381	2.40184298295587e-21	2.5045759759461e-19
P19926	-1.8268685925177	-1.92504915765778	-1.72868802737762	21.7260283734167	-38.846961748871	4.05220800452882e-20	3.66983383745239e-18	36.3102806019659	P19926	22	-40.1003405630384	2.49034850546328e-21	2.5045759759461e-19
P27306	-2.10121826543888	-2.21434734658521	-1.98808918429256	21.8542816757917	-38.7768193810046	4.19752236309914e-20	3.66983383745239e-18	36.2745781097556	P27306	24	-40.0651239068982	2.53614581507575e-21	2.5045759759461e-19
P76594	-2.46659057774168	-2.59914374845889	-2.33403740702446	19.8816605034307	-38.8492128434865	4.04763282137458e-20	3.66983383745239e-18	36.3114252959842	P76594	20	-40.048720497142	2.55777775321293e-21	2.5045759759461e-19
P37903	-2.10105795209557	-2.21328873531303	-1.9888271688781	21.7951594565588	-39.0842078161997	3.59862344983755e-20	3.66983383745239e-18	36.4305422915836	P37903	11	-39.5140188921227	3.37997380820819e-21	3.18237533942064e-19
P0AE22	-3.11792579994299	-3.2850321157883	-2.95081948409768	18.0016795603976	-38.9536526437193	3.84121938989882e-20	3.66983383745239e-18	36.3644575546304	P0AE22	8	-39.3767707959758	3.63280688973666e-21	3.29374491336124e-19
P0AB91	1.01487367118267	0.95983340024884	1.0699139421165	23.4923991465872	38.4952105052565	4.83835640425105e-20	4.08424016469192e-18	36.1305580821938	P0AB91	18	39.2753033054257	3.83241303620108e-21	3.35062396879295e-19
P0A9B2	1.37139318445545	1.29265659734966	1.45012977156123	26.6781528477047	36.3630812907776	1.46781376838771e-19	9.45581080266612e-18	35.0032907690677	P0A9B2	36	38.0216021814686	7.50617359341318e-21	5.90321182816477e-19
P0A6D3	1.1379559126785	1.07284787424238	1.20306395111462	21.5285969788243	36.4893478534291	1.37205418521003e-19	9.45581080266612e-18	35.071932279718	P0A6D3	27	38.0043876144401	7.57691084006267e-21	5.90321182816477e-19
P0AGE9	-2.232522357592	-2.35890443034134	-2.10614028484266	24.1235904496412	-36.8795505029451	1.11543740720799e-19	8.42168002635431e-18	35.282516146991	P0AGE9	19	-37.9906085655424	7.63403379767599e-21	5.90321182816477e-19
P21151	-3.273268276385	-3.45825632635677	-3.08828022641323	19.104801463272	-36.9413874921434	1.07964073452163e-19	8.42168002635431e-18	35.3156767556391	P21151	14	-37.9708777828966	7.71661676884283e-21	5.90321182816477e-19
P02925	-2.49857185797713	-2.64014300199615	-2.3570007139581	21.8545525094134	-36.8461723026992	1.13527549374874e-19	8.42168002635431e-18	35.2645929064011	P02925	17	-37.9122978005502	7.96735913498679e-21	5.91033186740838e-19
P07014	-2.47923972693701	-2.62138990888003	-2.33708954499399	22.7562107649639	-36.4121546464759	1.42978893882436e-19	9.45581080266612e-18	35.0299973838624	P07014	17	-37.4664649390041	1.01787871593565e-20	7.32872675473667e-19
Q46851	-2.39037509190712	-2.52818849273538	-2.25256169107886	21.10674424365	-36.2117806404149	1.59187966838329e-19	9.99210622615975e-18	34.9207156396484	Q46851	23	-37.3802798747548	1.06758577975949e-20	7.46699996814635e-19
P0A8Y3	-0.994452314631651	-1.04568355456471	-0.943221074698596	19.7545269529573	-40.5251258251018	1.77593744598962e-20	2.1737474338913e-18	37.1449331437232	P0A8Y3	10	-37.3179135759054	1.10513619640155e-20	7.51492613553055e-19
P39265	-1.81725690348762	-1.91686480233885	-1.7176490046364	17.1198196708336	-38.0888468391597	5.95002109697943e-20	4.85521721513521e-18	35.920790449918	P39265	8	-37.1919264866941	1.18527285893146e-20	7.84202150990329e-19
P69828	-1.82486199016166	-1.92936549305804	-1.72035848726528	22.4671356071532	-36.4564564808176	1.39634933249675e-19	9.45581080266612e-18	35.05407537797	P69828	11	-36.746885030314	1.52061757750776e-20	9.79597849931316e-19
P21177	-3.55734915784297	-3.76687909080979	-3.34781922487615	19.5817644398315	-35.4450583661314	2.41387656055895e-19	1.44126093176788e-17	34.4967255338017	P21177	23	-36.5724081822139	1.67798314990852e-20	1.04174148647694e-18
P25906	-1.11170313552117	-1.17535468728711	-1.04805158375524	21.4992769779093	-36.4632278168731	1.39131103017019e-19	9.45581080266612e-18	35.0577529310508	P25906	14	-36.5470959827769	1.70219197136754e-20	1.04174148647694e-18
P76578	-0.709433081081272	-0.755163077027418	-0.663703085135126	21.6834883720154	-32.3881057872166	1.39123712249387e-18	6.4259405205e-17	32.7075334479445	P76578	63	-36.1292841769534	2.15924537167398e-20	1.28922748045315e-18
P0A9G6	-1.92940357282976	-2.04634107671607	-1.81246606894346	26.6058758009396	-34.4464551101599	4.20704667156964e-19	2.34064778454602e-17	33.9301672620939	P0A9G6	30	-35.6788749732986	2.7987228171345e-20	1.63125558484411e-18
P27248	-1.1784527766822	-1.24801569151186	-1.10888986185253	19.5351645711599	-35.3679337656956	2.51832589171555e-19	1.46782423402849e-17	34.4535554960158	P27248	14	-35.611131319974	2.91087329057314e-20	1.65716693379606e-18
P0AC41	-2.45297772228865	-2.60382235732965	-2.30213308724766	23.7891681930278	-33.9499400318681	5.57788605407884e-19	2.9052478851883e-17	33.6421842583519	P0AC41	32	-35.1206496820595	3.87715359370731e-20	2.15710727213534e-18
P0AB77	-2.15096803234902	-2.28284333417451	-2.01909273052353	18.9358018038446	-34.0522462573695	5.26125102056238e-19	2.81654105642933e-17	33.7018727805057	P0AB77	17	-35.0245115848539	4.10309071327605e-20	2.23208134802217e-18
P0AD61	1.17329631114276	1.09973495640423	1.2468576658813	24.0472144784887	33.2991588007862	8.12217361221439e-19	4.05777163320425e-17	33.2581554406027	P0AD61	36	34.8882305275494	4.4472598211409e-20	2.36671566133759e-18
P04982	-2.46793744286521	-2.61382122721929	-2.32205365851113	17.079202382136	-35.3185123481854	2.58774284937579e-19	1.47320802215626e-17	34.4258413148872	P04982	6	-34.4852649102247	5.65336041828388e-20	2.94455878807637e-18
P23721	0.782699546169777	0.732776130901827	0.832622961437727	24.4721211737128	32.7315122029345	1.13387204809703e-18	5.3379207187337e-17	32.9169037749567	P23721	28	34.408328536123	5.92021686262787e-20	3.01931059994021e-18
P0A6T3	-1.39826703386772	-1.48519050111489	-1.31134356662055	20.2645908585623	-33.5836854366836	6.8856130944903e-19	3.51166267819005e-17	33.4269873455599	P0A6T3	16	-34.3313735229713	6.20035804901233e-20	3.09764826611881e-18
P05042	-1.39961484506439	-1.48865646478856	-1.31057322534022	19.9414067082586	-32.8163870124303	1.07831624016385e-18	5.17591795278648e-17	32.968307897004	P05042	25	-33.9709027087954	7.70999098101923e-20	3.77481158430702e-18
P05793	1.26779599321372	1.18460567852279	1.35098630790466	25.9376842977291	31.8164619648273	1.96479311714973e-18	8.58895276925455e-17	32.3539804058195	P05793	49	33.4180137184008	1.08170596602128e-19	5.17737176225262e-18
P76346	-1.6997087990721	-1.80394930886605	-1.59546828927815	18.2870750759845	-34.041859280699	5.29251995897668e-19	2.81654105642933e-17	33.6958210540221	P76346	8	-33.3911974531239	1.09976851158961e-19	5.17737176225262e-18
P0A968	-2.13894484361486	-2.26276905898822	-2.01512062824151	20.3868140691886	-36.0636165807697	1.72408194803677e-19	1.05513815219851e-17	34.8395070240647	P0A968	5	-33.1582131391402	1.27064022635703e-19	5.86891938513586e-18
P0A9Q7	2.62730299399488	2.4546367476913	2.79996924029847	25.7171248005545	31.7671306461166	2.0247695026151e-18	8.69585217965223e-17	32.3231697208431	P0A9Q7	67	32.9413763955675	1.45472132079631e-19	6.59473665427661e-18
P77399	-2.31796258401458	-2.46986434028098	-2.16606082774817	20.8594509085214	-31.8580289344758	1.91570461126077e-18	8.52662706975703e-17	32.3799043573571	P77399	14	-32.6911108962651	1.70239555048101e-19	7.57720783195911e-18
P77318	-2.80518180251043	-2.99047804376828	-2.61988556125258	20.4609731349656	-31.6060104457944	2.23441127207669e-18	9.43075654145471e-17	32.2222023410925	P77318	17	-32.5535784328315	1.85694289880457e-19	8.1174932433457e-18
P0A9D8	1.17707190279275	1.09791824195235	1.25622556363315	23.8850273927814	31.0461151138219	3.15864603425914e-18	1.28872758197773e-16	31.8672647600862	P0A9D8	22	32.0613959916953	2.54167149799609e-19	1.09158102229727e-17
P0A746	-1.46517703788133	-1.56057625596981	-1.36977781979285	20.4635849001831	-32.06421151827	1.69054735258547e-18	7.66381466505415e-17	32.5079911534018	P0A746	10	-31.9214830813609	2.78124324384597e-19	1.17387645878188e-17
P0AFT5	-1.82764918097597	-1.94860252291225	-1.7066958390397	17.1769694010132	-31.5464315320419	2.3175989038864e-18	9.61607138426084e-17	32.184735281007	P0AFT5	9	-31.6189244269308	3.38377005657863e-19	1.40397781330585e-17
P46118	-1.43703914245998	-1.53448283312709	-1.33959545179286	18.4011481041044	-30.7886147456658	3.71124974464242e-18	1.48936711063683e-16	31.7018606793559	P46118	12	-31.1082598921236	4.73075166435709e-19	1.93014667905769e-17
P0A836	-2.15427907608577	-2.30399320055959	-2.00456495161196	24.5744847867138	-30.0410054776213	5.97095632116056e-18	2.21468198093955e-16	31.2136626438291	P0A836	27	-31.0424088053646	4.94154855658932e-19	1.98310014205421e-17
P0ABH7	-1.72913615934867	-1.85073450314528	-1.60753781555206	24.9695097165422	-29.6877175253961	7.50515863816675e-18	2.70185710974003e-16	30.9787190064256	P0ABH7	28	-30.7181304209547	6.13284788235033e-19	2.40029759470118e-17
P0A9J6	-1.29123123962603	-1.37954347685258	-1.20291900239949	18.6621063519702	-30.5251926712207	4.38262636613287e-18	1.73043053940214e-16	31.5312106031388	P0A9J6	12	-30.7073587141576	6.17723645695156e-19	2.40029759470118e-17
P25888	2.21185513519675	2.05677841613131	2.36693185426219	18.963274489458	29.7773024115993	7.08058373209831e-18	2.58705507107114e-16	31.0385577709958	P25888	18	30.6713162740808	6.32822278278172e-19	2.42054521441401e-17
P09148	-1.14877372255598	-1.22856595353156	-1.0689814915804	18.4077706831508	-30.0572442773221	5.90888892429909e-18	2.21468198093955e-16	31.2243953499466	P09148	15	-30.5676513798271	6.78440641712738e-19	2.55511183217351e-17
P77674	-3.36220946419698	-3.59913330102883	-3.12528562736512	19.5020413326214	-29.627246118436	7.80679916657892e-18	2.76971657388191e-16	30.9382248846991	P77674	17	-30.5324075383874	6.94723223756532e-19	2.57679159356968e-17
P09323	-0.914034252820322	-0.977534282358268	-0.850534223282376	19.8334737836601	-30.0513384507088	5.93138325122495e-18	2.21468198093955e-16	31.2204926838469	P09323	16	-30.4850207126424	7.17263138158595e-19	2.620686809272e-17
