	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	-11.787832459140727	18.495185727942136	27.471835470212167	-0.36847305650076123	-0.4310359619421763	-0.30591015105934616	1.615441352167723e-16	4.491015234509995e-17	61.4	8.0	-11.66771473554869	3.1940699272380504e-17	1.1489234332866108e-16
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P76071	-7.668915711421653	17.859198794633933	9.548148449710354	-0.5355601810568054	-0.6770132075053212	-0.3941071546082895	7.629848341876155e-09	3.4813788882331088e-09	40.4	4.0	-7.664204856668789	2.12617793381605e-09	4.70911421347458e-09
A0A7H2C766;P75960	-11.670710946376419	19.31069277686884	13.296239226112863	-0.36399259833176245	-0.42897632495353455	-0.29900887170999035	4.284711565186984e-10	1.7779796966195987e-10	23.4	11.0	-11.428878889484865	4.684460409428395e-11	1.1613971277566757e-10
A0A7H2C767	-4.364166342039978	14.186935932219724	-0.2836503863466273	-0.4080534643553051	-0.5951909977258939	-0.22091593098471632	8.518832901806694e-05	5.277719564165759e-05	61.4	2.0	-4.282886409348767	6.59834189262254e-05	0.00010609525020098185
A5A613	-8.189592635334456	16.617087419441432	13.699353588817903	-0.5466038464812044	-0.6803414823279423	-0.4128662106344665	1.0263239483856371e-10	4.090573933627181e-11	58.4	2.0	-7.698214271535394	1.886253720352111e-10	4.49751701399917e-10
A5A614	-10.162222301789468	16.317031224636565	25.981020302891803	-1.1156397386555241	-1.3337640765282908	-0.8975154007827575	4.980139164743848e-16	1.4185232456954814e-16	92.4	2.0	-10.13416858866053	1.1408856177479155e-16	4.005411377417142e-16
A5A621	5.147481390733222	16.1686063200602	2.8065311630687084	0.539342243728683	0.33063050157591456	0.7480539858814514	3.658541868587312e-06	2.03793776901158e-06	78.4	2.0	5.115287509064472	2.169454968415202e-06	3.887493358335197e-06
O32583	-7.726899587913578	17.26610014504984	14.653319051419347	-0.8389462977449611	-1.054513197768679	-0.6233793977212432	3.0015473825269736e-11	1.166585014110552e-11	97.4	2.0	-7.7053512372740025	1.1057970064085548e-11	2.840152311196709e-11
P00350	9.205432063576025	24.288796100946406	21.829268318834984	0.20414651412717433	0.16011628206461637	0.2481767461897323	2.755969747469223e-14	8.715942575671108e-15	97.4	35.0	9.409420070769091	2.4415620655640365e-15	7.899330086156351e-15
P00363	-3.0497337745021302	22.15722018381882	-4.233322827886395	-0.14544110309482505	-0.2401254991685417	-0.050756707021108405	0.004148953584844993	0.0029728499388677583	97.4	32.0	-3.1017546720390903	0.0025169174172253524	0.003529470401166586
P00370	11.372900264613	23.698140215423827	32.426356823895645	0.4770886018683598	0.3938008780346888	0.5603763257020308	8.997841742852934e-19	2.197218868217161e-19	97.4	29.0	11.566281947199593	5.504860878751968e-20	2.2895216836627502e-19
P00393	4.36739075533843	21.44962099750263	0.06123292598651631	0.12526506701989604	0.06831934448584644	0.18221078955394565	5.2772544183379154e-05	3.2225856898866775e-05	97.4	24.0	4.438779555120984	2.386279651463551e-05	3.972158510224717e-05
P00448	-12.450695329678329	24.115577241965816	37.60389102663811	-0.7012660087583953	-0.8130918993668754	-0.5894401181499151	5.826009522040878e-21	1.2595164028182636e-21	97.4	16.0	-12.632566743040567	3.075801066619968e-22	1.4455771305077475e-21
P00452	-2.6201890564823285	21.261878508899983	-5.366599637059542	-0.09620157788368999	-0.16909741874821288	-0.02330573701916709	0.013600211103398398	0.01024196225512072	97.4	39.0	-2.668983788036672	0.008913730177538355	0.011922979424318093
P00490	27.381459113657407	21.363587650944446	95.66261608282163	0.8315268431237257	0.7712330135036367	0.8918206727438147	1.984410959787265e-45	1.0979322933249212e-46	97.4	44.0	27.940748583777996	2.655297609596541e-48	4.85919462556167e-47
P00509	-7.100307983227824	24.03336858571565	11.688916650237067	-0.16782335112495161	-0.21475095556116242	-0.12089574668874083	5.496050297225485e-10	2.308791620760706e-10	97.4	29.0	-7.237055885710572	1.0613271347536905e-10	2.5703605050114195e-10
