Symbol	metap	metafc	idx	ID
P23538	8.01138341573959e-109	-3.07625809772921	-332.5320950851	P23538
P37689	2.25767337733999e-105	2.72537259172825	285.200263830665	P37689
P22259	9.4112887317895e-100	-2.91229753251218	-288.394197387111	P22259
P0AEE5	2.53845932722273e-92	-4.87344378920568	-446.385178433309	P0AEE5
P27306	8.72373655225236e-92	-1.98346792218192	-180.613195524634	P27306
P76594	2.00199930464187e-91	-2.34864646477019	-213.018796118724	P76594
P76503	4.21519065576692e-91	-2.57032966618648	-232.294013379206	P76503
P25553	3.8489873103308e-90	-3.74221902564652	-334.609217576838	P25553
Q46851	2.85693420562156e-89	-2.44553368221445	-216.537578327322	Q46851
P0A796	8.66350165053446e-89	1.75034206959767	154.139159878442	P0A796
P77318	5.49814124088507e-87	-3.03647893957086	-261.926017775345	P77318
P37440	1.77611524125831e-86	-2.43228397901016	-208.569637535223	P37440
P0A8A4	3.57903775020593e-86	-1.57584968755919	-134.650420712076	P0A8A4
P15078	1.39702271244369e-85	-4.03992012023846	-342.806599813126	P15078
P27550	1.15215506892319e-84	-3.47401880267282	-291.603889280258	P27550
P08839	1.28014543427154e-84	1.79402980104614	150.506076886405	P08839
P0A9Q7	5.6981096625451e-83	2.57461741218097	211.747527526268	P0A9Q7
P25888	8.93802752821021e-83	2.0367727691866	167.11467667564	P25888
P0A836	2.39036438527506e-82	-2.17576803819207	-177.589529018685	P0A836
P02925	3.52868512313907e-82	-2.40527114284325	-195.915076191741	P02925
P19926	3.69378373002329e-82	-1.97146610577121	-160.541469915909	P19926
P0AGE9	4.52460993375956e-82	-2.13773207577427	-173.892573372268	P0AGE9
P0A9G6	3.20069348488536e-81	-1.82714045994224	-147.075225343957	P0A9G6
P37188	4.15157614031741e-81	-2.21367489663265	-177.939144012133	P37188
P0AFT5	1.16103066777029e-80	-1.76645692927486	-141.202010753891	P0AFT5
P29012	1.30354571645369e-80	-2.96337381425453	-236.728742975855	P29012
P0A9D8	1.39576066937766e-80	1.08068835336561	86.2985727552932	P0A9D8
P0ABH7	1.74076729833518e-80	-1.71820614385443	-137.042849324972	P0ABH7
P77399	8.47832200650419e-80	-2.44074436426688	-192.993781967446	P77399
P76558	4.08531554567321e-79	-1.67053172781406	-130.950934728576	P76558
P0A9B2	6.6106553390885e-79	1.28660412996809	100.586396287073	P0A9B2
P0A9P6	8.70455329745769e-79	1.64807371457582	128.649051964954	P0A9P6
P09832	1.12547358765774e-78	1.29144096767649	100.666098959523	P09832
P21177	1.47378161229199e-78	-3.35666615386781	-261.254586202527	P21177
P69786	7.08135477611695e-78	1.88845021099529	145.69371405125	P69786
P04983	8.63903739104408e-78	-1.88943436413759	-145.606490582626	P04983
P0AFG8	1.15329918193736e-77	-1.11351323792653	-85.6715461012054	P0AFG8
P77674	2.72369337430704e-77	-3.12526931162879	-239.28575038241	P77674
P0AAG8	4.29750532781697e-77	-3.1779897910786	-242.692858582753	P0AAG8
P37685	4.7516227486515e-77	-2.47753719742604	-189.093463086783	P37685
P33025	6.11637750890284e-77	-3.08195663177088	-234.886719376079	P33025
P07014	6.74079597057662e-77	-2.36724274019895	-180.315930465591	P07014
P37349	8.70223203668486e-77	1.61331233936261	122.709132394058	P37349
P0A6T3	1.01938692161215e-76	-1.2527997348188	-95.2023326772819	P0A6T3
P41409	1.72257189385624e-76	-1.63436004893901	-123.82536488291	P41409
P0AB77	2.72778628857704e-76	-1.93801204276434	-146.44430955886	P0AB77
P00864	3.02034338842234e-76	1.31921610347055	99.6271258338579	P00864
P0AE22	5.60494140851633e-76	-2.64590441981289	-199.108088384496	P0AE22
P21151	1.39870270360031e-75	-3.06162054679684	-229.175385087016	P21151
P21514	1.86997267631766e-75	-2.29554454836143	-171.541831176228	P21514
P24203	5.51480295843609e-75	-1.85105862161384	-137.456781121545	P24203
P04982	5.56554351263509e-75	-2.45872198772661	-182.571153194363	P04982
P06959	8.33586375526814e-75	-1.02870230362134	-76.2052887599088	P06959
P69828	8.8699726950284e-75	-1.71762594928803	-127.193770285552	P69828
P0AC41	2.85759452318336e-74	-2.2996198011452	-169.123237264502	P0AC41
P0A6J5	4.06058939057281e-74	-2.29882304372926	-168.71386664488	P0A6J5
P39396	4.10521522022123e-74	-5.1919691304079	-381.021294432994	P39396
P0A6D3	9.94476520405534e-74	1.0268868074567	74.9652070857562	P0A6D3
P77252	1.02085382298256e-73	-4.45362412253014	-325.074640619869	P77252
P06720	1.0948361310427e-73	-2.42365318603975	-176.831313957773	P06720
P0ACL5	1.46776324086506e-73	-2.39045001452563	-174.104468206282	P0ACL5
P46118	7.96418206408463e-73	-1.48030837946439	-106.728544861661	P46118
P42593	1.57827453345657e-72	-2.85907174804167	-205.286547732389	P42593
P0A6F3	1.64339841450315e-72	-1.99388882344574	-143.129828003534	P0A6F3
P37903	1.90600539338363e-71	-1.98960005995674	-140.704269280599	P37903
P0AFG3	4.03771495579962e-71	-1.70996334398135	-120.370927668603	P0AFG3
P77433	4.9824343534462e-71	-3.60441068082059	-253.399292438884	P77433
P09831	7.45555514500036e-71	1.42063601726404	99.6256807321361	P09831
P0A9P0	1.14780131124752e-70	-1.10913817266518	-77.5732716259657	P0A9P0
P25906	1.15574029800142e-70	-1.0715781428535	-74.9431103229445	P25906
P0ACL9	1.55335239730032e-70	-1.60072847653608	-111.744822034612	P0ACL9
P0C8J6	2.43270662187847e-70	-2.00689281458043	-139.707656301063	P0C8J6
P39187	2.91248545658438e-70	-3.5812484860577	-249.024750117062	P39187
P08202	9.64857691864626e-70	-1.68664033406002	-116.40438793675	P08202
P31142	1.47240217738528e-69	-1.13898971120141	-78.3989096739886	P31142
P0AB91	3.48404494161185e-69	0.992722230377776	67.9596953082532	P0AB91
P0A9J6	5.55466161514782e-69	-1.39029297558935	-94.8949230750668	P0A9J6
P23857	6.98307075872723e-69	-2.4577852820653	-167.512699538199	P23857
P0AFG6	8.82161591682561e-69	-1.69007407475974	-115.017064751844	P0AFG6
P76346	1.76835386079458e-68	-1.72152309083215	-116.637374125352	P76346
P08331	6.63059067124796e-68	-1.22171862908194	-82.0731611277425	P08331
P0A853	1.57542805220939e-67	-2.87648304422487	-192.156550311174	P0A853
P05793	1.73434400049839e-67	1.1707185135839	78.1581803546711	P05793
