ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P23538	3.91510704674198e-23	2.27031375600955e-19	1.91386988179444e-23	3.45652556299942e-28	6.23483054844559e-26	536.206645464769	8.01138341573959e-109	2.00444813061805e-105	NA
P37689	4.18828680965715e-23	8.49950214673845e-16	7.27214015320901e-24	2.19489122922184e-25	2.05359690206699e-28	520.075590918045	2.25767337733999e-105	2.82434939505232e-102	NA
P22259	4.87130418186611e-21	1.4667155190545e-22	1.24818356303707e-21	2.08052716426989e-22	3.22355088816397e-23	493.781187425374	9.4112887317895e-100	7.84901480231244e-97	NA
Q46851	1.2552167541348e-20	1.39727923662916e-19	6.16534924467493e-18	2.38700253386056e-21	1.06758577975949e-20	444.674241775633	2.85693420562156e-89	7.94227709162794e-87	NA
P15078	1.86111756252491e-20	3.62930085046743e-11	3.64642010791649e-19	3.52061597887011e-20	1.82001871950449e-25	427.368276023596	1.39702271244369e-85	2.49667916181008e-83	NA
P08839	2.83154086069751e-20	2.02631098464882e-14	4.17243651166947e-18	8.36463774086227e-20	7.53374150002157e-23	422.853281842446	1.28014543427154e-84	2.00182742284213e-82	NA
P29012	7.62777195071622e-20	5.18077172339913e-18	5.79180830275161e-18	4.79378020985786e-17	1.67826311089931e-18	404.033940806512	1.30354571645369e-80	1.25441207021813e-78	NA
P37440	2.3139313127521e-19	1.60234792468139e-18	1.86181980589202e-16	1.94679907772764e-20	1.43594833707768e-22	431.571198929995	1.77611524125831e-86	3.70320027802357e-84	NA
P24203	3.17701953891398e-19	3.59513477366536e-12	1.35104415399527e-14	3.46175946200546e-21	1.9092057106296e-18	377.584561626889	5.51480295843609e-75	2.67788266704096e-73	NA
P0A8A4	4.09219335349938e-19	1.49289948276502e-16	6.07687989107515e-17	5.09293647627757e-23	2.08398145955811e-21	430.14348289489	3.57903775020593e-86	6.88827111616556e-84	NA
P0AEE5	4.3477704582776e-19	7.93212507249134e-21	7.09768254018016e-20	3.32678751146539e-21	2.65052807983303e-22	458.978292147532	2.53845932722273e-92	1.58780630917782e-89	NA
P76503	4.47960816203108e-19	1.21075218461624e-19	3.67974062016729e-20	1.24892790921757e-20	1.51152010114253e-22	453.258976606619	4.21519065576692e-91	1.50662957438983e-88	NA
P04983	1.15751038089723e-18	4.15589048946254e-13	4.19541114063244e-17	9.20661082222353e-23	7.50044668459296e-17	390.77562854496	8.63903739104408e-78	6.00413098677564e-76	NA
P37349	1.37443825285955e-18	1.01245103345802e-12	3.0570294042413e-17	6.53259863454617e-21	5.30170066444638e-18	386.059245216733	8.70223203668486e-77	5.06348478041524e-75	NA
P0A9Q7	2.60972897674916e-18	5.42342419701981e-21	1.18045364929764e-18	2.97359532796473e-16	1.45472132079631e-19	415.114739722074	5.6981096625451e-83	8.38627669158109e-81	NA
P0A796	3.35405919485992e-18	2.82374855800752e-17	2.89117092794687e-20	6.12865659951913e-21	5.08137452855128e-23	442.414937309867	8.66350165053446e-89	2.16760811296372e-86	NA
P0C8J6	3.82643389326496e-18	1.10701952434641e-16	6.93557189549706e-12	1.24426940357649e-15	1.56032421335433e-18	355.721024214518	2.43270662187847e-70	8.45365551102769e-69	NA
P0A836	4.81492105052594e-18	1.37324957683172e-16	5.62073072026763e-20	1.69800296199698e-19	4.94154855658932e-19	412.190671515198	2.39036438527506e-82	3.14773246945168e-80	NA
P0AGE9	5.76427549050207e-18	1.18549320022173e-19	3.62923893019444e-16	3.15720492805902e-18	7.63403379767599e-21	410.889327452422	4.52460993375956e-82	5.14571547921201e-80	NA
P25553	1.84964385238579e-17	1.39669127491713e-20	4.72170730122565e-20	1.15930711303352e-19	2.53147540254864e-23	448.756059554013	3.8489873103308e-90	1.20377078130596e-87	NA
P0A9B2	2.23791407645411e-17	2.33424135949847e-16	1.00397727856015e-16	2.56890971245397e-18	7.50617359341318e-21	396.022160476496	6.6106553390885e-79	5.33543859948369e-77	NA
P77399	2.49716294350451e-17	6.56985530412307e-16	2.54642578556481e-18	1.74886248489959e-19	1.70239555048101e-19	400.213467010802	8.47832200650419e-80	7.31474540009431e-78	NA
P19926	2.60510749044725e-17	9.40060907744969e-18	1.6715973832392e-15	4.76752717097864e-21	2.49034850546328e-21	411.303100057503	3.69378373002329e-82	4.40087947262775e-80	NA
P27306	4.41523450285053e-17	2.22710558415435e-22	1.13868995670797e-17	2.66982394688423e-24	2.53614581507575e-21	456.465588280166	8.72373655225236e-92	4.36535777074708e-89	NA
P76594	5.79703759919264e-17	1.82348960665885e-20	6.95402581645494e-19	9.39135735368965e-25	2.55777775321293e-21	454.774662054444	2.00199930464187e-91	8.34833710035659e-89	NA
