Symbol	signcon	randomSummary	randomCi.lb	randomCi.ub	randomP	het_QE	het_QEp	het_QM	het_QMp	error	rank	ID
P0AEE5	-5	-4.8791751294761	-5.04340612757071	-4.71494413138148	0	6.06265926913091	0.194517454636619	3390.61696573175	0	FALSE	1	P0AEE5
P25553	-5	-3.71865027209839	-3.84721941827579	-3.590081125921	0	5.61816790311827	0.229536040179678	3213.61121873526	0	FALSE	6	P25553
P23538	-5	-3.08878540740811	-3.18555708437529	-2.99201373044094	0	10.8655058591916	0.0281178592333188	3913.5881615388	0	FALSE	11	P23538
P22259	-5	-2.9174075814868	-3.04375116626037	-2.79106399671323	0	13.9417022818583	0.00748346124497194	2048.25491827658	0	FALSE	19	P22259
P0A853	-5	-2.88817595405968	-3.01998004432487	-2.7563718637945	0	1.96428346033079	0.742328220336583	1844.52991040711	0	FALSE	20	P0A853
P42593	-5	-2.82249805821728	-2.92878143120164	-2.71621468523293	0	2.51547844816415	0.641866298479007	2709.1486073127	0	FALSE	22	P42593
P37689	5	2.73255880006445	2.64902072762687	2.81609687250202	0	9.78098195760169	0.0442831238233427	4110.23178929672	0	FALSE	25	P37689
P0A9Q7	5	2.58134225048296	2.49394142401864	2.66874307694729	0	2.78108333348829	0.595102459349258	3350.85999812177	0	FALSE	28	P0A9Q7
Q46851	-5	-2.43076110492874	-2.50052391408275	-2.36099829577473	0	2.62141051822949	0.623035067160543	4663.72376315885	0	FALSE	30	Q46851
P77399	-5	-2.43177913586178	-2.52900520067142	-2.33455307105215	0	4.89473956169788	0.298269385410968	2403.13971971958	0	FALSE	33	P77399
P07014	-5	-2.40229967129279	-2.48888300564768	-2.3157163369379	0	2.5230373031311	0.640515412801276	2957.20840921609	0	FALSE	35	P07014
P0A6J5	-5	-2.30916945144072	-2.40182534474591	-2.21651355813553	0	2.36446144346065	0.669058953266892	2385.95195396376	0	FALSE	43	P0A6J5
P0AC41	-5	-2.34065100349109	-2.45361284180999	-2.2276891651722	0	6.19342081266329	0.18516164204905	1649.32411033445	0	FALSE	44	P0AC41
P0A836	-5	-2.17751595516908	-2.25004774465258	-2.10498416568558	0	0.391200429968921	0.983190990966414	3462.2792185516	0	FALSE	54	P0A836
P0AGE9	-5	-2.14267120208657	-2.22674845948442	-2.05859394468872	0	4.92833111080148	0.294730537372103	2494.88294519957	0	FALSE	59	P0AGE9
P0C0L7	5	1.90889165277279	1.823255444501	1.99452786104459	0	3.56857438968152	0.467528346146653	1908.72727889051	0	FALSE	82	P0C0L7
P08839	5	1.83068703496856	1.77635494298488	1.88501912695225	0	5.13032575073049	0.274184748501819	4361.25559078645	0	FALSE	84	P08839
P0A9G6	-5	-1.83661690715682	-1.92086767766015	-1.75236613665348	0	6.72689950694821	0.151043594111618	1825.51571207303	0	FALSE	89	P0A9G6
P0A796	5	1.76658779567912	1.71794656494084	1.8152290264174	0	3.40463848907524	0.49252558977752	5067.07722851997	0	FALSE	90	P0A796
P0AFT5	-5	-1.76242776925991	-1.81562649107049	-1.70922904744934	0	5.51135215517445	0.238733416603954	4216.15375739569	0	FALSE	95	P0AFT5
P0AFG3	-5	-1.72381802828764	-1.79577328597876	-1.65186277059652	0	2.01775833972511	0.732492461026888	2204.72259588956	0	FALSE	107	P0AFG3
P76346	-5	-1.67744222048936	-1.74216097291187	-1.61272346806685	0	2.91471641863696	0.572197346885597	2580.66153118693	0	FALSE	111	P76346
P76558	-5	-1.66240685814947	-1.72073925566979	-1.60407446062916	0	2.61165008021972	0.624760756122287	3119.97541828209	0	FALSE	112	P76558
P0AFG6	-5	-1.67648259281312	-1.75194184825246	-1.60102333737379	0	0.815460573131249	0.936363423384518	1896.13496853921	0	FALSE	113	P0AFG6
P0AC33	-5	-1.63588912534447	-1.72038671715722	-1.55139153353172	0	4.10491320600183	0.391993550171814	1439.84336510649	4.61814109144722e-315	FALSE	124	P0AC33
P0A8A4	-5	-1.57306555671047	-1.6324977049647	-1.51363340845624	0	6.44567407690733	0.168245702640918	2691.20616288137	0	FALSE	130	P0A8A4
P46118	-5	-1.48407750561118	-1.54665745906127	-1.42149755216109	0	5.44844018012768	0.244298941882766	2160.42341432533	0	FALSE	139	P46118
P0A746	-5	-1.45938059781355	-1.53093759501056	-1.38782360061654	0	3.71754575062986	0.445579138938357	1597.82459895107	0	FALSE	142	P0A746
P36683	-5	-1.42199743358466	-1.49227500526982	-1.35171986189949	0	2.82809682359262	0.586992500787509	1572.75224420456	0	FALSE	147	P36683
P25516	-5	-1.4093771252183	-1.48217972452162	-1.33657452591498	0	4.58829286687528	0.3322062234028	1439.64975648974	5.08789259098038e-315	FALSE	152	P25516
P05042	-5	-1.36170621772926	-1.4224419004512	-1.30097053500731	0	2.62615064245349	0.622197710501914	1930.96849333101	0	FALSE	157	P05042
P09832	5	1.31218000681378	1.27053477787373	1.35382523575382	0	2.82561336046906	0.587419529891823	3813.75251280349	0	FALSE	163	P09832
P06987	5	1.26602891286254	1.20647845948261	1.32557936624246	0	4.91682915646385	0.295938295197951	1736.25410452367	0	FALSE	179	P06987
P31142	-5	-1.16670030557716	-1.20716093526635	-1.12623967588797	0	1.98961397076759	0.737669277049124	3194.10751393346	0	FALSE	203	P31142
P10371	5	1.17204219341072	1.11780504283409	1.22627934398735	0	0.283477919805516	0.990855610258135	1793.8616469842	0	FALSE	210	P10371
P25906	-5	-1.06895906424223	-1.11978247161746	-1.018135656867	0	4.80064283800009	0.308371067407065	1699.38106123432	0	FALSE	245	P25906
P0A993	-5	-1.02051690294679	-1.07293733702913	-0.968096468864455	0	0.811578056139774	0.93688915912291	1455.91278895756	1.48809114067863e-318	FALSE	266	P0A993
P08997	-5	-0.993667040057585	-1.04301960102477	-0.944314479090396	0	4.92209675211551	0.2953846617126	1557.2508037098	0	FALSE	274	P08997
P23721	5	0.785914192813483	0.75294167498953	0.818886710637436	0	3.2382263528621	0.518778951831887	2182.4395443448	0	FALSE	371	P23721
P18843	5	0.721491899582286	0.684042534380437	0.758941264784136	0	1.24787328341742	0.870155441887703	1425.83798435902	5.10289423575155e-312	FALSE	421	P18843
P37685	-5	-2.48147052164732	-2.61170246876476	-2.35123857452989	2.98635011822491e-305	7.60194788549554	0.10729694077772	1394.69535739796	2.9863501182253e-305	FALSE	34	P37685
P76594	-5	-2.36113679552365	-2.48507249874621	-2.23720109230109	3.70220288974001e-305	12.5994722874079	0.0134080776907559	1394.26591277294	3.70220288974e-305	FALSE	42	P76594
P0A9D8	5	1.08434732176181	1.02682427531137	1.14187036821225	8.25537772934914e-299	9.63966908189927	0.0469551349359536	1365.05216284398	8.2553777293503e-299	FALSE	241	P0A9D8
P04036	5	1.2186221714156	1.15343259212411	1.28381175070709	6.94839894841992e-294	0.244816480347449	0.993092319636919	1342.38773712481	6.948398948421e-294	FALSE	194	P04036
P0ABH7	-5	-1.73345626744765	-1.82689712689466	-1.64001540800064	1.82470477070799e-289	9.43960931940593	0.05100304177976	1322.0513148501	1.82470477070787e-289	FALSE	110	P0ABH7
P08660	5	1.65713322982321	1.56746485195286	1.74680160769355	2.79511495476781e-287	2.59275195067399	0.628107619879468	1311.99568802001	2.79511495476766e-287	FALSE	122	P08660
P77674	-5	-3.14127017370447	-3.31144947742767	-2.97109086998126	1.34205417447814e-286	8.20852747478597	0.0842313987902575	1308.86025053588	1.34205417447803e-286	FALSE	13	P77674
P0A9B2	5	1.29179232369987	1.22107618936709	1.36250845803266	9.83509649642616e-281	8.79175160205844	0.066520781272002	1281.87169129568	9.83509649642678e-281	FALSE	176	P0A9B2
P0A6L4	-5	-1.68808342320139	-1.78087220520978	-1.59529464119299	1.8262537883144e-278	3.8896042027132	0.421152412997922	1271.4317266455	1.82625378831431e-278	FALSE	117	P0A6L4
P0AG80	-5	-1.60425839633343	-1.69277764308628	-1.51573914958058	2.3337079509054e-276	2.53109254429974	0.639076979897736	1261.73864392093	2.33370795090535e-276	FALSE	132	P0AG80
P0A7F9	5	0.747941311277679	0.706610504720245	0.789272117835113	1.50920812095634e-275	5.49656569208773	0.240031522946469	1258.00817665663	1.50920812095637e-275	FALSE	401	P0A7F9
P19926	-5	-1.95968317161234	-2.06885011486277	-1.85051622836191	3.53711582235307e-271	11.7841551228214	0.0190306395842675	1237.90013021723	3.53711582235353e-271	FALSE	77	P19926
P76014	5	1.1618884847182	1.09704775087751	1.22672921855888	3.24354657703235e-270	3.73857195125369	0.4425407334446	1233.4718265424	3.24354657703252e-270	FALSE	215	P76014
P77318	-5	-3.01056406138028	-3.18050687574183	-2.84062124701874	3.78856848662232e-264	12.5212592688262	0.0138681132788021	1205.55302067379	3.78856848662232e-264	FALSE	18	P77318
P27550	-5	-3.45218867947528	-3.65250024247322	-3.25187711647733	4.12122595201488e-250	12.1279748176438	0.016424556311662	1140.96728168254	4.12122595201458e-250	FALSE	9	P27550
P65294	-5	-1.27209928727796	-1.34597287923801	-1.19822569531791	1.05206937033468e-249	0.605172578791481	0.96248716508234	1139.09453459715	1.05206937033475e-249	FALSE	182	P65294
P60595	5	1.04620169884115	0.985348301653674	1.10705509602862	6.60981690159664e-249	3.50239428626493	0.477514381397529	1135.42216428985	6.60981690159641e-249	FALSE	261	P60595
P0A9P6	5	1.64379299682605	1.54762318106987	1.73996281258222	4.6769091560689e-246	10.1628865620617	0.0377714696888636	1122.31008563475	4.67690915606913e-246	FALSE	126	P0A9P6
P39173	5	0.93000734682996	0.875574980342301	0.984439713317619	7.4327348484129e-246	3.69074608999441	0.449473283447853	1121.38439648173	7.43273484841405e-246	FALSE	306	P39173
P37330	-5	-0.85019455866336	-0.900078743382536	-0.800310373944183	1.18386589889793e-244	1.00961338271494	0.908334800170996	1115.8532091841	1.18386589889778e-244	FALSE	347	P37330
P64499	5	2.10732730976783	1.98285264404643	2.23180197548923	1.97481059301587e-241	8.02342634097948	0.0907238171565669	1101.02767548318	1.97481059301605e-241	FALSE	65	P64499
P24203	-5	-1.83009992859968	-1.93989507136628	-1.72030478583307	4.26448024689102e-234	10.5830494170217	0.0316720317985206	1067.28285933624	4.26448024689065e-234	FALSE	99	P24203
P37440	-5	-2.42150975316398	-2.56783121760268	-2.27518828872527	8.55543274321226e-231	15.7353920371203	0.00339557893797511	1052.08916764524	8.55543274321136e-231	FALSE	39	P37440
P0A6P9	5	0.908868651886487	0.853528129973178	0.964209173799796	2.5249141183366e-227	0.210621830169085	0.994829166449336	1036.12446722246	2.52491411833665e-227	FALSE	320	P0A6P9
P0ADM4	-5	-1.23854603905535	-1.31412337717161	-1.16296870093908	2.35645722984022e-226	0.501736035493781	0.973331755715817	1031.66170066595	2.35645722984025e-226	FALSE	190	P0ADM4
P0AEJ6	-5	-0.685691108708604	-0.727831071056081	-0.643551146361128	3.44130581851317e-223	8.82903726968976	0.0655177190479501	1017.10299155442	3.44130581851315e-223	FALSE	452	P0AEJ6
P09551	-5	-1.91612203055053	-2.03537484344496	-1.79686921765609	1.11177812747754e-217	4.09569472009922	0.393209864924328	991.756936734979	1.11177812747752e-217	FALSE	87	P09551
