ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P23538	3.91510704674198e-23	2.27031375600955e-19	1.91386988179444e-23	3.45652556299942e-28	6.23483054844559e-26	-22.3962981849775	4.27672823193707e-111	9.85358184638302e-108	NA
P37689	4.18828680965715e-23	8.49950214673845e-16	7.27214015320901e-24	2.19489122922184e-25	2.05359690206699e-28	-21.97377039366	5.1325931449721e-107	5.91274730300786e-104	NA
P22259	4.87130418186611e-21	1.4667155190545e-22	1.24818356303707e-21	2.08052716426989e-22	3.22355088816397e-23	-21.4871630300298	2.05277100913497e-102	1.57652813501566e-99	NA
Q46851	1.2552167541348e-20	1.39727923662916e-19	6.16534924467493e-18	2.38700253386056e-21	1.06758577975949e-20	-20.3185975775638	8.80561090517717e-92	2.25423639172536e-89	NA
P15078	1.86111756252491e-20	3.62930085046743e-11	3.64642010791649e-19	3.52061597887011e-20	1.82001871950449e-25	-19.7094661169665	1.78843764718792e-86	2.5753502119506e-84	NA
P08839	2.83154086069751e-20	2.02631098464882e-14	4.17243651166947e-18	8.36463774086227e-20	7.53374150002157e-23	-19.7256817190522	1.29795748948355e-86	1.99366270384673e-84	NA
P29012	7.62777195071622e-20	5.18077172339913e-18	5.79180830275161e-18	4.79378020985786e-17	1.67826311089931e-18	-19.3099116103152	4.43330570669881e-83	4.08573453929362e-81	NA
P37440	2.3139313127521e-19	1.60234792468139e-18	1.86181980589202e-16	1.94679907772764e-20	1.43594833707768e-22	-19.9761145263825	8.88778959547654e-89	1.7064556023315e-86	NA
P24203	3.17701953891398e-19	3.59513477366536e-12	1.35104415399527e-14	3.46175946200546e-21	1.9092057106296e-18	-18.5192554830544	1.44420363310838e-76	6.16193550126242e-75	NA
P0A8A4	4.09219335349938e-19	1.49289948276502e-16	6.07687989107515e-17	5.09293647627757e-23	2.08398145955811e-21	-19.9239824373479	2.52119035496856e-88	4.46832505988273e-86	NA
P0AEE5	4.3477704582776e-19	7.93212507249134e-21	7.09768254018016e-20	3.32678751146539e-21	2.65052807983303e-22	-20.6656933934694	7.05366812869929e-95	4.06291284213079e-92	NA
P76503	4.47960816203108e-19	1.21075218461624e-19	3.67974062016729e-20	1.24892790921757e-20	1.51152010114253e-22	-20.527196807695	1.23073051551431e-93	4.23433624131991e-91	NA
P04983	1.15751038089723e-18	4.15589048946254e-13	4.19541114063244e-17	9.20661082222353e-23	7.50044668459296e-17	-18.8853696470774	1.50480855630791e-79	9.63077476037064e-78	NA
P37349	1.37443825285955e-18	1.01245103345802e-12	3.0570294042413e-17	6.53259863454617e-21	5.30170066444638e-18	-18.7793932508199	1.11345142090895e-78	6.10807636612909e-77	NA
P0A9Q7	2.60972897674916e-18	5.42342419701981e-21	1.18045364929764e-18	2.97359532796473e-16	1.45472132079631e-19	-19.5776462417329	2.39850283472381e-85	3.25067678306098e-83	NA
P0A796	3.35405919485992e-18	2.82374855800752e-17	2.89117092794687e-20	6.12865659951913e-21	5.08137452855128e-23	-20.2432431866899	4.07454104922709e-91	9.38774257741922e-89	NA
P0C8J6	3.82643389326496e-18	1.10701952434641e-16	6.93557189549706e-12	1.24426940357649e-15	1.56032421335433e-18	-17.9757474383417	3.01769322567139e-72	9.65661832214844e-71	NA
P0A836	4.81492105052594e-18	1.37324957683172e-16	5.62073072026763e-20	1.69800296199698e-19	4.94154855658932e-19	-19.5119005295665	8.69872304032792e-85	1.05483462552187e-82	NA
P0AGE9	5.76427549050207e-18	1.18549320022173e-19	3.62923893019444e-16	3.15720492805902e-18	7.63403379767599e-21	-19.4699204420117	1.97578129148528e-84	2.27610004779105e-82	NA
