Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P23538	-2.91465340073706	-2.98748217965864	-2.84182462181548	24.0313750350885	-79.453811290621	1.66471398468171e-88	4.76607613814373e-85	192.101923870245	P23538	40	-80.5289902483125	1.4103977259738e-90	4.037968689463e-87
P0AEE5	-4.58860749094134	-4.71564382464987	-4.46157115723281	22.6047119903316	-71.7106738969188	2.35375348448266e-84	3.05863894249919e-81	182.630784176932	P0AEE5	12	-72.4733721026076	3.25826597647447e-86	3.49543987402783e-83
P37689	2.48300158503879	2.41403082069085	2.55197234938672	23.8338878840144	71.4731303041776	3.20500063831561e-84	3.05863894249919e-81	182.32426410946	P37689	25	72.3843157483692	3.66270332591111e-86	3.49543987402783e-83
P77318	-2.73698612271243	-2.81457219727388	-2.65940004815099	20.9070229829299	-70.0357302653353	2.12010899168281e-83	1.51746801079697e-80	180.447540118624	P77318	5	-70.1637196008144	7.09144779720856e-85	5.07570376085203e-82
P22259	-2.74428979755481	-2.82602757888663	-2.66255201622299	24.4192061763142	-66.6558040142528	2.09622786274856e-81	1.20030007420983e-78	175.879367898082	P22259	44	-67.532463575705	2.6752148887103e-83	1.53182804527552e-80
P25553	-3.53995590345718	-3.65443405958178	-3.42547774733258	24.3082640814233	-61.3911928401951	4.27327331861286e-78	2.0390635851981e-75	168.287770984994	P25553	28	-62.1261450495612	7.2491117180158e-80	3.45903447477987e-77
P0A796	1.68184449045981	1.62717830613579	1.73651067478383	24.0378874242412	61.0798442440841	6.83686660288647e-78	2.79627844058057e-75	167.819043871	P0A796	31	61.9669688607346	9.23894388684381e-80	3.77872804971912e-77
P19926	-1.86704155098723	-1.92856230799824	-1.80552079397623	22.7291971747348	-60.2508471893149	2.41627264699963e-77	8.64723573544991e-75	166.559561237972	P19926	18	-60.940924984225	4.47572038779937e-79	1.6017484337837e-76
P0A8A4	-1.43318854395804	-1.48301576176094	-1.38336132615514	21.6015529706059	-57.1041321006863	3.4009170708253e-75	1.08186950819698e-72	161.620513646479	P0A8A4	11	-57.4137942388651	1.23853230704254e-76	3.9399088834031e-74
Q46851	-2.15874554885393	-2.23636888803818	-2.08112220966967	21.8993898449508	-55.2128263589788	7.54020236064989e-74	1.9625090325946e-71	158.523807950277	Q46851	14	-55.7816468602662	1.86760424838229e-75	4.72802619585724e-73
P0AGE9	-2.04328148005219	-2.11698448653143	-1.96957847357295	25.2557623670245	-55.0394189257213	1.00678641056923e-73	2.32790585737914e-71	158.234795928247	P0AGE9	28	-55.7475681224217	1.97803189716628e-75	4.72802619585724e-73
P0A9Q7	2.49445406211195	2.40442915707947	2.58447896714444	25.611375491307	55.0102582677023	1.05703025308868e-73	2.32790585737914e-71	158.186109083455	P0A9Q7	90	55.7061013865712	2.12133713738387e-75	4.72802619585724e-73
P41409	-1.59142625568225	-1.64827041318884	-1.53458209817565	20.8661136499406	-55.5816621648196	4.08845217331413e-74	1.17052385721984e-71	159.135646115211	P41409	8	-55.6990164555156	2.14685087482166e-75	4.72802619585724e-73
P37440	-2.21338398283736	-2.29454194741042	-2.1322260182643	21.664105866292	-54.1447635919526	4.53596784511592e-73	9.27605424326205e-71	156.729692584534	P37440	12	-54.6655021186517	1.24720604993554e-74	2.55053637211818e-72
P02925	-2.27768666351493	-2.36198947414059	-2.19338385288927	23.7289620140822	-53.6392590734346	1.07285783641862e-72	2.04772799044434e-70	155.868708050917	P02925	20	-54.2681130492048	2.47379537946147e-74	4.72165078093213e-72
P27550	-3.28129704969038	-3.40348366028843	-3.15911043909234	23.4920767994263	-53.3154127412745	1.86981491857345e-72	3.34580006992237e-70	155.313042896558	P27550	27	-53.9478506861302	4.31074912392013e-74	7.71354671361459e-72
P0A9B2	1.25688211249356	1.20952832895425	1.30423589603287	27.634716915815	52.6951574388337	5.4667017070777e-72	8.69509277075747e-70	154.239740885126	P0A9B2	52	53.5897705175109	8.05034777049956e-74	1.28511784924575e-71
P77674	-2.81825738154773	-2.92362619113463	-2.71288857196083	20.8886375829326	-53.1005995952488	2.70761204909254e-72	4.55993723326584e-70	154.942680046893	P77674	9	-53.5876920594824	8.07967910807666e-74	1.28511784924575e-71
