ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
NDUFS4	3.4520387064601e-93	5.72858154184617e-146	4.36407744795407e-58	1358.81986573564	1.99768697321091e-290	3.46398921154772e-287	NA
NDUFA10	3.47680288962697e-92	2.98758180699296e-62	7.41241349107536e-34	857.084527855386	7.10303043579536e-182	3.00406214040711e-180	NA
NDUFV1	3.04303529246849e-88	4.57921319816279e-121	3.30720127093454e-72	1286.39185235149	9.56236855152485e-275	7.10620588643318e-272	NA
NDUFS5	2.08981365611495e-87	6.34653315411633e-134	3.21819174161286e-76	1360.22793876452	9.90071473649931e-291	2.57517590296347e-287	NA
NDUFA12	3.3957494833424e-85	3.2602173767998e-125	2.36991422478935e-49	1186.20473390462	4.63029465621036e-253	1.60578618677375e-250	NA
NDUFA9	4.68387524717516e-84	1.51707843362544e-89	2.53214942058147e-23	896.833394995443	1.81707664369964e-190	9.08887759665916e-189	NA
NDUFS6	8.41901157226718e-84	1.29080531237734e-32	2.50094553274161e-54	776.274076415737	2.05780441442255e-164	5.94705475768116e-163	NA
NDUFS7	2.96889122470659e-83	3.78038069548518e-66	4.45471550645704e-23	784.26531903945	3.86367741774891e-166	1.14198010949601e-164	NA
PARD3B	4.0667436080039e-83	1.07491418220356e-48	NA	NA	NA	NA	NA
NDUFS1	5.4199355485351e-83	6.78792104842665e-148	1.22185871732995e-62	1341.70366073781	1.01454162916792e-286	1.19583745761761e-283	NA
NDUFA7	3.25306174891382e-79	1.43424050202281e-97	5.05542278434986e-19	891.686799152654	2.3548033497464e-189	1.13423028012785e-187	NA
GGH	7.65120168250223e-79	6.79988679350631e-114	4.01016526347958e-61	1159.03202496994	3.51555019512603e-247	9.62520637633978e-245	NA
NDUFS8	3.00818812283017e-76	6.932129888913e-58	6.11916134484594e-57	869.889645311318	1.21254796292665e-184	5.39117478901231e-183	NA
PKM	4.20495464563657e-76	1.11358099479136e-86	3.40949350570403e-48	961.54492265799	1.85280115344387e-204	1.32031117811165e-202	NA
MT1G	3.96028723137923e-75	1.13894833812274e-64	4.43267220891681e-26	753.862231704722	1.42788973704307e-159	3.62335727419416e-158	NA
PSMB9	1.89298322872211e-74	5.11801403888827e-39	4.49314972700463e-29	646.387217515563	2.28761093657789e-136	3.97998397728367e-135	NA
NDUFA2	2.12760835001912e-74	1.18306564726032e-109	3.10118693735313e-56	1096.52588944041	1.17749893148507e-233	1.91417170049541e-231	NA
CNP	5.2558566926639e-74	1.20871740166141e-43	2.36704447358252e-33	685.354438031243	8.88075480931656e-145	1.8045971296119e-143	NA
NDUFB3	6.13594828873262e-74	5.02197881805624e-68	4.65906033143775e-70	966.362474506285	1.68283939563641e-205	1.21585146334731e-203	NA
GPX3	7.67795579435707e-74	8.42008672991661e-124	7.30311824165437e-61	1180.42452840866	8.2514186125386e-252	2.68274247640161e-249	NA
NDUFC2	2.02233968903196e-73	2.82355605609682e-33	1.2742711755912e-10	530.230488385487	2.57648739731661e-111	2.92639463773821e-110	NA
MISP3	4.62933031935133e-73	NA	NA	NA	NA	NA	NA
FMO5	5.64076922806977e-73	9.29652278244194e-18	NA	NA	NA	NA	NA
NDUFB9	7.40376189693274e-73	4.41785803953462e-69	2.98907682524933e-58	911.868821611002	1.02065999305467e-193	5.64837583390469e-192	NA
NDUFA8	1.09023057771931e-72	7.32015815354076e-101	9.60117576405083e-76	1138.00956288529	1.24477707510898e-242	2.81536101944213e-240	NA
NDUFA3	1.57361835344313e-71	7.04752919832461e-81	2.72255450178997e-07	725.406808905922	1.99701303033097e-153	4.7006614406252e-152	NA
NDUFS3	3.22227821589747e-71	1.4649693645095e-131	1.62059746999808e-77	1280.77304618989	1.57353879650338e-273	1.02319360242632e-270	NA
EPB41L3	1.3518135941527e-70	2.93293515583171e-82	1.8386211417345e-42	889.430082708803	7.24099573040557e-189	3.45574860454768e-187	NA
CMC1	4.45240079981662e-70	5.97297151186192e-18	NA	NA	NA	NA	NA
NDUFV2	5.07073687606145e-70	1.83816256886934e-90	2.26110729436866e-58	997.830886019697	2.63354662920134e-212	2.28328492751756e-210	NA
GM2A	1.70238815235105e-69	4.79292972560612e-55	6.19845224491283e-44	765.821644162161	3.72714740806261e-162	1.02045372719693e-160	NA
ATP1B1	3.11281274467761e-69	3.82996920875696e-129	6.94123496849199e-59	1174.6970113816	1.43227230013642e-250	4.13926694739425e-248	NA
SLC16A3	4.75210509331678e-69	6.30385109135542e-85	9.45885186155583e-25	813.032064419084	2.35284015719208e-172	7.87190009640999e-171	NA
PFKP	6.75490629109461e-69	4.40259616320823e-129	8.94661510888596e-66	1204.59745157399	4.84197950687167e-257	2.09899811622887e-254	NA
CHP1	7.03203154603265e-69	1.8588739662848e-56	8.2120591190918e-29	699.844108132943	6.60963807176248e-148	1.45077372359951e-146	NA
COX6B1	7.22662114224075e-69	9.63760098003768e-113	2.11346412301731e-45	1035.39008787776	1.98013556428662e-220	2.34106027395886e-218	NA
NDUFA4	1.25054364250385e-68	4.44865411873562e-105	3.03086846787838e-49	1016.69772293438	2.18724252399056e-216	2.14679917166017e-214	NA
SUOX	2.61345093060556e-68	5.99487374310115e-107	2.80076581489193e-88	1203.5968206016	7.97235417923563e-257	3.19016818772183e-254	NA
SPTBN2	2.9750811778123e-68	1.05926986964887e-99	3.43562291804807e-40	948.506129604533	1.22273603172808e-201	8.48089711606598e-200	NA
RAPGEF6	9.10388995522199e-68	0.370315689070464	NA	NA	NA	NA	NA
NDUFB7	1.22180587926548e-67	1.49766727984729e-125	1.67384066348559e-57	1144.44865725409	5.03213427583513e-244	1.24653154775687e-241	NA
SLC7A8	2.33807333398453e-67	4.69211228142555e-22	4.00848359142992e-34	558.868686671281	1.72919733833356e-117	2.22655558267604e-116	NA
SUCLG2	5.1617352302385e-67	6.53620273177083e-152	4.44898657668917e-85	1389.94912550568	3.63529758465919e-297	1.89108180353971e-293	NA
NDUFA6	6.77671369274189e-67	4.64440745210019e-49	1.97990211742554e-38	700.931801675158	3.84886859048807e-148	8.51992102456126e-147	NA
RASSF8	1.40165697717417e-66	1.12785243245421e-34	NA	NA	NA	NA	NA
ECHS1	2.80484978967957e-66	2.68836236648677e-146	6.75644530733844e-81	1341.45330625691	1.14940163169705e-286	1.19583745761761e-283	NA
MT1E	3.17657736622005e-66	3.52965930520829e-23	5.72664014338929e-11	452.192749267298	1.65573544472917e-94	1.44758584596322e-93	NA
ACAD8	5.50231532956605e-66	1.25002034495323e-58	2.51184181175162e-16	639.02513589152	8.87399545287379e-135	1.51352538838851e-133	NA
NDUFC1	8.92364300582229e-66	3.02000538424528e-07	NA	NA	NA	NA	NA
SCPEP1	9.04477814490351e-66	7.26367746358982e-36	3.05649560545472e-09	500.569204921459	6.33996534308604e-105	6.50502952953325e-104	NA
ABHD14A-ACY1	9.09315674933904e-66	NA	NA	NA	NA	NA	NA
REEP6	1.54701414208857e-65	1.59874267735807e-90	1.44566564769548e-07	743.489341973708	2.48391499922904e-157	6.12385110236468e-156	NA
NDUFS2	1.5625401325389e-65	1.82596298759038e-69	5.09532335175326e-44	814.366806248659	1.21109495718074e-172	4.11772285441452e-171	NA
TINAG	2.14044115436617e-65	8.01780354369308e-120	1.41298130214098e-72	1177.15198112379	4.21449895654977e-251	1.28963668070423e-248	NA
HOGA1	3.02283362029096e-65	2.44293868069499e-116	2.58605627933909e-43	1025.65906083834	2.52100990116607e-218	2.85093337084041e-216	NA
ATP1A1	7.1683159182596e-65	1.66834687445666e-128	1.58594700912527e-71	1209.87955770136	3.48194796557432e-258	1.64664484699251e-255	NA
MYO9B	2.24347300252022e-64	3.09725159655196e-80	7.14843734359064e-09	696.780170398816	3.03181825352248e-147	6.49033685383702e-146	NA
HMGCL	2.56177738494024e-64	3.39118837074271e-103	3.62781481345838e-62	1047.68294817601	4.34076510983117e-223	5.50747807349799e-221	NA
ACAD10	2.76570628617408e-64	3.68156842403477e-50	6.77211182958272e-22	617.836249531146	3.31155163759332e-130	5.34990422942872e-129	NA
