ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
NDUFS4	3.4520387064601e-93	5.72858154184617e-146	4.36407744795407e-58	-35.8925395790704	3.99363546366075e-282	6.92496389398775e-279	NA
NDUFA10	3.47680288962697e-92	2.98758180699296e-62	7.41241349107536e-34	-28.296831866724	3.78045095300654e-176	1.59885413475935e-174	NA
NDUFV1	3.04303529246849e-88	4.57921319816279e-121	3.30720127093454e-72	-35.321970765008	2.70154704516297e-273	2.00763538984825e-270	NA
NDUFS5	2.08981365611495e-87	6.34653315411633e-134	3.21819174161286e-76	-36.2699067913698	4.82542587151005e-288	1.25509326917976e-284	NA
NDUFA12	3.3957494833424e-85	3.2602173767998e-125	2.36991422478935e-49	-33.4962895532842	5.45815404064239e-246	1.77458233246386e-243	NA
NDUFA9	4.68387524717516e-84	1.51707843362544e-89	2.53214942058147e-23	-28.4634365927614	3.32308311442409e-178	1.49023089320984e-176	NA
NDUFS6	8.41901157226718e-84	1.29080531237734e-32	2.50094553274161e-54	-26.9455435747163	6.43321074220365e-160	1.89070973338663e-158	NA
NDUFS7	2.96889122470659e-83	3.78038069548518e-66	4.45471550645704e-23	-26.7068863454434	3.91517695759484e-157	1.06076825694835e-155	NA
NDUFS1	5.4199355485351e-83	6.78792104842665e-148	1.22185871732995e-62	-35.6796642279778	8.17323670134455e-279	8.50343546407887e-276	NA
NDUFA7	3.25306174891382e-79	1.43424050202281e-97	5.05542278434986e-19	-28.0428003472135	4.88957090089125e-173	1.89817521092808e-171	NA
GGH	7.65120168250223e-79	6.79988679350631e-114	4.01016526347958e-61	-33.4091423385321	1.00990062219839e-244	3.09029590392708e-242	NA
NDUFS8	3.00818812283017e-76	6.932129888913e-58	6.11916134484594e-57	-29.0383482758036	2.159368505785e-185	1.10127793795035e-183	NA
PKM	4.20495464563657e-76	1.11358099479136e-86	3.40949350570403e-48	-30.4043677426947	4.80918913995453e-203	3.79051544030961e-201	NA
MT1G	3.96028723137923e-75	1.13894833812274e-64	4.43267220891681e-26	-26.4080117727523	1.1085897504561e-153	2.84082949845942e-152	NA
PSMB9	1.89298322872211e-74	5.11801403888827e-39	4.49314972700463e-29	-24.4567695892265	4.26345371674258e-132	7.49273183597801e-131	NA
NDUFA2	2.12760835001912e-74	1.18306564726032e-109	3.10118693735313e-56	-32.4377074362351	8.07411750661886e-231	1.50005568819398e-228	NA
CNP	5.2558566926639e-74	1.20871740166141e-43	2.36704447358252e-33	-25.3693573917332	5.49618828996715e-142	1.18145336712434e-140	NA
NDUFB3	6.13594828873262e-74	5.02197881805624e-68	4.65906033143775e-70	-30.7128315299865	3.83655463096985e-207	3.50136091057985e-205	NA
GPX3	7.67795579435707e-74	8.42008672991661e-124	7.30311824165437e-61	-33.5968935949026	1.86223878545749e-247	6.91954725853563e-245	NA
NDUFC2	2.02233968903196e-73	2.82355605609682e-33	1.2742711755912e-10	-20.999652677802	6.60667587164364e-98	6.57130552280884e-97	NA
NDUFB9	7.40376189693274e-73	4.41785803953462e-69	2.98907682524933e-58	-29.7854531466733	6.02880046547124e-195	3.92022750267267e-193	NA
NDUFA8	1.09023057771931e-72	7.32015815354076e-101	9.60117576405083e-76	-33.2907423720778	5.2563810331291e-243	1.43914179654408e-240	NA
NDUFA3	1.57361835344313e-71	7.04752919832461e-81	2.72255450178997e-07	-24.1708675156637	4.50602296465328e-129	7.56139724584721e-128	NA
NDUFS3	3.22227821589747e-71	1.4649693645095e-131	1.62059746999808e-77	-35.0928833867757	8.6550488288225e-270	5.62794550094183e-267	NA
EPB41L3	1.3518135941527e-70	2.93293515583171e-82	1.8386211417345e-42	-29.1602244985915	6.19843248579947e-187	3.22442457911289e-185	NA
NDUFV2	5.07073687606145e-70	1.83816256886934e-90	2.26110729436866e-58	-31.0898953920596	3.2987243944248e-212	3.57499256245787e-210	NA
GM2A	1.70238815235105e-69	4.79292972560612e-55	6.19845224491283e-44	-27.144660036855	2.92758111666946e-162	9.11932752629614e-161	NA
ATP1B1	3.11281274467761e-69	3.82996920875696e-129	6.94123496849199e-59	-33.3904507197729	1.88646900307307e-244	5.45189541888118e-242	NA
SLC16A3	4.75210509331678e-69	6.30385109135542e-85	9.45885186155583e-25	-27.262964874926	1.16658633828824e-163	3.79286383235964e-162	NA
PFKP	6.75490629109461e-69	4.40259616320823e-129	8.94661510888596e-66	-33.9110266439152	4.58220403956069e-252	1.98638545114956e-249	NA
CHP1	7.03203154603265e-69	1.8588739662848e-56	8.2120591190918e-29	-25.6145553568219	1.05028319277672e-144	2.33486032855749e-143	NA
COX6B1	7.22662114224075e-69	9.63760098003768e-113	2.11346412301731e-45	-31.2496252503877	2.2588381834527e-214	2.55445135441759e-212	NA
NDUFA4	1.25054364250385e-68	4.44865411873562e-105	3.03086846787838e-49	-31.1254051219694	1.09173963971298e-212	1.20834672463552e-210	NA
SUOX	2.61345093060556e-68	5.99487374310115e-107	2.80076581489193e-88	-34.2052932916529	2.01720841417265e-256	1.16594646339179e-253	NA
SPTBN2	2.9750811778123e-68	1.05926986964887e-99	3.43562291804807e-40	-29.9064979505332	1.61993544618168e-196	1.1088031830312e-194	NA
NDUFB7	1.22180587926548e-67	1.49766727984729e-125	1.67384066348559e-57	-32.9564106551938	3.42415507998873e-238	8.48212129814352e-236	NA
SLC7A8	2.33807333398453e-67	4.69211228142555e-22	4.00848359142992e-34	-22.5203620654441	2.62217280923709e-112	3.33509607668737e-111	NA
SUCLG2	5.1617352302385e-67	6.53620273177083e-152	4.44898657668917e-85	-36.3686924169729	1.33101730426229e-289	6.92395201677244e-286	NA
NDUFA6	6.77671369274189e-67	4.64440745210019e-49	1.97990211742554e-38	-25.8791664809354	1.14300707911867e-147	2.65442983284612e-146	NA
ECHS1	2.80484978967957e-66	2.68836236648677e-146	6.75644530733844e-81	-35.7373886443926	1.03872825267126e-279	1.35086609259897e-276	NA
MT1E	3.17657736622005e-66	3.52965930520829e-23	5.72664014338929e-11	-19.3082219063472	4.58073363112174e-83	3.64915411165318e-82	NA
ACAD8	5.50231532956605e-66	1.25002034495323e-58	2.51184181175162e-16	-23.8616509996784	7.66538610872159e-126	1.24222238434797e-124	NA
SCPEP1	9.04477814490351e-66	7.26367746358982e-36	3.05649560545472e-09	-20.4087862379192	1.39711197814384e-92	1.29319866731392e-91	NA
REEP6	1.54701414208857e-65	1.59874267735807e-90	1.44566564769548e-07	-24.4386516471043	6.64430701237155e-132	1.16376044034871e-130	NA
NDUFS2	1.5625401325389e-65	1.82596298759038e-69	5.09532335175326e-44	-28.0015749430708	1.55459166126027e-172	5.86013465353329e-171	NA
TINAG	2.14044115436617e-65	8.01780354369308e-120	1.41298130214098e-72	-33.637806796364	4.70091044503525e-248	1.88108739500564e-245	NA
HOGA1	3.02283362029096e-65	2.44293868069499e-116	2.58605627933909e-43	-30.9832916233273	9.05209547793759e-211	8.8847171087229e-209	NA
ATP1A1	7.1683159182596e-65	1.66834687445666e-128	1.58594700912527e-71	-34.0060148687064	1.81541346876852e-253	8.58525533139439e-251	NA
MYO9B	2.24347300252022e-64	3.09725159655196e-80	7.14843734359064e-09	-23.9612680938008	7.05092081392639e-127	1.16072436943181e-125	NA
HMGCL	2.56177738494024e-64	3.39118837074271e-103	3.62781481345838e-62	-31.7706881800905	1.64488110134126e-221	2.25175565504664e-219	NA
ACAD10	2.76570628617408e-64	3.68156842403477e-50	6.77211182958272e-22	-23.8327403975307	1.52924580947393e-125	2.47053934810043e-124	NA
FECH	4.2738076818362e-64	8.6744026266049e-108	5.21401700131262e-60	-31.8591828735086	9.82184753800625e-223	1.4192569692419e-220	NA
ECI2	5.11557827514804e-64	6.07948526721146e-85	2.95455658221616e-48	-29.3845069023574	8.66360569678335e-190	4.79447625900713e-188	NA
PALM3	5.13952712093951e-64	4.54818752477699e-48	1.76035172702856e-17	-22.9778006702664	7.77247787831996e-117	1.10170108782072e-115	NA
MT1X	7.16404098962639e-64	2.18985596410129e-52	2.59930026312174e-28	-24.8201425055878	5.43452454846338e-136	1.02059193866811e-134	NA
PCYT2	9.04209455225864e-64	6.18795610968871e-61	3.33078927903413e-44	-27.2166251704929	4.12911251750804e-163	1.30973434854127e-161	NA
LLGL2	9.5304412793272e-64	5.77970841038693e-64	3.07244983995908e-17	-24.2610259892481	5.0582305032522e-130	8.68413038875179e-129	NA
COX7A2L	1.61110715228966e-63	3.2692231144225e-14	1.63825642688258e-37	-21.377230441879	2.17669918178426e-101	2.29679292974477e-100	NA
PCCA	2.31248994797789e-63	3.152407715173e-98	1.85701847038099e-44	-29.8502039913048	8.72538750262233e-196	5.89473581670667e-194	NA
PIPOX	3.08693554330185e-63	9.4166580631017e-79	1.41460309838593e-56	-29.6194019759327	8.40711735491349e-193	4.96975278184773e-191	NA
PSMB8	3.86957033104443e-63	4.18358288666628e-37	6.39997729210175e-22	-22.4910091147126	5.08304614751294e-112	6.41796263576755e-111	NA
MGAM	6.75459865458124e-63	1.01931553221269e-137	1.59122497432351e-68	-34.1240177596659	3.24870001440175e-255	1.68997374749179e-252	NA
RSL1D1	6.81206984148619e-63	2.81917754899425e-50	1.22760770405844e-46	-26.4736755153721	1.9483691431807e-154	5.067708141413e-153	NA
