ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
NDUFS4	3.4520387064601e-93	5.72858154184617e-146	4.36407744795407e-58	3.4520387064601e-93	3.5749713692697e-185	1.8597001062941e-181	NA
NDUFA10	3.47680288962697e-92	2.98758180699296e-62	7.41241349107536e-34	2.98758180699296e-62	2.67769351604263e-123	2.0187480681817e-121	NA
NDUFV1	3.04303529246849e-88	4.57921319816279e-121	3.30720127093454e-72	3.04303529246849e-88	2.77801913736271e-175	4.81708518418694e-172	NA
NDUFS5	2.08981365611495e-87	6.34653315411633e-134	3.21819174161286e-76	2.08981365611495e-87	1.31019633518538e-173	1.70391033390858e-170	NA
NDUFA12	3.3957494833424e-85	3.2602173767998e-125	2.36991422478935e-49	3.3957494833424e-85	3.45933436608599e-169	2.57077962462562e-166	NA
NDUFA9	4.68387524717516e-84	1.51707843362544e-89	2.53214942058147e-23	4.68387524717516e-84	6.58160619932995e-167	3.80416838321271e-164	NA
NDUFS6	8.41901157226718e-84	1.29080531237734e-32	2.50094553274161e-54	2.50094553274161e-54	1.87641856732206e-107	6.37982312889501e-106	NA
NDUFS7	2.96889122470659e-83	3.78038069548518e-66	4.45471550645704e-23	3.78038069548518e-66	4.28738346083902e-131	4.9562152807299e-129	NA
PARD3B	4.0667436080039e-83	1.07491418220356e-48	NA	NA	NA	NA	NA
NDUFS1	5.4199355485351e-83	6.78792104842665e-148	1.22185871732995e-62	5.4199355485351e-83	8.81271040508212e-165	4.16761086611247e-162	NA
NDUFA7	3.25306174891382e-79	1.43424050202281e-97	5.05542278434986e-19	3.25306174891382e-79	3.17472322267394e-157	1.27037770802691e-154	NA
GGH	7.65120168250223e-79	6.79988679350631e-114	4.01016526347958e-61	7.65120168250223e-79	1.75622661558975e-156	6.52563632449849e-154	NA
NDUFS8	3.00818812283017e-76	6.932129888913e-58	6.11916134484594e-57	6.932129888913e-58	1.44163274390279e-114	6.46497718429509e-113	NA
PKM	4.20495464563657e-76	1.11358099479136e-86	3.40949350570403e-48	4.20495464563657e-76	5.30449307155818e-151	1.53299849768031e-148	NA
MT1G	3.96028723137923e-75	1.13894833812274e-64	4.43267220891681e-26	1.13894833812274e-64	3.89160995073774e-128	3.55160613398907e-126	NA
PSMB9	1.89298322872211e-74	5.11801403888827e-39	4.49314972700463e-29	5.11801403888827e-39	7.85822031067726e-77	9.52877903406599e-76	NA
NDUFA2	2.12760835001912e-74	1.18306564726032e-109	3.10118693735313e-56	2.12760835001912e-74	1.35801518732134e-147	3.5321975022228e-145	NA
CNP	5.2558566926639e-74	1.20871740166141e-43	2.36704447358252e-33	1.20871740166141e-43	4.38299327123731e-86	7.10290685264065e-85	NA
NDUFB3	6.13594828873262e-74	5.02197881805624e-68	4.65906033143775e-70	4.65906033143775e-70	6.51205295159312e-139	1.12918998180625e-136	NA
GPX3	7.67795579435707e-74	8.42008672991661e-124	7.30311824165437e-61	7.67795579435707e-74	1.76853015540308e-146	4.18176994018492e-144	NA
NDUFC2	2.02233968903196e-73	2.82355605609682e-33	1.2742711755912e-10	2.82355605609682e-33	2.39174064057631e-65	2.12318000209522e-64	NA
MISP3	4.62933031935133e-73	NA	NA	NA	NA	NA	NA
FMO5	5.64076922806977e-73	9.29652278244194e-18	NA	NA	NA	NA	NA
NDUFB9	7.40376189693274e-73	4.41785803953462e-69	2.98907682524933e-58	4.41785803953462e-69	5.85524089724421e-137	9.22998883256496e-135	NA
NDUFA8	1.09023057771931e-72	7.32015815354076e-101	9.60117576405083e-76	9.60117576405083e-76	2.76547728156597e-150	7.57158569405588e-148	NA
NDUFA3	1.57361835344313e-71	7.04752919832461e-81	2.72255450178997e-07	1.57361835344313e-71	7.42882416687914e-142	1.50971718666337e-139	NA
NDUFS3	3.22227821589747e-71	1.4649693645095e-131	1.62059746999808e-77	1.62059746999808e-77	7.87900847929246e-154	2.56166263182996e-151	NA
EPB41L3	1.3518135941527e-70	2.93293515583171e-82	1.8386211417345e-42	1.3518135941527e-70	5.48219998000802e-140	9.83393251586267e-138	NA
CMC1	4.45240079981662e-70	5.97297151186192e-18	NA	NA	NA	NA	NA
NDUFV2	5.07073687606145e-70	1.83816256886934e-90	2.26110729436866e-58	5.07073687606145e-70	7.71371173987482e-139	1.29441059583319e-136	NA
GM2A	1.70238815235105e-69	4.79292972560612e-55	6.19845224491283e-44	4.79292972560612e-55	6.89165260637961e-109	2.45550526427307e-107	NA
ATP1B1	3.11281274467761e-69	3.82996920875696e-129	6.94123496849199e-59	3.11281274467761e-69	2.90688095502829e-137	4.72549835251786e-135	NA
SLC16A3	4.75210509331678e-69	6.30385109135542e-85	9.45885186155583e-25	4.75210509331678e-69	6.77475084537804e-137	1.03653687934284e-134	NA
PFKP	6.75490629109461e-69	4.40259616320823e-129	8.94661510888596e-66	6.75490629109461e-69	1.36886277004408e-136	2.03452117993409e-134	NA
CHP1	7.03203154603265e-69	1.8588739662848e-56	8.2120591190918e-29	1.8588739662848e-56	1.03662372675941e-111	4.34880373113101e-110	NA
COX6B1	7.22662114224075e-69	9.63760098003768e-113	2.11346412301731e-45	7.22662114224075e-69	1.56672159400444e-136	2.26391270333642e-134	NA
NDUFA4	1.25054364250385e-68	4.44865411873562e-105	3.03086846787838e-49	1.25054364250385e-68	4.69157820542043e-136	6.59610535799921e-134	NA
SUOX	2.61345093060556e-68	5.99487374310115e-107	2.80076581489193e-88	2.80076581489193e-88	2.35328674496014e-175	4.81708518418694e-172	NA
SPTBN2	2.9750811778123e-68	1.05926986964887e-99	3.43562291804807e-40	2.9750811778123e-68	2.65533240437197e-135	3.54180491475461e-133	NA
RAPGEF6	9.10388995522199e-68	0.370315689070464	NA	NA	NA	NA	NA
NDUFB7	1.22180587926548e-67	1.49766727984729e-125	1.67384066348559e-57	1.22180587926548e-67	4.47842881982316e-134	5.54685398112383e-132	NA
SLC7A8	2.33807333398453e-67	4.69211228142555e-22	4.00848359142992e-34	4.00848359142992e-34	4.8203822108288e-67	4.49384019009524e-66	NA
SUCLG2	5.1617352302385e-67	6.53620273177083e-152	4.44898657668917e-85	4.44898657668917e-85	5.93804446786813e-169	3.86121341523125e-166	NA
NDUFA6	6.77671369274189e-67	4.64440745210019e-49	1.97990211742554e-38	4.64440745210019e-49	6.47115617433721e-97	1.45098941460785e-95	NA
RASSF8	1.40165697717417e-66	1.12785243245421e-34	NA	NA	NA	NA	NA
ECHS1	2.80484978967957e-66	2.68836236648677e-146	6.75644530733844e-81	6.75644530733844e-81	1.36948659573167e-160	5.93672439249681e-158	NA
MT1E	3.17657736622005e-66	3.52965930520829e-23	5.72664014338929e-11	3.52965930520829e-23	3.73754844325304e-45	1.97588689042706e-44	NA
ACAD8	5.50231532956605e-66	1.25002034495323e-58	2.51184181175162e-16	1.25002034495323e-58	4.68765258839085e-116	2.21683352407356e-114	NA
NDUFC1	8.92364300582229e-66	3.02000538424528e-07	NA	NA	NA	NA	NA
SCPEP1	9.04477814490351e-66	7.26367746358982e-36	3.05649560545472e-09	7.26367746358982e-36	1.58283030885189e-70	1.61765879501916e-69	NA
ABHD14A-ACY1	9.09315674933904e-66	NA	NA	NA	NA	NA	NA
REEP6	1.54701414208857e-65	1.59874267735807e-90	1.44566564769548e-07	1.54701414208857e-65	7.17975826746623e-130	7.77602921967186e-128	NA
NDUFS2	1.5625401325389e-65	1.82596298759038e-69	5.09532335175326e-44	1.5625401325389e-65	7.32459499738411e-130	7.77602921967186e-128	NA
TINAG	2.14044115436617e-65	8.01780354369308e-120	1.41298130214098e-72	1.41298130214098e-72	5.9895484806e-144	1.29823463317005e-141	NA
HOGA1	3.02283362029096e-65	2.44293868069499e-116	2.58605627933909e-43	3.02283362029096e-65	2.74125692878842e-129	2.69056953652026e-127	NA
ATP1A1	7.1683159182596e-65	1.66834687445666e-128	1.58594700912527e-71	1.58594700912527e-71	7.54568374726021e-142	1.50971718666337e-139	NA
MYO9B	2.24347300252022e-64	3.09725159655196e-80	7.14843734359064e-09	2.24347300252022e-64	1.50995133391116e-127	1.35427014465618e-125	NA
HMGCL	2.56177738494024e-64	3.39118837074271e-103	3.62781481345838e-62	2.56177738494024e-64	1.96881101099741e-127	1.70695914653476e-125	NA
ACAD10	2.76570628617408e-64	3.68156842403477e-50	6.77211182958272e-22	3.68156842403477e-50	4.06618381825497e-99	9.97749444460488e-98	NA
GLOD5	2.80982915810162e-64	5.18267963976645e-29	NA	NA	NA	NA	NA
GLYCTK	2.86279239829693e-64	2.57709073544703e-27	NA	NA	NA	NA	NA
FECH	4.2738076818362e-64	8.6744026266049e-108	5.21401700131262e-60	4.2738076818362e-64	5.47962963039655e-127	4.59758602214885e-125	NA
ECI2	5.11557827514804e-64	6.07948526721146e-85	2.95455658221616e-48	5.11557827514804e-64	7.85074232675013e-127	6.48247009265939e-125	NA
PALM3	5.13952712093951e-64	4.54818752477699e-48	1.76035172702856e-17	4.54818752477699e-48	6.20580292816105e-95	1.28615883793999e-93	NA
MT1X	7.16404098962639e-64	2.18985596410129e-52	2.59930026312174e-28	2.18985596410129e-52	1.43864074305299e-103	4.13470118528267e-102	NA
PCYT2	9.04209455225864e-64	6.18795610968871e-61	3.33078927903413e-44	6.18795610968871e-61	1.14872402446302e-120	7.19959322320078e-119	NA
LLGL2	9.5304412793272e-64	5.77970841038693e-64	3.07244983995908e-17	9.5304412793272e-64	2.72487932936113e-126	2.21481597989634e-124	NA
COX7A2L	1.61110715228966e-63	3.2692231144225e-14	1.63825642688258e-37	1.63825642688258e-37	8.05165236066625e-74	8.91163735748635e-73	NA
PCCA	2.31248994797789e-63	3.152407715173e-98	1.85701847038099e-44	2.31248994797789e-63	1.60428292784961e-125	1.26446663495056e-123	NA
PIPOX	3.08693554330185e-63	9.4166580631017e-79	1.41460309838593e-56	3.08693554330185e-63	2.85875131455003e-125	2.21958572213272e-123	NA
PSMB8	3.86957033104443e-63	4.18358288666628e-37	6.39997729210175e-22	4.18358288666628e-37	5.25070973088214e-73	5.7262457065092e-72	NA
MGAM	6.75459865458124e-63	1.01931553221269e-137	1.59122497432351e-68	1.59122497432351e-68	7.59599075673273e-136	1.03985115569799e-133	NA
RSL1D1	6.81206984148619e-63	2.81917754899425e-50	1.22760770405844e-46	2.81917754899425e-50	2.38432861582594e-99	5.93458251651988e-98	NA
FGF1	8.54863191608605e-63	5.09864869875953e-10	0.000168862045586985	5.09864869875953e-10	7.79886556335774e-19	1.9955582223604e-18	NA
FDX1	1.30603483103089e-62	0.109517463505149	0.886421648615793	0.109517463505149	0.0333551031366707	0.036964901260537	NA
SURF6	1.58293337193473e-62	NA	NA	NA	NA	NA	NA
NDUFB10	3.05674463768242e-62	1.59356255222513e-35	5.49407025540645e-31	1.59356255222513e-35	7.61832482356291e-70	7.62125494849505e-69	NA
IYD	3.10505230730819e-62	1.79780428933261e-83	6.07491198303034e-32	3.10505230730819e-62	2.89240494933599e-123	2.11919585161209e-121	NA
MAP6	3.88995679154338e-62	NA	NA	NA	NA	NA	NA
NDUFB4	4.02045342593115e-62	1.62410795871139e-82	2.28276448948863e-64	2.28276448948863e-64	1.56330411434111e-127	1.37835728861058e-125	NA
MT1F	4.25255212507813e-62	7.73974217343054e-18	NA	NA	NA	NA	NA
ATP1A3	4.43540626577619e-62	1.43966014101839e-91	1.29560204654008e-67	1.29560204654008e-67	5.03575398899643e-134	6.09209122110685e-132	NA
ACOX2	4.82681926350232e-62	8.01054467726505e-11	3.70027249813945e-46	3.70027249813945e-46	4.10760496814618e-91	7.71399315678572e-90	NA
ADH6	6.55132324351928e-62	1.3136772265787e-107	1.32209224975164e-57	6.55132324351928e-62	1.28759508723227e-122	9.17543786819492e-121	NA
PSMB10	7.62397412567617e-62	2.4461418030974e-98	4.03075102481289e-15	7.62397412567617e-62	1.74374944406936e-122	1.22580873081741e-120	NA
SLC12A1	8.60034102039822e-62	2.92768022015119e-70	5.24988720779338e-31	8.60034102039822e-62	2.21897597001427e-122	1.5390817328019e-120	NA
COX5B	8.79535888758694e-62	6.58412387741421e-88	2.76342824179743e-56	8.79535888758694e-62	2.32075013884359e-122	1.58849239766636e-120	NA
FHIT	1.62591225018718e-61	1.4989156088876e-34	0.853437103462255	1.4989156088876e-34	6.74024400770056e-68	6.45722823721148e-67	NA
AIF1L	1.73163336715116e-61	3.68080301429867e-74	1.92423570062899e-50	1.73163336715116e-61	8.99566235469404e-122	5.99941481655364e-120	NA
DBT	2.26701952442338e-61	6.82521898079076e-71	9.76142881434208e-49	2.26701952442338e-61	1.54181325723505e-121	1.01525475495402e-119	NA
CTSH	2.35496968205393e-61	4.69076229276266e-49	1.95726245069354e-35	4.69076229276266e-49	6.60097526616111e-97	1.47374563667683e-95	NA
TBC1D10A	2.53385078224564e-61	1.26359883205032e-33	NA	NA	NA	NA	NA
ZADH2	2.68753413814294e-61	2.68560238492374e-22	2.17683123740723e-19	2.68560238492374e-22	2.16373805097243e-43	1.10567439500575e-42	NA
MARC2	2.87035331988676e-61	NA	NA	NA	NA	NA	NA
SDHB	3.02903724686202e-61	2.66913357102423e-43	4.81951975075105e-29	2.66913357102423e-43	2.13728220599056e-85	3.3793744788945e-84	NA
GLYAT	3.17524273572548e-61	5.78353678680952e-106	2.56757086473942e-62	2.56757086473942e-62	1.97772604363759e-123	1.51296042338276e-121	NA
HADH	3.29865354936254e-61	4.48203579156336e-113	4.92412260990449e-71	4.92412260990449e-71	7.27409504321166e-141	1.40147564499211e-138	NA
GIT2	3.79181850353085e-61	1.34422983217342e-08	1.00421918140121e-07	1.34422983217342e-08	5.42086147653571e-16	1.23464629601308e-15	NA
