Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P02760	-0.583900704041209	-0.693622926450081	-0.474178481632338	21.4860244936234	-10.657952965763	3.76420062597088e-15	2.00255473301651e-12	24.2263519271225	P02760	18	-10.8025128830748	2.05818855303425e-15	1.09495631021422e-12
P27797	-0.665327240825373	-0.806947632491625	-0.523706849159122	17.0352028157501	-9.40890124498403	3.56915794667648e-13	9.49396013815944e-11	19.7790708930793	P27797	6	-9.41026846135225	3.32433128386274e-13	8.84272121507489e-11
P41222	-0.600193823521636	-0.734833381700393	-0.465554265342878	17.272878350539	-8.9278778582236	2.14780903780297e-12	3.80878136037059e-10	18.0230119841394	P41222	4	-8.9368505964272	1.95815346202895e-12	3.47245880599801e-10
O43493	-0.551840136203015	-0.677803653047912	-0.425876619358119	15.2449543026777	-8.77400551008236	3.8292132487375e-12	4.46344126293317e-10	17.4570583230941	O43493	5	-8.80181030208407	3.25849571221532e-12	3.98338665016407e-10
P07307	-0.707614532595878	-0.869582581079134	-0.545646484112622	15.9258374922078	-8.74977308301063	4.1949635929823e-12	4.46344126293317e-10	17.3677604476342	P07307	4	-8.76506080395581	3.74378444564292e-12	3.98338665016407e-10
Q9Y4L1	-0.432694424460088	-0.534118907053184	-0.331269941866993	15.7520452257883	-8.54413091794875	9.11350704920919e-12	8.08064291696548e-10	16.6082236800201	Q9Y4L1	4	-8.5371349661921	8.8756709495747e-12	7.86976157528956e-10
P13987	-0.683593297867329	-0.853207554673173	-0.513979041061485	15.5279135499728	-8.07169677054993	5.47259814001891e-11	4.15917458641438e-09	14.8531918701836	P13987	3	-8.01309523849245	6.5368989571038e-11	4.96804320739888e-09
Q9NPY3	-0.499551913286826	-0.627788311065677	-0.371315515507975	16.1394464831858	-7.80187005721291	1.5309810385725e-10	1.01810239065071e-08	13.8460549655761	Q9NPY3	6	-7.79743766138044	1.49228850134914e-10	9.92371853397179e-09
P41271	-1.06313362460703	-1.27020660780256	-0.856060641411504	15.5974666970288	-10.6585416794276	4.55570876105708e-10	2.69293006764707e-08	13.189403552507	P41271	3	-10.4458117461781	5.42715108623119e-10	3.01699897182292e-08
Q14118	-0.542943462063205	-0.689114093717563	-0.396772830408846	14.9488312682235	-7.43915966889656	6.12421907131198e-10	3.25808454593797e-08	12.489153252309	Q14118	4	-7.44934275347986	5.67105069891526e-10	3.01699897182292e-08
Q13508	-0.524259509965301	-0.66536047623891	-0.383158543691692	14.5044524869871	-7.47206673160441	1.46267808226832e-09	7.07404308878862e-08	11.7092230729332	Q13508	3	-7.35985953953634	2.06885195596972e-09	1.00057203688717e-07
P01859	0.879268935782381	0.627451878325326	1.13108599323944	19.5251895573302	6.99303949799633	3.37492819870039e-09	1.44167763302254e-07	10.8196782976974	P01859	6	7.00965517821998	3.06615748451207e-09	1.35932981813369e-07
P12830	-0.35494656397853	-0.456764414272114	-0.253128713684945	16.790239811264	-6.98181680123558	3.52289647167163e-09	1.44167763302254e-07	10.7777247015861	P12830	6	-6.96170781818114	3.68520632265462e-09	1.50809981819404e-07
Q16270	-0.332902581664456	-0.430905574774857	-0.234899588554055	14.1906220562974	-6.80310571284493	6.9737116907358e-09	2.6500104424796e-07	10.1102354831914	Q16270	4	-6.79550384772443	6.96786669319907e-09	2.64778934341565e-07
A0A0B4J1V1;P01762;P01763;P01780	0.595171741617047	0.425908700244846	0.764434782989249	17.2856729429622	7.10877710095982	1.39600687238516e-08	4.1259758672717e-07	9.58437142168611	A0A0B4J1V1;P01762;P01763;P01780	5	7.13912116520525	1.20150920222426e-08	3.91275594243849e-07
P12955	0.380511601982828	0.265631723413811	0.495391480551846	18.1096762916458	6.63366187605969	1.33107812015185e-08	4.1259758672717e-07	9.47868127671374	P12955	9	6.64408999336582	1.24374489873397e-08	3.91275594243849e-07
Q12907	-0.446860839807652	-0.572917466535084	-0.32080421308022	15.7545307621886	-7.17257944635331	1.31479243268038e-08	4.1259758672717e-07	9.65545922260895	Q12907	4	-7.17082019899042	1.25031674852358e-08	3.91275594243849e-07
A0A0A0MRZ8;P04433	0.640301016126369	0.458973268943632	0.821628763309105	16.355313844681	7.1389552431981	1.26827856401415e-08	4.1259758672717e-07	9.67836953680694	A0A0A0MRZ8;P04433	3	7.06714418976387	1.51254304794686e-08	4.47040500837628e-07
P16070	-0.351164604477212	-0.45991447838513	-0.242414730569294	17.7762423562899	-6.46712669050154	2.50915633166023e-08	6.35652937353924e-07	8.85966084107919	P16070	5	-6.48708210285472	2.2653147939666e-08	6.34288142310648e-07
A0A0B4J1U7	0.862750638506514	0.59590950857828	1.12959176843475	15.5081042390443	6.47533012385035	2.43210275160618e-08	6.35652937353924e-07	8.89010737644057	A0A0B4J1U7	3	6.46923945985603	2.42482233021361e-08	6.45002739836819e-07
Q15113	-0.361118069872006	-0.473934221390968	-0.248301918353045	17.2311845116301	-6.41072778245867	3.1088802052424e-08	7.51783758722253e-07	8.6504824280677	Q15113	9	-6.42037094433975	2.92125714112252e-08	7.40051809084372e-07
O75533	0.681137735711282	0.515817804444517	0.846457666978047	17.0612548474018	8.55348501972743	2.20265289754745e-08	6.16742811313286e-07	9.45970271281925	O75533	3	8.25139221366396	3.51855789618761e-08	8.50851273078095e-07
P01834	0.585757926982748	0.399531325290302	0.771984528675193	20.3732086319123	6.29949669414442	4.74116228184479e-08	1.09665144953975e-06	8.23872205219055	P01834	7	6.30094297551241	4.60190298582301e-08	1.06444016889471e-06
P01857	0.624959946137484	0.423779573734579	0.826140318540388	21.3063823476419	6.22151242052868	6.36989247303794e-08	1.41199283152341e-06	7.95072077914578	P01857	14	6.25621867715296	5.4540996460581e-08	1.20899208820954e-06
P22105	0.241982043143871	0.161063129515469	0.322900956772273	18.5335629270373	5.98911278708393	1.53064982170225e-07	3.13194501979075e-06	7.09634742572674	P22105	17	6.11702314619798	9.24425036106194e-08	1.96717647683398e-06
P02671	-0.413039448113217	-0.551753441499498	-0.274325454726936	20.4029781775105	-5.9634921667531	1.68539545918126e-07	3.32085327512751e-06	7.0025564745775	P02671	27	-6.02602154782627	1.30387321509986e-07	2.66792519397357e-06
P61769	-0.494127267893973	-0.658923134250516	-0.329331401537429	17.9501993927246	-6.00512293761881	1.44119585649831e-07	3.0668647826284e-06	7.15499967973882	P61769	3	-5.95778617100981	1.68646152867725e-07	3.32295382687517e-06
P02774	0.37735721132012	0.248245145460351	0.50646927717989	23.7695604238571	5.85349456866915	2.54622595030715e-07	4.83782930558358e-06	6.60088699501485	P02774	37	5.91850826886231	1.95520123811142e-07	3.71488235241169e-06
P08185	0.49592127267497	0.32525259142585	0.66658995392409	20.0894902940011	5.81953522379435	2.89127465640902e-07	5.16838591933962e-06	6.47722638127783	P08185	10	5.84307413068018	2.59590505748763e-07	4.76214307097731e-06
P46109	0.841539196203897	0.60216554828096	1.08091284412683	15.4259958283186	7.29846255896186	2.91450333797347e-07	5.16838591933962e-06	6.94035690202454	P46109	3	7.20412337927297	3.21181571683641e-07	5.69561987118991e-06
Q99972	-0.409983243545314	-0.545681690933104	-0.274284796157524	14.4840897319949	-6.11307859620676	3.74680925403389e-07	6.43000813918073e-06	6.37582430973437	Q99972	5	-6.13734232101257	3.33786205019639e-07	5.72820197001445e-06
P01860	0.650686964451577	0.421022597313056	0.880351331590097	20.0893836660807	5.67424238640643	4.97132964045077e-07	8.2648355272494e-06	5.95015002059958	P01860	8	5.68555293973487	4.68045899830662e-07	7.78126308468475e-06
Q9NQ79	0.363448144608004	0.231983058419398	0.49491323079661	18.3929149806245	5.53683296203122	8.27671055026158e-07	1.29506176845269e-05	5.45491122025902	Q9NQ79	11	5.5700879674352	7.19358957950476e-07	1.13254168925095e-05
P00748	0.389272522275753	0.247846394114779	0.530698650436728	20.1462695332981	5.51256207982414	9.05372584169917e-07	1.37616632793827e-05	5.36778953567982	P00748	23	5.56842864985957	7.2380483899497e-07	1.13254168925095e-05
P00746	-0.255951821174687	-0.349220426149775	-0.162683216199599	17.9344429758175	-5.49606852699479	9.62244718692385e-07	1.38625845501943e-05	5.30864818864992	P00746	11	-5.54325109011594	7.9469280828731e-07	1.20793306859671e-05
Q96NZ9	-0.604606031892047	-0.78752884013132	-0.421683223652773	15.8578598462233	-6.86179895473109	7.51998083337459e-07	1.21231206162281e-05	6.01123483441684	Q96NZ9	3	-6.67207673247814	1.04438512306612e-06	1.53742487905557e-05
P18065	-0.583767672631328	-0.798713608699519	-0.368821736563137	17.8101524495207	-5.43926476040251	1.18646576733359e-06	1.61846099543967e-05	5.10536588476153	P18065	11	-5.46309258317569	1.06926166400481e-06	1.53742487905557e-05
Q15828	-0.52266384306952	-0.704488981779215	-0.340838704359824	15.0660133616572	-5.81617253296198	9.64127120972161e-07	1.38625845501943e-05	5.45220924455007	Q15828	3	-5.75577863016787	1.13103546814381e-06	1.57520947603698e-05
P02790	0.405219559690334	0.254711070077006	0.555728049303661	24.0738955072102	5.3921106892924	1.41119358041147e-06	1.87688746194726e-05	4.93710154735662	P02790	32	5.44226672166731	1.15475882641809e-06	1.57520947603698e-05
P06396	0.340560854744457	0.217603765387946	0.463517944100967	22.7292697736574	5.60415197903762	1.89276973281038e-06	2.39750832822649e-05	4.79381497520829	P06396	41	5.70174845214686	1.34427388877401e-06	1.78788427206943e-05
P80188	-0.364010073939237	-0.499554670905367	-0.228465476973108	16.370744601312	-5.37849275982052	1.48357667004312e-06	1.92503119137303e-05	4.88859148373518	P80188	6	-5.37767194036183	1.46519860405935e-06	1.9011845301453e-05
P08174	-0.357330582354633	-0.482780889541231	-0.231880275168035	15.0611367112006	-5.7632466867684	1.14102760247685e-06	1.59743864346759e-05	5.28771787603015	P08174	3	-5.61036904100975	1.80005476694015e-06	2.28006937145753e-05
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	0.474060876630482	0.300965926687937	0.647155826573026	16.4505072833929	5.53687159404261	2.17431821480871e-06	2.69008672157728e-05	4.64768133524804	A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	3	5.47331922907213	2.59428150431792e-06	3.20966920999333e-05
B9A064;P0CG04	0.525271979446863	0.323076420667512	0.727467538226215	19.8345656904145	5.20285853907074	2.81918976415556e-06	3.40865671484263e-05	4.26650470021556	B9A064;P0CG04	8	5.21109204121939	2.6976647844016e-06	3.26172196659466e-05
Q96S96	-0.474615657681007	-0.659362350718331	-0.289868964643682	16.7154095616507	-5.14511142339262	3.47707785190501e-06	3.93575620683716e-05	4.06349082384236	Q96S96	5	-5.16208803779216	3.22487164183625e-06	3.80464825968335e-05
P0CF74;P0DOY2;P0DOY3	0.594509639699947	0.364167733071334	0.82485154632856	19.3274304952892	5.16910482756785	3.18715996874487e-06	3.76793134082727e-05	4.14774561440268	P0CF74;P0DOY2;P0DOY3	3	5.15661277881512	3.28973345762094e-06	3.80464825968335e-05
P02656	-0.834824680770076	-1.16122330384142	-0.508426057698736	20.9921353856136	-5.12243384277531	3.77487695252757e-06	4.09843783417279e-05	3.98398373494497	P02656	6	-5.13675312051841	3.53595021022029e-06	3.96308668953281e-05
P0DJD7;P0DJD8;P0DJD9	-0.768740044799484	-1.022895997149	-0.514584092449972	12.5740830776236	-6.29736378024331	3.30062078653327e-06	3.81723969225152e-05	4.58876922094428	P0DJD7;P0DJD8;P0DJD9	3	-6.22325347930969	3.57571731386419e-06	3.96308668953281e-05
P30740	-0.715155780541345	-0.96148034881424	-0.468831212268449	14.0992429589895	-6.02734841563672	4.92470048057772e-06	5.23988131133469e-05	4.16536857840842	P30740	3	-5.95654098836635	5.39349187350564e-06	5.85579117694899e-05
P05160	-0.267870095921982	-0.376811834618723	-0.15892835722524	21.0996258347971	-4.92446808252665	7.69728820511152e-06	7.58325430577654e-05	3.29543223938831	P05160	32	-4.9970724816138	5.8600792909974e-06	6.23512436562123e-05
Q7Z7G0	0.258706817622262	0.154813565362476	0.362600069882047	16.8018418512822	4.98712126114825	6.14934548588822e-06	6.17255056319346e-05	3.51224469874702	Q7Z7G0	6	4.97398757930623	6.36760993556109e-06	6.47988981047035e-05
Q02487	-0.481636604457144	-0.674822404755409	-0.288450804158879	14.292758444206	-4.99313928057184	6.0178554649963e-06	6.15672905265006e-05	3.53312533054131	Q02487	3	-4.96894976204209	6.48397570053306e-06	6.47988981047035e-05
P17900	-0.479234006414359	-0.657071823530531	-0.301396189298186	15.0404495690264	-5.49886068884796	5.34402110105334e-06	5.57454750149094e-05	3.88831016679935	P17900	3	-5.41059997453493	6.61586778032694e-06	6.47988981047035e-05
P19320	-0.234364323196615	-0.329899368873625	-0.138829277519606	18.1368949327302	-4.91312915682543	8.01569625658251e-06	7.75336437909435e-05	3.25630741343594	P19320	12	-4.96288454744592	6.62684442218742e-06	6.47988981047035e-05
P35858	0.32805139112358	0.194175369041072	0.461927413206088	20.2056309392544	4.90759234416692	8.17583538349823e-06	7.76704361432332e-05	3.23721556760028	P35858	20	4.95986435388741	6.69913420255393e-06	6.47988981047035e-05
P04275	-0.404078803346245	-0.569451454720952	-0.238706151971537	21.606520246206	-4.89363728045485	8.59350441407602e-06	7.88231784187663e-05	3.1891338538522	P04275	82	-4.91674929777724	7.81951416067652e-06	7.42853845264269e-05
P01034	-0.353926578132583	-0.498993291423095	-0.208859864842071	18.2129322827399	-4.88624007963664	8.8233130184111e-06	7.9559364843978e-05	3.16366901694015	P01034	6	-4.88769624815401	8.67610659863384e-06	8.09769949205825e-05
Q9ULI3	-0.391185958641756	-0.553178411110449	-0.229193506173064	16.4831947131347	-4.83635167794485	1.05384169609284e-05	9.17021774097271e-05	2.99233135324196	Q9ULI3	5	-4.85214456519416	9.85016799335057e-06	9.03498167665949e-05
P10586	-0.28250483107238	-0.39785537402898	-0.167154288115781	14.0115045632025	-4.92527686330696	1.05567008719814e-05	9.17021774097271e-05	3.04392873555856	P10586	4	-4.92386458621329	1.0443087725976e-05	9.4164791020665e-05
P61916	-0.33450084982676	-0.447322775466032	-0.221678924187488	14.904794085691	-6.15512803614681	3.67289248045069e-06	4.07078916583285e-05	4.45361298820288	P61916	3	-5.66557676318735	1.06918445154574e-05	9.48010213703893e-05
A0A075B6I9;P04211	0.498938598226312	0.292156579156902	0.705720617295722	15.5268379924573	4.83240947314603	1.06870958635396e-05	9.17021774097271e-05	2.9788224370055	A0A075B6I9;P04211	3	4.81401897202246	1.1282302850689e-05	9.83964773207634e-05
A0A0B4J1Y9	0.516711669158866	0.301874461637226	0.731548876680506	16.2375157030218	4.81690595047574	1.12919997915918e-05	9.53546649067751e-05	2.92573942606758	A0A0B4J1Y9	3	4.80110751717575	1.18120673887361e-05	0.000101355158883994
Q16610	0.405754225122028	0.234966352892922	0.576542097351133	19.4009717169469	4.75812030917657	1.39056344553748e-05	0.000113812269696298	2.72510137355147	Q16610	22	4.79603953037777	1.20266015673744e-05	0.000101557968791162
P05106	0.512704961496786	0.296917285914066	0.728492637079505	14.9079528765214	4.75850225312223	1.38868773572721e-05	0.000113812269696298	2.72640165224435	P05106	4	4.77027246549798	1.31777527465546e-05	0.000109540069705735
P07108	-0.380752500864212	-0.517098863930054	-0.244406137798369	15.2266401411501	-5.79739084625628	8.38738330105323e-06	7.82822441431635e-05	3.64203570581527	P07108	3	-5.48318356416905	1.64903237918008e-05	0.000134924221305578
P04196	0.344021627375252	0.196116365323766	0.491926889426738	22.0205086529226	4.6583435755763	1.97579810142807e-05	0.00015078684309172	2.38695164347556	P04196	22	4.70260768515309	1.67387191845266e-05	0.000134924221305578
P06310	0.771933524383616	0.478882233325536	1.0649848154417	17.8041410450999	5.46851788946425	1.81362340137754e-05	0.000143229232796071	2.88429013509523	P06310	3	5.4367152466567	1.84240688711227e-05	0.000146292606558765
P06312	0.486788379777618	0.277273266920323	0.696303492634913	16.6999107308712	4.65322704284383	2.01156157659055e-05	0.00015078684309172	2.36969494805729	P06312	4	4.66447156378836	1.91438585168474e-05	0.000149318126777764
Q9H4A9	0.258580776813249	0.154924080266041	0.362237473360456	13.9530239266032	5.0974230005569	1.83074959213023e-05	0.000143229232796071	2.70199104724044	Q9H4A9	4	5.06543040759001	1.93664487738077e-05	0.000149318126777764
P13598	0.370503082406742	0.209882644681271	0.531123520132213	16.7578078846899	4.61977066024448	2.26150331199133e-05	0.000165513229714087	2.25706136375265	P13598	5	4.63484461776001	2.12424378346214e-05	0.000161442527543123
P01008	0.430242120917644	0.241894831238259	0.618589410597029	22.4164947412039	4.57491412844725	2.64468954099977e-05	0.000187596644774917	2.10661670950384	P01008	35	4.60728768194268	2.33951139087743e-05	0.000175298599992506
Q86UD1	-0.254532472892109	-0.365855126271284	-0.143209819512933	16.1844839758157	-4.57919400707288	2.60555180015058e-05	0.00018731804833515	2.12094256589929	Q86UD1	4	-4.57872009302903	2.58513067854866e-05	0.000187929674414908
P02655	-0.669426677294521	-0.963256960852053	-0.375596393736988	19.9569195398281	-4.5628464834305	2.75815831796231e-05	0.000193071082257362	2.06625583698622	P02655	6	-4.57494289132727	2.6194338333778e-05	0.000187929674414908
P00441	-0.303129558924343	-0.428496861254173	-0.177762256594514	15.4612887922392	-4.89229636767309	1.79566657205581e-05	0.000143229232796071	2.60494304453212	P00441	3	-4.76232703598229	2.64345958032162e-05	0.000187929674414908
P02787	0.334803953116012	0.186871751097059	0.482736155134965	22.3920570359379	4.53270287411139	3.06274208812066e-05	0.000205389133099774	1.9656511668782	P02787	46	4.57168421469347	2.64938450772896e-05	0.000187929674414908
A0A087WSY6;P01624	0.49213943695564	0.297675386972561	0.686603486938718	15.5629502121182	5.25390499903017	3.01646017566686e-05	0.000205389133099774	2.38473475549051	A0A087WSY6;P01624	4	5.26230812453887	2.79800661949634e-05	0.000195860463364743
A0A0B4J1X5	0.804581114287213	0.486057163475752	1.12310506509867	17.02564326154	5.24398105790938	3.0885583924778e-05	0.000205389133099774	2.36155107048114	A0A0B4J1X5	3	5.22512607605548	3.0596663841957e-05	0.000211395131998976
Q6YP21	0.407484712842383	0.251535150024147	0.563434275660618	17.0303346817685	5.42451023140736	2.01238080066017e-05	0.00015078684309172	2.78215085144347	Q6YP21	3	5.20536975106499	3.20864980875049e-05	0.000218846371571187
Q92520	-0.355272848730191	-0.507188663336716	-0.203357034123666	13.749245694567	-4.72795969591986	2.85741646225701e-05	0.000197421501028666	2.14524842144095	Q92520	3	-4.65135351783256	3.5705187368566e-05	0.000239602593817574
Q8IYE0	0.419219506446741	0.258802743209166	0.579636269684315	14.4070368793233	5.44090691255489	2.27114018216698e-05	0.000165513229714087	2.69263808414284	Q8IYE0	3	5.21628320423346	3.60304652357254e-05	0.000239602593817574
Q13332	-0.527173111114667	-0.734974263417691	-0.319371958811644	13.8282419770765	-5.28183538486851	3.27782148895492e-05	0.000215284078040002	2.3321340537691	Q13332	3	-5.16690532251265	4.04566596041039e-05	0.000265715344560287
P05452	0.415025179925454	0.243201068587368	0.58684929126354	19.6069839300857	5.01445471886957	5.34471999863437e-05	0.00032311261809926	1.82359180151589	P05452	11	5.06845643834117	4.4643261464616e-05	0.000289636769502143
P22897	-0.305987775790545	-0.441394902401763	-0.170580649179327	15.963225070874	-4.56853849374344	4.70700835230542e-05	0.000301702222099576	1.66280549059311	P22897	4	-4.57095335139762	4.5944627615106e-05	0.000293625420947457
P37840;Q16143	-0.505005684337922	-0.708128482810135	-0.301882885865709	15.3240037375644	-5.1614410215223	3.76017210780127e-05	0.00024395262943296	2.16846792123403	P37840;Q16143	3	-5.05283094184366	4.63619085706511e-05	0.000293625420947457
P54108	0.249645670327485	0.135606056306772	0.363685284348198	18.0152601708787	4.38427407718381	5.1092858779345e-05	0.000319781186713077	1.47483225852062	P54108	5	4.39793249694409	4.83488740045222e-05	0.000302607070240068
Q9HDC9	-0.461416291987064	-0.672740089772785	-0.250092494201342	17.2478767651807	-4.37294398063196	5.31131331087089e-05	0.00032311261809926	1.43768784459913	Q9HDC9	7	-4.37704667736759	5.19412048647944e-05	0.000319665460590587
P08514	0.363153649491046	0.196612376335911	0.529694922646182	15.4262382323407	4.36714818545815	5.41764047466394e-05	0.000323840981182159	1.41870510584597	P08514	4	4.37517164755164	5.22761185552276e-05	0.000319665460590587
P01764;P01768;P0DP03	0.540242277878381	0.300124249543741	0.780360306213021	17.743886716703	4.55231756618127	5.17244630062238e-05	0.000319969933945477	1.5810184320961	P01764;P01768;P0DP03	3	4.53452739885566	5.37269349363142e-05	0.000324803743024081
P14151	0.275219562617636	0.147694147153637	0.402744978081634	18.664740587963	4.32227056458648	6.31399631011106e-05	0.000373227337442121	1.27213816891727	P14151	9	4.33056171111917	6.08927878960037e-05	0.000363988350119932
P17936	0.273476048317974	0.144447589995841	0.402504506640107	19.2775446375765	4.24485816542716	8.20959312175071e-05	0.000474728645736019	1.02109476283369	P17936	15	4.28456097669714	7.12186748750167e-05	0.000420981500372321
P78324;Q5TFQ8;Q9P1W8	0.386016321992923	0.227036161757494	0.544996482228352	15.8092786287609	5.04076106244016	5.0181612785695e-05	0.000317816880976068	1.88540345427029	P78324;Q5TFQ8;Q9P1W8	3	4.84585682022136	7.65725935217589e-05	0.000447655162127206
P02753	-0.327987025976377	-0.484862901645978	-0.171111150306775	21.3217093390917	-4.18725970547758	9.9673369950618e-05	0.000552356591809675	0.835809973577395	P02753	11	-4.20916749903879	9.19205661918994e-05	0.000531540665370549
P29279	-0.569422253654338	-0.814526153278112	-0.324318354030564	13.6817858071134	-4.82300362948699	8.46751384101626e-05	0.0004843782111205	1.37278425218151	P29279	3	-4.76538000902701	9.31257664050701e-05	0.000532719437930078
P12111	-0.193604858889177	-0.28836029556081	-0.0988494222175439	17.9632609497959	-4.09205546123288	0.000137003293466435	0.000721641110140033	0.532465986635931	P12111	16	-4.15567647220411	0.000110030826963529	0.000622727658985076
P11055;P13535;Q9UKX2;Q9UKX3;Q9Y623	0.348819442949454	0.203334870409497	0.494304015489411	14.1453832292895	4.99187043319224	6.43488960957392e-05	0.00037619354640586	1.66989157357852	P11055;P13535;Q9UKX2;Q9UKX3;Q9Y623	3	4.73606220600031	0.000112032597736177	0.000627382547322591
P59665;P59666	-0.281441808594629	-0.415525223702796	-0.147358393486462	15.6054839458869	-4.20380871394775	9.42804905243702e-05	0.000533587457010265	0.888911695899323	P59665;P59666	3	-4.14703671529793	0.000113262882238124	0.000627665139069603
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	0.484682376483843	0.272042017826972	0.697322735140714	17.3754426672197	4.73200185701659	0.000105449645995854	0.000571277828130551	1.15803860598926	A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	3	4.6443331754317	0.000125065512556184	0.000677923907938964
P10645	-0.480082909099515	-0.701954695382538	-0.258211122816492	13.0410473375338	-4.41533208959672	0.000116372956361198	0.000619104127841576	0.888902311515427	P10645	3	-4.37899167362746	0.000126139890438304	0.000677923907938964
P07858	-0.329251945002797	-0.483612299567343	-0.174891590438251	15.0863668632697	-4.31228361012816	0.000104083293606725	0.000570848579368843	0.898050038895719	P07858	3	-4.24518200684689	0.000126155012943529	0.000677923907938964
Q8NBJ4	-0.300986642628759	-0.444164652633579	-0.157808632623939	13.792659496486	-4.22761386085903	0.000106309219896475	0.000571277828130551	0.82013965319894	Q8NBJ4	3	-4.16638690185623	0.000128232432355267	0.000682196540130018
P04003	-0.248949087140211	-0.372270263467446	-0.125627910812976	23.1365230111773	-4.04298635370672	0.000161203965829812	0.000809061413409999	0.377580345605361	P04003	36	-4.09126411068447	0.000136448570047561	0.000718719200646558
