	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A0A075B6H9	3.502336275620501	14.390868273563855	-1.4120993417186964	0.32837609713418203	0.13866949475522866	0.5180826995131353	0.0039799736901244085	0.0011820222613527379	39.0	3.0	3.470260484095451	0.0012847720762418618	0.004298734242519939
A0A075B6I0	1.4283095974710516	14.558537404965634	-5.708168908922472	0.28914090159301864	-0.13112151195800142	0.7094033151440386	0.2482103681015065	0.1674953423842873	22.0	3.0	1.430697120209837	0.1665684533654631	0.24752630500119097
A0A075B6I9;P04211	4.832409473146041	15.526837992457247	2.9788224369311145	0.49893859822631015	0.29215657928899674	0.7057206171636236	9.170217740972519e-05	1.0687095863539401e-05	57.0	3.0	4.814018972022471	1.1282302850688368e-05	9.839647732075757e-05
A0A075B6K0;P01717;P01718	-0.1706608468630526	13.50536056061323	-6.687946040200099	-0.013698855897803952	-0.18081944715080212	0.1534217353551942	0.8899353295788713	0.8661545048803556	21.0	3.0	-0.16424794757179345	0.871106579171634	0.8946500002303268
A0A075B6K2;A0A075B6K5;P80748	-0.7969540483371719	13.63789388803269	-6.389883916042595	-0.11107364226750249	-0.40041539372675256	0.17826810919174757	0.5213670698442122	0.43414588710711655	22.0	3.0	-0.7920231016785286	0.43680456982388394	0.5245598897207816
A0A075B6K4	3.4975139451918706	15.797284825307926	-1.4134792966610412	0.3697305023392179	0.15601276947170878	0.583448235206727	0.0039799736901244085	0.0011747264253256235	40.0	4.0	3.50843657611325	0.0011300480764143553	0.003939283451503571
A0A075B6K5;P80748	2.310058467915053	15.207238389309932	-4.269020268692016	0.26296874638714307	0.03263906042922618	0.49329843234506	0.052054472755456924	0.026320776637627653	39.0	4.0	2.3179596395807596	0.025787147751782296	0.05099911748679622
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	4.732001857016625	17.375442667219676	1.1580386059218712	0.48468237648383905	0.2720420178269727	0.6973227351407054	0.0005712778281308505	0.00010544964599584749	22.0	3.0	4.644333175431748	0.00012506551255616884	0.0006779239079385858
A0A075B6P5;A0A087WW87;P01614;P01615	4.215960397805284	17.53927957430917	-0.12013295637387689	0.5295909591947314	0.2680597014410166	0.7911222169484462	0.0017243403664161893	0.00040127975796263134	21.0	3.0	4.171148999443498	0.00043154173360685036	0.0018366416182307552
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	5.5368715940425774	16.450507283392888	4.647681335184609	0.4740608766304746	0.30096592734520944	0.6471558259157397	2.6900867215776132e-05	2.174318214808973e-06	40.0	3.0	5.473319229072107	2.594281504318127e-06	3.20966920999359e-05
A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2.683615704034701	17.87003956256118	-3.5204460736210845	0.24120114085518551	0.05407321854467306	0.42832906316569797	0.03191708607223052	0.014045882788678122	21.0	3.0	2.606843853773874	0.016467239066047898	0.035612077980233664
A0A087WSY6;P01624	5.253904999030374	15.562950212118242	2.384734755431241	0.49213943695565376	0.2976753869725784	0.6866034869387292	0.00020538913309978393	3.0164601756655262e-05	22.0	4.0	5.262308124539081	2.7980066194949153e-05	0.00019586046336464408
A0A096LNW5;P0DPK3;P0DPK4;Q04721;Q7Z3S9	-2.312654185955686	13.497354087210411	-4.25301226646056	-0.18567913415125048	-0.3523600120135076	-0.018998256288993376	0.058542818348728085	0.030664719830261047	22.0	3.0	-2.2325331513711175	0.03607791021331198	0.0675825642024013
A0A0A0MRZ8;P04433	7.138955243198241	16.355313844680992	9.678369536768981	0.6403010161263722	0.45897326963217755	0.8216287626205669	4.1259758672715794e-07	1.2682785640136469e-08	40.0	3.0	7.067144189764017	1.5125430479461497e-08	4.470405008374176e-07
A0A0A0MS15	2.9498508686929155	14.725931206433872	-2.7927465196922006	0.3954133349856441	0.12584078753891909	0.6649858824323691	0.012807884790142455	0.004917705039547807	48.0	3.0	2.9460786864933315	0.00495295344680684	0.013088123143555421
A0A0B4J1U7	6.475330123850252	15.508104239044286	8.890107376387283	0.8627506385064976	0.5959095087487268	1.1295917682642682	6.356529373530717e-07	2.4321027516070912e-08	57.0	3.0	6.469239459855944	2.4248223302143632e-08	6.450027398370206e-07
A0A0B4J1V1;A0A0C4DH32;P01762;P01763;P01780	4.2121295377145165	18.042368008073858	-0.12897917220605404	0.4833180101695369	0.24442094053047994	0.7222150798085939	0.0017243403664161893	0.0004049415314560312	21.0	7.0	4.208803965511107	0.00039437520325743473	0.001733947174652523
A0A0B4J1V1;P01762;P01763;P01780	7.108777100959841	17.28567294296223	9.584371421647257	0.5951717416170368	0.4259087008875659	0.7644347823465076	4.1259758672715794e-07	1.3960068723851208e-08	40.0	5.0	7.139121165205278	1.2015092022241608e-08	3.9127559424343875e-07
A0A0B4J1X5	5.243981057909375	17.025643261540004	2.3615510704212266	0.8045811142872097	0.4860571634757512	1.1231050650986683	0.00020538913309978393	3.0885583924779535e-05	22.0	3.0	5.2251260760555	3.059666384195531e-05	0.00021139513199896394
A0A0B4J1X5;A0A0C4DH42;P01767	3.483263288666592	15.84852511004232	-1.794549455920099	0.3410057173111092	0.13718190496049384	0.5448295296617245	0.007005828868851981	0.0022650424162453772	21.0	3.0	3.4034020657232062	0.0026765945418586487	0.007910823868160007
A0A0B4J1Y9	4.8169059504757685	16.237515703021764	2.925739425993074	0.516711669158866	0.30187446177446786	0.7315488765432642	9.535466490676799e-05	1.1291999791590945e-05	57.0	3.0	4.801107517175781	1.181206738873477e-05	0.00010135515888398222
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	3.3639298669764615	16.96522507102132	-1.6511691453409316	0.3913844640067765	0.15836830170314814	0.6244006263104049	0.004597812415188181	0.0013840224080598163	57.0	3.0	3.35624408494679	0.0014114460278649452	0.004663908613814601
A0A0C4DH38	3.5444082353932562	15.396819055225976	-1.6264214722086443	0.40461897628215837	0.16762577694548567	0.6416121756188311	0.005950978491055177	0.001856884266005939	22.0	5.0	3.5679093875580072	0.001719350303923504	0.0055436021920442675
A0A0C4DH38;A0A0J9YXX1	3.090370459072418	16.279299287606364	-2.481755941916857	0.2828921177238435	0.09767588153057646	0.4681083539171105	0.01027177672167354	0.0036986959893398163	39.0	4.0	3.0982823567776223	0.0036013954243846527	0.009978866488399142
A1L4H1	-1.3571694139019717	14.150424897766628	-5.923579327045774	-0.097041633927617	-0.2402450679644141	0.04616180010918011	0.26324315269442566	0.18011373605408074	57.0	5.0	-1.3615452008185527	0.17869923906848253	0.26189530353838214
