Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P23538	-2.91153084099554	-2.98177999334052	-2.84128168865057	24.1036694480133	-82.2403538840766	9.68827161914396e-93	2.74274969537965e-89	201.81500026771	P23538	40	-83.3242617217861	6.38765467312292e-95	1.8083450379611e-91
P37689	2.49829942323137	2.4301683049682	2.56643054149455	23.8647538407501	72.7618335254462	1.41739655643407e-87	1.73228618230024e-84	190.018476867569	P37689	25	73.658109938321	1.33985750045571e-89	1.89656829189506e-86
P0AEE5	-4.60443692454832	-4.73035185062463	-4.47852199847201	22.6443295700182	-72.5611199118896	1.85252306122604e-87	1.73228618230024e-84	189.752374086831	P0AEE5	12	-73.3374943826798	2.06502602306797e-89	1.94869622376848e-86
P77318	-2.7394109085279	-2.81453966254103	-2.66428215451476	20.9621141198783	-72.3528526046862	2.44759616008511e-87	1.73228618230024e-84	189.475481970856	P77318	5	-72.4780815259216	6.64407428097547e-89	4.70234357236039e-86
P22259	-2.74218798794164	-2.8218913689083	-2.66248460697497	24.4907006435448	-68.2692518725539	6.77688876657196e-85	3.83707441963304e-82	183.880519875899	P22259	44	-69.1481951885387	6.99957788592502e-87	3.96316099901074e-84
P0A796	1.69057106386485	1.63700195553505	1.74414017219465	24.1067069760333	62.6215304735564	2.8194983224665e-81	1.33033329181711e-78	175.573589507623	P0A796	31	63.4801797290116	3.25711174623596e-83	1.53681389226567e-80
P25553	-3.5549326873149	-3.66924188497763	-3.44062348965218	24.3548907787823	-61.7099037706983	1.15708168481582e-80	4.35779257758937e-78	174.164444930083	P25553	28	-62.4446357687008	1.64635987644625e-82	6.65834972888476e-80
P19926	-1.85994773678034	-1.91979325331447	-1.80010222024621	22.7920345260939	-61.6699768068662	1.23144968635517e-80	4.35779257758937e-78	174.102266066641	P19926	18	-62.3456605974092	1.92469482365316e-82	6.81101380720263e-80
P0A8A4	-1.43644616254225	-1.48451701654183	-1.38837530854267	21.7096053262133	-59.2941953240034	5.38035175554379e-79	1.69241953554938e-76	170.330308369941	P0A8A4	11	-59.5706051217484	1.6950376108634e-80	5.33183497372699e-78
Q46851	-2.15873914598169	-2.23344062149863	-2.08403767046474	21.9498244679011	-57.3423715833135	1.33565209198566e-77	3.43748279310128e-75	167.120507486271	Q46851	14	-57.919057582422	2.67734225101771e-79	7.57955591263115e-77
