	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	-5.3704593131157115	21.1624880366515	3.8381587338748187	-0.30046178904547816	-0.41178498736311253	-0.18913859072784378	1.3135150285098853e-06	7.386492141955978e-07	83.0	4.0	-5.404052399581352	6.113829311362558e-07	1.092003203814978e-06
A5A613	-3.3390777896149504	13.742950738355486	-3.4849526454540856	-0.377607356783102	-0.6065974802956092	-0.14861723327059473	0.0026547280165108225	0.0019017267458438531	40.0	2.0	-3.346653134679955	0.0017889815045271926	0.0025059904202456617
A5A614	-10.273604310890889	18.215770435189423	27.055469171180178	-0.8478709728758744	-1.0117408646010517	-0.6840010811506971	1.6222242126758867e-16	4.9852881138397085e-17	96.0	2.0	-10.244916341180744	4.43287769476126e-17	1.4342259147279005e-16
A5A621	7.050678384647891	17.42643136452432	10.913060704962739	0.5533916511838619	0.39718754455582084	0.709595757811903	1.2342322923586774e-09	5.75480969944703e-10	82.0	2.0	7.010781231766598	6.113780620212496e-10	1.31122067695618e-09
O32583	-9.386602039708459	18.85941846524603	22.549674420248024	-0.7785095858436009	-0.9432391905215531	-0.6137799811656486	1.3446902801082785e-14	4.578881773311128e-15	94.0	2.0	-9.359943081214434	4.2207836841068304e-15	1.2382423429747605e-14
P00350	9.817866797461969	25.500772737183233	25.295215355639595	0.211251515014375	0.16855549823324617	0.25394753179550383	8.829534551683782e-16	2.806987317737691e-16	101.0	44.0	9.977864967627657	1.0040153516358524e-16	3.190086936566889e-16
P00363	-2.7752895799612793	23.289266428384312	-4.913822571986943	-0.12632317988006747	-0.2166422397139684	-0.03600412004616653	0.008769379756076003	0.006597943793868558	101.0	41.0	-2.8100742569753856	0.0059488828721008325	0.007940258090955898
P00370	11.438499199567966	24.538940299930587	33.396855590857356	0.48087570203367136	0.3974560351896301	0.5642953688777126	3.229905767825486e-19	8.568206399282727e-20	101.0	35.0	11.582249418084725	3.040257365349771e-20	1.1662559080359354e-19
P00393	3.3611074362819946	22.65141460004399	-3.257977106228668	0.10175872502221495	0.04168370475382314	0.16183374529060676	0.0015769917259278586	0.0011051754094810568	101.0	29.0	3.4050210579659916	0.000950339634781595	0.0013636145494509355
P00448	-12.474262272298754	25.002849882476838	38.501690946071975	-0.6874189929909988	-0.796767112871503	-0.5780708731104947	2.287335371395418e-21	5.267900608088352e-22	101.0	18.0	-12.6157472699159	1.7848503631356862e-22	7.846135680181876e-22
P00452	-2.0791001297055787	22.83693859709911	-6.5223690041177855	-0.08205605897241242	-0.16037015025473156	-0.003741967690093259	0.04905530695472319	0.0402007460738106	101.0	43.0	-2.1059387366046094	0.03768884996047218	0.04610939249701674
P00490	27.036319785786723	22.678084739762507	97.36921277280018	0.7735708322186241	0.7167958279762118	0.8303458364610364	3.4304695990787117e-46	1.9872730987245099e-47	101.0	48.0	27.422692854314622	1.3511503085714571e-48	2.375842561220991e-47
P00509	-4.052860643146846	24.999161657983304	-0.986993596122054	-0.11428387097212322	-0.1702374582578693	-0.05833028368637717	0.00015453295677686098	0.00010098409397286923	101.0	40.0	-4.110197832560756	8.057177247447124e-05	0.0001242367581019761
P00547	-13.20438694643561	24.1850678172044	42.04521856966093	-0.3568570482515554	-0.41048370223446	-0.3032303942686508	7.201602754596651e-23	1.541565266437856e-23	101.0	16.0	-13.33505915484818	5.285464220341916e-24	2.5063901520582853e-23
P00550	-10.874561516906908	21.659464756723366	30.587998895001785	-0.31177353895734683	-0.3686630448986606	-0.2548840330160331	4.988165318013525e-18	1.4148699224178242e-18	101.0	15.0	-10.978726465116903	6.324850500412243e-19	2.2354122055764116e-18
P00561	-7.576588844191022	25.676935591018314	14.186922574124814	-0.29035162788293434	-0.36639392170631735	-0.21430933405955133	4.63240939459212e-11	1.9406702726903055e-11	101.0	86.0	-7.673660813320074	1.0828711994852648e-11	2.61125073742997e-11
P00562	13.915985515705382	22.13562633599604	45.44699522415134	0.5164328294195997	0.4427943964386516	0.5900712624005477	2.6455859439880824e-24	5.205197353590116e-25	101.0	24.0	14.08427042499727	1.4318758093833296e-25	7.424249846820891e-25
P00579	3.578323363559806	22.858755846417566	-2.5797059733506504	0.08267347990646101	0.036828551567979095	0.12851840824494293	0.0007858521129028139	0.0005379658759468928	101.0	34.0	3.631710030797154	0.0004443363987308725	0.0006524462369331432
P00579;P13445	4.631281847000558	19.727319659106797	1.1412167779418994	0.31582744366249216	0.1805101456859191	0.4511447416390652	1.827421700064999e-05	1.1096213007459319e-05	101.0	2.0	4.5904541467837285	1.2762169366278725e-05	2.0896299292038792e-05
P00582	-2.953393440309079	22.229877322932307	-4.438231209182358	-0.0682063141441418	-0.11403189081713738	-0.02238073747114621	0.0053342038146913465	0.003928581756846152	101.0	50.0	-3.000143578787964	0.0033990118902844754	0.004651072266440059
P00634	-14.096994991912215	20.065498349142302	46.3035133458247	-0.5189755872605772	-0.5920263992055326	-0.44592477531562197	1.160860059590984e-24	2.21838676170513e-25	101.0	6.0	-14.142796696966471	1.0829804648622388e-25	5.667130676571161e-25
P00722	-14.422114439181884	17.54309611811519	42.331036864873454	-0.9377957737202642	-1.06728446006177	-0.8083070873787587	7.060373236324716e-23	1.5088399180418414e-23	79.0	2.0	-14.16539913074848	2.168762748105169e-23	9.951000550868288e-23
P00803	-1.8232059909606977	21.794949264088928	-7.007764646001538	-0.055684173510805124	-0.11628809161487828	0.004919744593268036	0.08477380469322893	0.07129863262966375	101.0	12.0	-1.8378549159783377	0.069023224649392	0.0821373471973219
P00805	-22.93069813973212	22.738196784710755	83.23850630256699	-1.6652964741014102	-1.8094014406899344	-1.5211915075128861	3.2952984673996696e-40	2.490970936148108e-41	101.0	11.0	-23.176940408637275	3.193374793923984e-42	4.264360396980565e-41
P00811	3.512875062137298	20.358232474519376	-2.7875601142163413	0.06990553577419689	0.030418591361601854	0.10939248018679193	0.0009707775452082272	0.0006703885909156073	101.0	7.0	3.473361650935036	0.0007582864971646487	0.0010941432586509278
P00861	17.656114754855313	20.906192235319757	62.34321990028836	0.5654862957585323	0.501933947039177	0.6290386444778875	2.053352595156413e-31	2.603862881176801e-32	101.0	15.0	17.831988301109092	5.68525668008726e-33	4.533792017275221e-32
P00864	40.585298594444815	24.99794472786224	134.32583119817994	1.2886429566106798	1.2256388986029918	1.351647014618368	1.0228623569749037e-61	2.1678467473858786e-63	101.0	95.0	41.121202388816286	6.859339348768014e-65	3.348067189027974e-63
P00887	2.0868898994152807	22.77640694741035	-6.506673510196292	0.06720556596177119	0.0033041664843922597	0.13110696543915012	0.04821088616778467	0.03947468531858879	101.0	14.0	2.1067712363057964	0.037614880805066815	0.04603879271904201
P00888	-21.939553976620363	23.003176798193333	79.56203118704961	-0.7122454903646158	-0.7766633925661527	-0.647827588163079	1.1389245130262968e-38	9.615081547625747e-40	101.0	22.0	-22.201593124841814	1.2123582786939666e-40	1.466746276488299e-39
P00888;P0AB91	5.48977087496568	22.066680732457513	4.5360961072205335	0.47310986244775677	0.3013415191813579	0.6448782057141557	1.0036007459137256e-06	5.597617724471115e-07	75.0	2.0	5.357985635738086	8.912947734627057e-07	1.5790084503585232e-06
P00893	17.54639937739927	22.471735503532745	61.872428626560634	0.5193235626897419	0.4605942820333441	0.5780528433461396	3.2076606495641e-31	4.1582884436242485e-32	101.0	24.0	17.764474774274447	7.608523012972429e-33	6.033537436897744e-32
P00894	12.42620167885702	22.319545077853668	38.26670771637974	0.4654051830363244	0.3910865896262068	0.539723776446442	2.8734955835653162e-21	6.658470868311012e-22	101.0	10.0	12.524788838555267	2.7952435243648243e-22	1.2174360642272027e-21
P00895	9.90330335051782	22.67058229261422	25.723679197847172	0.2842761910478586	0.2273168351776851	0.34123554691803215	5.796742856764363e-16	1.8285027803216448e-16	101.0	21.0	10.020360641873895	8.093012766899619e-17	2.5888496206884543e-16
P00903	-0.45343327038570497	18.431463004465023	-8.532083073049339	-0.02618899807860231	-0.14081029293541458	0.08843229677820996	0.6763266764779011	0.6512421476788267	100.0	2.0	-0.44530951179576644	0.6570585940947682	0.6813673552682377
P00904	5.5109460597859865	22.82274663188632	4.71066010053122	0.18928723515936952	0.12113190415996887	0.25744256615877015	5.19643944841887e-07	2.8506077228521747e-07	101.0	18.0	5.572021039553527	2.0971799200567284e-07	3.860283715006891e-07
P00909	6.815302908535325	22.856763605523923	10.560759471165607	0.19638919688380696	0.13921012588536483	0.2535682678822491	1.6044871515396048e-09	7.520856411490836e-10	101.0	20.0	6.893994855619663	4.782121741236277e-10	1.0326610716582685e-09
P00914	0.14699569950188396	18.877524753431935	-8.647588528252797	0.0057926459677304365	-0.07240200057869238	0.08398729251415325	0.8941741457870991	0.8834352122100022	101.0	3.0	0.14557323285978238	0.8845484304425117	0.8953008961683055
P00926	19.187944041102977	19.257193687688723	68.75824884076488	0.45409914844479715	0.4071392760539452	0.5010590208356491	4.094453676073195e-34	4.425654626910624e-35	101.0	6.0	19.03181760018958	3.526836509797311e-35	3.2104418518444335e-34
P00934	-19.81525002073126	25.347767817336695	71.30116897668404	-0.4202359946643668	-0.46231818689377213	-0.37815380243496144	3.438321348353173e-35	3.5342688533054516e-36	101.0	41.0	-20.13748109251587	3.82062337631021e-37	3.8767687377541956e-36
P00935	1.352341851038757	22.73852204185074	-7.743544931622733	0.050716880300633704	-0.023699871005980824	0.12513363160724822	0.20474053350589985	0.17935588947178793	101.0	11.0	1.3640176634401864	0.1755940327622696	0.20068902169963068
P00936	29.10543847547821	20.976773317545938	103.88513954724202	1.103454138152756	1.0282252219412966	1.1786830543642155	5.93557833346219e-49	3.061089497299469e-50	101.0	6.0	29.21356182661234	4.608903824379728e-51	8.998487397806212e-50
P00944	-14.432579771536314	17.536710075723306	45.46958465641118	-1.3441677872839577	-1.529260959266375	-1.1590746153015403	3.4733277976813735e-24	6.858319459215429e-25	90.0	2.0	-14.340969559643025	5.693932021942456e-25	2.8682422694162085e-24
P00946	-15.070802948907208	23.224371917336633	50.84656277087221	-0.35647009656648265	-0.4034045080056176	-0.3095356851273477	1.4244347029776546e-26	2.4101173533249615e-27	101.0	21.0	-15.251170664842418	5.897023200216033e-28	3.559589057529124e-27
P00954	11.64285652591837	23.14585953855919	34.41023280099057	0.2803973393612438	0.23260932269322523	0.3281853560292623	1.2154458162176748e-19	3.1169680769128645e-20	101.0	21.0	11.782008422604841	1.1189618167989895e-20	4.4616632441661117e-20
P00956	-8.536083623952296	24.533068119713363	18.892411354938606	-0.3038769413449103	-0.3745158123103886	-0.23323807037943195	4.630748147634486e-13	1.7142437508728158e-13	101.0	78.0	-8.64830144142994	8.40209555004053e-14	2.309352670113081e-13
P00957	8.203452663052603	23.71899202440953	17.24843600595985	0.2304331544354099	0.1746949527842995	0.28617135608652033	2.300521900237807e-12	8.930673148574179e-13	101.0	76.0	8.319851618066942	4.36862998029425e-13	1.1398701819551171e-12
P00959	14.216478040979219	23.658010183381506	46.866869903388235	0.35478126975903024	0.30526210292670847	0.404300436591352	6.68669820671094e-25	1.2660085619205455e-25	101.0	52.0	14.432956801448615	2.7279855686342517e-26	1.4626755956067361e-25
P00960	2.869151638576874	23.18236155623135	-4.666301584485676	0.0861522085349904	0.02656986555991596	0.1457345515100648	0.006748164666944532	0.005034307232987231	101.0	17.0	2.8995635171333296	0.00458513947211489	0.006187097161848071
P00961	2.6457636565323663	24.362165792593274	-5.243779876332248	0.04999095007995891	0.012498397606706263	0.08748350255321155	0.012426471308176623	0.00948555439666891	101.0	72.0	2.6924547048900402	0.008304540188592367	0.0109349550111186
P00962	10.855981531223518	23.151912374988832	30.495194768650972	0.2950880564914087	0.24115100520560045	0.3490251077772169	5.452224245489587e-18	1.5522757830676816e-18	101.0	45.0	11.01370169375108	5.301816016934516e-19	1.897527325403491e-18
P00963	15.942731582820873	23.213059742744285	54.81742672695533	0.5270260041943473	0.4614305151856599	0.5926214932030347	3.017214684811666e-28	4.636129946637495e-29	101.0	18.0	16.11887822050937	1.1054798930819444e-29	7.329305801674436e-29
P00968	16.453594755370244	24.93121486413742	57.10006531663453	0.5076068985867224	0.44638999159485254	0.5688238055785921	3.3133723451803964e-29	4.7868925792256526e-30	101.0	97.0	16.67166540544703	9.218480879614955e-31	6.427960436007374e-30
P02358	7.114444600861752	25.722929519783037	11.971159574827752	0.2316849587819121	0.1670657699818612	0.296304147581963	4.0326148078543553e-10	1.8104745393086843e-10	101.0	20.0	7.196530113572111	1.1147687195175396e-10	2.508672690742571e-10
P02359	18.54499133836758	26.298689925151482	66.10145213373207	0.3873757502644324	0.34592709363741925	0.4288244068914455	5.390761588806124e-33	6.2076590531642405e-34	101.0	25.0	18.799098852929184	9.319472031875539e-35	8.32284710480746e-34
P02413	11.370166070592985	25.6541801902955	33.057419857610896	0.4949594276614633	0.4085805699234015	0.581338285399525	4.496303340472778e-19	1.202296583800033e-19	101.0	13.0	11.485416102999881	4.940406656087572e-20	1.8698250325379566e-19
P02916	5.19331710292814	18.232695255141223	3.3687143883683337	0.5098434040135373	0.31501522412790806	0.7046715838991666	1.9817379827666202e-06	1.1270216009375693e-06	100.0	2.0	5.20133415283393	1.053897747968723e-06	1.861250483156241e-06
P02918	-1.0479875055877488	20.97976261556663	-8.107022610366357	-0.0296312390897171	-0.08573582633965562	0.026473348160221434	0.32943738929421373	0.29720349426260045	101.0	19.0	-1.0597597991661878	0.29178168766520907	0.32418915140510474
P02919	-7.458768603015372	21.311086135187388	13.618226307302848	-0.24101558709580218	-0.30513398469241726	-0.1768971894991871	8.022169428239704e-11	3.440966937672503e-11	101.0	20.0	-7.5448304647246385	2.039970739813044e-11	4.7886875326788785e-11
P02924	-25.722852765996702	19.58880375482809	90.67838972768959	-2.2753461584344734	-2.4509607595454286	-2.0997315573235182	2.477788415533058e-43	1.6191835283419843e-44	97.0	2.0	-25.700662121772066	4.408083676988827e-45	6.709292951373854e-44
P02925	-55.12597035671415	23.78621242763179	163.34576846820238	-2.2861654701404532	-2.3684571783636454	-2.203873761917261	1.098511068922044e-73	5.82044013911362e-76	101.0	20.0	-55.76135876184071	1.1040419986990813e-77	2.0836952655447328e-75
P02929	7.058782248692586	20.672066626841787	11.707180839758966	0.4842002589153651	0.3480871679800093	0.620313349850721	5.22468725638374e-10	2.3630714066170025e-10	101.0	7.0	7.126061670332191	1.5675666376985036e-10	3.472442215433853e-10
P02930	-4.402090498528708	23.96726956509815	0.27501571303950456	-0.1662615485934964	-0.24120566067501303	-0.09131743651197978	4.3447847828834786e-05	2.717984404975853e-05	101.0	26.0	-4.456112223602854	2.1631107879205108e-05	3.475463473667971e-05
P02931	-26.336254483505307	26.91264304180997	95.0773290903861	-1.2701628639271973	-1.3658624511973114	-1.1744632766570833	3.208637382912893e-45	1.9381031171957073e-46	101.0	24.0	-26.648441452587917	1.7214268730317565e-47	2.8836446612739066e-46
P02931;P02932;P21420	-20.3805642269699	26.654929232361404	55.452405397794	-1.4831901065443525	-1.6286780856181384	-1.3377021274705665	2.7591852312116486e-28	4.229906006166921e-29	64.0	2.0	-20.114874023288518	2.290079458921419e-29	1.4972782790315328e-28
P02931;P02932;P21420;P77747	-20.066108815306194	22.45240218913074	39.70810717910817	-1.398405894292683	-1.539400279183834	-1.257411509401532	2.019200478908669e-21	4.621836490048808e-22	41.0	2.0	-19.41969653882347	2.7511905492692165e-22	1.200095600151179e-21
P02932	-2.6729716624332984	18.820636165337834	-5.175048249162041	-0.2742339393088038	-0.47881715173503575	-0.06965072688257185	0.012237387318935969	0.009328252149157125	73.0	2.0	-2.679288426547417	0.009111635557814727	0.01196430438969086
P02942	-5.355881937401457	19.686080960526485	3.8624660196063516	-1.1881949957255884	-1.630071700680223	-0.7463182907709538	1.5629084883407088e-06	8.827589801684188e-07	78.0	2.0	-5.415238049334826	6.564397476699912e-07	1.170265066532585e-06
