	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt1	7.841468894315872	3.8372969259278578	21.93567934732527	0.9980884553841658	0.7480504959434725	1.248126414824859	1.8287112716559924e-12	2.4382816955413235e-14
prt10	10.150448592211683	2.0229234822321196	39.740295346849535	0.9618220953726242	0.775676317067322	1.1479678736779264	7.41378342438451e-20	3.089076426826879e-22
prt100	5.269546119186735	2.845735092212951	6.496956160337191	0.7550358925372971	0.47355336515812324	1.036518419916471	6.045005924595233e-06	2.0049269649907523e-07
prt1000	0.14539629827432338	1.5010886795849625	-6.872444920560207	0.019207527522861256	-0.24030707015988956	0.27872212520561207	0.9953804068914847	0.884453414225396
prt1001	-1.7546719268691284	-2.1221799058556017	-5.210708221585256	-0.2028214202196441	-0.43004060335028826	0.024397762911000015	0.6449659948945843	0.08005954343011663
prt1002	0.24017008597390882	-2.134890624220174	-6.775484821891725	0.04293508587003547	-0.30855867958367883	0.3944288513237498	0.9887409691253307	0.8103270412103654
prt1003	0.13560184336051773	-0.8357297810762679	-6.874908907032303	0.01533133701912659	-0.2068363932132431	0.23749906725149628	0.9957468699667953	0.8921940344174452
prt1004	-0.22314562476886055	0.10557528253869783	-6.896260097259664	-0.03285457199190711	-0.3221185823111235	0.2564094383273093	0.9904652718644794	0.8235121217878091
prt1005	1.4575597787022168	-0.25972090383922697	-5.807634910892541	0.16122958015701097	-0.05607633261177422	0.37853549292579614	0.7605429632741416	0.14556144178229308
prt1006	-3.2507859937586354	-3.9919039571079864	-1.6274913833742195	-0.39801614432846866	-0.638920842397404	-0.15711144625953327	0.025275456784501514	0.0012764105676173266
prt1007	-0.8420184919180767	0.6496695051479101	-6.434030359645315	-0.15434307408620895	-0.5144691252366365	0.20578297706421855	0.9177650880913762	0.40017572555843317
prt1008	-1.1716384709323435	0.809266728250319	-6.22989351045374	-0.10791352582305436	-0.2888499221950506	0.07302287054894191	0.8433040770305275	0.24187009064770387
prt1009	-1.0319691461630944	0.8196872168034355	-6.270287203713041	-0.3215923703174334	-0.933917753404535	0.29073301276966823	0.8837041486275474	0.3026056329440688
prt101	-6.633417228146308	-0.704373667257771	14.035283965954617	-1.018497537275762	-1.3201973990258191	-0.7167976755257051	3.9663357173378744e-09	8.924255364010218e-11
prt1010	0.7024799597217188	-2.0411536073110392	-6.4004398940873335	0.09507166368324782	-0.1709802695365626	0.36112359690305823	0.9457794330596198	0.4827838737751845
prt1011	-0.6020857599937856	1.7748346365937604	-6.672428936970067	-0.07964081778316423	-0.33950603327136447	0.180224397705036	0.963722679566174	0.5473822516366855
prt1012	0.7897447502384481	3.004354063322071	-6.586746099862928	0.05667980246597981	-0.0843037895942784	0.19766339452623802	0.9326934951836277	0.4300250561193485
prt1013	0.32068808598131515	1.210692105690311	-6.861758216754974	0.03356987777698128	-0.17208158134443685	0.23922133689839942	0.9819917363488662	0.7485762148374877
prt1014	-0.8672993106376311	0.9847183890980322	-6.536239379996341	-0.14641537733423693	-0.4780628441911513	0.18523208952267745	0.9111173827861703	0.38617763740991373
prt1015	-0.028320122547223187	1.0347772559560307	-6.920152768281419	-0.00254387746778173	-0.1790024882024873	0.17391473326692383	0.9995291464540942	0.9774175005629723
prt1016	0.020438433636885845	0.18421092053150123	-6.849010090866852	0.0042273533782365424	-0.4021554335448429	0.410610140301316	0.9995291464540942	0.9837018842563789
prt1017	-2.398249076991893	-1.5459780829703373	-4.028012028850017	-0.40531715732427553	-0.7374805023187454	-0.07315381232980567	0.24659192342356456	0.016891546754514174
prt1018	0.31684550725980476	-3.638760871350538	-6.642800075380146	0.031099997241821775	-0.1620454294085188	0.22424542389216234	0.9819917363488662	0.7515771898563451
prt1019	0.36198781825277354	-4.350917871411857	-6.6971528713209025	0.057989528082031505	-0.2572783025068493	0.3732573586709123	0.9819917363488662	0.7176189236845645
prt102	-4.625566259734019	2.459408437566502	3.550946754678529	-0.8531448516507495	-1.215483718754312	-0.49080598454718716	0.00012693222376243258	4.717647649837078e-06
prt1020	1.0685754164979833	1.2335664487822984	-6.34398053277576	0.11580734901168843	-0.09709306607097493	0.32870776409435176	0.8746412321591307	0.28574971808110744
prt1021	0.08514568990922303	-0.6574215977144652	-6.810636074835155	0.0092940766564098	-0.2051501590099141	0.2237383123227337	0.9967332834729503	0.9321786842219312
prt1022	0.14296168043902072	-1.5827859829515654	-6.589216544027811	0.018320791740877418	-0.23354871797799592	0.27019030145975076	0.9953804068914847	0.8863862523368671
prt1023	0.164252315350365	2.832856699407224	-6.92409926632901	0.0115731972043851	-0.12683493454738862	0.14998132895615882	0.9949124049355518	0.8695938013701981
prt1024	0.7978079942487663	0.6258271610783341	-6.615414939961678	0.07958618350987501	-0.11638425878000344	0.2755566257997535	0.9299741524880014	0.42534291827514037
prt1025	0.7913259712511422	-1.5647061756089937	-6.540486839504605	0.0651115320085156	-0.09658133858768231	0.22680440260471352	0.9325182823611738	0.42916023862630936
prt1026	0.5196861879350495	3.0749753339193657	-6.797278222630289	0.043396769301281335	-0.12064423391654375	0.20743777251910642	0.9724364396417231	0.6034982386391305
prt1027	1.2930217715859025	2.6267564193150785	-6.075203812649391	0.09123735589248483	-0.04737894856644739	0.22985366035141705	0.8153700738973515	0.19657053090667054
prt1028	0.8415077218181382	-0.072780532442711	-6.564665914021734	0.0603382888404459	-0.08051393289751516	0.20119051057840695	0.9177650880913762	0.4004384368750168
prt1029	-0.13566062489278108	-0.43738721781950324	-6.878766746169099	-0.017894527841945118	-0.2770608896723578	0.24127183398846758	0.9957468699667953	0.892144774112191
prt103	-9.369275657650876	1.5839542722995874	33.36956347217248	-0.9345106819042366	-1.1304459389441246	-0.7385754248643485	3.0712371238764453e-17	2.0474914159176302e-19
prt1030	0.3259370159020606	-1.145851385185355	-6.795047011349636	0.03597388221546044	-0.18089481093682339	0.25284257536774424	0.9819917363488662	0.74461388646501
prt1031	-1.0520373180617937	0.6446747940666332	-6.286555478975498	-0.28644387536825117	-0.8214328501763162	0.2485450994398138	0.8770401996278039	0.2933078474560247
prt1032	1.606073565337379	-2.99867360607644	-5.395787721680872	0.17910729927012659	-0.04020983466522929	0.3984244332054825	0.7011323853502918	0.10914294131952876
prt1033	-0.7018999029313313	-1.4248747496560676	-6.504964954308455	-0.09812648252381173	-0.3728601788146105	0.17660721376698701	0.9457794330596198	0.4830992319821613
prt1034	-0.2865826542953804	-1.9099068471611607	-6.847341533412481	-0.03108455605049265	-0.24427946706993395	0.18211035496894865	0.98504158970473	0.774571036704486
prt1035	1.7272563786460888	-7.140860020858255	-5.146435606543118	0.22505050063309628	-0.03150285329040209	0.48160385455659466	0.654279105927106	0.08529759584749985
prt1036	-0.003444702293170133	-0.21001470188056104	-6.921785367691831	-0.0005655478575312678	-0.32313357766818546	0.3220024819531229	0.9998117447415583	0.9972529085022229
prt1037	-1.4481404657162629	-0.32291800892484745	-5.860608116958972	-0.24800541649993058	-0.5844864029690482	0.08847556996918704	0.7615197455868506	0.14821013189042537
prt1038	-1.0016626009924146	1.0849736679767465	-6.4283410880190255	-0.1198190312003784	-0.35480124750227493	0.11516318510151816	0.8941787509325512	0.3169589152316559
prt1039	0.49809647489118414	-0.39059854829460683	-6.734086554704048	0.08938399270597797	-0.2632145152221794	0.44198250063413536	0.9724364396417231	0.6186420272660229
prt104	-8.699466322074562	1.3137569896669663	28.1832946021414	-1.06921099948344	-1.3106466826937495	-0.8277753162731304	4.5652562084648895e-15	4.1087305876184e-17
prt1040	-0.2698716246485464	1.6222813294067833	-6.885131976799917	-0.036687808418912615	-0.30374396751081034	0.2303683506729851	0.9883592744235831	0.7873637512103597
prt1041	0.7126912449955205	2.9535234518690228	-6.64885173094125	0.08444430804610592	-0.14829945537888603	0.31718807147109784	0.9438713675999559	0.4763404168487778
prt1042	-1.6288023094451318	-0.00013745485567064392	-5.574386335642754	-0.1279574076956287	-0.28228398845012276	0.02636917305886538	0.6944012610654324	0.10395069577704326
prt1043	0.5552225853864524	-1.1610725024980941	-6.719231408955216	0.0658184019648812	-0.16713079282633117	0.29876759675609355	0.9713002573232371	0.5790096626152492
prt1044	-0.8814290805294542	1.020566247657869	-6.513686081522671	-0.10286595698295331	-0.3321267881537431	0.12639487418783643	0.9100682665704393	0.37848700966292725
prt1045	-0.9984340489983639	-0.7298733259969143	-6.317745503958701	-0.1911465071098291	-0.5673523626244433	0.1850593484047851	0.8941787509325512	0.3185875678094838
prt1046	-0.8148484816334269	-0.9834150720341276	-6.556757870283726	-0.05863945453588393	-0.20001618115612801	0.08273727208436016	0.9248279557544082	0.4155338251480287
prt1047	1.430810941229363	-1.5174267800371362	-5.7586343179622865	0.39164092400315	-0.14641796691631026	0.9296998149226102	0.7642961406624903	0.15324137620282932
prt1048	-0.04072648619774141	0.18446928816355143	-6.892021623608775	-0.004522913513603011	-0.22269460359678128	0.21364877656957526	0.9992158869234318	0.9675295309385353
prt1049	0.7090783208421332	2.28550850912684	-6.665953888853609	0.10833294306188446	-0.1917910195200898	0.4084569056438587	0.9448193759772026	0.4785855791774609
prt105	-6.645561866684183	-0.6362338772708757	14.15223020656351	-0.8942312437195641	-1.1586298104231694	-0.6298326770159588	3.6692764670089812e-09	8.194717442986725e-11
prt1050	0.3813132329579229	-1.6724968752776261	-6.769006476780009	0.05355767447456561	-0.22247885759144842	0.32959420654057964	0.9789201116673648	0.7031521866410756
prt1051	1.5029876830707425	0.9392371178766403	-5.76479336383657	0.17705869245990025	-0.0543657862898832	0.4084831712096837	0.7385110160282006	0.13344169105833187
prt1052	0.9137636802063585	0.05664429847557099	-6.3732332246823615	0.13156367969123195	-0.15129335261657384	0.41442071199903774	0.9052500845077427	0.36126650221025824
prt1053	1.3009802122024594	-0.12867542898591533	-5.912853982657754	0.1657332950345245	-0.08454311436664591	0.4160097044356949	0.8148993034909614	0.19385319763673528
prt1054	1.5786472868241244	-1.1647326252817742	-5.51590858792746	0.21511502172875696	-0.0526548883772624	0.4828849318347763	0.7094153375619345	0.11509468771694133
prt1055	-0.6079952570661564	1.211424986736056	-6.651529562179544	-0.13308929614434772	-0.5631224423020567	0.29694385001336127	0.9630261793004828	0.5434557747319356
prt1056	2.1482734043596277	-0.7789617834609008	-4.656574469372721	0.30839682779639044	0.02630111113570982	0.590492544457071	0.38560012361416673	0.03220617922314548
