	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt1	11.078017786856645	-1.2690471430227372	47.15582937764067	0.9857433661767933	0.8108934574490037	1.1605932749045829	5.495951748362243e-23	1.648785524508673e-25
prt10	10.173586081399112	1.6662363675624456	39.91245538701596	1.0992847913737056	0.8870165262454378	1.3115530565019733	4.704439573681415e-20	2.587441765524778e-22
prt100	3.3823212271664405	1.0251166140568015	-1.3439470417684083	0.8735649055247797	0.3661138325469895	1.38101597850257	0.016448825793292314	0.0007758362832502875
prt1000	0.030448142345673165	4.067227199583662	-6.955037773682741	0.003346782385153624	-0.21258546130644917	0.21927902607675642	0.996170591640537	0.9757212260847379
prt1001	0.22189455028255187	0.4444260128118867	-6.94606877138781	0.03334175955651944	-0.2618382874518811	0.32852180656492	0.9918240950292757	0.8244818007128359
prt1002	-0.91140623234686	0.5239544406506725	-6.587790908743261	-0.10269748652487454	-0.32404579360690244	0.11865082055715337	0.8859237309061498	0.36249045989576634
prt1003	0.4964386763515468	2.5096008151075213	-6.869994797988331	0.09794559154759952	-0.28962876644172403	0.48551994953692307	0.9702615930699673	0.619789686533845
prt1004	-0.3797211702747115	-5.70144962952571	-6.677650691303606	-0.04943851206407368	-0.30565401752825755	0.2067769934001102	0.9829633334066473	0.704421239662324
prt1005	0.24438182665917813	1.6040154248342988	-6.977316308829569	0.027831994012199157	-0.19587463678253153	0.25153862480692984	0.9917830276624297	0.8070261214884892
prt1006	0.4653149038256745	-1.5762103585692284	-6.829271028398658	0.09569911556729714	-0.30861831045043064	0.500016541585025	0.9718955419371392	0.6419586789079732
prt1007	-0.21572097866758388	1.8193484654709273	-6.9782713709774	-0.03102793587450292	-0.3135809734646394	0.2515251017156336	0.9918240950292757	0.8292881141773197
prt1008	-0.939104168451899	4.322479649020998	-6.528138339422733	-0.33603040610119095	-1.0389881240418155	0.3669273118394336	0.8805035696029413	0.34811510955643643
prt1009	-1.5543310847498788	1.9994407720018785	-5.774002351050192	-0.3346715290639366	-0.757657593657385	0.0883145355295119	0.6754919729582588	0.12070827423576895
prt101	-6.4525609864024345	0.25093532331160107	12.901972726803377	-0.9751634754466376	-1.2720591310536378	-0.6782678198396376	1.094736839489402e-08	2.5178947308256246e-10
prt1010	0.030323014951924937	0.9500356378663585	-6.988031333629638	0.0036769714669438736	-0.23453676143149663	0.24189070436538437	0.996170591640537	0.9758209476894493
prt1011	-0.9257426447108792	0.7944400475593767	-6.5214648759352745	-0.08684420015890944	-0.2711389585137171	0.09745055819589825	0.8805035696029413	0.3550101517994214
prt1012	2.147213371828137	1.8181821875356514	-4.711111329305954	0.3472924348896226	0.029560058781429865	0.6650248109978153	0.37564848421429425	0.03222940459164187
prt1013	1.41487071631107	-1.697643633513328	-5.961657765163139	0.1853566135347988	-0.07213728798709976	0.44285051505669737	0.7256650951617154	0.1578321581976731
prt1014	-0.503124761479575	1.7837748014112342	-6.84557127576	-0.054424698354496925	-0.2669242166171278	0.15807481990813393	0.9687626813942298	0.6150848665049125
prt1015	0.1798066816305312	-0.8944630162905863	-6.918892182353544	0.026304555709572686	-0.26119738546804405	0.3138064968871894	0.9921574873914691	0.8573851303828126
prt1016	-1.2070485194838982	-1.243981578160278	-6.24397367430255	-0.11945951191106108	-0.31392740150258747	0.07500837768046534	0.8000418482780837	0.22801192675925383
prt1017	0.5065734585774173	0.16388128302524688	-6.829516276084386	0.04975476824958802	-0.14322538461802856	0.2427349211172046	0.9673143993945199	0.6126816206614749
prt1018	-1.9652914401475983	-0.029716433444198106	-5.046592600265545	-0.17986014311668835	-0.3596521606699421	-6.81255634346345e-05	0.47236821330274203	0.049913574538989744
prt1019	0.20505647501138993	-0.9761471339711153	-6.825317577146826	0.019855632977816562	-0.17038393309621513	0.21009519905184826	0.9921574873914691	0.8376106578071625
prt102	-3.534096939654541	-3.7194031819778806	-0.6903968424210944	-0.9559523440359738	-1.4881505966336466	-0.42375409143830123	0.010187109040391131	0.0004703048673647239
prt1020	0.560641059399441	-0.18858039886269234	-6.817923054261548	0.06248958027177176	-0.15648972226000335	0.28146888280354687	0.9572188962043564	0.5752885566188182
prt1021	-1.759765016127239	-3.0544094518859612	-5.12794383843597	-0.137491589077416	-0.29119407166351097	0.016210893508678964	0.5821590255770381	0.07938322404987677
prt1022	-0.018276225129257945	-0.5797158402885418	-6.876135845860665	-0.003132795554525558	-0.3399400660705085	0.33367447496145736	0.9966845795533501	0.9854260284102998
prt1023	1.4261395536156305	-2.2571958673724053	-5.8922505050443155	0.11524431376942368	-0.04365764608072065	0.274146273619568	0.7210800709620896	0.1546716752213682
prt1024	-1.9696322041700807	-1.5729840025991857	-4.782493976532326	-0.21747817376970513	-0.434492896669628	-0.0004634508697823059	0.47113749505014174	0.04951488816296236
prt1025	-1.5790708776368882	-2.5304278806853495	-5.638504183830074	-0.2021435441620547	-0.45385964893911196	0.04957256061500254	0.6676136059500472	0.11516334702638312
