,FedProt,Fisher,Stouffer,REM,RankProd
1,0.0,1.0266029029926127e-06,1.0266029029926127e-06,1.1002580078994795e-05,1.0266029029926127e-06
2,0.0,9.992007221626409e-16,9.992007221626409e-16,6.945538059688339e-07,9.992007221626409e-16
3,0.0,4.81374266197987e-07,4.81374266197987e-07,1.8001062301875592e-07,4.81374266197987e-07
4,0.0,1.5005358067199381e-15,1.5005358067199381e-15,6.444167932703748e-06,1.5005358067199381e-15
5,0.0,5.269768599269753e-08,5.269768599269753e-08,2.099276365991054e-06,5.269768599269753e-08
6,0.0,9.71445146547012e-17,9.71445146547012e-17,1.0674430602000684e-06,9.71445146547012e-17
7,0.0,1.3521993689757927e-06,1.3521993689757927e-06,7.448118002600923e-06,1.3521993689757927e-06
8,0.0,2.500612306995803e-07,2.500612306995803e-07,2.343221819911534e-07,2.500612306995803e-07
9,0.0,9.468438440241034e-07,9.468438440241034e-07,3.862883541400075e-06,9.468438440241034e-07
10,0.0,2.3863844370031195e-07,2.3863844370031195e-07,4.0980514080107833e-07,2.3863844370031195e-07
11,0.0,6.390847893996549e-07,6.390847893996549e-07,9.241244699753626e-07,6.390847893996549e-07
12,0.0,0.0,0.0,1.8170610349976801e-06,0.0
13,0.0,1.7068527091712582e-07,1.7068527091712582e-07,1.0997046245991848e-06,1.7068527091712582e-07
14,0.0,5.928964310064622e-07,5.928964310064622e-07,2.866445669713613e-08,5.928964310064622e-07
15,0.0,0.0,0.0,2.312987689989665e-06,0.0
16,0.0,7.721795139969956e-07,7.721795139969956e-07,7.234641975301104e-06,7.721795139969956e-07
17,0.0,2.9566080499837666e-07,2.9566080499837666e-07,2.80538939029934e-06,2.9566080499837666e-07
18,0.0,3.326412019999392e-07,3.326412019999392e-07,1.9141321335042205e-06,3.326412019999392e-07
19,0.0,2.0699199600182627e-07,2.0699199600182627e-07,2.0457947911001195e-06,2.0699199600182627e-07
20,0.0,1.2073675392798577e-15,1.2073675392798577e-15,9.405726080213839e-07,1.2073675392798577e-15
21,0.0,9.992007221626409e-16,9.992007221626409e-16,8.435603977702266e-06,9.992007221626409e-16
22,0.0,5.190185400037739e-08,5.190185400037739e-08,7.394297379947901e-07,5.190185400037739e-08
23,0.0,2.1926648639813973e-07,2.1926648639813973e-07,2.665739470969486e-07,2.1926648639813973e-07
24,0.0,8.690515995724013e-08,8.690515995724013e-08,2.7048422361966584e-06,8.690515995724013e-08
25,0.0,4.1395070204899734e-07,4.1395070204899734e-07,6.862981380001409e-07,4.1395070204899734e-07
26,0.0,1.6541261699254406e-07,1.6541261699254406e-07,8.048522786397588e-06,1.6541261699254406e-07
27,0.0,9.992007221626409e-16,9.992007221626409e-16,3.386296194007876e-06,9.992007221626409e-16
28,0.0,3.0426620112322667e-09,3.0426620112322667e-09,6.413659340009925e-07,3.0426620112322667e-09
29,0.0,3.115524280228321e-08,3.115524280228321e-08,2.6607975900094782e-06,3.115524280228321e-08
30,0.0,6.825335594068394e-07,6.825335594068394e-07,1.8811022933981625e-06,6.825335594068394e-07
31,0.0,1.1986939218999737e-15,1.1986939218999737e-15,5.372453109990516e-07,1.1986939218999737e-15
32,0.0,4.191311089862815e-07,4.191311089862815e-07,4.238836349979014e-07,4.191311089862815e-07
33,0.0,1.942890293094024e-16,1.942890293094024e-16,2.472976236796154e-06,1.942890293094024e-16
34,0.0,4.6205116699393756e-07,4.6205116699393756e-07,7.201274910967337e-07,4.6205116699393756e-07
35,0.0,7.202234832068277e-07,7.202234832068277e-07,8.57780112398232e-07,7.202234832068277e-07
36,0.0,9.992007221626409e-16,9.992007221626409e-16,2.1133906039916273e-06,9.992007221626409e-16
37,0.0,1.2303928700885258e-07,1.2303928700885258e-07,5.574298580210413e-06,1.2303928700885258e-07
38,0.0,0.0,0.0,3.174111832995874e-06,0.0
39,0.0,1.7726293090047918e-06,1.7726293090047918e-06,1.1447700259958893e-06,1.7726293090047918e-06
40,0.0,9.97902640971493e-08,9.97902640971493e-08,6.692994946599917e-06,9.97902640971493e-08
41,0.0,6.938893903907228e-16,6.938893903907228e-16,3.035460783895605e-06,6.938893903907228e-16
42,0.0,3.126471379982787e-07,3.126471379982787e-07,3.268102736198736e-06,3.126471379982787e-07
43,0.0,9.150523040679648e-08,9.150523040679648e-08,1.7391040099679067e-07,9.150523040679648e-08
44,0.0,3.0531133177191805e-16,3.0531133177191805e-16,6.026404272697905e-06,3.0531133177191805e-16
45,0.0,7.019959610138349e-08,7.019959610138349e-08,3.1720561869952313e-06,7.019959610138349e-08
46,0.0,9.079329220118559e-07,9.079329220118559e-07,3.0264758441034267e-06,9.079329220118559e-07
47,0.0,1.9984014443252818e-15,1.9984014443252818e-15,1.4901642076004668e-06,1.9984014443252818e-15
48,0.0,1.743964609998011e-07,1.743964609998011e-07,4.994318268499581e-06,1.743964609998011e-07
49,0.0,2.5832565392347462e-08,2.5832565392347462e-08,8.337313337075658e-07,2.5832565392347462e-08
50,0.0,1.9021455001377863e-09,1.9021455001377863e-09,4.660923745999912e-06,1.9021455001377863e-09
